"initial_alias","converted_alias","name","description","namespace"
"E9Q8G5","243308","A430033K04Rik","RIKEN cDNA A430033K04 gene [Source:MGI Symbol;Acc:MGI:3583896]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"Q8C393","22776","Zim1","zinc finger, imprinted 1 [Source:MGI Symbol;Acc:MGI:1341879]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"B2RR88","636741","Zfp964","zinc finger protein 964 [Source:MGI Symbol;Acc:MGI:3646490]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q3UZY6","101197","Zfp956","zinc finger protein 956 [Source:MGI Symbol;Acc:MGI:2141515]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q80XR7","77652","Zfp955a","zinc finger protein 955A [Source:MGI Symbol;Acc:MGI:4834570]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"L7N232","100043468","Zfp955b","zinc finger protein 955B [Source:MGI Symbol;Acc:MGI:4834573]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q7TNU5","232853","Zfp954","zinc finger protein 954 [Source:MGI Symbol;Acc:MGI:1917764]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"E9Q732","71640","Zfp949","zinc finger protein 949 [Source:MGI Symbol;Acc:MGI:1918890]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"E9PYM8","None","None","None",""
"J3QMA4","240066","Zfp870","zinc finger protein 870 [Source:MGI Symbol;Acc:MGI:3029586]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q3UTQ6","234362","Zfp868","zinc finger protein 868 [Source:MGI Symbol;Acc:MGI:2142546]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q9CZ29","76373","Zfp773","zinc finger protein 773 [Source:MGI Symbol;Acc:MGI:1923623]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q8BIC7","73451","Zfp763","zinc finger protein 763 [Source:MGI Symbol;Acc:MGI:1920701]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"E9PWT2","381067","Zfp229","zinc finger protein 229 [Source:MGI Symbol;Acc:MGI:2679295]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"A0A0J9YVH3","216177","AU041133","expressed sequence AU041133 [Source:MGI Symbol;Acc:MGI:2143755]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q9Z116","24135","Zfp68","zinc finger protein 68 [Source:MGI Symbol;Acc:MGI:1344427]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"E9Q4R5","234413","Zfp961","zinc finger protein 961 [Source:MGI Symbol;Acc:MGI:3583954]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"E9Q6M3","70081","Zfp995","zinc finger protein 995 [Source:MGI Symbol;Acc:MGI:1917331]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"J3QM38","240038","Zfp994","zinc finger protein 994 [Source:MGI Symbol;Acc:MGI:3643318]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"E9PW05","22712","Zfp54","zinc finger protein 54 [Source:MGI Symbol;Acc:MGI:99201]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"Q9Z117","24132","Zfp53","zinc finger protein 53 [Source:MGI Symbol;Acc:MGI:99200]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q8BJ45","22710","Zfp52","zinc finger protein 52 [Source:MGI Symbol;Acc:MGI:99199]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"B0V2W5","224691","Zfp472","zinc finger protein 472 [Source:MGI Symbol;Acc:MGI:2385049]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"B1B1D3","22700","Zfp40","zinc finger protein 40 [Source:MGI Symbol;Acc:MGI:99185]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q5ISE2","333473","Zfp36l3","zinc finger protein 36, C3H type-like 3 [Source:MGI Symbol;Acc:MGI:3525151]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"A2AML7","236537","Zfp352","zinc finger protein 352 [Source:MGI Symbol;Acc:MGI:2387418]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"P15620","22694","Zfp35","zinc finger protein 35 [Source:MGI Symbol;Acc:MGI:99179]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"A0A0U1RPC5","56869","Zfp109","zinc finger protein 109 [Source:MGI Symbol;Acc:MGI:1929099]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q810M4","70073","Zdhhc25","zinc finger, DHHC domain containing 25 [Source:MGI Symbol;Acc:MGI:1917323]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q3TKR2","72891","Xlr4c","X-linked lymphocyte-regulated 4C [Source:MGI Symbol;Acc:MGI:3574099]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"F6ULY1","433502","Wfdc6b","WAP four-disulfide core domain 6B [Source:MGI Symbol;Acc:MGI:3575430]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"A2A5H4","277345","Wfdc16","WAP four-disulfide core domain 16 [Source:MGI Symbol;Acc:MGI:2670994]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q9JHY4","192201","Wfdc15b","WAP four-disulfide core domain 15B [Source:MGI Symbol;Acc:MGI:2445041]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"Q8BH89","68221","Wfdc15a","WAP four-disulfide core domain 15A [Source:MGI Symbol;Acc:MGI:1915471]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"Q7M748","22373","Wap","whey acidic protein [Source:MGI Symbol;Acc:MGI:98943]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q8R2E3","171184","Vmn1r36","vomeronasal 1 receptor 36 [Source:MGI Symbol;Acc:MGI:2159443]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q8R2E0","171187","Vmn1r33","vomeronasal 1 receptor 33 [Source:MGI Symbol;Acc:MGI:2159450]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q8R2E1","171186","Vmn1r38","vomeronasal 1 receptor 38 [Source:MGI Symbol;Acc:MGI:2159445]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"G3XA52","546901","Vmn1r34","vomeronasal 1 receptor 34 [Source:MGI Symbol;Acc:MGI:3644800]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"G3UWE6","546903","Vmn1r39","vomeronasal 1 receptor 39 [Source:MGI Symbol;Acc:MGI:3644802]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q8R2D9","171188","Vmn1r32","vomeronasal 1 receptor 32 [Source:MGI Symbol;Acc:MGI:2159451]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q8R2E2","171185","Vmn1r35","vomeronasal 1 receptor 35 [Source:MGI Symbol;Acc:MGI:2159444]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q8R2C6","171201","Vmn1r21","vomeronasal 1 receptor 21 [Source:MGI Symbol;Acc:MGI:2159464]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q8R2D6","171191","Vmn1r24","vomeronasal 1 receptor 24 [Source:MGI Symbol;Acc:MGI:2159454]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q8R2C9","171198","Vmn1r28","vomeronasal 1 receptor 28 [Source:MGI Symbol;Acc:MGI:2159461]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q9EQ41","113859","Vmn1r29","vomeronasal 1 receptor 29 [Source:MGI Symbol;Acc:MGI:2148523]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"K7N775","171202","Vmn1r16","vomeronasal 1 receptor 16 [Source:MGI Symbol;Acc:MGI:2159465]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q8R2D8","171189","Vmn1r17","vomeronasal 1 receptor 17 [Source:MGI Symbol;Acc:MGI:2159452]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"K7N688","171206","Vmn1r27","vomeronasal 1 receptor 27 [Source:MGI Symbol;Acc:MGI:2159470]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"K7N778","434017","Vmn1r20","vomeronasal 1 receptor 20 [Source:MGI Symbol;Acc:MGI:3644381]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q8R2C7","171200","Vmn1r19","vomeronasal 1 receptor 19 [Source:MGI Symbol;Acc:MGI:2159463]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"G5E8I3","113862","Vmn1r13","vomeronasal 1 receptor 13 [Source:MGI Symbol;Acc:MGI:2148526]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
