ID #,Uniprot Accession,Entrez ID,Protein Names,Gene Names,Log2 SILAC Ratio (Mito/Negative Control) Rep1,Rep1 Unique Quantified Peptide Count,Log2 SILAC Ratio (Mito/Negative Control) Rep2,Rep2 Unique Quantified Peptide Count,GOCC annotation,MitoCarta FDR,mito,evidence for mito,matrix,IMS,OMM,False-positive,Note
3867,Q6P4F2,112812,"Adrenodoxin-like protein, mitochondrial;Ferredoxin-1-like protein",FDX1L,3.530503764,3,2.700997081,3,mitochondrion | mitochondrial matrix,0,1,GOCC; MitoCarta,1,0,0,0,-
4737,Q99757,25828,"Thioredoxin, mitochondrial;Thioredoxin-2",TRX2;TXN2,3.512682895,5,3.243753022,4,mitochondrion,0,1,GOCC; MitoCarta,0,0,0,0,-
65,A4D1V4;Q9BYC8,64983,"cDNA, FLJ93927, Homo sapiens mitochondrial ribosomal protein L32 (MRPL32), nucleargene encoding mitochondrial protein, mRNA;Mitochondrial ribosomal protein L32;Mitochondrial ribosomal protein L32, isoform CRA_d;39S ribosomal protein L32, mitochondrial",hCG_19886;MRPL32;tcag7.484;HSPC283,3.475633168,8,3.248390601,10,mitochondrion | ribosome | mitochondrial ribosome | large ribosomal subunit,0.064,1,GOCC; MitoCarta,1,0,0,0,-
2535,P23434,2653,"Glycine cleavage system H protein, mitochondrial",GCSH,3.433711593,3,3.220477689,4,mitochondrion | glycine cleavage complex,-,1,GOCC,1,0,0,0,-
1571,Q9NQ50;F8WBK5,64976,"39S ribosomal protein L40, mitochondrial;Nuclear localization signal-containing protein deleted in velocardiofacial syndrome;Up-regulated in metastasis",MRPL40;NLVCF;URIM,3.420597778,11,3.233057201,11,mitochondrion | ribosome | mitochondrial ribosome | nucleus,0,1,GOCC; MitoCarta,1,0,0,0,-
5322,Q9NZE8;D3YTC1;Q9NZE8-2,51318,"39S ribosomal protein L35, mitochondrial;Putative uncharacterized protein MRPL35",BM-007;MRPL35,3.416407352,7,3.212123095,8,mitochondrion | ribosome | mitochondrial ribosome | intracellular,0.053,1,GOCC; MitoCarta,1,0,0,0,-
3626,Q4U2R6,51258,"39S ribosomal protein L51, mitochondrial;bMRP-64",CDA09;HSPC241;MRP64;MRPL51,3.381910372,7,2.947400765,9,mitochondrion | ribosome | mitochondrial large ribosomal subunit,0,1,GOCC; MitoCarta,1,0,0,0,-
5125,Q9HD34;F5H189;C9JRX8;C9JY28,57128,LYR motif-containing protein 4;Putative uncharacterized protein LYRM4,C6orf149;CGI-203;ISD11;LYRM4,3.375192678,5,3.264775037,5,mitochondrion | nucleus,0,1,GOCC; MitoCarta,0,0,0,0,-
1537,Q96A26;F8W7Q4;E9PH05,26355,E2-induced gene 5 protein;Protein FAM162A,C3orf28;DC16;E2IG5;FAM162A;FWP001,3.373838052,10,3.135584584,8,integral to membrane | membrane,0.029,1,MitoCarta,0,0,0,0,-
4765,Q9BQC6,78988,"Ribosomal protein 63, mitochondrial",MRP63,3.352862889,4,3.311537736,4,mitochondrion | ribosome | mitochondrial ribosome,0.053,1,GOCC; MitoCarta,1,0,0,0,-
2350,P10109,2230,"Adrenal ferredoxin;Adrenodoxin, mitochondrial;Ferredoxin-1;Hepatoredoxin",ADX;FDX1,3.350873182,3,3.006939228,3,mitochondrion | mitochondrial matrix,0,1,GOCC; MitoCarta,1,0,0,0,-
5206,Q9NUJ1;B7Z6A8,55347,"Abhydrolase domain-containing protein 10, mitochondrial;cDNA FLJ50858, highly similar to Homo sapiens abhydrolase domain containing 10 (ABHD10), mRNA",ABHD10,3.343148738,16,3.034840907,16,mitochondrion,0,1,GOCC; MitoCarta,0,0,0,0,-
4204,Q8N8R5,205327,UPF0565 protein C2orf69,C2orf69,3.33731875,5,2.648218567,4,extracellular region,0.761,0,-,0,0,0,0,-
5093,Q9HAV7;B4DWV5,80273,"GrpE protein homolog 1, mitochondrial;HMGE;Mt-GrpE#1;GrpE protein homolog",GREPEL1;GRPEL1,3.328633295,18,3.063885557,20,mitochondrion | mitochondrial matrix,0,1,GOCC; MitoCarta,1,0,0,0,-
4940,Q9GZT6;Q9GZT6-2;B3KP87,60492,"Coiled-coil domain-containing protein 90B, mitochondrial;cDNA FLJ31410 fis, clone NT2NE2000195, highly similar to Homo sapiens MDS025 mRNA;Putative uncharacterized protein MDS025",CCDC90B;CUA003;MDS011;MDS025;hCG_27349,3.32844431,4,3.467666965,5,mitochondrion | integral to membrane | membrane,0.01,1,GOCC; MitoCarta,0,0,0,0,-
2430,P14927;B7Z2R2;E5RJU0,7381,"Complex III subunit 7;Complex III subunit VII;Cytochrome b-c1 complex subunit 7;QP-C;Ubiquinol-cytochrome c reductase complex 14 kDa protein;cDNA FLJ52271, moderately similar to Ubiquinol-cytochrome c reductase complex 14 kDa protein (EC 1.10.2.2)",UQBP;UQCRB,3.327877205,4,3.374534165,4,mitochondrial respiratory chain | mitochondrion | membrane,0.029,1,GOCC; MitoCarta,0,0,0,0,-
