User Input	Mapped Gene Symbol	Num of Expt. (found/total)	Ave SC	Max SC
Q8IUW3	SPATA2L	 / 716	0	
Q8NFH3	NUP43	37 / 716	1.8	7
Q9BX93	PLA2G12B	 / 716	0	
P35326	SPRR2A	27 / 716	3.2	11
Q86YH2	ZNF280B	9 / 716	1.1	2
Q9UGP5	POLL	 / 716	0	
Q8NBJ7	SUMF2	18 / 716	1.7	6
O75581	LRP6	 / 716	0	
A0A1W2PQ73	LOC390937	 / 716	0	
Q8NFH4	NUP37	28 / 716	2.1	8
Q92854	SEMA4D	 / 716	0	
Q7L099	RUFY3	8 / 716	1.3	2
Q9Y6Y1	CAMTA1	3 / 716	1	1
Q15800	MSMO1	6 / 716	1.2	2
Q15047	SETDB1	8 / 716	1.3	2
Q86Z20	CCDC125	 / 716	0	
O95704	APBB3	2 / 716	1	1
Q86UP9	LHFPL3	 / 716	0	
Q9NUT2	ABCB8	 / 716	0	
O75718	CRTAP	11 / 716	1.4	2
Q6NUQ4	TMEM214	6 / 716	1.5	3
P02768	ALB	239 / 716	7.8	89
P15514	AREG	 / 716	0	
Q6NZI2	CAVIN1	27 / 716	3.7	25
Q17RN3	FAM98C	 / 716	0	
Q9BXS0	COL25A1	 / 716	0	
Q8NGG2	OR5T2	 / 716	0	
Q8N184	ZNF567	4 / 716	1.3	2
Q9BQT8	SLC25A21	5 / 716	1	1
Q8IXH7	NELFCD	51 / 716	5.5	29
Q14973	SLC10A1	 / 716	0	
Q9H693	C16ORF95	 / 716	0	
P0CI26	TRIM49C	 / 716	0	
Q96N21	TEPSIN	 / 716	0	
P09669	COX6C	23 / 716	1.4	7
Q9Y463	DYRK1B	 / 716	0	
Q5SXM2	SNAPC4	10 / 716	1.9	5
Q14832	GRM3	 / 716	0	
Q8TD33	SCGB1C1	 / 716	0	
Q96FJ2	DYNLL2	183 / 716	1.7	19
Q96S94	CCNL2	19 / 716	1.1	2
Q8TAY7	FAM110D	 / 716	0	
O95076	ALX3	1 / 716	1	1
Q92826	HOXB13	 / 716	0	
P05423	POLR3D	13 / 716	1.1	2
Q96RQ1	ERGIC2	1 / 716	1	1
O95998	IL18BP	1 / 716	2	2
P13797	PLS3	208 / 716	7.4	37
P37840	SNCA	95 / 716	2.1	8
Q8TCC3	MRPL30	22 / 716	1.6	3
P06727	APOA4	 / 716	0	
Q9GZN4	PRSS22	3 / 716	2.3	4
Q9H1C7	CYSTM1	1 / 716	1	1
Q9NR61	DLL4	 / 716	0	
O00294	TULP1	 / 716	0	
Q96D53	COQ8B	3 / 716	1	1
Q8N6U8	GPR161	 / 716	0	
Q9NVL8	C14ORF105	 / 716	0	
Q9H324	ADAMTS10	2 / 716	1	1
O15357	INPPL1	22 / 716	3.7	27
Q93086	P2RX5	2 / 716	1.5	2
Q8TDQ7	GNPDA2	8 / 716	1.1	2
Q99873	PRMT1	262 / 716	5	30
P56378	MP68	3 / 716	1.7	2
Q96DI7	SNRNP40	150 / 716	4	22
Q15637	SF1	256 / 716	7.9	64
Q96HL8	SH3YL1	 / 716	0	
Q9BWS9	CHID1	19 / 716	1.5	4
Q9P0J6	MRPL36	 / 716	0	
P0DN87	CGB7	 / 716	0	
Q92882	OSTF1	1 / 716	1	1
Q7Z2K8	GPRIN1	83 / 716	4.5	13
Q96JW4	SLC41A2	 / 716	0	
Q9Y608	LRRFIP2	72 / 716	2.3	23
O14545	TRAFD1	19 / 716	1.2	3
Q5T601	ADGRF1	1 / 716	1	1
Q5T6L9	ERMARD	 / 716	0	
P57771	RGS8	 / 716	0	
Q8WXK1	ASB15	1 / 716	1	1
Q53RE8	ANKRD39	 / 716	0	
P51149	RAB7A	104 / 716	4.7	25
O15354	GPR37	 / 716	0	
Q8IWZ8	SUGP1	122 / 716	8.9	54
Q58EX7	PLEKHG4	 / 716	0	
Q6P2E9	EDC4	163 / 716	6.2	32
Q9H9C1	VIPAS39	7 / 716	3.9	10
O75161	NPHP4	 / 716	0	
Q8TE99	PXYLP1	 / 716	0	
Q00796	SORD	46 / 716	2.7	13
Q9HD33	MRPL47	40 / 716	1.5	4
P47224	RABIF	 / 716	0	
O94889	KLHL18	 / 716	0	
Q5T215	TRAPPC3L	 / 716	0	
Q6QAJ8	TMEM220	 / 716	0	
O75355	ENTPD3	1 / 716	1	1
Q8IY57	YAF2	3 / 716	1	1
O60784	TOM1	29 / 716	7.6	50
P20366	TAC1	 / 716	0	
P20941	PDC	 / 716	0	
Q8N7N1	FAM86B1	1 / 716	1	1
Q96EY5	MVB12A	1 / 716	1	1
O60809	PRAMEF10	 / 716	0	
P27540	ARNT	15 / 716	1.9	5
Q14533	KRT81	131 / 716	5.5	143
O14787	TNPO2	70 / 716	1.4	5
O15350	TP73	4 / 716	1.8	3
P82987	ADAMTSL3	 / 716	0	
Q9UP95	SLC12A4	2 / 716	1.5	2
Q9UBX5	FBLN5	2 / 716	1	1
A6NEQ2	FAM181B	 / 716	0	
Q66K79	CPZ	 / 716	0	
Q86UK0	ABCA12	3 / 716	1	1
P49441	INPP1	1 / 716	1	1
P11473	VDR	 / 716	0	
O15169	AXIN1	1 / 716	1	1
P11142	HSPA8	703 / 716	46.9	338
Q9NVR2	INTS10	1 / 716	1	1
Q9GZN1	ACTR6	9 / 716	1.4	2
O95171	SCEL	 / 716	0	
Q96RM1	SPRR2F	24 / 716	2.3	5
P53804	TTC3	 / 716	0	
P0DPB5	Invalid identifier / gene not available			
O95925	EPPIN	 / 716	0	
Q16630	CPSF6	299 / 716	5.3	28
Q495M9	USH1G	 / 716	0	
P0DV73	Invalid identifier / gene not available			
Q9BRG1	VPS25	7 / 716	1.1	2
P25025	CXCR2	 / 716	0	
Q9NX57	RAB20	 / 716	0	
A8MXD5	GRXCR1	 / 716	0	
A8MXV4	NUDT19	17 / 716	2.2	6
Q13503	MED21	 / 716	0	
O00488	ZNF593	36 / 716	2	7
P17787	CHRNB2	 / 716	0	
Q6DJT9	PLAG1	 / 716	0	
P24310	COX7A1	 / 716	0	
Q9UN74	PCDHA4	 / 716	0	
Q6PIV2	FOXR1	 / 716	0	
A6NJ69	IGIP	 / 716	0	
P23396	RPS3	491 / 716	15.7	75
P54709	ATP1B3	55 / 716	2.3	7
Q9NPC4	A4GALT	 / 716	0	
Q96MV1	TMEM56	1 / 716	1	1
