,User Input,Mapped Gene Symbol,Num of Expt. (found/total),Ave SC,Max SC,found,contaminant,Key
0,Q8IUW3,SPATA2L, / 716,0.0,,,False,Q8IUW3
1,Q8NFH3,NUP43,37 / 716,1.8,7.0,37,False,Q8NFH3
2,Q9BX93,PLA2G12B, / 716,0.0,,,False,Q9BX93
3,P35326,SPRR2A,27 / 716,3.2,11.0,27,False,"P35326, P35325, P22532, P22531, Q96RM1"
4,Q86YH2,ZNF280B,9 / 716,1.1,2.0,9,False,Q86YH2
5,Q9UGP5,POLL, / 716,0.0,,,False,Q9UGP5
6,Q8NBJ7,SUMF2,18 / 716,1.7,6.0,18,False,Q8NBJ7
7,O75581,LRP6, / 716,0.0,,,False,O75581
8,A0A1W2PQ73,LOC390937, / 716,0.0,,,False,A0A1W2PQ73
9,Q8NFH4,NUP37,28 / 716,2.1,8.0,28,False,Q8NFH4
10,Q92854,SEMA4D, / 716,0.0,,,False,Q92854
11,Q7L099,RUFY3,8 / 716,1.3,2.0,8,False,Q7L099
12,Q9Y6Y1,CAMTA1,3 / 716,1.0,1.0,3,False,Q9Y6Y1
13,Q15800,MSMO1,6 / 716,1.2,2.0,6,False,Q15800
14,Q15047,SETDB1,8 / 716,1.3,2.0,8,False,Q15047
15,Q86Z20,CCDC125, / 716,0.0,,,False,Q86Z20
16,O95704,APBB3,2 / 716,1.0,1.0,2,False,O95704
17,Q86UP9,LHFPL3, / 716,0.0,,,False,Q86UP9
18,Q9NUT2,ABCB8, / 716,0.0,,,False,Q9NUT2
19,O75718,CRTAP,11 / 716,1.4,2.0,11,False,O75718
20,Q6NUQ4,TMEM214,6 / 716,1.5,3.0,6,False,Q6NUQ4
21,P02768,ALB,239 / 716,7.8,89.0,239,True,P02768
22,P15514,AREG, / 716,0.0,,,False,P15514
23,Q6NZI2,CAVIN1,27 / 716,3.7,25.0,27,False,Q6NZI2
24,Q17RN3,FAM98C, / 716,0.0,,,False,Q17RN3
25,Q9BXS0,COL25A1, / 716,0.0,,,False,Q9BXS0
26,Q8NGG2,OR5T2, / 716,0.0,,,False,Q8NGG2
27,Q8N184,ZNF567,4 / 716,1.3,2.0,4,False,Q8N184
28,Q9BQT8,SLC25A21,5 / 716,1.0,1.0,5,False,Q9BQT8
29,Q8IXH7,NELFCD,51 / 716,5.5,29.0,51,False,Q8IXH7
30,Q14973,SLC10A1, / 716,0.0,,,False,Q14973
31,Q9H693,C16ORF95, / 716,0.0,,,False,Q9H693
32,P0CI26,TRIM49C, / 716,0.0,,,False,"Q96BQ3, A6NCK2, P0CI25, A6NDI0, P0CI26, C9J1S8, Q9BSJ1, A0A3B3IT33, A6NGJ6, A6NI03, A6NLI5, I1YAP6"
33,Q96N21,TEPSIN, / 716,0.0,,,False,Q96N21
34,P09669,COX6C,23 / 716,1.4,7.0,23,False,P09669
35,Q9Y463,DYRK1B, / 716,0.0,,,False,Q9Y463
36,Q5SXM2,SNAPC4,10 / 716,1.9,5.0,10,False,Q5SXM2
37,Q14832,GRM3, / 716,0.0,,,False,Q14832
38,Q8TD33,SCGB1C1, / 716,0.0,,,False,"Q8TD33, P0DMR2"
39,Q96FJ2,DYNLL2,183 / 716,1.7,19.0,183,False,Q96FJ2
40,Q96S94,CCNL2,19 / 716,1.1,2.0,19,False,Q96S94
41,Q8TAY7,FAM110D, / 716,0.0,,,False,Q8TAY7
