From,To
A0A087WQ53,404331
A0A087WSP6,258451
A0A0G2JDV3,100702
A0A0N4SW72,258547
A0A0N4SWI3,52372
A0A140LI26,258121
A0A140LIF4,258399
A0A1B0GR98,69066
A0AUV4,635895
A0PJN4,76980
A1KXC4,69169
A2A899,105704528
A2A8M8,195555
A2AEE7,53883
A2AEU1,109904
A2AGT5,75786
A2AHG2,192285
A2AIX1,227648
A2AK85,70730
A2ARC0,433416
A2ATE3,258572
A2AU91,27223
A2BIE1,99003
A2CFG5,71159
A2CG28,18132
A2RSY6,98685
A2RTU1,195333
A3KGF9,214239
A3KGY9,257921
A3KPP5,258725
A3QQR1,71099
A4Q9F0,70892
A6H584,665033
A6H5Y1,269702
A6H6A5,18667
A7XUY5,242627
B0V2M3,57908
B1ARU8,258331
B1ASB6,622480
B1ATV3,22065
B1AUS7,385338
B1AX51,66742
B1AXN3,211208
B1AXS0,78631
B1AXU1,627927
B2KF25,21463
B2RQA5,74499
B2RQL4,75773
B2RS19,17187
B2RTB9,257908
B2RU69,16433
B7ZNL8,78697
B8JJY3,22746
B8XCJ6,329178
B9EJ57,208595
B9EKS2,277250
D0VYS2,245525
D3YUB6,100503185
D3YUT2,116904
D3YVV7,384569
D3YWV8,637277
D3YYU8,98733
D3YZT1,243866
D3Z1N9,19944
D3Z1P7,17933
E2QRQ0,71130
E9PU87,70661
E9PUA0,237400
E9PUJ6,105689
E9PWE7,105418
E9PXI1,653016
E9PYM8,240041
E9PYV1,14815
E9PZ19,235086
E9PZ26,223770
E9Q101,547347
E9Q2I3,67905
E9Q2J1,503692
E9Q3L2,224020
E9Q4N7,239985
E9Q5A2,329716
E9Q9Q0,227195
E9QAA9,75258
E9QAS7,212111
E9QJT3,67158
E9QKX5,666173
E9QLH9,244418
E9QMN8,57738
E9QN53,385668
E9QNX7,11944
F6RPJ9,15925
F6S692,100042065
F6VXB8,326623
F6ZMJ4,233833
F7AKJ2,258160
F7C846,17827
F8VQ06,16998
F8VQ23,11552
F8VQ31,258778
F8VQ40,16772
F8VQE0,12292
F8VQF9,216131
F8WGH2,408198
G3UWA7,667063
G3UXB3,672284
G3X8Q8,229503
G3X8S4,94112
G3X8V3,73523
G3X9K6,71037
G3X9W6,224440
G5E837,67933
G5E852,16452
G5E894,105355
G5E8J0,18129
G5E8X6,320700
G5E8Z2,72504
J3QML9,319887
J3QNN2,102637808
J3QP01,330097
J3QPF7,100504400
J3QQ14,215467
J3QQ32,319929
O08605,17346
O08665,20346
O08863,11796
O08983,192236
O09046,100328588
O09046,14204
O09102,107889
O35083,55979
O35219,16511
O35368,15950
O35927,18163
O54781,20817
O54943,18627
O54967,51789
O54990,19126
O55060,22017
O55127,13082
O55131,235072
O70348,112403
O70404,22320
O70405,22241
O70458,18414
O70491,20897
