id,uniprot_id,description,db,entry_name
tr|A0A075B645|A0A075B645_MOUSE,A0A075B645,tr|A0A075B645|A0A075B645_MOUSE Trav14n-3 Protein Trav14n-3  [NOT_REVIEWED] ENSMUSG00000076824;A0A075B645 OS=Mus musculus GN=Trav14n-3,tr,A0A075B645_MOUSE
sp|Q9CQW2|ARL8B_MOUSE,Q9CQW2,sp|Q9CQW2|ARL8B_MOUSE Arl8b ADP-ribosylation factor-like protein 8B [REVIEWED] ENSMUSG00000030105;Q9CQW2;Q3TXD7;Q3U769;Q3UBB1;Q3UJU2 OS=Mus musculus GN=Arl8b,sp,ARL8B_MOUSE
tr|Q5RKT9|Q5RKT9_MOUSE,Q5RKT9,"tr|Q5RKT9|Q5RKT9_MOUSE Mgat3 Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase  [NOT_REVIEWED] ENSMUSG00000042428;Q5RKT9 OS=Mus musculus GN=Mgat3",tr,Q5RKT9_MOUSE
sp|Q6ZWR6|SYNE1_MOUSE,Q6ZWR6,sp|Q6ZWR6|SYNE1_MOUSE Syne1 Nesprin-1 [REVIEWED] ENSMUSG00000096054;ENSMUSG00000019769;Q6ZWR6;Q8K3T7;Q9ERT7;Q9ERT8 OS=Mus musculus GN=Syne1,sp,SYNE1_MOUSE
sp|Q9CQK8|SPR2A_MOUSE,Q9CQK8,sp|Q9CQK8|SPR2A_MOUSE Sprr2a Small proline-rich protein 2A [REVIEWED] ENSMUSG00000074445;ENSMUSG00000078664;ENSMUSG00000068893;Q9CQK8;O70553 OS=Mus musculus GN=Sprr2a,sp,SPR2A_MOUSE
tr|A0A0A6YYE2|A0A0A6YYE2_MOUSE,A0A0A6YYE2,tr|A0A0A6YYE2|A0A0A6YYE2_MOUSE Trbv3 Protein Trbv3  [NOT_REVIEWED] ENSMUSG00000076463;A0A0A6YYE2 OS=Mus musculus GN=Trbv3,tr,A0A0A6YYE2_MOUSE
sp|P19091|ANDR_MOUSE,P19091,sp|P19091|ANDR_MOUSE Ar Androgen receptor [REVIEWED] ENSMUSG00000046532;P19091 OS=Mus musculus GN=Ar,sp,ANDR_MOUSE
sp|Q8VE18|SMG8_MOUSE,Q8VE18,sp|Q8VE18|SMG8_MOUSE Smg8 Protein SMG8 [REVIEWED] ENSMUSG00000020495;Q8VE18;B2KGQ4;Q8BS62;Q8BSP7;Q9DBW6 OS=Mus musculus GN=Smg8,sp,SMG8_MOUSE
tr|A0A0G2JF93|A0A0G2JF93_MOUSE,A0A0G2JF93,tr|A0A0G2JF93|A0A0G2JF93_MOUSE Trav13n-2 Protein Trav13d-2  [NOT_REVIEWED] ENSMUSG00000094779;ENSMUSG00000094758;A0A0G2JF93 OS=Mus musculus GN=Trav13n-2,tr,A0A0G2JF93_MOUSE
sp|Q91WM2|CECR5_MOUSE,Q91WM2,sp|Q91WM2|CECR5_MOUSE Cecr5 Cat eye syndrome critical region protein 5 homolog [REVIEWED] ENSMUSG00000058979;Q91WM2 OS=Mus musculus GN=Cecr5,sp,CECR5_MOUSE
tr|A0A0B4J1I8|A0A0B4J1I8_MOUSE,A0A0B4J1I8,tr|A0A0B4J1I8|A0A0B4J1I8_MOUSE Igkv4-59 Protein Igkv4-59  [NOT_REVIEWED] ENSMUSG00000094006;A0A0B4J1I8 OS=Mus musculus GN=Igkv4-59,tr,A0A0B4J1I8_MOUSE
sp|Q8BGD7|NPAS4_MOUSE,Q8BGD7,sp|Q8BGD7|NPAS4_MOUSE Npas4 Neuronal PAS domain-containing protein 4  [REVIEWED] ENSMUSG00000045903;Q8BGD7;Q3V3U3 OS=Mus musculus GN=Npas4,sp,NPAS4_MOUSE
sp|P0CC03|ST6B1_MOUSE,P0CC03,sp|P0CC03|ST6B1_MOUSE Sult6b1 Sulfotransferase 6B1 [REVIEWED] ENSMUSG00000038045;P0CC03 OS=Mus musculus GN=Sult6b1,sp,ST6B1_MOUSE
sp|Q8CA71|SHSA4_MOUSE,Q8CA71,sp|Q8CA71|SHSA4_MOUSE Shisa4 Protein shisa-4 [REVIEWED] ENSMUSG00000041889;Q8CA71 OS=Mus musculus GN=Shisa4,sp,SHSA4_MOUSE
sp|Q3UHX0|NOL8_MOUSE,Q3UHX0,sp|Q3UHX0|NOL8_MOUSE Nol8 Nucleolar protein 8 [REVIEWED] ENSMUSG00000021392;Q3UHX0;Q059P5;Q504M4;Q8CDJ7;Q9CUR0 OS=Mus musculus GN=Nol8,sp,NOL8_MOUSE
sp|Q99K82|SMOX_MOUSE,Q99K82,sp|Q99K82|SMOX_MOUSE Smox Spermine oxidase [REVIEWED] ENSMUSG00000027333;Q99K82;A2ANQ8;A2ANQ9;A2ANR0;A2ANR1;A2ANR2;Q70LA3;Q70LA4;Q70LA5;Q70LA7;Q70LA8;Q70LA9;Q70LB0;Q8CJ56;Q8CJ57 OS=Mus musculus GN=Smox,sp,SMOX_MOUSE
sp|Q921P9|TCAL1_MOUSE,Q921P9,sp|Q921P9|TCAL1_MOUSE Tceal1 Transcription elongation factor A protein-like 1 [REVIEWED] ENSMUSG00000049536;Q921P9 OS=Mus musculus GN=Tceal1,sp,TCAL1_MOUSE
sp|Q8BMC4|NOP9_MOUSE,Q8BMC4,sp|Q8BMC4|NOP9_MOUSE Nop9 Nucleolar protein 9 [REVIEWED] ENSMUSG00000019297;Q8BMC4;Q3TW87;Q8BKR9;Q8BYV4;Q8VEF9;Q9D0C6;Q9D5A8 OS=Mus musculus GN=Nop9,sp,NOP9_MOUSE
tr|E9PZF0|E9PZF0_MOUSE,E9PZF0,tr|E9PZF0|E9PZF0_MOUSE Gm20390 Nucleoside diphosphate kinase  [NOT_REVIEWED] ENSMUSG00000091228;E9PZF0 OS=Mus musculus GN=Gm20390,tr,E9PZF0_MOUSE
sp|P02831|HXA3_MOUSE,P02831,sp|P02831|HXA3_MOUSE Hoxa3 Homeobox protein Hox-A3 [REVIEWED] ENSMUSG00000079560;P02831;Q4V9Z8;Q61197 OS=Mus musculus GN=Hoxa3,sp,HXA3_MOUSE
tr|Q8VEZ5|Q8VEZ5_MOUSE,Q8VEZ5,tr|Q8VEZ5|Q8VEZ5_MOUSE Olfr1491 Olfactory receptor  [NOT_REVIEWED] ENSMUSG00000051156;Q8VEZ5 OS=Mus musculus GN=Olfr1491,tr,Q8VEZ5_MOUSE
tr|J3QN89|J3QN89_MOUSE,J3QN89,tr|J3QN89|J3QN89_MOUSE Aamp Protein Aamp  [NOT_REVIEWED] ENSMUSG00000006299;J3QN89 OS=Mus musculus GN=Aamp,tr,J3QN89_MOUSE
sp|Q6P6P7|PARP6_MOUSE,Q6P6P7,sp|Q6P6P7|PARP6_MOUSE Parp6 Poly [ADP-ribose] polymerase 6 [REVIEWED] ENSMUSG00000025237;Q6P6P7;Q8BVW1 OS=Mus musculus GN=Parp6,sp,PARP6_MOUSE
