,uniprot,annotation,LPS_turbo(+)_1/LPS_turbo(-)_1_ratio,original_ratio_LPS_turbo(+)_1/LPS_turbo(-)_1_ratio,FP_LPS_turbo(+)_1/LPS_turbo(-)_1_ratio,TP_LPS_turbo(+)_1/LPS_turbo(-)_1_ratio,TPR_LPS_turbo(+)_1/LPS_turbo(-)_1_ratio,FPR_LPS_turbo(+)_1/LPS_turbo(-)_1_ratio,TPR-FPR_LPS_turbo(+)_1/LPS_turbo(-)_1_ratio,LPS_turbo(+)_1/LPS_turbo(-)_2_ratio,original_ratio_LPS_turbo(+)_1/LPS_turbo(-)_2_ratio,FP_LPS_turbo(+)_1/LPS_turbo(-)_2_ratio,TP_LPS_turbo(+)_1/LPS_turbo(-)_2_ratio,TPR_LPS_turbo(+)_1/LPS_turbo(-)_2_ratio,FPR_LPS_turbo(+)_1/LPS_turbo(-)_2_ratio,TPR-FPR_LPS_turbo(+)_1/LPS_turbo(-)_2_ratio,LPS_turbo(+)_2/LPS_turbo(-)_1_ratio,original_ratio_LPS_turbo(+)_2/LPS_turbo(-)_1_ratio,FP_LPS_turbo(+)_2/LPS_turbo(-)_1_ratio,TP_LPS_turbo(+)_2/LPS_turbo(-)_1_ratio,TPR_LPS_turbo(+)_2/LPS_turbo(-)_1_ratio,FPR_LPS_turbo(+)_2/LPS_turbo(-)_1_ratio,TPR-FPR_LPS_turbo(+)_2/LPS_turbo(-)_1_ratio,LPS_turbo(+)_2/LPS_turbo(-)_2_ratio,original_ratio_LPS_turbo(+)_2/LPS_turbo(-)_2_ratio,FP_LPS_turbo(+)_2/LPS_turbo(-)_2_ratio,TP_LPS_turbo(+)_2/LPS_turbo(-)_2_ratio,TPR_LPS_turbo(+)_2/LPS_turbo(-)_2_ratio,FPR_LPS_turbo(+)_2/LPS_turbo(-)_2_ratio,TPR-FPR_LPS_turbo(+)_2/LPS_turbo(-)_2_ratio,LPS_turbo(+)_3/LPS_turbo(-)_1_ratio,original_ratio_LPS_turbo(+)_3/LPS_turbo(-)_1_ratio,FP_LPS_turbo(+)_3/LPS_turbo(-)_1_ratio,TP_LPS_turbo(+)_3/LPS_turbo(-)_1_ratio,TPR_LPS_turbo(+)_3/LPS_turbo(-)_1_ratio,FPR_LPS_turbo(+)_3/LPS_turbo(-)_1_ratio,TPR-FPR_LPS_turbo(+)_3/LPS_turbo(-)_1_ratio,LPS_turbo(+)_3/LPS_turbo(-)_2_ratio,original_ratio_LPS_turbo(+)_3/LPS_turbo(-)_2_ratio,FP_LPS_turbo(+)_3/LPS_turbo(-)_2_ratio,TP_LPS_turbo(+)_3/LPS_turbo(-)_2_ratio,TPR_LPS_turbo(+)_3/LPS_turbo(-)_2_ratio,FPR_LPS_turbo(+)_3/LPS_turbo(-)_2_ratio,TPR-FPR_LPS_turbo(+)_3/LPS_turbo(-)_2_ratio
0,Q6NVE9,,inf,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,3.0,0.0,0.0,0.0041841004184100415,-0.0041841004184100415,,,,,,,,,,,,,,,inf,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,3.0,0.0,0.0,0.004201680672268907,-0.004201680672268907
1,E9Q1U6,,inf,inf,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,inf,inf,0.0,0.0,0.0,0.0,0.0,,,,,,,
2,A0A0G2JDV3,,inf,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,3.0,0.0,0.0,0.0041841004184100415,-0.0041841004184100415,inf,inf,0.0,0.0,0.0,0.0,0.0,,,,,,,,inf,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,3.0,0.0,0.0,0.004201680672268907,-0.004201680672268907
3,Q8CEC0,FP,inf,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,5.0,0.0,0.0,0.00697350069735007,-0.00697350069735007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Q11136,,inf,inf,1.0,0.0,0.0,0.0013908205841446453,-0.0013908205841446453,,,,,,,,,,,,,,,,,,,,,,inf,inf,0.0,0.0,0.0,0.0,0.0,,,,,,,
5,P70459,FP,inf,inf,1.0,0.0,0.0,0.0013908205841446453,-0.0013908205841446453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P05367,TP,6.799841370510682,142.42791234140716,2.0,0.0,0.0,0.0027816411682892906,-0.0027816411682892906,5.710245379526369,101.80131904369333,6.0,1.0,0.004464285714285714,0.008368200836820083,-0.003903915122534369,,,,,,,,,,,,,,,1.2041116907055522,2.331026528258362,10.0,11.0,0.049107142857142856,0.01394700139470014,0.035160141462442715,,,,,,,
7,P05366,TP,5.927728214890017,77.81492248062015,2.0,1.0,0.004464285714285714,0.0027816411682892906,0.0016826445459964235,6.609321278107684,189.84633569739952,6.0,0.0,0.0,0.008368200836820083,-0.008368200836820083,,,,,,,,,,,,,,,1.0589397834951058,2.1078811369509043,13.0,14.0,0.0625,0.01813110181311018,0.04436889818688982,1.7666942522366311,5.142631993695823,11.0,6.0,0.026785714285714284,0.015406162464985995,0.011379551820728289
8,Q61503,,4.709879788404603,33.454456797347376,2.0,2.0,0.008928571428571428,0.0027816411682892906,0.006146930260282138,2.6273544456672377,12.014639955169516,8.0,5.0,0.022321428571428572,0.011157601115760111,0.01116382745566846,1.4902414529311065,2.002925687536571,1.0,2.0,0.008928571428571428,0.001394700139470014,0.007533871289101414,,,,,,,,2.895859285366108,7.530329627462454,0.0,5.0,0.022321428571428572,0.0,0.022321428571428572,,,,,,,
9,P54987,,3.862731954646015,18.596750902527077,2.0,2.0,0.008928571428571428,0.0027816411682892906,0.006146930260282138,3.670914063468473,24.765865384615385,7.0,3.0,0.013392857142857142,0.009762900976290097,0.003629956166567045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,P02802,,3.786900429282269,17.64450625869263,2.0,2.0,0.008928571428571428,0.0027816411682892906,0.006146930260282138,2.3910892436927207,10.199710564399421,8.0,8.0,0.03571428571428571,0.011157601115760111,0.0245566845985256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Q923B6,,3.1774339936277762,11.564898663216903,2.0,2.0,0.008928571428571428,0.0027816411682892906,0.006146930260282138,2.6435991127222316,12.150688655309894,8.0,5.0,0.022321428571428572,0.011157601115760111,0.01116382745566846,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P02798,,3.092115695032434,10.900802334062728,2.0,2.0,0.008928571428571428,0.0027816411682892906,0.006146930260282138,3.211910040770159,18.0168776371308,8.0,4.0,0.017857142857142856,0.011157601115760111,0.006699541741382745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Q6GQT1,TP,2.9142681733809046,9.636537725009575,2.0,2.0,0.008928571428571428,0.0027816411682892906,0.006146930260282138,3.7302761679711356,25.806153846153848,7.0,2.0,0.008928571428571428,0.009762900976290097,-0.000834329547718669,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Q64282,,2.769872208625171,8.718735632183908,2.0,3.0,0.013392857142857142,0.0027816411682892906,0.010611215974567852,2.582223550767083,11.644611605772184,8.0,5.0,0.022321428571428572,0.011157601115760111,0.01116382745566846,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Q91X72,TP,2.757267934898686,8.642895156998403,2.0,3.0,0.013392857142857142,0.0027816411682892906,0.010611215974567852,3.2253805821118813,18.18589025755879,8.0,3.0,0.013392857142857142,0.011157601115760111,0.002235256027097031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,G3X8T9,,2.6747016756048394,8.162145345943255,2.0,4.0,0.017857142857142856,0.0027816411682892906,0.015075501688853566,2.1942964083999796,8.899124889763245,11.0,9.0,0.04017857142857143,0.015341701534170154,0.02483686989440128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Q9D3A8,,2.6309776170866748,7.918484500574053,2.0,4.0,0.017857142857142856,0.0027816411682892906,0.015075501688853566,1.770018373571447,6.631730769230769,15.0,15.0,0.06696428571428571,0.02092050209205021,0.046043783622235504,,,,,,,,,,,,,,,1.5357249347737711,2.9334098737083814,3.0,8.0,0.03571428571428571,0.0041841004184100415,0.03153018529587567,,,,,,,
18,Q01237,,2.5890755970055985,7.691805716173798,2.0,4.0,0.017857142857142856,0.0027816411682892906,0.015075501688853566,2.3058039070603997,9.614227698237885,9.0,9.0,0.04017857142857143,0.012552301255230125,0.027626270173341308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Q62230,TP,2.3805478187241675,6.656641831728148,2.0,4.0,0.017857142857142856,0.0027816411682892906,0.015075501688853566,2.8425042238131772,13.946887492861222,8.0,4.0,0.017857142857142856,0.011157601115760111,0.006699541741382745,,,,,,,,,,,,,,,1.353233975565102,2.584862802107941,6.0,10.0,0.044642857142857144,0.008368200836820083,0.03627465630603706,1.8413517861779698,5.415762421473444,11.0,5.0,0.022321428571428572,0.015406162464985995,0.006915266106442577
20,Q9Z0E6,,2.3733465647464027,6.623497800218502,2.0,5.0,0.022321428571428572,0.0027816411682892906,0.019539787403139282,3.1905665794240856,17.75229503007281,8.0,4.0,0.017857142857142856,0.011157601115760111,0.006699541741382745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Q71KU9,TP,2.35099003632352,6.521648845498218,2.0,5.0,0.022321428571428572,0.0027816411682892906,0.019539787403139282,2.1762357929130323,8.788414150273566,11.0,10.0,0.044642857142857144,0.015341701534170154,0.029301155608686992,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Q64339,TP,2.3382536624526216,6.464327936883248,2.0,6.0,0.026785714285714284,0.0027816411682892906,0.024004073117424994,2.4976381150482045,10.98151487826871,8.0,6.0,0.026785714285714284,0.011157601115760111,0.015628113169954175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Q9JJU9,,2.3185975693153065,6.37685154433743,2.0,7.0,0.03125,0.0027816411682892906,0.02846835883171071,1.769857616904801,6.630991849702998,15.0,15.0,0.06696428571428571,0.02092050209205021,0.046043783622235504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P14234,FP,2.306607044063665,6.324071898496241,2.0,7.0,0.03125,0.0027816411682892906,0.02846835883171071,2.057738992592796,8.095420708323934,11.0,11.0,0.049107142857142856,0.015341701534170154,0.033765441322972704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,O55239,,2.281936310266856,6.216846837204324,3.0,7.0,0.03125,0.004172461752433936,0.027077538247566063,1.2477565082174265,4.617537165116464,42.0,31.0,0.13839285714285715,0.058577405857740586,0.07981545128511656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Q91V04,,2.2692770773095714,6.162534435261708,3.0,7.0,0.03125,0.004172461752433936,0.027077538247566063,3.684899589517742,25.007113821138212,7.0,3.0,0.013392857142857142,0.009762900976290097,0.003629956166567045,,,,,,,,,,,,,,,1.169636030419286,2.275982970197846,12.0,12.0,0.05357142857142857,0.016736401673640166,0.036835026897788406,2.6114199481513154,9.235772357723578,6.0,1.0,0.004464285714285714,0.008403361344537815,-0.003939075630252101
27,Q02788,TP,2.263296864889565,6.137042569081404,3.0,7.0,0.03125,0.004172461752433936,0.027077538247566063,1.0491730033632856,4.023748316807443,63.0,40.0,0.17857142857142858,0.08786610878661087,0.0907053197848177,,,,,,,,,,,,,,,3.2421739884779184,9.573375653472741,0.0,2.0,0.008928571428571428,0.0,0.008928571428571428,2.0542115324754975,6.276778063410454,10.0,3.0,0.013392857142857142,0.014005602240896359,-0.000612745098039217
28,O08705,,2.198960160476462,5.869375,3.0,8.0,0.03571428571428571,0.004172461752433936,0.031541823961851775,3.356582050490452,19.91728525980912,8.0,3.0,0.013392857142857142,0.011157601115760111,0.002235256027097031,,,,,,,,,,,,,,,0.8722141370336314,1.8519791666666667,22.0,18.0,0.08035714285714286,0.030683403068340307,0.04967373978880256,2.0559974325714805,6.284552845528455,10.0,3.0,0.013392857142857142,0.014005602240896359,-0.000612745098039217
29,P29533,,2.187969891137212,5.824832713754647,3.0,8.0,0.03571428571428571,0.004172461752433936,0.031541823961851775,2.4932304323310146,10.94801565120179,8.0,7.0,0.03125,0.011157601115760111,0.020092398884239887,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,P28843,TP,2.1558251585728145,5.6964846107423055,3.0,8.0,0.03571428571428571,0.004172461752433936,0.031541823961851775,1.6863071892782608,6.257881128385321,17.0,15.0,0.06696428571428571,0.023709902370990237,0.043254383343295476,,,,,,,,,,,,,,,0.84656318035575,1.8193421846710924,25.0,19.0,0.08482142857142858,0.03486750348675035,0.049953925084678226,,,,,,,
31,P08122,TP,2.0912785461963264,5.4472393945853765,3.0,9.0,0.04017857142857143,0.004172461752433936,0.036006109676137495,,,,,,,,2.0933526720217315,3.0424216584949906,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.657602390708107,25.535919846514602,0.0,0.0,0.0,0.0,0.0,2.772859216781854,10.329309304130378,6.0,0.0,0.0,0.008403361344537815,-0.008403361344537815
32,P08030,,2.085824640023765,5.426685744947236,3.0,10.0,0.044642857142857144,0.004172461752433936,0.04047039539042321,0.7324089595698162,3.2305415362337357,99.0,69.0,0.3080357142857143,0.13807531380753138,0.16996040047818292,,,,,,,,,,,,,,,0.9966045329397115,2.0187444106599894,16.0,16.0,0.07142857142857142,0.022315202231520222,0.0491133691970512,,,,,,,
33,P27786,,2.0743207367597387,5.383585970698294,3.0,10.0,0.044642857142857144,0.004172461752433936,0.04047039539042321,0.7804851169723102,3.340009443613756,95.0,64.0,0.2857142857142857,0.13249651324965134,0.15321777246463436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Q64505,,2.065463683930298,5.350636085058966,3.0,10.0,0.044642857142857144,0.004172461752433936,0.04047039539042321,0.4496655642792245,2.6555903769932714,179.0,90.0,0.4017857142857143,0.2496513249651325,0.1521343893205818,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,P12246,TP,2.0398098288627353,5.2563325563325565,3.0,10.0,0.044642857142857144,0.004172461752433936,0.04047039539042321,0.9055723573184999,3.6425263838035753,77.0,53.0,0.23660714285714285,0.10739191073919108,0.12921523211795177,,,,,,,,,,,,,,,0.8767483440385783,1.8578088578088578,21.0,17.0,0.07589285714285714,0.029288702928870293,0.046604154213986844,,,,,,,
36,E9PWQ3,TP,2.033749754840551,5.234299516908212,3.0,11.0,0.049107142857142856,0.004172461752433936,0.04493468110470892,1.0775615347911924,4.1037094797816644,61.0,38.0,0.16964285714285715,0.08507670850767085,0.0845661486351863,,,,,,,,,,,,,,,2.5674765880483252,5.997371412333049,0.0,7.0,0.03125,0.0,0.03125,1.6374497735228248,4.70196056589061,12.0,9.0,0.04017857142857143,0.01680672268907563,0.023371848739495802
37,Q04857,TP,2.0077686682331484,5.140880204311932,3.0,12.0,0.05357142857142857,0.004172461752433936,0.04939896681899463,0.9759193506286071,3.824540473665606,68.0,46.0,0.20535714285714285,0.09483960948396095,0.1105175333731819,,,,,,,,,,,,,,,3.0216054766087743,8.216131139751738,0.0,4.0,0.017857142857142856,0.0,0.017857142857142856,2.015917564528092,6.1123630258041715,10.0,4.0,0.017857142857142856,0.014005602240896359,0.003851540616246497
38,Q8R059,,1.9906959932317865,5.080402212979041,3.0,13.0,0.05803571428571429,0.004172461752433936,0.05386325253328035,0.48965235165435905,2.730224180212244,164.0,87.0,0.38839285714285715,0.22873082287308227,0.15966203426977488,,,,,,,,,,,,,,,0.9572220286727203,1.9643823446270645,17.0,16.0,0.07142857142857142,0.023709902370990237,0.04771866905758119,,,,,,,
39,Q3TBT3,,1.9385130756694315,4.899925456578457,3.0,13.0,0.05803571428571429,0.004172461752433936,0.05386325253328035,1.117081636218947,4.217677253769651,55.0,37.0,0.16517857142857142,0.07670850767085077,0.08847006375772065,,,,,,,,,,,,,,,1.1393240656537362,2.228661945583302,12.0,12.0,0.05357142857142857,0.016736401673640166,0.036835026897788406,,,,,,,
40,P09242,,1.9085727580181113,4.799284984678243,3.0,13.0,0.05803571428571429,0.004172461752433936,0.05386325253328035,1.9520597069282115,7.523618895116093,13.0,13.0,0.05803571428571429,0.01813110181311018,0.03990461247260411,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,A6X935,TP,1.9024413937239595,4.7789316025961055,3.0,13.0,0.05803571428571429,0.004172461752433936,0.05386325253328035,2.398668823082108,10.253438450661982,8.0,7.0,0.03125,0.011157601115760111,0.020092398884239887,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Q3T9E4,,1.8818933832348155,4.7113486842105265,3.0,14.0,0.0625,0.004172461752433936,0.05832753824756606,1.6227023719242677,5.987980141102692,17.0,16.0,0.07142857142857142,0.023709902370990237,0.04771866905758119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
