,uniprot,annotation,iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,original_ratio_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,FP_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,TP_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,TPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,TPR-FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,original_ratio_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,FP_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,TP_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,TPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,TPR-FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,original_ratio_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,FP_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,TP_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,TPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,TPR-FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,original_ratio_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,FP_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,TP_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,TPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,TPR-FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,original_ratio_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,FP_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,TP_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,TPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,TPR-FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,original_ratio_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,FP_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,TP_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,TPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,TPR-FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio
0,Q9D3N8,,inf,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,83.0,28.0,0.0979020979020979,0.09741784037558686,0.0004842575265110449,inf,inf,5.0,2.0,0.006993006993006993,0.005847953216374269,0.0011450537766327243,inf,inf,1.0,2.0,0.006993006993006993,0.00117096018735363,0.005822046805653363,,,,,,,,,,,,,,
1,O89016,,inf,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,1.0,1.0,0.0034965034965034965,0.0011737089201877935,0.002322794576315703,inf,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,1.0,3.0,0.01048951048951049,0.00117096018735363,0.00931855030215686,,,,,,,,,,,,,,
2,O55022,,inf,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,70.0,23.0,0.08041958041958042,0.08215962441314555,-0.0017400439935651296,inf,inf,19.0,9.0,0.03146853146853147,0.022222222222222223,0.009246309246309248,inf,inf,32.0,14.0,0.04895104895104895,0.03747072599531616,0.011480322955732793,inf,inf,25.0,11.0,0.03900709219858156,0.029342723004694836,0.009664369193886725,inf,inf,40.0,14.0,0.04929577464788732,0.04711425206124853,0.0021815225866387913
3,Q8K482,TP,inf,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,23.0,11.0,0.038461538461538464,0.02699530516431925,0.011466233297219214,inf,inf,26.0,13.0,0.045454545454545456,0.0304093567251462,0.015045188729399257,inf,inf,38.0,18.0,0.06293706293706294,0.04449648711943794,0.018440575817625003,inf,inf,14.0,3.0,0.010638297872340425,0.01643192488262911,-0.005793627010288684,inf,inf,59.0,24.0,0.08450704225352113,0.06949352179034157,0.015013520463179553
4,P84309,,inf,inf,0.0,1.0,0.0034965034965034965,0.0,0.0034965034965034965,inf,inf,23.0,11.0,0.038461538461538464,0.02699530516431925,0.011466233297219214,inf,inf,26.0,14.0,0.04895104895104895,0.0304093567251462,0.018541692225902753,inf,inf,38.0,18.0,0.06293706293706294,0.04449648711943794,0.018440575817625003,inf,inf,14.0,3.0,0.010638297872340425,0.01643192488262911,-0.005793627010288684,inf,inf,58.0,24.0,0.08450704225352113,0.06831566548881036,0.01619137676471076
5,Q64487,,inf,inf,0.0,1.0,0.0034965034965034965,0.0,0.0034965034965034965,inf,inf,44.0,16.0,0.055944055944055944,0.051643192488262914,0.00430086345579303,inf,inf,32.0,19.0,0.06643356643356643,0.03742690058479532,0.02900666584877111,inf,inf,60.0,23.0,0.08041958041958042,0.0702576112412178,0.010161969178362623,inf,inf,3.0,2.0,0.0070921985815602835,0.0035211267605633804,0.003571071820996903,inf,inf,14.0,8.0,0.028169014084507043,0.016489988221436984,0.011679025863070059
6,Q8VCH8,FP,inf,inf,0.0,1.0,0.0034965034965034965,0.0,0.0034965034965034965,inf,inf,60.0,20.0,0.06993006993006994,0.07042253521126761,-0.0004924652811976737,inf,inf,5.0,2.0,0.006993006993006993,0.005847953216374269,0.0011450537766327243,inf,inf,0.0,2.0,0.006993006993006993,0.0,0.006993006993006993,inf,inf,15.0,7.0,0.024822695035460994,0.017605633802816902,0.007217061232644092,inf,inf,53.0,22.0,0.07746478873239436,0.0624263839811543,0.015038404751240061
7,P31725,TP,inf,inf,1.0,1.0,0.0034965034965034965,0.0011723329425556857,0.0023241705539478108,1.9071256957178175,9.366906474820144,118.0,98.0,0.34265734265734266,0.13849765258215962,0.20415969007518303,inf,inf,19.0,9.0,0.03146853146853147,0.022222222222222223,0.009246309246309248,,,,,,,,inf,inf,29.0,13.0,0.04609929078014184,0.03403755868544601,0.012061732094695833,,,,,,,
8,E9QP49,,inf,inf,1.0,2.0,0.006993006993006993,0.0011723329425556857,0.005820674050451308,,,,,,,,inf,inf,19.0,8.0,0.027972027972027972,0.022222222222222223,0.005749805749805749,,,,,,,,inf,inf,3.0,2.0,0.0070921985815602835,0.0035211267605633804,0.003571071820996903,,,,,,,
9,A0A087WP33,,inf,inf,1.0,2.0,0.006993006993006993,0.0011723329425556857,0.005820674050451308,inf,inf,19.0,10.0,0.03496503496503497,0.022300469483568074,0.012664565481466893,inf,inf,40.0,21.0,0.07342657342657342,0.04678362573099415,0.026642947695579275,inf,inf,81.0,27.0,0.0944055944055944,0.09484777517564402,-0.00044218077004962164,inf,inf,20.0,10.0,0.03546099290780142,0.023474178403755867,0.011986814504045554,inf,inf,21.0,10.0,0.035211267605633804,0.024734982332155476,0.010476285273478329
