,uniprot,annotation,ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,original_ratio_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,FP_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,TP_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,TPR_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,FPR_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,TPR-FPR_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,original_ratio_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,FP_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,TP_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,TPR_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,FPR_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,TPR-FPR_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,original_ratio_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,FP_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,TP_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,TPR_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,FPR_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,TPR-FPR_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,original_ratio_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,FP_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,TP_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,TPR_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,FPR_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,TPR-FPR_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,original_ratio_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,FP_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,TP_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,TPR_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,FPR_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,TPR-FPR_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,original_ratio_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,FP_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,TP_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,TPR_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,FPR_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,TPR-FPR_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio
0,Q9DBL2,,inf,inf,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,inf,inf,3.0,0.0,0.0,0.004172461752433936,-0.004172461752433936,,,,,,,
1,Q8BTS3,,inf,inf,0.0,0.0,0.0,0.0,0.0,,,,,,,,inf,inf,0.0,0.0,0.0,0.0,0.0,,,,,,,,inf,inf,3.0,0.0,0.0,0.004172461752433936,-0.004172461752433936,,,,,,,
2,Q3U276,,inf,inf,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,inf,inf,3.0,0.0,0.0,0.004172461752433936,-0.004172461752433936,,,,,,,
3,E9Q1U6,,inf,inf,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,inf,inf,3.0,0.0,0.0,0.004172461752433936,-0.004172461752433936,,,,,,,
4,Q6P1G0,,inf,inf,0.0,0.0,0.0,0.0,0.0,,,,,,,,inf,inf,0.0,0.0,0.0,0.0,0.0,,,,,,,,inf,inf,0.0,0.0,0.0,0.0,0.0,,,,,,,
5,Q6NWW9,,inf,inf,0.0,0.0,0.0,0.0,0.0,1.3919499688718773,2.7948207171314743,14.0,14.0,0.0625,0.019498607242339833,0.04300139275766017,inf,inf,0.0,0.0,0.0,0.0,0.0,1.81424679132906,3.2778884462151394,6.0,7.0,0.03125,0.008379888268156424,0.022870111731843577,inf,inf,3.0,0.0,0.0,0.004172461752433936,-0.004172461752433936,1.214594941277632,3.7270916334661353,22.0,17.0,0.07589285714285714,0.03064066852367688,0.04525218861918026
6,Q8VHK9,FP,inf,inf,0.0,0.0,0.0,0.0,0.0,,,,,,,,inf,inf,0.0,0.0,0.0,0.0,0.0,,,,,,,,inf,inf,2.0,0.0,0.0,0.0027816411682892906,-0.0027816411682892906,,,,,,,
7,P05367,TP,4.245932210945493,21.17931858936043,1.0,0.0,0.0,0.001394700139470014,-0.001394700139470014,inf,inf,5.0,0.0,0.0,0.006963788300835654,-0.006963788300835654,4.8163749834628735,26.777644949193068,1.0,0.0,0.0,0.001394700139470014,-0.001394700139470014,inf,inf,3.0,0.0,0.0,0.004189944134078212,-0.004189944134078212,4.957041998749076,51.27913927077107,3.0,0.0,0.0,0.004172461752433936,-0.004172461752433936,inf,inf,0.0,0.0,0.0,0.0,0.0
8,P54987,,4.0399249752714725,18.36105476673428,1.0,1.0,0.004464285714285714,0.001394700139470014,0.0030695855748157,4.484119003207507,23.83359662980516,5.0,1.0,0.004464285714285714,0.006963788300835654,-0.0024995025865499404,4.272090461919407,18.362271805273835,1.0,1.0,0.004464285714285714,0.001394700139470014,0.0030695855748157,4.67650043214805,23.835176408636123,3.0,1.0,0.004464285714285714,0.004189944134078212,0.00027434158020750183,4.167900724856022,29.674645030425964,3.0,1.0,0.004464285714285714,0.004172461752433936,0.000291823961851778,4.584051260371603,38.51922064244339,5.0,1.0,0.004464285714285714,0.006963788300835654,-0.0024995025865499404
9,P84244,FP,3.5609855864549513,13.174146963046864,1.0,1.0,0.004464285714285714,0.001394700139470014,0.0030695855748157,2.5472324060584266,6.224846133261975,5.0,6.0,0.026785714285714284,0.006963788300835654,0.01982192598487863,3.358228069489722,9.746000283165793,2.0,2.0,0.008928571428571428,0.002789400278940028,0.0061391711496314,2.304690831385805,4.605030773347605,4.0,6.0,0.026785714285714284,0.00558659217877095,0.021199122106943333,4.016143758484536,26.711737222143565,3.0,2.0,0.008928571428571428,0.004172461752433936,0.004756109676137492,2.974347085667558,12.621420925876372,5.0,3.0,0.013392857142857142,0.006963788300835654,0.006429068842021488
