,fast_turbo(+)_1/fast_turbo(-)_1_ratio,original_ratio_fast_turbo(+)_1/fast_turbo(-)_1_ratio,FP_fast_turbo(+)_1/fast_turbo(-)_1_ratio,TP_fast_turbo(+)_1/fast_turbo(-)_1_ratio,TPR_fast_turbo(+)_1/fast_turbo(-)_1_ratio,FPR_fast_turbo(+)_1/fast_turbo(-)_1_ratio,TPR-FPR_fast_turbo(+)_1/fast_turbo(-)_1_ratio,uniprot,annotation,fast_turbo(+)_1/fast_turbo(-)_2_ratio,original_ratio_fast_turbo(+)_1/fast_turbo(-)_2_ratio,FP_fast_turbo(+)_1/fast_turbo(-)_2_ratio,TP_fast_turbo(+)_1/fast_turbo(-)_2_ratio,TPR_fast_turbo(+)_1/fast_turbo(-)_2_ratio,FPR_fast_turbo(+)_1/fast_turbo(-)_2_ratio,TPR-FPR_fast_turbo(+)_1/fast_turbo(-)_2_ratio,fast_turbo(+)_2/fast_turbo(-)_1_ratio,original_ratio_fast_turbo(+)_2/fast_turbo(-)_1_ratio,FP_fast_turbo(+)_2/fast_turbo(-)_1_ratio,TP_fast_turbo(+)_2/fast_turbo(-)_1_ratio,TPR_fast_turbo(+)_2/fast_turbo(-)_1_ratio,FPR_fast_turbo(+)_2/fast_turbo(-)_1_ratio,TPR-FPR_fast_turbo(+)_2/fast_turbo(-)_1_ratio,fast_turbo(+)_2/fast_turbo(-)_2_ratio,original_ratio_fast_turbo(+)_2/fast_turbo(-)_2_ratio,FP_fast_turbo(+)_2/fast_turbo(-)_2_ratio,TP_fast_turbo(+)_2/fast_turbo(-)_2_ratio,TPR_fast_turbo(+)_2/fast_turbo(-)_2_ratio,FPR_fast_turbo(+)_2/fast_turbo(-)_2_ratio,TPR-FPR_fast_turbo(+)_2/fast_turbo(-)_2_ratio,fast_turbo(+)_3/fast_turbo(-)_1_ratio,original_ratio_fast_turbo(+)_3/fast_turbo(-)_1_ratio,FP_fast_turbo(+)_3/fast_turbo(-)_1_ratio,TP_fast_turbo(+)_3/fast_turbo(-)_1_ratio,TPR_fast_turbo(+)_3/fast_turbo(-)_1_ratio,FPR_fast_turbo(+)_3/fast_turbo(-)_1_ratio,TPR-FPR_fast_turbo(+)_3/fast_turbo(-)_1_ratio,fast_turbo(+)_3/fast_turbo(-)_2_ratio,original_ratio_fast_turbo(+)_3/fast_turbo(-)_2_ratio,FP_fast_turbo(+)_3/fast_turbo(-)_2_ratio,TP_fast_turbo(+)_3/fast_turbo(-)_2_ratio,TPR_fast_turbo(+)_3/fast_turbo(-)_2_ratio,FPR_fast_turbo(+)_3/fast_turbo(-)_2_ratio,TPR-FPR_fast_turbo(+)_3/fast_turbo(-)_2_ratio,fast_turbo(+)_4/fast_turbo(-)_1_ratio,original_ratio_fast_turbo(+)_4/fast_turbo(-)_1_ratio,FP_fast_turbo(+)_4/fast_turbo(-)_1_ratio,TP_fast_turbo(+)_4/fast_turbo(-)_1_ratio,TPR_fast_turbo(+)_4/fast_turbo(-)_1_ratio,FPR_fast_turbo(+)_4/fast_turbo(-)_1_ratio,TPR-FPR_fast_turbo(+)_4/fast_turbo(-)_1_ratio,fast_turbo(+)_4/fast_turbo(-)_2_ratio,original_ratio_fast_turbo(+)_4/fast_turbo(-)_2_ratio,FP_fast_turbo(+)_4/fast_turbo(-)_2_ratio,TP_fast_turbo(+)_4/fast_turbo(-)_2_ratio,TPR_fast_turbo(+)_4/fast_turbo(-)_2_ratio,FPR_fast_turbo(+)_4/fast_turbo(-)_2_ratio,TPR-FPR_fast_turbo(+)_4/fast_turbo(-)_2_ratio
0,,,,,,,,Q8CEC0,FP,inf,inf,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,inf,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,2.0,0.008928571428571428,0.0,0.008928571428571428,,,,,,,,,,,,,,
1,,,,,,,,Q6PGH1,FP,inf,inf,1.0,0.0,0.0,0.001394700139470014,-0.001394700139470014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,Q80WR5,FP,inf,inf,2.0,0.0,0.0,0.002789400278940028,-0.002789400278940028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,inf,2.0,2.0,0.008928571428571428,0.0028011204481792717,0.006127450980392156,inf,inf,1.0,2.0,0.008928571428571428,0.0013986013986013986,0.0075299700299700295
3,,,,,,,,Q3U276,,inf,inf,3.0,0.0,0.0,0.0041841004184100415,-0.0041841004184100415,,,,,,,,,,,,,,,,,,,,,,inf,inf,1.0,2.0,0.008928571428571428,0.0014005602240896359,0.007528011204481792,1.3057436050097788,3.396694214876033,26.0,20.0,0.08928571428571429,0.036414565826330535,0.05287114845938375,inf,inf,0.0,1.0,0.004464285714285714,0.0,0.004464285714285714
4,,,,,,,,Q8R0Z6,TP,inf,inf,3.0,0.0,0.0,0.0041841004184100415,-0.0041841004184100415,,,,,,,,,,,,,,,inf,inf,2.0,0.0,0.0,0.0028011204481792717,-0.0028011204481792717,inf,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,1.0,1.0,0.004464285714285714,0.0014005602240896359,0.003063725490196078,inf,inf,0.0,0.0,0.0,0.0,0.0
5,,,,,,,,Q8BH15,FP,inf,inf,3.0,1.0,0.004484304932735426,0.0041841004184100415,0.00030020451432538446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,1.0,0.004464285714285714,0.0,0.004464285714285714
6,,,,,,,,Q7TQG1,,inf,inf,4.0,1.0,0.004484304932735426,0.005578800557880056,-0.0010944956251446297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,inf,1.0,1.0,0.004464285714285714,0.0013986013986013986,0.0030656843156843154
7,,,,,,,,Q11136,,inf,inf,4.0,1.0,0.004484304932735426,0.005578800557880056,-0.0010944956251446297,,,,,,,,,,,,,,,,,,,,,,inf,inf,1.0,2.0,0.008928571428571428,0.0014005602240896359,0.007528011204481792,,,,,,,,inf,inf,0.0,1.0,0.004464285714285714,0.0,0.004464285714285714
8,,,,,,,,Q9WTL4,,3.6303080162197046,16.185264363428136,4.0,1.0,0.004484304932735426,0.005578800557880056,-0.0010944956251446297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2393709598735212,3.2439660056657225,27.0,23.0,0.10267857142857142,0.037815126050420166,0.06486344537815125,,,,,,,
9,,,,,,,,Q9Z2K1,,2.662857907741733,8.277292366778685,4.0,1.0,0.004484304932735426,0.005578800557880056,-0.0010944956251446297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.193075573117523,3.1415211970074814,27.0,23.0,0.10267857142857142,0.037815126050420166,0.06486344537815125,,,,,,,
10,,,,,,,,P84244,FP,2.642866410488255,8.16338454879896,4.0,1.0,0.004484304932735426,0.005578800557880056,-0.0010944956251446297,,,,,,,,,,,,,,,,,,,,,,4.642994552156357,17.88379138714564,1.0,2.0,0.008928571428571428,0.0014005602240896359,0.007528011204481792,,,,,,,,3.877241957459301,14.025319194979442,2.0,2.0,0.008928571428571428,0.002797202797202797,0.006131368631368631
