,uniprot,annotation,iWAT_HF_cre+_1/iWAT_HF_cre-_1_ratio,original_ratio_iWAT_HF_cre+_1/iWAT_HF_cre-_1_ratio,FP_iWAT_HF_cre+_1/iWAT_HF_cre-_1_ratio,TP_iWAT_HF_cre+_1/iWAT_HF_cre-_1_ratio,TPR_iWAT_HF_cre+_1/iWAT_HF_cre-_1_ratio,FPR_iWAT_HF_cre+_1/iWAT_HF_cre-_1_ratio,TPR-FPR_iWAT_HF_cre+_1/iWAT_HF_cre-_1_ratio,iWAT_HF_cre+_1/iWAT_HF_cre-_2_ratio,original_ratio_iWAT_HF_cre+_1/iWAT_HF_cre-_2_ratio,FP_iWAT_HF_cre+_1/iWAT_HF_cre-_2_ratio,TP_iWAT_HF_cre+_1/iWAT_HF_cre-_2_ratio,TPR_iWAT_HF_cre+_1/iWAT_HF_cre-_2_ratio,FPR_iWAT_HF_cre+_1/iWAT_HF_cre-_2_ratio,TPR-FPR_iWAT_HF_cre+_1/iWAT_HF_cre-_2_ratio,iWAT_HF_cre+_2/iWAT_HF_cre-_1_ratio,original_ratio_iWAT_HF_cre+_2/iWAT_HF_cre-_1_ratio,FP_iWAT_HF_cre+_2/iWAT_HF_cre-_1_ratio,TP_iWAT_HF_cre+_2/iWAT_HF_cre-_1_ratio,TPR_iWAT_HF_cre+_2/iWAT_HF_cre-_1_ratio,FPR_iWAT_HF_cre+_2/iWAT_HF_cre-_1_ratio,TPR-FPR_iWAT_HF_cre+_2/iWAT_HF_cre-_1_ratio,iWAT_HF_cre+_2/iWAT_HF_cre-_2_ratio,original_ratio_iWAT_HF_cre+_2/iWAT_HF_cre-_2_ratio,FP_iWAT_HF_cre+_2/iWAT_HF_cre-_2_ratio,TP_iWAT_HF_cre+_2/iWAT_HF_cre-_2_ratio,TPR_iWAT_HF_cre+_2/iWAT_HF_cre-_2_ratio,FPR_iWAT_HF_cre+_2/iWAT_HF_cre-_2_ratio,TPR-FPR_iWAT_HF_cre+_2/iWAT_HF_cre-_2_ratio,iWAT_HF_cre+_3/iWAT_HF_cre-_1_ratio,original_ratio_iWAT_HF_cre+_3/iWAT_HF_cre-_1_ratio,FP_iWAT_HF_cre+_3/iWAT_HF_cre-_1_ratio,TP_iWAT_HF_cre+_3/iWAT_HF_cre-_1_ratio,TPR_iWAT_HF_cre+_3/iWAT_HF_cre-_1_ratio,FPR_iWAT_HF_cre+_3/iWAT_HF_cre-_1_ratio,TPR-FPR_iWAT_HF_cre+_3/iWAT_HF_cre-_1_ratio,iWAT_HF_cre+_3/iWAT_HF_cre-_2_ratio,original_ratio_iWAT_HF_cre+_3/iWAT_HF_cre-_2_ratio,FP_iWAT_HF_cre+_3/iWAT_HF_cre-_2_ratio,TP_iWAT_HF_cre+_3/iWAT_HF_cre-_2_ratio,TPR_iWAT_HF_cre+_3/iWAT_HF_cre-_2_ratio,FPR_iWAT_HF_cre+_3/iWAT_HF_cre-_2_ratio,TPR-FPR_iWAT_HF_cre+_3/iWAT_HF_cre-_2_ratio
0,Q9JMG3,FP,inf,inf,0.0,0.0,0.0,0.0,0.0,,,,,,,,inf,inf,6.0,4.0,0.013986013986013986,0.007009345794392523,0.006976668191621463,1.1636593280099359,3.962293388429752,101.0,133.0,0.46503496503496505,0.11799065420560748,0.3470443108293576,inf,inf,15.0,6.0,0.02097902097902098,0.017482517482517484,0.003496503496503496,,,,,,,
1,Q91XL3,,inf,inf,1.0,0.0,0.0,0.0011682242990654205,-0.0011682242990654205,2.228864988391148,12.33529411764706,47.0,72.0,0.2517482517482518,0.054778554778554776,0.196969696969697,inf,inf,15.0,7.0,0.024475524475524476,0.017523364485981307,0.006952159989543169,2.135503443627098,7.771428571428571,49.0,87.0,0.3041958041958042,0.05724299065420561,0.24695281354159862,inf,inf,15.0,5.0,0.017482517482517484,0.017482517482517484,0.0,2.3357420865503324,13.673109243697478,45.0,72.0,0.2517482517482518,0.052508751458576426,0.19923950028967535
2,P54728,FP,inf,inf,1.0,0.0,0.0,0.0011682242990654205,-0.0011682242990654205,,,,,,,,inf,inf,11.0,5.0,0.017482517482517484,0.012850467289719626,0.004632050192797858,,,,,,,,inf,inf,11.0,5.0,0.017482517482517484,0.01282051282051282,0.004662004662004664,,,,,,,
3,P21956,TP,inf,inf,2.0,0.0,0.0,0.002336448598130841,-0.002336448598130841,,,,,,,,inf,inf,5.0,3.0,0.01048951048951049,0.005841121495327103,0.004648388994183387,0.7813384453680184,3.0398809523809525,142.0,161.0,0.5629370629370629,0.1658878504672897,0.3970492124697732,inf,inf,1.0,0.0,0.0,0.0011655011655011655,-0.0011655011655011655,,,,,,,
4,O89001,,inf,inf,2.0,1.0,0.0034965034965034965,0.002336448598130841,0.0011600548983726556,,,,,,,,inf,inf,12.0,5.0,0.017482517482517484,0.014018691588785047,0.0034638258937324373,0.9099963876696675,3.3234295415959254,123.0,153.0,0.534965034965035,0.14369158878504673,0.39127344617998827,inf,inf,16.0,6.0,0.02097902097902098,0.018648018648018648,0.002331002331002332,1.3070723717293984,6.702037351443124,113.0,130.0,0.45454545454545453,0.13185530921820304,0.3226901453272515
5,Q8VCH8,FP,inf,inf,2.0,1.0,0.0034965034965034965,0.002336448598130841,0.0011600548983726556,,,,,,,,inf,inf,0.0,0.0,0.0,0.0,0.0,,,,,,,,inf,inf,17.0,6.0,0.02097902097902098,0.019813519813519812,0.0011655011655011677,,,,,,,
6,E9Q4X2,,inf,inf,3.0,1.0,0.0034965034965034965,0.0035046728971962616,-8.169400692765137e-06,2.0181858365988194,10.65930195325008,53.0,86.0,0.3006993006993007,0.06177156177156177,0.23892773892773891,inf,inf,14.0,7.0,0.024475524475524476,0.016355140186915886,0.00812038428860859,2.8446584522588396,12.70509125840538,36.0,48.0,0.16783216783216784,0.04205607476635514,0.1257760930658127,inf,inf,9.0,1.0,0.0034965034965034965,0.01048951048951049,-0.006993006993006994,1.6151442192276282,8.297470381043867,81.0,115.0,0.4020979020979021,0.09451575262543757,0.30758214947246454
7,Q8BWG9,,inf,inf,3.0,1.0,0.0034965034965034965,0.0035046728971962616,-8.169400692765137e-06,,,,,,,,inf,inf,1.0,0.0,0.0,0.0011682242990654205,-0.0011682242990654205,,,,,,,,inf,inf,18.0,6.0,0.02097902097902098,0.02097902097902098,0.0,,,,,,,
8,Q69ZQ1,FP,inf,inf,3.0,1.0,0.0034965034965034965,0.0035046728971962616,-8.169400692765137e-06,1.7760041739173462,9.012075471698113,57.0,93.0,0.32517482517482516,0.06643356643356643,0.25874125874125875,inf,inf,13.0,7.0,0.024475524475524476,0.015186915887850467,0.009288608587674009,1.7348053836207742,5.886792452830188,64.0,111.0,0.3881118881118881,0.07476635514018691,0.3133455329717012,inf,inf,8.0,1.0,0.0034965034965034965,0.009324009324009324,-0.005827505827505828,1.907301141809701,10.16,66.0,101.0,0.3531468531468531,0.07701283547257877,0.27613401767427437
9,Q99LG2,FP,inf,inf,4.0,1.0,0.0034965034965034965,0.004672897196261682,-0.0011763936997581854,,,,,,,,inf,inf,5.0,4.0,0.013986013986013986,0.005841121495327103,0.008144892490686884,,,,,,,,inf,inf,16.0,6.0,0.02097902097902098,0.018648018648018648,0.002331002331002332,0.8514385419975835,4.887056883759275,173.0,158.0,0.5524475524475524,0.20186697782963828,0.35058057461791414
10,O08739,,inf,inf,5.0,1.0,0.0034965034965034965,0.005841121495327103,-0.002344617998823606,,,,,,,,inf,inf,19.0,8.0,0.027972027972027972,0.02219626168224299,0.005775766289784982,,,,,,,,inf,inf,16.0,6.0,0.02097902097902098,0.018648018648018648,0.002331002331002332,,,,,,,
