,uniprot,annotation,iWAT_HF_cre+_3/iWAT_HF_cre-_2_ratio,FP,TP,TPR,FPR,TPR-FPR
0,Q9CXE7,,4.585812701013643,0.0,0.0,0.0,0.0,0.0
1,Q9Z2G9,FP,4.494427502392409,0.0,0.0,0.0,0.0,0.0
2,Q9QZ25,,4.462155558055621,1.0,0.0,0.0,0.0012062726176115801,-0.0012062726176115801
3,Q9DCC8,,4.227333001547963,1.0,0.0,0.0,0.0012062726176115801,-0.0012062726176115801
4,Q99LJ6,TP,4.19174297775506,1.0,0.0,0.0,0.0012062726176115801,-0.0012062726176115801
5,Q6ZQI3,,4.179957048601497,1.0,1.0,0.004524886877828055,0.0012062726176115801,0.0033186142602164743
6,Q3TCN2,,4.147587861772842,1.0,1.0,0.004524886877828055,0.0012062726176115801,0.0033186142602164743
7,Q925U4,,4.113953439390115,1.0,1.0,0.004524886877828055,0.0012062726176115801,0.0033186142602164743
8,Q9Z0F8,TP,4.107583989244838,1.0,1.0,0.004524886877828055,0.0012062726176115801,0.0033186142602164743
9,Q91XD7,,4.0198087298667495,1.0,2.0,0.00904977375565611,0.0012062726176115801,0.00784350113804453
10,O09164,TP,3.9345946459278975,1.0,2.0,0.00904977375565611,0.0012062726176115801,0.00784350113804453
11,Q61335,,3.9121894142390445,1.0,3.0,0.013574660633484163,0.0012062726176115801,0.012368388015872584
12,P16675,,3.9094124465980693,1.0,3.0,0.013574660633484163,0.0012062726176115801,0.012368388015872584
13,Q07113,,3.8547562163012365,1.0,3.0,0.013574660633484163,0.0012062726176115801,0.012368388015872584
14,Q8CFG0,,3.8167747364047737,1.0,3.0,0.013574660633484163,0.0012062726176115801,0.012368388015872584
15,Q9CQW0,,3.785986686282705,1.0,3.0,0.013574660633484163,0.0012062726176115801,0.012368388015872584
16,P59481,,3.731711045617061,1.0,3.0,0.013574660633484163,0.0012062726176115801,0.012368388015872584
17,Q8BH01,,3.728255202252477,1.0,3.0,0.013574660633484163,0.0012062726176115801,0.012368388015872584
