,uniprot,annotation,ctrl_turbo(+)_1/ctrl_turbo(-)_1,TPR_ctrl_turbo(+)_1/ctrl_turbo(-)_1,FPR_ctrl_turbo(+)_1/ctrl_turbo(-)_1,TPR-FPR_ctrl_turbo(+)_1/ctrl_turbo(-)_1,ctrl_turbo(+)_1/ctrl_turbo(-)_2,TPR_ctrl_turbo(+)_1/ctrl_turbo(-)_2,FPR_ctrl_turbo(+)_1/ctrl_turbo(-)_2,TPR-FPR_ctrl_turbo(+)_1/ctrl_turbo(-)_2,ctrl_turbo(+)_2/ctrl_turbo(-)_1,TPR_ctrl_turbo(+)_2/ctrl_turbo(-)_1,FPR_ctrl_turbo(+)_2/ctrl_turbo(-)_1,TPR-FPR_ctrl_turbo(+)_2/ctrl_turbo(-)_1,ctrl_turbo(+)_2/ctrl_turbo(-)_2,TPR_ctrl_turbo(+)_2/ctrl_turbo(-)_2,FPR_ctrl_turbo(+)_2/ctrl_turbo(-)_2,TPR-FPR_ctrl_turbo(+)_2/ctrl_turbo(-)_2,ctrl_turbo(+)_3/ctrl_turbo(-)_1,TPR_ctrl_turbo(+)_3/ctrl_turbo(-)_1,FPR_ctrl_turbo(+)_3/ctrl_turbo(-)_1,TPR-FPR_ctrl_turbo(+)_3/ctrl_turbo(-)_1,ctrl_turbo(+)_3/ctrl_turbo(-)_2,TPR_ctrl_turbo(+)_3/ctrl_turbo(-)_2,FPR_ctrl_turbo(+)_3/ctrl_turbo(-)_2,TPR-FPR_ctrl_turbo(+)_3/ctrl_turbo(-)_2,LPS_turbo(+)_1/LPS_turbo(-)_1,TPR_LPS_turbo(+)_1/LPS_turbo(-)_1,FPR_LPS_turbo(+)_1/LPS_turbo(-)_1,TPR-FPR_LPS_turbo(+)_1/LPS_turbo(-)_1,LPS_turbo(+)_1/LPS_turbo(-)_2,TPR_LPS_turbo(+)_1/LPS_turbo(-)_2,FPR_LPS_turbo(+)_1/LPS_turbo(-)_2,TPR-FPR_LPS_turbo(+)_1/LPS_turbo(-)_2,LPS_turbo(+)_2/LPS_turbo(-)_1,TPR_LPS_turbo(+)_2/LPS_turbo(-)_1,FPR_LPS_turbo(+)_2/LPS_turbo(-)_1,TPR-FPR_LPS_turbo(+)_2/LPS_turbo(-)_1,LPS_turbo(+)_2/LPS_turbo(-)_2,TPR_LPS_turbo(+)_2/LPS_turbo(-)_2,FPR_LPS_turbo(+)_2/LPS_turbo(-)_2,TPR-FPR_LPS_turbo(+)_2/LPS_turbo(-)_2,LPS_turbo(+)_3/LPS_turbo(-)_1,TPR_LPS_turbo(+)_3/LPS_turbo(-)_1,FPR_LPS_turbo(+)_3/LPS_turbo(-)_1,TPR-FPR_LPS_turbo(+)_3/LPS_turbo(-)_1,LPS_turbo(+)_3/LPS_turbo(-)_2,TPR_LPS_turbo(+)_3/LPS_turbo(-)_2,FPR_LPS_turbo(+)_3/LPS_turbo(-)_2,TPR-FPR_LPS_turbo(+)_3/LPS_turbo(-)_2,fast_turbo(+)_1/fast_turbo(-)_1,TPR_fast_turbo(+)_1/fast_turbo(-)_1,FPR_fast_turbo(+)_1/fast_turbo(-)_1,TPR-FPR_fast_turbo(+)_1/fast_turbo(-)_1,fast_turbo(+)_1/fast_turbo(-)_2,TPR_fast_turbo(+)_1/fast_turbo(-)_2,FPR_fast_turbo(+)_1/fast_turbo(-)_2,TPR-FPR_fast_turbo(+)_1/fast_turbo(-)_2,fast_turbo(+)_2/fast_turbo(-)_1,TPR_fast_turbo(+)_2/fast_turbo(-)_1,FPR_fast_turbo(+)_2/fast_turbo(-)_1,TPR-FPR_fast_turbo(+)_2/fast_turbo(-)_1,fast_turbo(+)_2/fast_turbo(-)_2,TPR_fast_turbo(+)_2/fast_turbo(-)_2,FPR_fast_turbo(+)_2/fast_turbo(-)_2,TPR-FPR_fast_turbo(+)_2/fast_turbo(-)_2,fast_turbo(+)_3/fast_turbo(-)_1,TPR_fast_turbo(+)_3/fast_turbo(-)_1,FPR_fast_turbo(+)_3/fast_turbo(-)_1,TPR-FPR_fast_turbo(+)_3/fast_turbo(-)_1,fast_turbo(+)_3/fast_turbo(-)_2,TPR_fast_turbo(+)_3/fast_turbo(-)_2,FPR_fast_turbo(+)_3/fast_turbo(-)_2,TPR-FPR_fast_turbo(+)_3/fast_turbo(-)_2,fast_turbo(+)_4/fast_turbo(-)_1,TPR_fast_turbo(+)_4/fast_turbo(-)_1,FPR_fast_turbo(+)_4/fast_turbo(-)_1,TPR-FPR_fast_turbo(+)_4/fast_turbo(-)_1,fast_turbo(+)_4/fast_turbo(-)_2,TPR_fast_turbo(+)_4/fast_turbo(-)_2,FPR_fast_turbo(+)_4/fast_turbo(-)_2,TPR-FPR_fast_turbo(+)_4/fast_turbo(-)_2,description
0,Q9DBL2,,inf,0.0,0.0,0.0,,,,,,,,,,,,,inf,0.0,0.004172461752433936,-0.004172461752433936,,,,,,,,,inf,0.0,0.0041841004184100415,-0.0041841004184100415,,,,,,,,,,,,,inf,0.0,0.004201680672268907,-0.004201680672268907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gdap2 Ganglioside-induced differentiation-associated protein 2
1,Q8BTS3,,inf,0.0,0.0,0.0,,,,,inf,0.0,0.0,0.0,,,,,inf,0.0,0.004172461752433936,-0.004172461752433936,,,,,,,,,0.6556434631812884,0.33482142857142855,0.16317991631799164,0.1716415122534369,,,,,,,,,,,,,,,,,,,,,-0.848353327588994,0.5201793721973094,0.9567642956764296,-0.43658492347912026,,,,,,,,,,,,,,,,,1.4290442446110723,0.07142857142857142,0.023809523809523808,0.047619047619047616,,,,,Gbp9 Guanylate-binding protein 9
2,Q3U276,,inf,0.0,0.0,0.0,,,,,,,,,,,,,inf,0.0,0.004172461752433936,-0.004172461752433936,,,,,,,,,inf,0.0,0.0041841004184100415,-0.0041841004184100415,,,,,,,,,,,,,inf,0.0,0.004201680672268907,-0.004201680672268907,,,,,inf,0.0,0.0041841004184100415,-0.0041841004184100415,,,,,,,,,,,,,inf,0.008928571428571428,0.0014005602240896359,0.007528011204481792,1.3057436050097788,0.08928571428571429,0.036414565826330535,0.05287114845938375,inf,0.004464285714285714,0.0,0.004464285714285714,"Sdhaf1 Succinate dehydrogenase assembly factor 1, mitochondrial"
3,E9Q1U6,,inf,0.0,0.0,0.0,,,,,,,,,,,,,inf,0.0,0.004172461752433936,-0.004172461752433936,,,,,inf,0.0,0.0,0.0,,,,,,,,,,,,,inf,0.0,0.0,0.0,,,,,,,,,-0.066730259267745,0.273542600896861,0.5718270571827058,-0.29828445628584477,,,,,,,,,,,,,,,,,,,,,,,,,Ctif CBP80/20-dependent translation initiation factor
4,Q6P1G0,,inf,0.0,0.0,0.0,,,,,inf,0.0,0.0,0.0,,,,,inf,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22329542129003913,0.34977578475336324,0.7545327754532776,-0.40475699069991433,,,,,,,,,,,,,,,,,,,,,,,,,Heatr6 HEAT repeat-containing protein 6
5,Q6NWW9,,inf,0.0,0.0,0.0,1.3919499688718773,0.0625,0.019498607242339833,0.04300139275766017,inf,0.0,0.0,0.0,1.81424679132906,0.03125,0.008379888268156424,0.022870111731843577,inf,0.0,0.004172461752433936,-0.004172461752433936,1.214594941277632,0.07589285714285714,0.03064066852367688,0.04525218861918026,1.797199235017448,0.06696428571428571,0.005563282336578581,0.06140100337770713,0.8309536790022599,0.26339285714285715,0.12273361227336123,0.14065924486949594,1.243913773807782,0.013392857142857142,0.0041841004184100415,0.009208756724447101,,,,,,,,,,,,,,,,,0.4810214356699296,0.06726457399103139,0.11157601115760112,-0.044311437166569725,,,,,,,,,inf,0.0,0.0014005602240896359,-0.0014005602240896359,,,,,inf,0.0,0.0014005602240896359,-0.0014005602240896359,1.1002029572052678,0.10267857142857142,0.043356643356643354,0.05932192807192807,Fndc3b Fibronectin type III domain-containing protein 3B
6,Q8VHK9,FP,inf,0.0,0.0,0.0,,,,,inf,0.0,0.0,0.0,,,,,inf,0.0,0.0027816411682892906,-0.0027816411682892906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5715455397924938,0.06278026905829596,0.08089260808926081,-0.018112339030964847,,,,,,,,,,,,,,,,,,,,,,,,,Dhx36 ATP-dependent RNA helicase DHX36
7,P05367,TP,4.245932210945493,0.0,0.001394700139470014,-0.001394700139470014,inf,0.0,0.006963788300835654,-0.006963788300835654,4.8163749834628735,0.0,0.001394700139470014,-0.001394700139470014,inf,0.0,0.004189944134078212,-0.004189944134078212,4.957041998749076,0.0,0.004172461752433936,-0.004172461752433936,inf,0.0,0.0,0.0,6.799841370510682,0.0,0.0027816411682892906,-0.0027816411682892906,5.710245379526369,0.004464285714285714,0.008368200836820083,-0.003903915122534369,,,,,,,,,1.2041116907055522,0.049107142857142856,0.01394700139470014,0.035160141462442715,,,,,,,,,0.8501391870295198,0.013452914798206279,0.040446304044630406,-0.026993389246424127,,,,,,,,,,,,,1.0883042827101856,0.12946428571428573,0.049019607843137254,0.08044467787114848,,,,,1.0057078512119837,0.12053571428571429,0.05314685314685315,0.06738886113886114,Saa2 Serum amyloid A-2 protein
8,P54987,,4.0399249752714725,0.004464285714285714,0.001394700139470014,0.0030695855748157,4.484119003207507,0.004464285714285714,0.006963788300835654,-0.0024995025865499404,4.272090461919407,0.004464285714285714,0.001394700139470014,0.0030695855748157,4.67650043214805,0.004464285714285714,0.004189944134078212,0.00027434158020750183,4.167900724856022,0.004464285714285714,0.004172461752433936,0.000291823961851778,4.584051260371603,0.004464285714285714,0.006963788300835654,-0.0024995025865499404,3.862731954646015,0.008928571428571428,0.0027816411682892906,0.006146930260282138,3.670914063468473,0.013392857142857142,0.009762900976290097,0.003629956166567045,,,,,,,,,,,,,,,,,,,,,-0.11657540035980733,0.28699551569506726,0.6262203626220363,-0.339224846926969,,,,,,,,,3.280201690711029,0.049107142857142856,0.004201680672268907,0.04490546218487395,3.630368577870454,0.026785714285714284,0.0028011204481792717,0.023984593837535012,3.246291952975627,0.008928571428571428,0.004201680672268907,0.004726890756302521,3.561030969600968,0.008928571428571428,0.004195804195804196,0.004732767232767232,Acod1 Cis-aconitate decarboxylase
9,P84244,FP,3.5609855864549513,0.004464285714285714,0.001394700139470014,0.0030695855748157,2.5472324060584266,0.026785714285714284,0.006963788300835654,0.01982192598487863,3.358228069489722,0.008928571428571428,0.002789400278940028,0.0061391711496314,2.304690831385805,0.026785714285714284,0.00558659217877095,0.021199122106943333,4.016143758484536,0.008928571428571428,0.004172461752433936,0.004756109676137492,2.974347085667558,0.013392857142857142,0.006963788300835654,0.006429068842021488,1.0941479974855597,0.12053571428571429,0.013908205841446454,0.10662750844426783,5.3890413373181705,0.008928571428571428,0.008368200836820083,0.0005603705917513451,,,,,,,,,,,,,4.763716988044399,0.0,0.004201680672268907,-0.004201680672268907,,,,,2.642866410488255,0.004484304932735426,0.005578800557880056,-0.0010944956251446297,,,,,,,,,,,,,4.642994552156357,0.008928571428571428,0.0014005602240896359,0.007528011204481792,,,,,3.877241957459301,0.008928571428571428,0.002797202797202797,0.006131368631368631,H3f3b Histone H3.3
10,P05366,TP,3.4221095942031075,0.004464285714285714,0.002789400278940028,0.0016748854353456862,3.475985071777778,0.004464285714285714,0.006963788300835654,-0.0024995025865499404,4.180271464233432,0.004464285714285714,0.001394700139470014,0.0030695855748157,4.194362884100711,0.004464285714285714,0.004189944134078212,0.00027434158020750183,4.154620319169628,0.004464285714285714,0.004172461752433936,0.000291823961851778,4.180452304323845,0.004464285714285714,0.006963788300835654,-0.0024995025865499404,5.927728214890017,0.004464285714285714,0.0027816411682892906,0.0016826445459964235,6.609321278107684,0.0,0.008368200836820083,-0.008368200836820083,,,,,,,,,1.0589397834951058,0.0625,0.01813110181311018,0.04436889818688982,1.7666942522366311,0.026785714285714284,0.015406162464985995,0.011379551820728289,,,,,0.6444503161739892,0.04932735426008968,0.06834030683403068,-0.019012952573941,,,,,,,,,,,,,,,,,1.821463197660282,0.049107142857142856,0.00980392156862745,0.039303221288515405,1.6926209107209282,0.05803571428571429,0.016783216783216783,0.0412524975024975,Saa1 Serum amyloid A-1 protein
11,O54904,,3.2846831024228176,0.008928571428571428,0.002789400278940028,0.0061391711496314,1.8098326154989297,0.04017857142857143,0.013927576601671309,0.026250994826900124,3.0048998555093225,0.008928571428571428,0.0041841004184100415,0.004744471010161387,1.4902653108780424,0.05803571428571429,0.019553072625698324,0.038482641660015963,3.3157904205684816,0.008928571428571428,0.005563282336578581,0.003365289091992847,1.8128964412241402,0.03125,0.013927576601671309,0.017322423398328693,1.529160483753107,0.08928571428571429,0.006954102920723227,0.08233161136499106,2.665085721677307,0.022321428571428572,0.011157601115760111,0.01116382745566846,,,,,,,,,,,,,1.2034689555077949,0.05357142857142857,0.025210084033613446,0.028361344537815122,,,,,0.8810154897592152,0.013452914798206279,0.03905160390516039,-0.02559868910695411,,,,,,,,,2.3153037631264963,0.07142857142857142,0.004201680672268907,0.06722689075630252,1.6877206713648245,0.09821428571428571,0.022408963585434174,0.07580532212885153,2.36943128322001,0.026785714285714284,0.004201680672268907,0.022584033613445378,1.7064203209242552,0.05803571428571429,0.015384615384615385,0.0426510989010989,"B3galt1 Beta-1,3-galactosyltransferase 1"
