,uniprot,annotation,ratio_ctrl_turbo(+)_1/ctrl_turbo(-)_1,ratio_ctrl_turbo(+)_1/ctrl_turbo(-)_2,ratio_ctrl_turbo(+)_2/ctrl_turbo(-)_1,ratio_ctrl_turbo(+)_2/ctrl_turbo(-)_2,ratio_ctrl_turbo(+)_3/ctrl_turbo(-)_1,ratio_ctrl_turbo(+)_3/ctrl_turbo(-)_2,ratio_LPS_turbo(+)_1/LPS_turbo(-)_1,ratio_LPS_turbo(+)_1/LPS_turbo(-)_2,ratio_LPS_turbo(+)_2/LPS_turbo(-)_1,ratio_LPS_turbo(+)_2/LPS_turbo(-)_2,ratio_LPS_turbo(+)_3/LPS_turbo(-)_1,ratio_LPS_turbo(+)_3/LPS_turbo(-)_2,ratio_fast_turbo(+)_1/fast_turbo(-)_1,ratio_fast_turbo(+)_1/fast_turbo(-)_2,ratio_fast_turbo(+)_2/fast_turbo(-)_1,ratio_fast_turbo(+)_2/fast_turbo(-)_2,ratio_fast_turbo(+)_3/fast_turbo(-)_1,ratio_fast_turbo(+)_3/fast_turbo(-)_2,ratio_fast_turbo(+)_4/fast_turbo(-)_1,ratio_fast_turbo(+)_4/fast_turbo(-)_2,description,pep_num,ctrl_turbo(-)_1,ctrl_turbo(-)_2,LPS_turbo(-)_1,LPS_turbo(-)_2,fast_turbo(-)_1,fast_turbo(-)_2,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,fast_turbo(+)_4
0,Q9DBL2,,inf,,,,inf,,,inf,,,,inf,,,,,,,,,Gdap2 Ganglioside-induced differentiation-associated protein 2,1,0.0,701.0,1137.0,0.0,905.0,951.0,826.0,0.0,1575.0,682.0,694.0,1128.0,0.0,1036.0,0.0,0.0
1,Q8BTS3,,inf,,inf,,inf,,,3.0631383472609097,,,,,,0.7259528130671506,,,,,3.699760765550239,,Gbp9 Guanylate-binding protein 9,1,0.0,1844.0,1419.0,1077.0,836.0,1653.0,3347.0,3453.0,3192.0,3299.0,1040.0,792.0,1200.0,1956.0,2098.0,3093.0
2,Q3U276,,inf,,,,inf,,,inf,,,,inf,,inf,,,,inf,3.396694214876033,inf,"Sdhaf1 Succinate dehydrogenase assembly factor 1, mitochondrial",1,0.0,1059.0,1309.0,0.0,605.0,0.0,647.0,0.0,1714.0,1332.0,0.0,742.0,1066.0,1109.0,598.0,2055.0
3,E9Q1U6,,inf,,,,inf,,inf,,,,inf,,,1.2479591836734694,,,,,,,Ctif CBP80/20-dependent translation initiation factor,1,0.0,845.0,0.0,1141.0,1447.0,980.0,749.0,0.0,561.0,1256.0,0.0,1061.0,1223.0,1009.0,0.0,677.0
4,Q6P1G0,,inf,,inf,,inf,,,,,,,,,1.1196172248803828,,,,,,,Heatr6 HEAT repeat-containing protein 6,1,0.0,1014.0,1682.0,1144.0,672.0,1045.0,755.0,1173.0,1663.0,798.0,1820.0,1849.0,1170.0,1120.0,0.0,0.0
5,Q6NWW9,,inf,2.7948207171314743,inf,3.2778884462151394,inf,3.7270916334661353,4.442728442728443,3.458917835671343,1.6885456885456886,,,,,1.8242740134028295,,,inf,,inf,2.0461653015636636,Fndc3b Fibronectin type III domain-containing protein 3B,1,0.0,1004.0,777.0,998.0,0.0,1343.0,2806.0,3291.0,3742.0,3452.0,1312.0,1332.0,2450.0,1466.0,1364.0,2748.0
6,Q8VHK9,FP,inf,,inf,,inf,,,,,,,,,1.942408376963351,,,,,,,Dhx36 ATP-dependent RNA helicase DHX36,1,0.0,1465.0,1969.0,1756.0,1201.0,1337.0,1193.0,919.0,1331.0,1671.0,1078.0,1942.0,2597.0,871.0,0.0,0.0
7,P05367,TP,21.17931858936043,inf,26.777644949193068,inf,51.27913927077107,inf,142.42791234140716,101.80131904369333,,,2.331026528258362,,,2.356164383561644,,,,1.521917808219178,,1.9164383561643836,Saa2 Serum amyloid A-2 protein,1,1673.0,0.0,867.0,1213.0,1754.0,730.0,35433.0,44799.0,85790.0,123485.0,0.0,2021.0,1720.0,1711.0,1111.0,1399.0
8,P54987,,18.36105476673428,23.83359662980516,18.362271805273835,23.835176408636123,29.674645030425964,38.51922064244339,18.596750902527077,24.765865384615385,,,,,,1.2055785123966942,,,10.259465922678357,8.863980716253444,13.038262255878836,11.264807162534435,Acod1 Cis-aconitate decarboxylase,1,2465.0,1899.0,2770.0,2080.0,2509.0,2904.0,45260.0,45263.0,73148.0,51513.0,693.0,2869.0,3501.0,2209.0,25741.0,32713.0
9,P84244,FP,13.174146963046864,6.224846133261975,9.746000283165793,4.605030773347605,26.711737222143565,12.621420925876372,2.729042237128243,81.48193872885231,,,,41.0562414266118,,8.16338454879896,,,,17.88379138714564,,14.025319194979442,H3f3b Histone H3.3,1,7063.0,14948.0,65298.0,2187.0,26171.0,4621.0,93049.0,68836.0,188665.0,178201.0,5128.0,89790.0,37723.0,40694.0,82641.0,64811.0
10,P05366,TP,11.965109143508371,11.849800312554263,17.23003418953274,17.063986803264456,29.402735162619443,29.119378364299358,77.81492248062015,189.84633569739952,,,2.1078811369509043,5.142631993695823,,2.043087971274686,,,,,4.856277755349213,3.085150038471403,Saa1 Serum amyloid A-1 protein,1,5703.5,5759.0,3096.0,1269.0,1238.5,1949.5,68243.0,98271.5,167698.5,240915.0,0.0,6526.0,3983.0,1286.0,1648.0,6014.5
11,O54904,,10.877952755905511,3.733783783783784,7.628937007874016,2.6185810810810812,16.438976377952756,5.642567567567568,3.6894536955886648,12.3330078125,,,,3.48046875,,2.4071340713407134,,,5.25607476635514,2.305863058630586,7.1,3.1148011480114803,"B3galt1 Beta-1,3-galactosyltransferase 1",1,1016.0,2960.0,3423.0,1024.0,1070.0,2439.0,11052.0,7751.0,16702.0,12629.0,2191.0,3564.0,5871.0,2827.0,5624.0,7597.0
12,P11928,FP,10.680827586206897,3.7817933190076185,10.700137931034483,3.788630591912483,14.032275862068966,4.968450869310412,4.0993304450571095,5.82505036937542,,,,,,1.784646878198567,,,,2.647594677584442,3.503095800968141,3.1850562947799386,Oas1a 2'-5'-oligoadenylate synthase 1A,1,3625.0,10238.0,12695.0,8934.0,8883.0,9770.0,38718.0,38788.0,50867.0,52041.0,16060.0,12561.0,17436.0,8169.0,25867.0,31118.0
13,Q64282,,8.893686799672041,8.832134617994301,5.563541951352828,5.525037318496404,8.411997813610276,8.353779345908535,8.718735632183908,11.644611605772184,,,,,,1.6311516155758077,,,6.338295435956159,6.420215410107705,6.705709144446262,6.792377796188898,Ifit1 Interferon-induced protein with tetratricopeptide repeats 1,16,7318.0,7369.0,8700.0,6514.0,6113.0,6035.0,65084.0,40714.0,61559.0,75853.0,6348.0,12514.0,9844.0,7085.0,38746.0,40992.0
14,Q923B6,,8.214372322366826,8.592204278346157,5.762832430684666,6.027902257546292,10.864521865653545,11.364251289422509,11.564898663216903,12.150688655309894,,,,,,1.2839628075372336,,,4.56958350020024,3.7555336130996464,7.163496195434521,5.8873529169752326,Steap4 Metalloreductase STEAP4,12,12371.0,11827.0,11595.0,11036.0,9988.0,12153.0,101620.0,71292.0,134405.0,134095.0,12860.0,17729.0,15604.0,13139.0,45641.0,71549.0
15,Q6GQT1,TP,7.553687776909044,8.20481245576787,5.256189731561116,5.709271054493985,14.891712275215012,16.175371549893843,9.636537725009575,25.806153846153848,,,,,,2.4073343200131556,,,,1.614865975990791,,3.07235652030916,A2m Alpha-2-macroglobulin-P,4,3837.0,3532.5,6527.5,2437.5,4021.5,3040.5,28983.5,20168.0,57139.5,62902.5,3328.5,6271.0,7319.5,4716.5,4910.0,9341.5
16,Q9JJU9,,7.20974127926821,10.56577631052421,3.13492388558946,4.594187675070028,7.419550822581746,10.873249299719888,6.37685154433743,6.630991849702998,,,,,,1.5903266558382962,,,7.5794924677187945,7.6273687060097455,9.956375538020087,10.01926547554593,Crybb3 Beta-crystallin B3,6,14649.0,9996.0,15055.0,14478.0,11152.0,11082.0,105615.5,45923.5,108689.0,96003.5,10563.5,17487.0,17624.0,13492.0,84526.5,111033.5
17,Q71KU9,TP,6.922622543093025,7.307044410413476,3.8674911050468066,4.082257711660469,7.346402293688901,7.754357179318895,6.521648845498218,8.788414150273566,,,,,,0.864207563049598,,,3.3317893800718865,2.6094842847607165,3.3728832400785564,2.6416693269872593,Fgl1 Fibrinogen-like protein 1,7,14474.5,13713.0,16132.5,11971.5,13493.5,17228.5,100201.5,55980.0,106335.5,105210.5,8018.5,15759.0,14889.0,23185.5,44957.5,45512.0
18,G3X8T9,,6.890527029317065,5.535497923898986,4.955770208439247,3.981212987543394,10.018132519911878,8.048056633312912,8.162145345943255,8.899124889763245,,,,,,0.5605129292072912,,,,,,,"Serpina3n Serine (Or cysteine) peptidase inhibitor, clade A, member 3N, isoform CRA_a",9,11802.0,14691.0,16072.0,14741.0,14542.0,18872.0,81322.0,58488.0,118234.0,131182.0,3046.0,11597.0,10578.0,9857.0,8667.0,17866.0
19,Q03734,TP,6.318141319991776,4.2225123096301385,4.755876910424234,3.178426657506012,8.46768555959153,5.659086224665064,4.577259656164015,5.137009519387044,,,,,,0.8987696465400754,,,,,,,Serpina3m Serine protease inhibitor A3M,5,29182.0,43665.0,48337.0,43070.0,60147.0,70305.0,184376.0,138786.0,247104.0,221251.0,28092.0,33233.0,63188.0,50827.0,50477.0,82503.0
20,Q9Z0E6,,6.274592017100341,6.371498935592937,4.771652895959222,4.8453479150144005,8.730340773626013,8.86517510539717,6.623497800218502,17.75229503007281,,,,,,1.6537626628075253,,,,3.1719557577010544,4.4444665012406945,4.628695472400248,Gbp2 Guanylate-binding protein 1,8,12163.5,11978.5,16933.5,6318.0,10075.0,9674.0,76321.0,58040.0,106191.5,112159.0,8379.5,12948.5,15998.5,12240.5,30685.5,44778.0
21,Q64339,TP,5.733822057351469,6.620941696413395,4.351469116174998,5.024715281319055,6.340428663958075,7.321400645928948,6.464327936883248,10.98151487826871,,,,,,1.6534611039694598,,,3.3366950856033823,3.7504187604690116,4.507797878976918,5.06672899380624,Isg15 Ubiquitin-like protein ISG15,2,16983.0,14707.5,20723.5,12199.0,14427.0,12835.5,97377.5,73901.0,107679.5,133963.5,15551.0,29436.0,21223.0,20966.0,48138.5,65034.0
22,P02798,,5.531520882584712,7.151808456444218,7.531126871552403,9.73713703515028,13.070527974783294,16.899133978604176,10.900802334062728,18.0168776371308,,,,,,1.3817497648165569,,,,1.7951081843838195,5.131557869443332,4.8216368767638755,Mt2 Metallothionein-2,1,2538.0,1963.0,2742.0,1659.0,4994.0,5315.0,14039.0,19114.0,33173.0,29890.0,1250.0,3156.0,7344.0,4487.0,9541.0,25627.0
23,P48678,FP,5.096871694121203,4.54957507082153,5.636391113797794,5.031161473087819,9.461236209762733,8.445298799406448,3.2460239955357144,7.287034137175071,,,,,,3.83346819873766,,,,3.239035442628257,4.453328029700344,5.435669202136268,Lmna Prelamin-A/C,10,3308.5,3706.5,7168.0,3193.0,3771.0,3089.5,16863.0,18648.0,31302.5,23267.5,2620.0,7638.0,11843.5,17423.0,10007.0,16793.5
24,Q91X72,TP,5.003848466626579,6.8840172071475845,3.8489476849067947,5.295168762409,6.7743836440168375,9.31982131039047,8.642895156998403,18.18589025755879,,,,,,1.282366589327146,,,,2.122737819025522,2.9823993526198667,3.420417633410673,Hpx Hemopexin,11,8315.0,6044.0,7516.0,3572.0,4943.0,4310.0,41607.0,32004.0,56329.0,64960.0,3823.0,7352.0,5527.0,4364.0,9149.0,14742.0
25,P12246,TP,4.693122282911604,5.574947033898305,4.771764574740832,5.668365995762712,4.657618994537955,5.532772775423729,5.2563325563325565,3.6425263838035753,,,1.8578088578088578,,,0.861800364344494,,,3.714446366782007,2.697342797914442,6.592301038062284,4.787172561090521,Apcs Serum amyloid P-component,3,17942.0,15104.0,12870.0,18572.0,11560.0,15919.0,84204.0,85615.0,83567.0,67649.0,13715.0,23910.0,13719.0,18454.0,42939.0,76207.0
26,Q05144,,4.539023452518262,4.0,2.656093810073049,2.340674233440623,7.034986543637062,6.199559545993562,4.040852575488454,9.844610542879622,,,,,,1.063129452223041,,,3.2588790233074363,2.8850405305821667,3.6692563817980024,3.2483419307295507,Rac2 Ras-related C3 botulinum toxin substrate 2,3,5202.0,5903.0,6193.0,2542.0,3604.0,4071.0,23612.0,13817.0,36596.0,25025.0,6340.0,5440.0,4328.0,2359.0,11745.0,13224.0
27,Q9JM99,TP,4.503926983989988,3.846163767688679,3.08684676131705,2.636036998820755,3.8613904112544772,3.2974646226415096,4.167133580906465,8.022577138556736,,,,,,1.45625,,,4.905421877116157,4.557885906040268,11.98866868312943,11.139303691275169,Prg4 Proteoglycan 4,1,23173.0,27136.0,23023.5,11959.0,11075.5,11920.0,104369.5,71531.5,89480.0,95942.0,13228.0,18965.0,17358.5,14984.5,54330.0,132780.5
28,P14234,FP,4.449904740558108,4.573427781617139,2.6501737083940378,2.7237387698686937,8.648212484590385,8.88827459110804,6.324071898496241,8.095420708323934,,,,,,1.0652783620810546,,,3.8543134980818983,3.02923853596971,3.559728789365688,2.797714205581265,Fgr Tyrosine-protein kinase Fgr,2,8923.0,8682.0,8512.0,6649.5,5604.5,7131.0,39706.5,23647.5,77168.0,53830.5,11885.5,12067.0,7596.5,6985.5,21601.5,19950.5
