,uniprot,annotation,ratio_iWAT_HF_cre+_1/iWAT_HF_cre-_1,ratio_iWAT_HF_cre+_1/iWAT_HF_cre-_2,ratio_iWAT_HF_cre+_2/iWAT_HF_cre-_1,ratio_iWAT_HF_cre+_2/iWAT_HF_cre-_2,ratio_iWAT_HF_cre+_3/iWAT_HF_cre-_1,ratio_iWAT_HF_cre+_3/iWAT_HF_cre-_2,ratio_iWAT_chow_cre+_1/iWAT_chow_cre-_1,ratio_iWAT_chow_cre+_1/iWAT_chow_cre-_2,ratio_iWAT_chow_cre+_2/iWAT_chow_cre-_1,ratio_iWAT_chow_cre+_2/iWAT_chow_cre-_2,ratio_iWAT_chow_cre+_3/iWAT_chow_cre-_1,ratio_iWAT_chow_cre+_3/iWAT_chow_cre-_2,description,pep_num,iWAT_HF_cre-_1,iWAT_HF_cre-_2,iWAT_chow_cre-_1,iWAT_chow_cre-_2,iWAT_HF_cre+_1,iWAT_HF_cre+_2,iWAT_HF_cre+_3,iWAT_chow_cre+_1,iWAT_chow_cre+_2,iWAT_chow_cre+_3
0,Q9JMG3,FP,inf,,inf,3.962293388429752,inf,,32.47130833970926,24.154809334092203,22.981637337413925,17.095617529880478,14.562356541698547,10.832669322709163,Tmub1 Transmembrane and ubiquitin-like domain-containing protein 1,1,0.0,1936.0,1307.0,1757.0,7615.0,7671.0,8357.0,42440.0,30037.0,19033.0
1,Q91XL3,,inf,12.33529411764706,inf,7.771428571428571,inf,13.673109243697478,,inf,,inf,,inf,Uxs1 UDP-glucuronic acid decarboxylase 1,1,0.0,1190.0,1971.0,0.0,14679.0,9248.0,16271.0,6037.0,9320.0,3555.0
2,P54728,FP,inf,,inf,,inf,,,,,,,,Rad23b UV excision repair protein RAD23 homolog B,1,0.0,1664.0,1889.0,1467.0,5154.0,2544.0,4437.0,1471.0,2648.0,3239.0
3,P21956,TP,inf,,inf,3.0398809523809525,inf,,4.459346186085499,inf,,inf,,inf,Mfge8 Lactadherin,1,0.0,1680.0,1193.0,0.0,6919.0,5107.0,7000.0,5320.0,4691.0,1875.0
4,O89001,,inf,,inf,3.3234295415959254,inf,6.702037351443124,7.088414634146342,inf,9.634146341463415,inf,,inf,Cpd Carboxypeptidase D,3,0.0,1178.0,984.0,0.0,5492.0,3915.0,7895.0,6975.0,9480.0,2505.0
5,Q8VCH8,FP,inf,,inf,,inf,,inf,inf,inf,inf,inf,inf,Ubxn4 UBX domain-containing protein 4,1,0.0,1800.0,0.0,0.0,3635.0,2551.0,5734.0,2437.0,3812.0,3615.0
6,E9Q4X2,,inf,10.65930195325008,inf,12.70509125840538,inf,8.297470381043867,25.107291666666665,24.92554291623578,8.95,8.885211995863495,12.947916666666666,12.854188210961738,Uggt2 Protein Uggt2,2,0.0,1561.5,480.0,483.5,16644.5,19839.0,12956.5,12051.5,4296.0,6215.0
7,Q8BWG9,,inf,,inf,,inf,,,inf,,inf,,inf,Orai1 Calcium release-activated calcium channel protein 1,1,0.0,2011.0,1223.0,0.0,3737.0,2546.0,1868.0,2183.0,2422.0,1838.0
8,Q69ZQ1,FP,inf,9.012075471698113,inf,5.886792452830188,inf,10.16,inf,inf,inf,inf,inf,inf,Kiaa1161 Uncharacterized family 31 glucosidase KIAA1161,1,0.0,1325.0,0.0,0.0,11941.0,7800.0,13462.0,12952.0,19608.0,5730.0
9,Q99LG2,FP,inf,,inf,,inf,4.887056883759275,,inf,,inf,,inf,Tnpo2 Transportin-2,1,0.0,1213.0,1643.0,0.0,5081.0,3176.0,5928.0,3340.0,5799.0,2730.0
10,O08739,,inf,,inf,,inf,,,,,,,,Ampd3 AMP deaminase 3,1,0.0,1163.0,1850.0,1739.0,3905.0,3020.0,4286.0,2845.0,3611.0,1594.0
11,D3YXF5,TP,inf,,inf,,inf,,,inf,,inf,,inf,C7 Oxidation resistance protein 1,1,0.0,1797.0,1849.0,0.0,5453.0,2179.0,3991.0,3351.0,4846.0,3103.0
12,Q62433,FP,inf,,inf,,inf,,,,,,,,Ndrg1 Protein NDRG1,3,0.0,1708.0,1970.0,2013.0,1889.0,1895.0,2517.0,4326.0,4631.0,4362.0
13,Q8VIB3,,inf,,inf,,inf,,,inf,,inf,,inf,"St3gal6 Type 2 lactosamine alpha-2,3-sialyltransferase",1,0.0,1576.0,1743.0,0.0,1988.0,1758.0,1996.0,4681.0,7561.0,2848.0
