uniprot,description,pep_num,annotation,ratio_iWAT_HF_cre+_1/iWAT_HF_cre-_1,ratio_iWAT_HF_cre+_1/iWAT_HF_cre-_2,ratio_iWAT_HF_cre+_2/iWAT_HF_cre-_1,ratio_iWAT_HF_cre+_2/iWAT_HF_cre-_2,ratio_iWAT_HF_cre+_3/iWAT_HF_cre-_1,ratio_iWAT_HF_cre+_3/iWAT_HF_cre-_2,ratio_iWAT_chow_cre+_1/iWAT_chow_cre-_1,ratio_iWAT_chow_cre+_1/iWAT_chow_cre-_2,ratio_iWAT_chow_cre+_2/iWAT_chow_cre-_1,ratio_iWAT_chow_cre+_2/iWAT_chow_cre-_2,ratio_iWAT_chow_cre+_3/iWAT_chow_cre-_1,ratio_iWAT_chow_cre+_3/iWAT_chow_cre-_2,iWAT_HF_cre-_1,iWAT_HF_cre-_2,iWAT_chow_cre-_1,iWAT_chow_cre-_2,iWAT_HF_cre+_1,iWAT_HF_cre+_2,iWAT_HF_cre+_3,iWAT_chow_cre+_1,iWAT_chow_cre+_2,iWAT_chow_cre+_3,avg_SI(HF)/avg_SI(chow),avg_R(HF)/avg_R(chow)
Q9Z0F7,Sncg Gamma-synuclein,10,FP,6.835630203847258,8.308672134008027,3.449468848693655,4.192811027743849,8.188630490956072,9.953236782411446,3.022073144341052,4.318181818181818,5.672148885522614,8.104823747680891,1.4535814758710235,2.0769944341372915,3483.0,2865.5,2310.5,1617.0,23808.5,12014.5,28521.0,6982.5,13105.5,3358.5,2.582468765982319,1.6605313117713583
P27773,Pdia3 Protein disulfide-isomerase A3,30,TP,16.125874125874127,18.124181294210114,12.669230769230769,14.239193083573488,21.954312354312354,24.674875556719936,9.809108765038056,11.97976011994003,17.301006629020378,21.12953523238381,3.5958752762091826,4.391604197901049,2145.0,1908.5,4073.0,3335.0,34590.0,27175.5,47092.0,39952.5,70467.0,14646.0,0.8523289563573092,1.5803046706201593
O88492,Plin4 Perilipin-4,35,,5.030126849894292,7.580246913580247,1.9828224101479917,2.98805256869773,4.952827695560254,7.463759458383114,3.2282186142236453,3.8889807162534433,3.9560942144980564,4.765840220385675,2.533501029041848,3.0520661157024795,7568.0,5022.0,4373.0,3630.0,38068.0,15006.0,37483.0,14117.0,17300.0,11079.0,2.0425552981247157,1.4001519098040192
Q8CGN5,Plin1 Perilipin-1,25,TP,5.081095221485874,5.90016200891049,3.7129403557725844,4.311462130417173,7.337809557028253,8.520656136087485,6.366720779220779,6.479266479431687,8.44788961038961,8.597224516768545,2.7741883116883117,2.823228151329919,2867.0,2469.0,3080.0,3026.5,14567.5,10645.0,21037.5,19609.5,26019.5,8544.5,0.8557730590577306,0.9824057899012087
P20029,Hspa5 78 kDa glucose-regulated protein,29,TP,9.805358119190815,11.630350194552529,7.74412247129579,9.185473411154344,12.37752870420995,14.681258106355383,12.430037546933667,15.759441447159633,19.05281602002503,24.156140907648364,4.155444305381727,5.268486194858775,1829.0,1542.0,1997.5,1575.5,17934.0,14164.0,22638.5,24829.0,38058.0,8300.5,0.7772486807873141,0.8094800227099566
P09103,P4hb Protein disulfide-isomerase,18,TP,13.197962555066079,16.058626465661643,9.93034140969163,12.082747068676717,17.124449339207047,20.836180904522614,16.31333881128458,18.980242192479285,17.85127362366475,20.769598470363288,5.677896466721446,6.606118546845124,1816.0,1492.5,1825.5,1569.0,23967.5,18033.5,31098.0,29780.0,32587.5,10365.0,1.003684632259251,1.0351727785643532
P82347,Sgcd Delta-sarcoglycan,14,FP,19.591263650546022,21.852668213457076,14.431097243889756,16.096867749419953,21.205408216328653,23.653132250580047,13.11450062682825,16.252200932159504,16.124111993313832,19.981874676333504,5.529460927705808,6.852408078715691,1923.0,1724.0,2393.0,1931.0,37674.0,27751.0,40778.0,31383.0,38585.0,13232.0,1.2550843197294457,1.5006242598168
Q02819,Nucb1 Nucleobindin-1,21,TP,27.64927857935627,29.586698337292162,24.48945615982242,26.205463182897862,23.88235294117647,25.555819477434678,9.752679634775705,11.00179131213614,10.096466851925367,11.38961038961039,5.8658197697499,6.617107030900135,1802.0,1684.0,2519.0,2233.0,49824.0,44130.0,43036.0,24567.0,25433.0,14776.0,2.020423426533195,2.8757141009289326
P57759,Erp29 Endoplasmic reticulum resident protein 29,5,TP,16.22557210316019,21.140085186938002,12.744642208499819,16.604827259820162,20.528877588085724,26.746805489824894,8.745945945945946,12.332317073170731,9.972702702702703,14.062118902439025,2.5713513513513515,3.6257621951219514,2753.0,2113.0,3700.0,2624.0,44669.0,35086.0,56516.0,32360.0,36899.0,9514.0,1.6585426043221265,2.221601434027422
Q9CQ45,Nenf Neudesin,8,TP,17.899508465319496,22.114709851551957,12.808847624249044,15.82523616734143,16.320589841616602,20.163967611336034,16.29143492769744,20.187456926257752,14.560066740823137,18.042039972432804,7.485539488320356,9.27567195037905,1831.0,1482.0,1798.0,1451.0,32774.0,23453.0,29883.0,29292.0,26179.0,13459.0,1.2389060530071072,1.2247221914973507
P42932,Cct8 T-complex protein 1 subunit theta,21,FP,17.75452716297787,22.339240506329112,11.657444668008049,14.667721518987342,27.342555331991953,34.403164556962025,5.431026252983293,5.341784037558686,13.77183770883055,13.545539906103286,1.9522673031026252,1.92018779342723,1988.0,1580.0,2095.0,2130.0,35296.0,23175.0,54357.0,11378.0,28852.0,4090.0,2.3976928622927183,3.0542559900035497
Q91WU0,Ces1f Carboxylesterase 1F,17,TP,14.056229327453142,16.189206349206348,8.61521499448732,9.922539682539682,20.362734288864388,23.452698412698414,18.274930102516308,24.34388578522657,27.18918918918919,36.21849782743637,7.586672879776328,10.106145251396647,1814.0,1575.0,2146.0,1611.0,25498.0,15628.0,36938.0,39218.0,58348.0,16281.0,0.6926039930614605,0.7484572521105903
Q91YQ5,Rpn1 Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,17,TP,11.302648495757264,12.62015503875969,7.34430444844433,8.200401952339936,12.098997171509385,13.50933103646282,16.526789635485287,18.210258891846117,20.55467720685112,22.64843939027341,5.471453667105841,6.02879264456811,1944.5,1741.5,2277.0,2066.5,21978.0,14281.0,23526.5,37631.5,46803.0,12458.5,0.6269626073599937,0.7275887610349893
Q80UU9,Pgrmc2 Membrane-associated progesterone receptor component 2,8,TP,16.822038567493113,19.994760969220692,10.734435261707988,12.759004584151931,12.803856749311295,15.218729535036019,11.248178506375227,15.574401008827238,16.76183970856102,23.208701134930642,3.2349726775956285,4.479192938209332,1815.0,1527.0,2196.0,1586.0,30532.0,19483.0,23239.0,24701.0,36809.0,7104.0,1.0580142549312117,1.1855595665792187
Q8BQ47,Cnpy4 Protein canopy homolog 4,8,TP,17.88155241935484,19.731368186874306,16.340221774193548,18.030589543937708,14.897177419354838,16.43826473859844,6.663440059568131,6.728571428571429,5.858153387937453,5.915413533834586,3.6723752792256144,3.7082706766917295,1984.0,1798.0,2686.0,2660.0,35477.0,32419.0,29556.0,17898.0,15735.0,9864.0,2.0726409106729724,3.1745364046218203
Q8BSY0,Asph Aspartyl/asparaginyl beta-hydroxylase,20,TP,15.151062607696726,17.810938555030386,13.30844342331993,15.644834571235652,16.51751866743251,19.417285617825794,20.493165089379602,28.32703488372093,19.601472134595163,27.094476744186046,8.965299684542586,12.392441860465116,1741.0,1481.0,1902.0,1376.0,26378.0,23170.0,28757.0,38978.0,37282.0,17052.0,0.8440521793146288,0.8372279138672812
P55302,Lrpap1 Alpha-2-macroglobulin receptor-associated protein,11,TP,34.93407922588449,34.66156615661566,31.04838221953432,30.806180618061806,26.389476867251286,26.183618361836185,14.460850111856823,19.713995255845475,17.671389510315684,24.09081667231447,6.673129505344271,9.09725516773975,1653.5,1666.5,2011.5,1475.5,57763.5,51338.5,43635.0,29088.0,35546.0,13423.0,1.9137766113999806,2.006634478373908
