uniprot,description,pep_num,tag_126.127726,tag_127.124761,tag_127.131081,tag_128.128116,tag_128.134436,tag_129.131471,tag_129.13779,tag_130.134825,tag_130.141145,tag_131.13818,tag_131.1445,tag_132.141535,tag_132.147855,tag_133.14489,tag_133.15121,tag_134.148245
Q8BWT1,"Acaa2 3-ketoacyl-CoA thiolase, mitochondrial",35,36678.5,30948.0,40683.0,14958.5,14231.5,12992.0,10666.0,10621.5,18305.5,13276.0,33184.0,34873.0,13494.5,12409.0,8704.5,6658.5
E9QPD7,Pcx Pyruvate carboxylase,97,27279.0,31536.5,32276.0,19159.5,23517.0,32187.0,33525.0,25879.0,38986.5,40384.5,21927.5,36981.0,38488.5,31972.5,24189.5,25406.0
Q91ZA3,"Pcca Propionyl-CoA carboxylase alpha chain, mitochondrial",63,37450.5,29692.0,72133.0,10690.5,33932.0,28925.0,43875.5,33606.0,46231.0,48309.0,40737.5,58439.0,76645.5,56094.5,37565.0,40221.5
Q8C196,Cps1 Carbamoyl-phosphate synthase,109,31471.5,27621.5,34175.5,22349.0,21441.0,31095.5,27077.5,21482.0,33059.0,31673.0,26184.5,30480.0,38360.0,27818.0,14328.0,19985.5
P16460,Ass1 Argininosuccinate synthase,31,47282.5,35183.5,37115.5,24324.0,21807.0,31954.5,23203.0,20143.0,28650.5,32629.5,37185.5,46163.5,31634.5,22692.0,16508.0,19808.0
A2AFQ2,Hsd17b10 3-hydroxyacyl-CoA dehydrogenase type-2,21,27431.0,26574.5,27233.5,35916.5,20151.0,44778.0,30230.0,25235.0,36375.5,34118.0,28851.5,33410.0,47153.0,37372.0,19103.5,22173.0
P67778,Phb Prohibitin,16,40849.0,35261.0,59183.0,32629.0,28934.0,41055.0,36964.0,33923.0,47854.0,41908.0,30591.0,44765.0,68772.0,46737.0,22822.0,40253.0
P11352,Gpx1 Glutathione peroxidase 1,13,57487.5,65504.0,72795.5,31358.0,44518.5,62784.0,57666.5,38112.5,62336.5,71410.0,34687.0,71900.5,80323.5,69408.5,35927.5,37736.0
Q9WVD5,Slc25a15 Mitochondrial ornithine transporter 1,18,39580.0,28550.0,32786.0,21943.0,21188.0,30331.0,30973.0,25343.0,36610.0,35400.0,25230.0,33807.0,37601.0,26033.0,17771.0,25256.0
P68040,Rack1 Receptor of activated protein C kinase 1,22,15290.0,17226.0,22428.0,11037.0,13028.0,18901.0,21890.0,17243.0,31511.0,25266.0,13592.0,20060.0,26460.0,20756.0,14490.0,17556.0
Q8VBT2,Sds L-serine dehydratase/L-threonine deaminase,14,54032.5,22007.5,31969.0,15862.5,24823.5,38609.0,30661.5,19161.0,27340.0,33758.5,20162.0,23324.5,33294.0,20596.5,15942.0,21390.5
A8DUK4,Hbbt1 Protein Hbb-bs,11,59464.5,52873.0,69482.5,36994.0,28600.5,39548.5,43664.5,110845.0,43799.0,85949.5,35960.5,28763.0,126596.0,31127.5,31024.5,58722.5
P11679,"Krt8 Keratin, type II cytoskeletal 8",29,18945.0,19703.0,26862.0,7603.0,13537.0,22717.0,23972.0,22091.0,27203.0,40430.0,16871.0,94171.0,36393.0,23219.0,17545.0,24165.0
Q99LX0,Park7 Protein deglycase DJ-1,9,26011.5,29081.0,32652.5,15770.0,17552.5,18422.5,21462.0,17034.0,40573.5,32233.0,19525.0,29598.0,27883.5,29125.5,16983.0,16080.0
P13707,Gpd1 Glycerol-3-phosphate dehydrogenase,17,34200.0,47935.0,36089.0,61823.0,19131.0,58158.0,27827.0,26131.0,38452.0,38646.0,44947.0,50245.0,40508.0,34202.0,19139.0,19813.0
Q7TMM9,Tubb2a Tubulin beta-2A chain,8,46606.0,50705.0,39690.0,24472.0,19860.0,34037.0,30343.0,27872.0,39096.0,40455.0,54570.0,55580.0,32465.0,19347.0,19143.0,17041.0
P68372,Tubb4b Tubulin beta-4B chain,4,37367.0,36367.5,34372.5,29346.5,21434.5,35748.5,40345.0,28758.0,38429.0,37827.5,45159.0,54392.0,41633.0,30831.0,25176.0,27389.5
P62908,Rps3 40S ribosomal protein S3,20,33443.0,35675.0,54155.0,21799.0,27763.0,35950.0,44646.0,40229.0,60301.0,53893.0,27037.0,38952.0,52639.0,43473.0,31042.0,37750.0
P99024,Tubb5 Tubulin beta-5 chain,5,32746.0,50865.0,41458.0,31106.0,18999.0,36911.0,36366.0,29878.0,54732.0,51635.0,55541.0,57615.0,38531.0,27537.0,24552.0,24215.0
Q5SWU9,Acaca Acetyl-CoA carboxylase 1,139,34191.5,38442.0,33222.5,12944.5,16932.5,22575.5,25032.5,18791.5,23789.5,31439.0,38727.5,63641.0,24886.0,20666.5,20156.5,15851.5
P05784,"Krt18 Keratin, type I cytoskeletal 18",30,20161.0,24433.0,31401.0,10662.5,16006.0,27089.5,27315.5,25751.5,31454.5,46041.5,19495.5,94215.0,44608.5,25597.5,20014.5,24009.0
E9Q4Z2,Acacb Acetyl-CoA carboxylase 2,126,44321.5,41230.0,68703.5,10846.5,23494.5,30104.5,36181.5,22065.5,32747.5,38442.0,39140.0,68249.5,41504.5,30631.0,21199.0,23261.5
P68369,Tuba1a Tubulin alpha-1A chain,5,22527.0,18174.0,15102.0,30931.0,9513.0,19207.0,18952.0,17723.0,20869.0,24039.0,42679.0,39917.0,17309.0,11460.0,18362.0,18382.0
P17182,Eno1 Alpha-enolase,18,24947.0,25861.0,82702.0,8972.0,28421.0,20489.0,41760.0,36560.0,47824.0,40491.0,19185.0,22610.0,59273.0,45067.0,13688.0,37044.0
Q9DBM2,Ehhadh Peroxisomal bifunctional enzyme,44,44844.5,33862.5,31512.5,33089.0,14653.5,43662.5,17882.0,17621.0,24138.5,24631.5,29049.0,34603.0,90100.5,61446.0,11895.5,12866.0
