,uniprot,protein,description,pepNum_processed_census-out_07142022_EV1-98_16pl_M,ctrl_turbo(-)_1_processed_census-out_07142022_EV1-98_16pl_M,ctrl_turbo(-)_2_processed_census-out_07142022_EV1-98_16pl_M,LPS_turbo(-)_1_processed_census-out_07142022_EV1-98_16pl_M,LPS_turbo(-)_2_processed_census-out_07142022_EV1-98_16pl_M,fast_turbo(-)_1_processed_census-out_07142022_EV1-98_16pl_M,fast_turbo(-)_2_processed_census-out_07142022_EV1-98_16pl_M,ctrl_turbo(+)_1_processed_census-out_07142022_EV1-98_16pl_M,ctrl_turbo(+)_2_processed_census-out_07142022_EV1-98_16pl_M,ctrl_turbo(+)_3_processed_census-out_07142022_EV1-98_16pl_M,LPS_turbo(+)_1_processed_census-out_07142022_EV1-98_16pl_M,LPS_turbo(+)_2_processed_census-out_07142022_EV1-98_16pl_M,LPS_turbo(+)_3_processed_census-out_07142022_EV1-98_16pl_M,fast_turbo(+)_1_processed_census-out_07142022_EV1-98_16pl_M,fast_turbo(+)_2_processed_census-out_07142022_EV1-98_16pl_M,fast_turbo(+)_3_processed_census-out_07142022_EV1-98_16pl_M,fast_turbo(+)_4_processed_census-out_07142022_EV1-98_16pl_M,pepNum_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_HF_cre-_1_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_HF_cre-_2_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_chow_cre-_1_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_chow_cre-_2_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_HF_cre+_1_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_HF_cre+_2_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_HF_cre+_3_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_chow_cre+_1_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_chow_cre+_2_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_chow_cre+_3_processed_census-out_07232022_EV1-100B_10pl_M,pepNum_processed_census-out_07252022_EV1-100C_10pl_M,iWAT_chow_cre-_1_processed_census-out_07252022_EV1-100C_10pl_M,iWAT_chow_cre-_2_processed_census-out_07252022_EV1-100C_10pl_M,eWAT_chow_cre-_1_processed_census-out_07252022_EV1-100C_10pl_M,eWAT_chow_cre-_2_processed_census-out_07252022_EV1-100C_10pl_M,iWAT_chow_cre+_1_processed_census-out_07252022_EV1-100C_10pl_M,iWAT_chow_cre+_2_processed_census-out_07252022_EV1-100C_10pl_M,iWAT_chow_cre+_3_processed_census-out_07252022_EV1-100C_10pl_M,eWAT_chow_cre+_1_processed_census-out_07252022_EV1-100C_10pl_M,eWAT_chow_cre+_2_processed_census-out_07252022_EV1-100C_10pl_M,eWAT_chow_cre+_3_processed_census-out_07252022_EV1-100C_10pl_M,pepNum_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_HF_cre-_1_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_HF_cre-_2_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_chow_cre-_1_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_chow_cre-_2_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_HF_cre+_1_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_HF_cre+_2_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_HF_cre+_3_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_chow_cre+_1_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_chow_cre+_2_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_chow_cre+_3_processed_census-out_07302022_EV1-100A_10pl_M,pepNum_processed_census-out_08032022_EV1-100D_10pl_M,iWAT_HF_cre-_1_processed_census-out_08032022_EV1-100D_10pl_M,iWAT_HF_cre-_2_processed_census-out_08032022_EV1-100D_10pl_M,eWAT_HF_cre-_1_processed_census-out_08032022_EV1-100D_10pl_M,eWAT_HF_cre-_2_processed_census-out_08032022_EV1-100D_10pl_M,iWAT_HF_cre+_1_processed_census-out_08032022_EV1-100D_10pl_M,iWAT_HF_cre+_2_processed_census-out_08032022_EV1-100D_10pl_M,iWAT_HF_cre+_3_processed_census-out_08032022_EV1-100D_10pl_M,eWAT_HF_cre+_1_processed_census-out_08032022_EV1-100D_10pl_M,eWAT_HF_cre+_2_processed_census-out_08032022_EV1-100D_10pl_M,eWAT_HF_cre+_3_processed_census-out_08032022_EV1-100D_10pl_M
0,Q8BWT1,Acaa2,"Acaa2 3-ketoacyl-CoA thiolase, mitochondrial",35.0,36678.5,30948.0,40683.0,14958.5,14231.5,12992.0,10666.0,10621.5,18305.5,13276.0,33184.0,34873.0,13494.5,12409.0,8704.5,6658.5,18.0,3043.5,5157.0,1936.0,5496.5,9023.0,5581.5,4565.5,3558.0,5263.0,6397.5,14.0,4371.0,1484.0,2989.0,5730.0,4234.0,7935.0,5085.0,2895.0,4851.0,6247.0,17.0,5102.0,4236.0,4142.0,2222.0,13249.0,3321.0,6032.0,3968.0,5353.0,4317.0,21.0,5836.5,4628.0,3098.5,5885.0,14903.5,3838.0,6043.5,8243.0,5667.5,4243.0
1,E9QPD7,Pcx,Pcx Pyruvate carboxylase,97.0,27279.0,31536.5,32276.0,19159.5,23517.0,32187.0,33525.0,25879.0,38986.5,40384.5,21927.5,36981.0,38488.5,31972.5,24189.5,25406.0,67.0,6715.5,7686.0,5200.0,10528.5,10902.0,16186.5,7175.5,8709.0,13863.0,10300.5,67.0,11327.0,4679.5,6976.0,9812.5,6697.0,11922.5,7115.5,8405.0,13456.5,10356.0,66.0,10465.0,8326.0,9912.0,4796.0,11582.0,9834.0,10000.0,6014.0,8387.0,6223.0,71.0,13904.5,10284.0,8139.0,10453.0,14398.5,13910.5,13894.5,12933.0,15390.0,7871.5
2,Q91ZA3,Pcca,"Pcca Propionyl-CoA carboxylase alpha chain, mitochondrial",63.0,37450.5,29692.0,72133.0,10690.5,33932.0,28925.0,43875.5,33606.0,46231.0,48309.0,40737.5,58439.0,76645.5,56094.5,37565.0,40221.5,41.0,6056.0,7113.0,6219.0,13411.0,10128.0,14103.0,7087.0,10584.0,16421.0,12414.0,40.0,9594.0,7927.0,7190.0,11262.0,9136.0,12881.0,6612.0,10247.0,14404.0,11702.0,40.0,12106.0,10299.0,12366.0,10137.0,12389.0,11699.0,11357.0,10398.0,12085.0,7863.0,39.0,15753.0,12074.0,8250.5,10638.0,13319.5,15650.0,14955.5,13607.5,15307.0,8764.0
3,Q8C196,Cps1,Cps1 Carbamoyl-phosphate synthase,109.0,31471.5,27621.5,34175.5,22349.0,21441.0,31095.5,27077.5,21482.0,33059.0,31673.0,26184.5,30480.0,38360.0,27818.0,14328.0,19985.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P16460,Ass1,Ass1 Argininosuccinate synthase,31.0,47282.5,35183.5,37115.5,24324.0,21807.0,31954.5,23203.0,20143.0,28650.5,32629.5,37185.5,46163.5,31634.5,22692.0,16508.0,19808.0,3.0,1524.0,4429.0,1535.0,5300.0,2009.0,5237.0,1365.0,2761.0,3765.0,2956.0,1.0,2731.0,1895.0,2517.0,4562.0,6379.0,4181.0,2569.0,3888.0,4115.0,7843.0,1.0,6001.0,8518.0,9556.0,3497.0,17081.0,18097.0,10630.0,16189.0,8380.0,6935.0,3.0,3189.0,5146.0,5968.0,19658.0,7876.0,13524.0,7528.0,8263.0,11409.0,5867.0
5,A2AFQ2,Hsd17b10,Hsd17b10 3-hydroxyacyl-CoA dehydrogenase type-2,21.0,27431.0,26574.5,27233.5,35916.5,20151.0,44778.0,30230.0,25235.0,36375.5,34118.0,28851.5,33410.0,47153.0,37372.0,19103.5,22173.0,11.0,2235.0,3659.0,2373.0,6032.0,6795.0,10927.0,4918.0,5465.0,11161.0,9806.0,10.0,4269.0,1796.0,2901.0,4066.0,5664.0,8163.0,5227.0,5693.0,8901.0,7805.0,10.0,5836.0,4341.0,4401.0,3063.0,11462.0,7635.0,7316.0,4940.0,6876.0,5092.0,13.0,7270.0,4618.0,3452.0,4989.0,13406.0,9251.0,12140.0,7274.0,9712.0,5484.0
6,P67778,Phb,Phb Prohibitin,16.0,40849.0,35261.0,59183.0,32629.0,28934.0,41055.0,36964.0,33923.0,47854.0,41908.0,30591.0,44765.0,68772.0,46737.0,22822.0,40253.0,15.0,2130.0,3473.0,2149.0,5321.0,8534.0,11622.0,5717.0,5488.0,7627.0,8457.0,14.0,6037.0,3485.0,3841.0,6364.0,7187.0,12356.0,8693.0,6307.0,10885.0,11052.0,14.0,10335.0,7192.0,7539.0,5019.0,30880.0,9491.0,15190.0,6418.0,10023.0,7391.0,16.0,10283.5,7349.5,4120.5,7685.5,27941.0,9329.5,15260.0,11261.5,10138.0,6268.5
7,P11352,Gpx1,Gpx1 Glutathione peroxidase 1,13.0,57487.5,65504.0,72795.5,31358.0,44518.5,62784.0,57666.5,38112.5,62336.5,71410.0,34687.0,71900.5,80323.5,69408.5,35927.5,37736.0,6.0,2697.0,2205.0,3280.0,4509.0,8515.0,8116.5,4966.0,7802.5,9288.5,13678.5,5.0,6678.0,3817.0,8465.0,6146.0,10409.0,15826.0,4054.0,11173.0,12410.0,19809.0,3.0,7468.0,7413.0,16171.0,7746.0,18455.0,11666.0,18586.0,15336.0,21561.0,10894.0,5.0,13482.0,11563.0,9179.0,13290.0,25092.0,22073.0,29357.0,23416.0,25191.0,8187.0
8,Q9WVD5,Slc25a15,Slc25a15 Mitochondrial ornithine transporter 1,18.0,39580.0,28550.0,32786.0,21943.0,21188.0,30331.0,30973.0,25343.0,36610.0,35400.0,25230.0,33807.0,37601.0,26033.0,17771.0,25256.0,1.0,1109.0,1554.0,566.0,1132.0,1307.0,1841.0,919.0,812.0,1582.0,1310.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2186.5,1939.5,1859.0,3253.5,4367.5,2461.0,3431.5,2497.5,3746.0,1846.0
9,P68040,Rack1,Rack1 Receptor of activated protein C kinase 1,22.0,15290.0,17226.0,22428.0,11037.0,13028.0,18901.0,21890.0,17243.0,31511.0,25266.0,13592.0,20060.0,26460.0,20756.0,14490.0,17556.0,6.0,3826.5,6334.5,2327.0,8544.5,10577.0,13127.5,8112.5,6912.0,12584.0,11556.5,4.0,10476.0,6916.0,4417.0,10910.0,11464.0,14783.0,5917.0,8905.0,16802.0,14013.0,5.0,11367.0,11983.0,14189.0,8392.0,24312.0,16916.0,17174.0,12216.0,15074.0,8380.0,7.0,8192.0,8338.5,4274.5,6873.5,15004.0,11740.0,12007.5,8745.5,11658.0,6795.5
