,uniprot,protein,iWAT_HF_cre-,iWAT_HF_cre+,iWAT_chow_cre-,iWAT_chow_cre+,eWAT_HF_cre-,eWAT_HF_cre+,eWAT_chow_cre-,eWAT_chow_cre+,ctrl_turbo(-),LPS_turbo(-),fast_turbo(-),ctrl_turbo(+),LPS_turbo(+),fast_turbo(+),description
0,Q8BWT1,Acaa2,4865.0,6037.75,3182.0,4701.0,4127.75,5624.5,4242.75,5057.0,33813.25,27820.75,13611.75,10666.0,33184.0,10556.75,"Acaa2 3-ketoacyl-CoA thiolase, mitochondrial"
1,E9QPD7,Pcx,10374.5,12738.25,7354.0,6906.25,7912.5,11917.5,8394.25,10328.25,29407.75,25717.75,27852.0,33525.0,36981.0,28689.25,Pcx Pyruvate carboxylase
2,Q91ZA3,Pcca,12090.0,12854.25,9865.5,9767.0,7681.75,11867.75,9226.0,12058.0,33571.25,41411.75,31428.5,43875.5,48309.0,48158.0,"Pcca Propionyl-CoA carboxylase alpha chain, mitochondrial"
3,Q8C196,Cps1,,,,,,,,,29546.5,28262.25,26268.25,27077.5,30480.0,23901.75,Cps1 Carbamoyl-phosphate synthase
4,P16460,Ass1,5573.5,12077.0,3114.0,6657.0,5198.5,5552.0,3539.5,3826.5,41233.0,30719.75,26880.75,23203.0,37185.5,21250.0,Ass1 Argininosuccinate synthase
5,A2AFQ2,Hsd17b10,5227.0,10356.5,3666.0,5445.5,3555.5,7034.5,3483.5,8353.0,27002.75,31575.0,32464.5,30230.0,33410.0,29772.5,Hsd17b10 3-hydroxyacyl-CoA dehydrogenase type-2
6,P67778,Phb,8816.5,15225.0,5528.0,8042.0,3796.75,9336.0,4581.0,8042.0,38055.0,45906.0,34994.5,36964.0,41908.0,43495.0,Phb Prohibitin
7,P11352,Gpx1,9515.5,20329.5,7212.0,13115.0,5938.0,8351.0,5327.5,11791.5,61495.75,52076.75,53651.25,57666.5,71410.0,53572.25,Gpx1 Glutathione peroxidase 1
8,Q9WVD5,Slc25a15,2063.0,3431.5,,,1706.5,1843.5,849.0,1310.0,34065.0,27364.5,25759.5,30973.0,33807.0,25644.5,Slc25a15 Mitochondrial ornithine transporter 1
9,P68040,Rack1,9852.75,15960.0,9434.0,11840.0,5304.5,9661.25,6480.75,12070.25,16258.0,16732.5,15964.5,21890.0,20060.0,19156.0,Rack1 Receptor of activated protein C kinase 1
10,Q8VBT2,Sds,,,,,,,,,38020.0,23915.75,31716.25,27340.0,23324.5,20993.5,Sds L-serine dehydratase/L-threonine deaminase
11,A8DUK4,Hbbt1,2745.0,10799.0,6335.25,11267.75,1904.25,6588.0,3575.25,9808.25,56168.75,53238.25,34074.5,43799.0,35960.5,44925.0,Hbbt1 Protein Hbb-bs
12,P11679,Krt8,2208.25,2427.5,1019.5,1388.0,5219.0,7593.75,12804.5,16901.0,19324.0,17232.5,18127.0,23972.0,40430.0,23692.0,"Krt8 Keratin, type II cytoskeletal 8"
13,Q99LX0,Park7,30836.75,56672.75,18802.25,32448.75,15829.25,31024.75,21098.75,42741.0,27546.25,24211.25,17987.5,21462.0,29598.0,22433.25,Park7 Protein deglycase DJ-1
14,P13707,Gpd1,6137.5,21327.0,4994.25,8784.75,3205.5,9407.5,2935.75,7182.5,41067.5,48956.0,38644.5,27827.0,44947.0,27007.5,Gpd1 Glycerol-3-phosphate dehydrogenase
15,Q7TMM9,Tubb2a,6464.5,10930.0,4488.0,6514.5,4283.5,11767.0,4808.0,6949.0,48655.5,32081.0,26948.5,30343.0,54570.0,19245.0,Tubb2a Tubulin beta-2A chain
16,P68372,Tubb4b,10258.0,22815.0,7590.0,10956.0,6258.0,11369.5,10159.75,12039.75,36867.25,31859.5,28591.5,38429.0,45159.0,29110.25,Tubb4b Tubulin beta-4B chain
17,P62908,Rps3,10181.0,20653.0,4933.5,5458.5,9294.5,14223.5,5229.0,10051.5,34559.0,37977.0,31856.5,44646.0,38952.0,40611.5,Rps3 40S ribosomal protein S3
18,P99024,Tubb5,5499.0,9762.5,3584.5,5112.5,4880.0,9810.5,4019.25,5393.25,41805.5,36282.0,27955.0,36366.0,55541.0,26044.5,Tubb5 Tubulin beta-5 chain
19,Q5SWU9,Acaca,9073.5,10291.75,10461.5,7420.5,6264.5,9969.0,9188.0,10119.5,36316.75,23083.5,19754.0,23789.5,38727.5,20411.5,Acaca Acetyl-CoA carboxylase 1
20,P05784,Krt18,2113.25,3870.5,1587.5,2880.0,1515.5,3735.25,3371.75,6187.5,22297.0,21031.75,21547.75,27315.5,46041.5,24803.25,"Krt18 Keratin, type I cytoskeletal 18"
21,E9Q4Z2,Acacb,9052.5,11896.25,10648.0,8992.0,6392.0,10175.0,8504.25,11576.5,42775.75,39775.0,26799.5,32747.5,39140.0,26946.25,Acacb Acetyl-CoA carboxylase 2
22,P68369,Tuba1a,3165.25,9587.75,2066.25,6215.25,2209.25,9717.25,3328.75,8862.75,20350.5,23016.5,14360.0,18952.0,39917.0,17835.5,Tuba1a Tubulin alpha-1A chain
23,P17182,Eno1,10850.0,17356.5,6838.0,8138.75,6836.75,13312.25,6544.0,11462.25,25404.0,45837.0,24455.0,41760.0,22610.0,41055.5,Eno1 Alpha-enolase
24,Q9DBM2,Ehhadh,4625.25,8239.75,2789.0,3721.0,3396.5,8676.25,2936.5,6346.0,39353.5,32300.75,29158.0,17882.0,29049.0,37156.0,Ehhadh Peroxisomal bifunctional enzyme
25,P11983,Tcp1,5989.0,9465.5,3974.0,3985.0,3594.75,7492.0,4062.5,5962.75,25838.5,29577.0,16669.5,26725.0,32129.0,24560.0,Tcp1 T-complex protein 1 subunit alpha
26,Q9D819,Ppa1,11058.75,16018.5,11586.0,15163.0,5424.5,9014.25,7227.0,12085.0,70894.0,67172.5,65260.5,94389.0,74417.0,71380.0,Ppa1 Inorganic pyrophosphatase
27,Q91V41,Rab14,9694.0,15450.0,7776.25,8831.0,5238.0,11042.0,4419.0,10911.0,31949.5,30472.5,35668.0,48029.0,46062.0,32975.0,Rab14 Ras-related protein Rab-14
28,P85094,Isoc2a,4236.5,5572.5,1524.5,3062.0,3425.75,5980.25,1733.0,4182.5,35620.0,32022.5,27464.0,31543.0,31765.0,30140.0,Isoc2a Isochorismatase domain-containing protein 2A
29,Q91WU0,Ces1f,1694.5,30719.75,1412.5,35447.0,1332.5,8483.0,1346.75,33577.5,126249.0,87284.0,51628.5,22405.0,6923.0,3185.5,Ces1f Carboxylesterase 1F
30,P56480,Atp5b,7441.75,11064.5,3605.0,6012.5,3976.25,7917.5,3071.0,6010.5,44557.75,39662.0,38590.0,39011.5,41174.5,34331.0,"Atp5b ATP synthase subunit beta, mitochondrial"
31,Q3ULD5,Mccc2,14476.0,6607.0,9872.5,8319.0,4255.75,4890.5,4891.25,10670.0,23947.0,23237.0,24735.0,33159.0,35884.0,33162.0,"Mccc2 Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial"
32,P68368,Tuba4a,18689.5,25355.5,14248.25,34622.0,9473.0,20307.75,8713.25,12493.0,32228.75,28588.0,18661.25,23324.0,38108.0,19206.0,Tuba4a Tubulin alpha-4A chain
33,Q99MR8,Mccc1,11233.5,14299.5,9905.5,10051.5,6620.0,10362.0,7250.0,11409.0,25393.0,22736.75,25722.0,32365.5,39208.0,27779.5,"Mccc1 Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial"
34,Q99L04,Dhrs1,4344.25,8729.5,3412.75,4896.5,3249.5,6519.0,4496.0,8398.5,24077.0,24355.75,19940.75,23885.5,30705.5,23448.75,Dhrs1 Dehydrogenase/reductase SDR family member 1
35,Q8K0E8,Fgb,2952.75,8985.5,3133.25,18931.0,1831.0,6967.25,4805.25,19960.5,35156.75,29776.5,23250.25,45944.5,8993.5,5537.0,Fgb Fibrinogen beta chain
36,O35490,Bhmt,,,,,,,,,33149.0,21744.0,22737.25,17540.5,9439.5,9534.0,Bhmt Betaine--homocysteine S-methyltransferase 1
37,O35129,Phb2,13187.0,13892.0,7636.0,7429.5,6849.75,12110.5,6800.75,11226.75,50530.25,56103.25,47826.5,54050.5,61251.0,56887.25,Phb2 Prohibitin-2
38,Q99MN9,Pccb,12573.5,6255.25,10942.0,10548.25,3960.5,8279.75,5253.25,12814.0,28293.75,34843.25,26730.75,29887.5,37492.5,45240.0,"Pccb Propionyl-CoA carboxylase beta chain, mitochondrial"
39,O70475,Ugdh,6128.5,8867.0,8361.5,13883.75,3700.5,8029.5,2376.5,4988.5,25594.0,23819.5,20512.5,34629.0,30423.5,26841.0,Ugdh UDP-glucose 6-dehydrogenase
40,Q7TNG8,Ldhd,6753.5,12199.25,4009.5,9583.0,5776.5,10006.25,4278.0,8304.75,34443.5,29515.0,28052.5,40929.5,48365.0,31159.5,"Ldhd Probable D-lactate dehydrogenase, mitochondrial"
41,P56593,Cyp2a12,,,,,,,,,38730.5,38209.5,30978.0,41190.0,50934.0,34996.0,Cyp2a12 Cytochrome P450 2A12
42,Q9Z2Z6,Slc25a20,13176.5,21369.75,8849.25,8198.25,8803.75,13474.5,11986.25,14601.75,22777.5,24423.0,27148.0,29419.0,32738.0,25082.5,Slc25a20 Mitochondrial carnitine/acylcarnitine carrier protein
43,P16331,Pah,,,,,,,,,29875.75,31324.5,29571.0,24403.0,27314.5,28439.25,Pah Phenylalanine-4-hydroxylase
44,P35278,Rab5c,3190.0,4425.5,2362.75,3241.5,1899.5,3551.5,1334.0,2526.5,17943.0,17357.0,13731.0,25886.0,23262.0,17546.0,Rab5c Ras-related protein Rab-5C
45,Q03265,Atp5a1,12831.5,17603.0,9130.25,10048.5,8548.25,13032.0,9230.0,12996.5,35562.25,35700.5,30687.75,31972.5,37654.0,29895.5,"Atp5a1 ATP synthase subunit alpha, mitochondrial"
46,P54869,Hmgcs2,5266.75,10705.75,6693.25,11279.5,5190.0,8257.5,5406.0,12763.75,30757.25,36097.75,37913.0,30470.5,34318.0,30900.0,"Hmgcs2 Hydroxymethylglutaryl-CoA synthase, mitochondrial"
47,S4R1W1,Gm3839,27481.25,44762.75,16852.0,25245.0,17111.0,33502.5,17294.5,24403.5,14934.25,15104.75,15877.5,25817.0,17008.5,26510.25,Gm3839 Glyceraldehyde-3-phosphate dehydrogenase
48,P62264,Rps14,4189.75,7160.5,3316.0,4472.0,2393.5,6334.5,3172.5,4955.75,18792.5,17861.0,17253.75,23320.5,22511.5,18346.5,Rps14 40S ribosomal protein S14
49,Q8BFR5,Tufm,8855.5,12087.25,7187.0,8065.0,6983.0,13571.5,6878.0,10573.0,31627.5,26830.5,20814.5,20233.0,31478.0,16008.5,"Tufm Elongation factor Tu, mitochondrial"
50,P51410,Rpl9,3321.25,8046.0,2633.25,4348.5,5644.5,7321.0,3228.0,4853.75,45974.0,53361.5,38287.0,59454.0,41959.0,45715.0,Rpl9 60S ribosomal protein L9
