,uniprot,protein,iWAT_HF_cre-,iWAT_HF_cre+,iWAT_chow_cre-,iWAT_chow_cre+,eWAT_HF_cre-,eWAT_HF_cre+,eWAT_chow_cre-,eWAT_chow_cre+,ctrl_turbo(-),LPS_turbo(-),fast_turbo(-),ctrl_turbo(+),LPS_turbo(+),fast_turbo(+),description
0,Q8BWT1,Acaa2,100.0,122.34867426664954,69.70225147277526,129.63917028919968,93.35134685813944,123.73635753917443,118.07678511615198,142.19254923480275,100.0,82.27765742719201,40.25566900549341,31.54384745624866,98.139043126585,31.22074926249325,"Acaa2 3-ketoacyl-CoA thiolase, mitochondrial"
1,E9QPD7,Pcx,100.0,114.95131984207372,81.98365455356735,86.29306844094587,89.8453101280738,117.09283337123013,104.88551525942586,136.22251575077337,100.0,87.45228723720788,94.70972787785533,114.00056107658696,125.75256522515323,97.55676649862707,Pcx Pyruvate carboxylase
2,Q91ZA3,Pcca,100.0,105.96058784057814,100.00151366165619,98.55242615674084,84.21584526067483,108.82350579109759,111.50169561667076,162.58048676638964,100.0,123.35480507875042,93.61730647503444,130.69367390252074,143.8999143612466,143.45012473470604,"Pcca Propionyl-CoA carboxylase alpha chain, mitochondrial"
3,Q8C196,Cps1,,,,,,,,,100.0,95.65346149290102,88.90477721557545,91.64368030054321,103.15942666644102,80.89536831773646,Cps1 Carbamoyl-phosphate synthase
4,P16460,Ass1,100.0,212.13894475736714,100.0,148.0979319345014,146.00114211997177,158.3623728807069,143.44059813110175,147.2921150830664,100.0,74.50282540683433,65.19232168408799,56.2728882206,90.1838333373754,51.536390754977816,Ass1 Argininosuccinate synthase
5,A2AFQ2,Hsd17b10,100.0,179.9377523553163,73.34184926795716,153.74713247408746,79.88660765949906,165.1366149666997,114.87221764220939,275.4492992580379,100.0,116.93253464924868,120.22664358259807,111.95156048920943,123.7281388006777,110.25728860949349,Hsd17b10 3-hydroxyacyl-CoA dehydrogenase type-2
6,P67778,Phb,100.0,173.20856498315206,79.61309000053652,132.66389658937348,81.60123901266161,165.90067092554455,107.17286284394035,230.38227263180005,100.0,120.63066614111153,91.95769281303376,97.13309683353042,110.12481934042833,114.29509919852845,Phb Prohibitin
7,P11352,Gpx1,100.0,217.40467159113595,115.68325357347422,202.2381523881744,98.04612407580674,201.88854024404378,147.56892063967823,347.9167490338019,100.0,84.68349438782354,87.24383392348253,93.77314692478748,116.1218458186135,87.11536976132497,Gpx1 Glutathione peroxidase 1
8,Q9WVD5,Slc25a15,100.0,166.335433834222,,,103.41098251491827,109.61076539621524,63.76267367630492,98.38527975966954,100.0,80.33025099075297,75.6186701893439,90.92323499192719,99.24262439453985,75.28108028768531,Slc25a15 Mitochondrial ornithine transporter 1
9,P68040,Rack1,100.0,146.18877738619165,100.0,116.87366167023555,79.23940944728349,150.36376528984644,88.12672493100276,177.17916283348666,100.0,102.91856316890147,98.19473489974166,134.64140730717185,123.38541025956454,117.82507073440767,Rack1 Receptor of activated protein C kinase 1
