,uniprot,protein,description,pepNum_processed_census-out_07142022_EV1-98_16pl_M,ctrl_turbo(-)_1_processed_census-out_07142022_EV1-98_16pl_M,ctrl_turbo(-)_2_processed_census-out_07142022_EV1-98_16pl_M,LPS_turbo(-)_1_processed_census-out_07142022_EV1-98_16pl_M,LPS_turbo(-)_2_processed_census-out_07142022_EV1-98_16pl_M,fast_turbo(-)_1_processed_census-out_07142022_EV1-98_16pl_M,fast_turbo(-)_2_processed_census-out_07142022_EV1-98_16pl_M,ctrl_turbo(+)_1_processed_census-out_07142022_EV1-98_16pl_M,ctrl_turbo(+)_2_processed_census-out_07142022_EV1-98_16pl_M,ctrl_turbo(+)_3_processed_census-out_07142022_EV1-98_16pl_M,LPS_turbo(+)_1_processed_census-out_07142022_EV1-98_16pl_M,LPS_turbo(+)_2_processed_census-out_07142022_EV1-98_16pl_M,LPS_turbo(+)_3_processed_census-out_07142022_EV1-98_16pl_M,fast_turbo(+)_1_processed_census-out_07142022_EV1-98_16pl_M,fast_turbo(+)_2_processed_census-out_07142022_EV1-98_16pl_M,fast_turbo(+)_3_processed_census-out_07142022_EV1-98_16pl_M,fast_turbo(+)_4_processed_census-out_07142022_EV1-98_16pl_M,pepNum_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_HF_cre-_1_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_HF_cre-_2_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_chow_cre-_1_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_chow_cre-_2_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_HF_cre+_1_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_HF_cre+_2_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_HF_cre+_3_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_chow_cre+_1_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_chow_cre+_2_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_chow_cre+_3_processed_census-out_07232022_EV1-100B_10pl_M,pepNum_processed_census-out_07252022_EV1-100C_10pl_M,iWAT_chow_cre-_1_processed_census-out_07252022_EV1-100C_10pl_M,iWAT_chow_cre-_2_processed_census-out_07252022_EV1-100C_10pl_M,eWAT_chow_cre-_1_processed_census-out_07252022_EV1-100C_10pl_M,eWAT_chow_cre-_2_processed_census-out_07252022_EV1-100C_10pl_M,iWAT_chow_cre+_1_processed_census-out_07252022_EV1-100C_10pl_M,iWAT_chow_cre+_2_processed_census-out_07252022_EV1-100C_10pl_M,iWAT_chow_cre+_3_processed_census-out_07252022_EV1-100C_10pl_M,eWAT_chow_cre+_1_processed_census-out_07252022_EV1-100C_10pl_M,eWAT_chow_cre+_2_processed_census-out_07252022_EV1-100C_10pl_M,eWAT_chow_cre+_3_processed_census-out_07252022_EV1-100C_10pl_M,pepNum_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_HF_cre-_1_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_HF_cre-_2_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_chow_cre-_1_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_chow_cre-_2_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_HF_cre+_1_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_HF_cre+_2_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_HF_cre+_3_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_chow_cre+_1_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_chow_cre+_2_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_chow_cre+_3_processed_census-out_07302022_EV1-100A_10pl_M,pepNum_processed_census-out_08032022_EV1-100D_10pl_M,iWAT_HF_cre-_1_processed_census-out_08032022_EV1-100D_10pl_M,iWAT_HF_cre-_2_processed_census-out_08032022_EV1-100D_10pl_M,eWAT_HF_cre-_1_processed_census-out_08032022_EV1-100D_10pl_M,eWAT_HF_cre-_2_processed_census-out_08032022_EV1-100D_10pl_M,iWAT_HF_cre+_1_processed_census-out_08032022_EV1-100D_10pl_M,iWAT_HF_cre+_2_processed_census-out_08032022_EV1-100D_10pl_M,iWAT_HF_cre+_3_processed_census-out_08032022_EV1-100D_10pl_M,eWAT_HF_cre+_1_processed_census-out_08032022_EV1-100D_10pl_M,eWAT_HF_cre+_2_processed_census-out_08032022_EV1-100D_10pl_M,eWAT_HF_cre+_3_processed_census-out_08032022_EV1-100D_10pl_M
0,Q8BWT1,Acaa2,"Acaa2 3-ketoacyl-CoA thiolase, mitochondrial",35.0,108.4737491959513,91.5262508040487,120.31673973959913,44.23857511478489,42.08853038379925,38.42280762718757,31.54384745624866,31.412242242316253,54.137061654824656,39.26271505992474,98.139043126585,103.13412641494088,39.90891144743555,36.69863145364613,25.742867071340374,19.69198465098741,18.0,74.2271812694348,125.7728187305652,47.21663313212609,134.05280165843547,220.05975245411867,136.1258459850009,111.34686909334796,86.77519663435156,128.35802694957624,156.02707152002927,14.0,149.30828351836038,50.691716481639624,102.10076857386849,195.73014517506405,144.62852263023058,271.0503842869342,173.69769427839455,98.88983774551664,165.70452604611444,213.39026473099915,17.0,109.27393446134074,90.72606553865924,88.7127864639109,47.59049046905119,283.76526022702933,71.12872135360891,129.19254658385094,84.98607838937674,114.64981794816877,92.46091240094239,21.0,111.54856897128387,88.45143102871613,59.219265134502365,112.47551244684408,284.83921830952266,73.35276410721964,115.50480194944814,157.54216637201966,108.3186009842802,81.09321993406279
1,E9QPD7,Pcx,Pcx Pyruvate carboxylase,97.0,92.76126191225103,107.23873808774897,109.75338133655244,65.15119313786332,79.96871572969711,109.45074002601356,114.00056107658696,88.0006120835494,132.5721961047683,137.32604500514321,74.56367794203909,125.75256522515323,130.87876495141586,108.72134046297319,82.25552787955556,86.39219253428094,67.0,93.26111863347568,106.73888136652432,72.21469985765371,146.21393604832832,151.4008957400271,224.78908447036767,99.64934208242197,120.94573481928965,192.52161233204873,143.0475992084158,67.0,141.5300034361041,58.46999656389592,87.16458938556212,122.60644113328961,83.67850560709712,148.97073064067723,88.90763127479462,105.01983569175022,168.13794396026614,129.39743229313092,66.0,111.38310893512853,88.61689106487148,105.49731254323878,51.04571337342345,123.27177904315896,104.66712788036827,106.43393113724655,64.00936618594008,89.26613804480868,66.23383534670853,71.0,114.96785662608264,85.03214337391736,67.29644252434008,86.42950162267194,119.05244227628833,115.01746697810944,114.88517270603799,106.93511379374496,127.2505529487153,65.08464766314572
2,Q91ZA3,Pcca,"Pcca Propionyl-CoA carboxylase alpha chain, mitochondrial",63.0,111.55527423018208,88.44472576981792,214.8653982202033,31.84421193729754,101.07458018393716,86.16003276613174,130.69367390252074,100.1035111888893,137.71009420262874,143.8999143612466,121.34639014037309,174.07454294969654,228.30695907956957,167.0908887813233,111.89633987414827,119.80936068808876,41.0,91.97357430328803,108.02642569671197,94.44908497228339,203.67529804844713,153.81577948211708,214.18482800516364,107.6315589642342,160.7411344824968,249.38871592376034,188.53367757612577,40.0,109.5142971291593,90.4857028708407,82.07294104217796,128.55430626105814,104.2862850293933,147.03498658752355,75.47514411277895,116.96820957707894,164.41983905028252,133.57685063637922,40.0,108.06516402588709,91.93483597411291,110.38607453693372,90.48873019415309,110.59138585137246,104.43204641821022,101.37915643829503,92.81856728408837,107.87770586922562,70.18968980138361,39.0,113.22097243684193,86.77902756315808,59.2985230172135,76.4581162180616,95.73076508427067,112.48068422754878,107.48912926294607,97.80069716462428,110.01545261796097,62.98918316742732
3,Q8C196,Cps1,Cps1 Carbamoyl-phosphate synthase,109.0,106.51515407916334,93.48484592083665,115.6668302506219,75.64009273518015,72.56697070719036,105.24258372396054,91.64368030054321,72.70573502783748,111.88804088470717,107.19712994770954,88.62132570693653,103.15942666644102,129.82925219569154,94.14989931125514,48.49305332272858,67.64083732421776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P16460,Ass1,Ass1 Argininosuccinate synthase,31.0,114.67150098222298,85.32849901777702,90.01406640312372,58.99158441054495,52.887250503237695,77.49739286493828,56.2728882206,48.8516479518832,69.48439356825843,79.13443115950815,90.1838333373754,111.95765527611378,76.72131545121626,55.033589600562664,40.035893580384645,48.03919190939296,3.0,51.20107508819083,148.79892491180917,51.57063665378801,178.06148160591297,67.49538048043003,175.94490173022007,45.859230640013436,92.75995296489165,126.49084495212497,99.31127162775071,1.0,118.0717682663208,81.9282317336792,108.81971465629053,197.23303069606573,275.789018590575,180.76091655858193,111.06787721573714,168.09338521400778,177.90747946389968,339.08344141807174,1.0,82.66409532336938,117.33590467663062,131.63441008333908,48.17136166402645,235.29168675528615,249.2871409876713,146.42881741166747,223.00433914181417,115.43494731042084,95.52999517873133,3.0,76.52069586082784,123.47930413917216,143.20335932813438,471.6976604679064,188.9862027594481,324.5110977804439,180.63587282543492,198.2723455308938,273.7612477504499,140.77984403119376
5,A2AFQ2,Hsd17b10,Hsd17b10 3-hydroxyacyl-CoA dehydrogenase type-2,21.0,101.58594957920953,98.41405042079047,100.85454259288407,133.0105267056133,74.62573256427586,165.82755460092028,111.95156048920943,93.45344455657295,134.71035357509885,126.35009397191025,106.84652489098332,123.7281388006777,174.62295506939108,138.40071844534353,70.7464980418661,82.11385877364343,11.0,75.83983712249746,124.16016287750256,80.52256532066508,204.6827281981676,230.57346454021038,370.7838479809976,166.8815744825246,185.4428232100441,378.7241262300645,332.7451645741432,10.0,140.77493816982687,59.22506183017312,95.6636438582028,134.080791426216,186.77658697444352,269.1838417147568,172.36603462489694,187.7328936521022,293.520197856554,257.37840065952184,10.0,114.68998722609807,85.31001277390193,86.48914218335463,60.194556352559694,225.2530215191117,150.04421735285447,143.77517932593102,97.0816547116046,135.128230323278,100.06878254888474,13.0,122.30820995962316,77.69179004037684,58.075370121130554,83.93337819650067,225.5383580080754,155.63593539703905,204.23956931359353,122.37550471063257,163.39165545087485,92.26110363391655
6,P67778,Phb,Phb Prohibitin,16.0,107.34200499277362,92.65799500722638,155.51964262252002,85.74168965970306,76.03205886217317,107.88332676389436,97.13309683353042,89.1420312705295,125.74957298646696,110.12481934042833,80.38628301143082,117.63237419524373,180.71738273551438,122.81434765471029,59.971094468532385,105.7758507423466,15.0,76.03069784044261,123.96930215955737,76.70890594324469,189.93396394788508,304.62252364804567,414.8491879350348,204.06924861681244,195.8950562198822,272.24701053007317,301.873996073532,14.0,126.80109220751943,73.19890779248057,80.67632850241546,133.66939718546524,150.9556815795001,259.52530980886365,182.58769166141568,132.47216971224535,228.62843940348668,232.13610586011342,14.0,117.93233297198609,82.06766702801393,86.02727220859245,57.27163804416043,352.3706281736749,108.301477720089,173.33257260227077,73.23557939179551,114.37211159924688,84.33844924972898,16.0,116.63925594056599,83.36074405943401,46.7362331991153,87.17178018488062,316.91714399137976,105.81863551295865,173.08455736403334,127.73209323427663,114.98894118981455,71.09964271536325
7,P11352,Gpx1,Gpx1 Glutathione peroxidase 1,13.0,93.48206989913938,106.51793010086064,118.37484704227528,50.992141733371824,72.39280763304782,102.09486021391723,93.77314692478748,61.97582759784213,101.36716764979694,116.1218458186135,56.40552395897277,116.91946191403471,130.6163434058451,112.8671493558498,58.422736530573246,61.363590166800144,6.0,110.03671970624237,89.96328029375765,133.82292941656465,183.9657282741738,347.4092207262342,331.15055079559363,202.6111791105671,318.33945328437375,378.96776825785395,558.078335373317,5.0,127.2606002858504,72.7393997141496,161.3149118627918,117.12243925678895,198.36112434492617,301.5912339209147,77.2558361124345,212.92043830395428,236.4935683658885,377.4940447832301,3.0,100.36959881728377,99.63040118271621,217.33754451985754,104.10590686109803,248.03440628989986,156.79053827027752,249.7950406558699,206.1151804314226,289.7789127074793,146.4148914723473,5.0,107.662208025554,92.33779197444599,73.30005989219404,106.12896785785586,200.37532441605111,176.26671990417248,234.4340187662208,186.99141545218606,201.16590137752047,65.37831902575364
8,Q9WVD5,Slc25a15,Slc25a15 Mitochondrial ornithine transporter 1,18.0,116.18963745780127,83.81036254219873,96.245413180684,64.41508880082196,62.198737707324234,89.03860267136356,90.92323499192719,74.39600763246735,107.4710113019228,103.91897842360194,74.06428885953325,99.24262439453985,110.3801555849112,76.42154704241891,52.16791428152062,74.1406135329517,1.0,83.2895230942546,116.71047690574541,42.508449117536614,85.01689823507323,98.15996995869321,138.26511453248216,69.0199023657529,60.9838527975967,118.81336838152458,98.38527975966954,,,,,,,,,,,,,,,,,,,,,,,1.0,105.98642753271935,94.01357246728065,90.11148812409114,157.7072224915172,211.7062530295686,119.29229277750848,166.335433834222,121.06156083373727,181.5802229762482,89.4813378574891
9,P68040,Rack1,Rack1 Receptor of activated protein C kinase 1,22.0,94.04600811907984,105.95399188092016,137.95054742280723,67.8865789149957,80.13285767007012,116.25661212941321,134.64140730717185,106.05855578791979,193.8184278509042,155.4065690736868,83.60191905523435,123.38541025956454,162.7506458358962,127.66637962849059,89.12535367203837,107.98376184032476,6.0,75.31739002066725,124.68260997933274,45.80257848636945,168.18226552504674,208.1881704556638,258.38992225174684,159.67916543647277,136.04960141718334,247.69215628383034,227.46776892038184,4.0,120.4691812327507,79.53081876724931,50.793468261269545,125.45998160073597,131.83072677092915,169.99770009199634,68.04277828886845,102.40340386384545,193.21527138914442,161.1430542778289,5.0,97.36188436830835,102.63811563169165,121.53319057815845,71.88008565310493,208.23982869379014,144.89079229122055,147.10064239828694,104.63383297644539,129.1134903640257,71.77730192719486,7.0,99.11375941441578,100.88624058558422,51.71652400108889,83.16142887389975,181.53110916185233,142.04047064517104,145.27691237409636,105.8104715525846,141.0483651432201,82.21771876228789
