uniprot_id,description,pep_num,annotation,ctrl_turbo(-)_1,ctrl_turbo(-)_2,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,LPS_turbo(-)_1,LPS_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4
P07724,Alb Serum albumin,47,TP,32655030.0,6319356.0,8745204.0,15072578.0,37950645.0,11887142.0,25394087.0,9987259.0,27063785.0,13948928.0,18028133.0,44511833.0,18023587.0,36082402.0,20363811.0,34942199.0
Q8VCM7,Fgg Fibrinogen gamma chain,26,TP,1836634.0,2141121.0,1484277.0,2714843.0,3319017.0,2839811.0,2747769.0,2405791.0,1708540.0,1599160.0,4300811.0,3408718.0,3389186.0,3788171.0,2272083.0,2272176.0
P01837,Ig kappa chain C region,5,,496153.0,364030.0,265235.0,455775.0,255432.0,175675.0,600537.0,231154.0,825175.0,242712.0,1486583.0,296681.0,633790.0,817437.0,893825.0,759843.0
Q921I1,Tf Serotransferrin,2,TP,34997.0,16826.0,59645.0,241362.0,383233.0,16803.0,53123.0,37783.0,48665.0,54347.0,31965.0,106141.0,129476.0,194191.0,55903.0,207726.0
P33622,Apoc3 Apolipoprotein C-III,3,TP,60829.0,20549.0,31785.0,36109.0,124839.0,25363.0,52987.0,31375.0,56664.0,40796.0,134608.0,207395.0,87368.0,194138.0,83182.0,126768.0
Q8K0E8,Fgb Fibrinogen beta chain,28,TP,4451366.0,4916717.0,3401779.0,6567433.0,6335598.0,6360392.0,6422797.0,5076081.0,3907635.0,3138452.0,8086175.0,7862195.0,6441909.0,8405964.0,5289396.0,5122608.0
Q8K426,"Retnlg Resistin like gamma, isoform CRA_a",5,TP,64662.0,142010.0,65021.0,79414.0,234878.0,319299.0,372154.0,116063.0,321355.0,235332.0,200020.0,82650.0,197117.0,149824.0,62090.0,62906.0
A8DUK4,Hbbt1 Protein Hbb-bs,7,,134229.0,51779.0,244629.0,379316.0,374218.0,108600.0,193945.0,264208.0,192345.0,290994.0,158630.0,285645.0,185441.0,328746.0,282130.0,221427.0
E9PV24,Fga Fibrinogen alpha chain,32,TP,3332196.0,4203135.0,2429259.0,5473409.0,3559722.0,4170865.0,5494194.0,3256797.0,2570266.0,2316318.0,6378923.0,4631558.0,4447440.0,5047741.0,3410285.0,3165763.0
A0A0G2JE99,Iglc1 Protein Iglc1,3,,44788.0,26954.0,20388.0,31159.0,32491.0,9694.0,46194.0,9665.0,56660.0,20339.0,288741.0,38049.0,38875.0,81773.0,67123.0,82327.0
Q61646,Hp Haptoglobin,13,TP,214478.0,86846.0,101272.0,416284.0,244936.0,105091.0,162021.0,97399.0,145411.0,137994.0,465101.0,729937.0,1984486.0,2472700.0,1311498.0,2690646.0
A0A0A6YXN4,Ighv1-18 Protein Ighv1-18,3,,36984.0,43562.0,15516.0,34721.0,24347.0,21056.0,16439.0,18811.0,25362.0,18315.0,98251.0,36288.0,30258.0,32090.0,17159.0,62790.0
P01027,C3 Complement C3,58,TP,1834217.0,716692.0,1704900.0,7259114.0,9834800.0,908349.0,1691295.0,1130887.0,2112625.0,1862569.0,3133224.0,9160918.0,5607439.0,9788784.0,5239777.0,8967034.0
P21614,Gc Vitamin D-binding protein,15,TP,166311.0,51397.0,63979.0,109145.0,239706.0,55006.0,162818.0,70425.0,172077.0,87805.0,140170.0,464905.0,187098.0,308543.0,227552.0,366683.0
P60710,"Actb Actin, cytoplasmic 1",6,FP,90952.0,38802.0,53918.0,85634.0,170588.0,64281.0,85021.0,42665.0,89162.0,74129.0,201679.0,118846.0,245430.0,311133.0,97939.0,179979.0
P07309,Ttr Transthyretin,4,TP,129217.0,34879.0,39559.0,49442.0,273366.0,35376.0,89243.0,36640.0,79467.0,41381.0,78929.0,173203.0,105189.0,153086.0,105854.0,117231.0
A0A075B5P3,Ighg2b Protein Ighg2b,8,,145658.0,125428.0,52465.0,109416.0,89018.0,93981.0,97161.0,104762.0,120464.0,75513.0,169545.0,194865.0,124329.0,190777.0,227294.0,242965.0
P11276,Fn1 Fibronectin,59,TP,1102719.0,900270.0,592679.0,993730.0,2186545.0,1212195.0,1088580.0,994552.0,1251747.0,985908.0,3932427.0,6669229.0,4083435.0,4932510.0,3080428.0,4121216.0
P01029,C4b Complement C4-B,49,TP,500441.0,456439.0,5243718.0,21392109.0,25225283.0,484225.0,1660757.0,3506391.0,4673814.0,8439716.0,1041552.0,1430811.0,13207162.0,18793267.0,4202540.0,13918291.0
P06909,Cfh Complement factor H,32,TP,237495.0,153903.0,517289.0,1915793.0,2604006.0,197484.0,370651.0,570982.0,926931.0,833997.0,362490.0,548240.0,1780010.0,1889037.0,654561.0,1429341.0
Q91X72,Hpx Hemopexin,15,TP,327495.0,74472.0,90896.0,140666.0,420600.0,95312.0,289707.0,104850.0,213931.0,147920.0,609639.0,2470801.0,1323116.0,1619149.0,1181438.0,1383174.0
P29699,Ahsg Alpha-2-HS-glycoprotein,4,TP,214784.0,85749.0,67404.0,153402.0,262826.0,81900.0,337827.0,72304.0,334825.0,133503.0,357027.0,420586.0,278369.0,518490.0,418526.0,559141.0
Q00897,Serpina1d Alpha-1-antitrypsin 1-4,6,TP,323246.0,82296.0,144019.0,209867.0,710565.0,184580.0,331501.0,222812.0,387965.0,190668.0,202491.0,754072.0,374227.0,532085.0,286778.0,525520.0
Q03734,Serpina3m Serine protease inhibitor A3M,6,TP,46757.0,32861.0,39097.0,53264.0,103734.0,78448.0,70044.0,22027.0,65801.0,72248.0,163160.0,539872.0,408730.0,423926.0,185008.0,363673.0
P08226,Apoe Apolipoprotein E,8,TP,54279.0,20814.0,57240.0,260496.0,340694.0,19477.0,42508.0,43406.0,110496.0,74524.0,64540.0,205219.0,217235.0,258204.0,136495.0,197604.0
Q8VDD5,Myh9 Myosin-9,56,,1048276.0,517134.0,1192390.0,1323042.0,3655865.0,2036447.0,1681946.0,924507.0,1621352.0,647815.0,4802155.0,1842375.0,4109897.0,4987569.0,1076380.0,2111154.0
Q61838,Pzp Pregnancy zone protein,40,TP,2905836.0,1108103.0,1353919.0,2147095.0,5042944.0,1747171.0,2660934.0,1864172.0,3172592.0,1997814.0,3957060.0,8570257.0,4964249.0,7501677.0,4478316.0,5790944.0
P28665,Mug1 Murinoglobulin-1,18,TP,765018.0,370263.0,761097.0,1622791.0,1195655.0,525279.0,1400341.0,981718.0,1714313.0,1290920.0,878001.0,885888.0,685178.0,1681644.0,1066519.0,1845343.0
G3X8T9,"Serpina3n Serine (Or cysteine) peptidase inhibitor, clade A, member 3N, isoform CRA_a",8,,455801.0,231251.0,1753470.0,5118031.0,6133448.0,282213.0,724942.0,2062322.0,1926014.0,2537582.0,1987600.0,5570446.0,29122682.0,40674597.0,11679821.0,22953374.0
P22599,Serpina1b Alpha-1-antitrypsin 1-2,4,TP,267548.0,43840.0,66496.0,175309.0,886064.0,94629.0,163323.0,171747.0,264460.0,176661.0,192370.0,1846197.0,425256.0,569689.0,332746.0,811770.0
