uniprot_id,description,pep_num,annotation,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,ctrl_turbo(-)_1,ctrl_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4,LPS_turbo(-)_1,LPS_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2
Q8BWT1,"Acaa2 3-ketoacyl-CoA thiolase, mitochondrial",22,FP,1041497.0,839734.0,2898082.0,1762190.0,2316512.0,4094427.0,875013.0,770276.0,1455873.0,991052.0,3770769.0,1205069.0,1068076.0,1489050.0,1073368.0,2471158.0
Q91ZA3,"Pcca Propionyl-CoA carboxylase alpha chain, mitochondrial",53,FP,95900645.0,74893156.0,116236013.0,85328595.0,71540984.0,110870068.0,150224199.0,77733227.0,81977089.0,93183859.0,142880287.0,109835927.0,114369384.0,177359016.0,110708201.0,142709610.0
A8DUK4,Hbbt1 Protein Hbb-bs,10,,1032195.0,468606.0,2269597.0,503827.0,530380.0,1560715.0,997599.0,408181.0,572085.0,403141.0,1095218.0,561967.0,1130661.0,770419.0,718915.0,1179549.0
P05064,Aldoa Fructose-bisphosphate aldolase A,3,,549112.0,166683.0,1574738.0,467578.0,346066.0,2031435.0,356596.0,311936.0,852560.0,331736.0,561636.0,362547.0,1709867.0,272266.0,606925.0,467485.0
S4R1W1,Gm3839 Glyceraldehyde-3-phosphate dehydrogenase,5,,24883560.0,9647681.0,26278157.0,15499314.0,17318364.0,51493218.0,31946776.0,18949598.0,66140700.0,17526357.0,42318551.0,16406158.0,29401678.0,40030159.0,22314946.0,39200681.0
E9QPD7,Pcx Pyruvate carboxylase,67,,128207996.0,83744064.0,185361897.0,77178243.0,99234248.0,110509424.0,187848551.0,81657495.0,75789100.0,85941461.0,213178858.0,134264842.0,121228446.0,218034617.0,121243653.0,223140682.0
Q3ULD5,"Mccc2 Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",35,FP,7665754.0,2061926.0,7082848.0,4535955.0,4674021.0,5938749.0,6103426.0,7135624.0,4420359.0,5571451.0,24756074.0,3067817.0,4467795.0,6527362.0,2725104.0,13775155.0
Q99MN9,"Pccb Propionyl-CoA carboxylase beta chain, mitochondrial",28,FP,8782566.0,18666327.0,39076414.0,12545116.0,9852409.0,20526325.0,21821026.0,17304421.0,21481256.0,11233764.0,24620492.0,15114628.0,20696458.0,32070572.0,25662252.0,21575045.0
Q99MR8,"Mccc1 Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",41,FP,20263844.0,4115702.0,14022902.0,9896522.0,10074168.0,15973607.0,13088537.0,12666581.0,7668140.0,15251087.0,34443261.0,11255700.0,10375821.0,15506578.0,7900056.0,28549767.0
P56480,"Atp5b ATP synthase subunit beta, mitochondrial",20,FP,3181945.0,1887865.0,8196219.0,2301891.0,1796047.0,5416554.0,2673092.0,1230295.0,1623191.0,1365073.0,5457358.0,4024461.0,3787007.0,3548200.0,2674885.0,6083448.0
