uniprot_id,description,pep_num,annotation,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,ctrl_turbo(-)_1,ctrl_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4,LPS_turbo(-)_1,LPS_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2
E9QPD7,Pcx Pyruvate carboxylase,79,,890430969.0,594459287.0,836878756.0,977333272.0,394253271.0,741311896.0,569665522.0,689456989.0,1201217370.0,509333076.0,918506991.0,543823278.0,490580988.0,623532953.0,560280542.0,299136854.0
P20152,Vim Vimentin,37,FP,17244214.0,13286891.0,19866012.0,9230688.0,10056083.0,10402284.0,7768297.0,7539680.0,13905102.0,11112658.0,8735893.0,10058289.0,12139634.0,16790080.0,8176573.0,3242685.0
A8DUK4,Hbbt1 Protein Hbb-bs,8,,1987814.0,1913688.0,2784333.0,1478207.0,924490.0,1961535.0,1565088.0,1486368.0,3534015.0,1305996.0,2203807.0,2475657.0,2049762.0,3616097.0,2002339.0,1118460.0
Q91ZA3,"Pcca Propionyl-CoA carboxylase alpha chain, mitochondrial",41,FP,131931497.0,112078827.0,151105098.0,137043999.0,67617667.0,124576216.0,84324728.0,99934624.0,140815406.0,86338166.0,150488872.0,99314445.0,72051230.0,129876057.0,86258855.0,48599783.0
Q99MR8,"Mccc1 Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",41,FP,35617912.0,29815697.0,41611435.0,41357762.0,21076221.0,36081194.0,31196641.0,32607509.0,45623424.0,28734721.0,45301996.0,32406997.0,22449402.0,38702605.0,29791253.0,17932232.0
Q3ULD5,"Mccc2 Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",32,FP,10211197.0,17425970.0,15753743.0,10035152.0,7083296.0,10440262.0,6638532.0,8923720.0,11881359.0,12018182.0,12157915.0,15518088.0,13526429.0,22123866.0,10833323.0,4907935.0
Q91VB8,Hba-a2 Hemoglobin subunit alpha,5,,1341430.0,1280492.0,1868857.0,979175.0,537249.0,1102850.0,764706.0,760876.0,1736963.0,783059.0,1258253.0,1304500.0,1262046.0,1970838.0,1119673.0,552600.0
A2AFQ2,Hsd17b10 3-hydroxyacyl-CoA dehydrogenase type-2,14,,1365756.0,1108558.0,1624316.0,951124.0,506531.0,1048002.0,937394.0,1077310.0,1860691.0,716505.0,1269484.0,928926.0,547456.0,1354363.0,728622.0,457628.0
Q8CGN5,Plin1 Perilipin-1,24,TP,4685338.0,5622549.0,7600548.0,2556962.0,3162917.0,6687211.0,5363330.0,7980254.0,19469776.0,2610712.0,2956605.0,9106520.0,6817081.0,20451816.0,2975118.0,1181673.0
Q02819,Nucb1 Nucleobindin-1,27,TP,6210351.0,7115479.0,8937861.0,244571.0,640898.0,3630624.0,2954886.0,3261871.0,5138086.0,421228.0,673650.0,6020375.0,4983388.0,9294309.0,311423.0,280832.0
O88492,Plin4 Perilipin-4,36,,2489907.0,3227763.0,5018393.0,1733132.0,1358467.0,6229374.0,4721117.0,4391273.0,9469818.0,1915307.0,2154388.0,5074425.0,3762766.0,8095725.0,2054547.0,871387.0
P20029,Hspa5 78 kDa glucose-regulated protein,30,TP,10695919.0,24142082.0,24931296.0,1156656.0,2300810.0,7988431.0,7750765.0,7980514.0,14666475.0,1030545.0,1909041.0,8373649.0,5925511.0,15280071.0,850755.0,648187.0
Q9JJU8,Sh3bgrl SH3 domain-binding glutamic acid-rich-like protein,5,,203349.0,248174.0,332408.0,191824.0,163625.0,243364.0,198938.0,197819.0,352549.0,199773.0,246437.0,309278.0,282272.0,580000.0,317084.0,112576.0
Q8BWT1,"Acaa2 3-ketoacyl-CoA thiolase, mitochondrial",15,FP,812951.0,704856.0,955117.0,537486.0,331103.0,413111.0,339745.0,443534.0,718672.0,400563.0,554774.0,431155.0,331399.0,961654.0,373912.0,302513.0
Q9Z0F7,Sncg Gamma-synuclein,6,,901392.0,1950023.0,2498886.0,104294.0,232960.0,457155.0,620435.0,493927.0,1893701.0,84982.0,256866.0,1231088.0,805922.0,3704098.0,124616.0,130081.0
P27773,Pdia3 Protein disulfide-isomerase A3,24,TP,2711903.0,4983438.0,5507964.0,687010.0,613730.0,2032056.0,1584772.0,1830954.0,3629657.0,629769.0,1188874.0,2922348.0,1911930.0,5387105.0,1095357.0,460296.0
Q03265,"Atp5a1 ATP synthase subunit alpha, mitochondrial",23,FP,5921105.0,4791199.0,6329678.0,5044926.0,2575744.0,5596988.0,3930216.0,5113629.0,7709141.0,3866967.0,6325839.0,3660849.0,2917389.0,4677005.0,3296369.0,2678491.0
Q8VDD5,Myh9 Myosin-9,85,,8590176.0,7751137.0,10858536.0,2616577.0,4260478.0,5239012.0,10931497.0,5477647.0,16633393.0,28608531.0,19142616.0,12178707.0,7712314.0,41704853.0,20163987.0,3376761.0
Q99MN9,"Pccb Propionyl-CoA carboxylase beta chain, mitochondrial",26,FP,25589997.0,45494675.0,44672804.0,22517840.0,18509984.0,22437921.0,13792678.0,15300401.0,30574057.0,28331405.0,36622934.0,32795138.0,36229103.0,63461069.0,30028123.0,11512874.0
P62806,Hist4h4 Histone H4,6,FP,597434.0,613456.0,1057648.0,172603.0,358809.0,895508.0,648229.0,484962.0,672745.0,665764.0,531111.0,518118.0,612800.0,838093.0,655532.0,150897.0
Q8BFZ9,Erlin2 Erlin-2,13,TP,1518439.0,1826467.0,2154102.0,281070.0,335392.0,2833229.0,2179625.0,2815974.0,3813119.0,360352.0,532754.0,4278111.0,1631772.0,4812232.0,307830.0,252759.0
Q9WVL0,Gstz1 Maleylacetoacetate isomerase,7,,1207348.0,1008596.0,1384220.0,1225894.0,503797.0,718073.0,624082.0,774620.0,1349441.0,606780.0,819966.0,966700.0,613318.0,1337984.0,768531.0,373343.0
P14602,Hspb1 Heat shock protein beta-1,9,FP,747171.0,560774.0,835820.0,506437.0,303930.0,630610.0,534919.0,684465.0,954081.0,1031212.0,1012346.0,720838.0,418411.0,1065800.0,498586.0,334101.0
P09103,P4hb Protein disulfide-isomerase,25,TP,2333346.0,4126559.0,5108042.0,148752.0,337471.0,1443321.0,1169980.0,1236821.0,2328556.0,187751.0,333672.0,2885930.0,2057052.0,5224869.0,164792.0,167948.0
Q5SWU9,Acaca Acetyl-CoA carboxylase 1,89,,71177130.0,18431072.0,41858301.0,115075228.0,18185668.0,43899572.0,39597281.0,45920209.0,110884050.0,28730122.0,80827357.0,35577170.0,24596172.0,46437563.0,48786282.0,18356031.0
P62908,Rps3 40S ribosomal protein S3,9,FP,908619.0,739462.0,1048744.0,552612.0,423282.0,1826476.0,828752.0,1229032.0,982436.0,867457.0,898880.0,502975.0,501896.0,884721.0,398445.0,539294.0
P60710,"Actb Actin, cytoplasmic 1",8,FP,2081918.0,2492585.0,2607328.0,1299560.0,998963.0,4433694.0,3730774.0,2644572.0,4813297.0,5013648.0,5633264.0,2616599.0,1716969.0,5640947.0,2641117.0,946270.0
P48678,Lmna Prelamin-A/C,31,FP,5038569.0,4637440.0,6617825.0,2798085.0,2855889.0,2145736.0,2286285.0,2446764.0,3419972.0,3633553.0,2952334.0,4731338.0,4537327.0,7606963.0,3851507.0,1215506.0
P04117,"Fabp4 Fatty acid-binding protein, adipocyte",6,FP,1146651.0,820645.0,1228953.0,720263.0,430847.0,597715.0,572385.0,531607.0,1115884.0,531444.0,667730.0,985620.0,811095.0,1320716.0,845437.0,414167.0
P31001,Des Desmin,17,FP,781817.0,705855.0,1155307.0,279265.0,615663.0,638806.0,669009.0,495794.0,743786.0,990826.0,881564.0,434980.0,635571.0,766272.0,452862.0,282958.0
P68369,Tuba1a Tubulin alpha-1A chain,3,,381435.0,394154.0,425135.0,258967.0,255091.0,256038.0,234497.0,332525.0,360134.0,288381.0,259064.0,272895.0,227066.0,376385.0,168498.0,139701.0
E9Q616,Ahnak Protein Ahnak,152,,18725897.0,40717558.0,50856506.0,5632118.0,9196645.0,11613106.0,12985720.0,10899737.0,33279063.0,5689583.0,6863895.0,22250338.0,18442234.0,54144649.0,6628710.0,3170601.0
P62737,"Acta2 Actin, aortic smooth muscle",2,,704094.0,126472.0,207952.0,120897.0,91585.0,186146.0,196058.0,187433.0,316163.0,199818.0,128052.0,241554.0,151194.0,336383.0,199397.0,81984.0
P63017,Hspa8 Heat shock cognate 71 kDa protein,17,FP,2251519.0,2418597.0,3371301.0,1654339.0,1106521.0,2091359.0,1760997.0,1506278.0,3023075.0,1518677.0,1637673.0,1683677.0,1341123.0,2790617.0,1082370.0,670730.0
P67778,Phb Prohibitin,11,FP,524538.0,522819.0,714938.0,334758.0,350596.0,705615.0,452493.0,744278.0,816775.0,527943.0,643122.0,355187.0,307361.0,664910.0,313997.0,202746.0
Q9Z1Q5,Clic1 Chloride intracellular channel protein 1,7,FP,284333.0,266838.0,384312.0,299577.0,130085.0,521682.0,408638.0,408447.0,630665.0,253197.0,549291.0,341468.0,197920.0,428923.0,311089.0,153313.0
P18760,Cfl1 Cofilin-1,5,FP,411672.0,342119.0,470497.0,266965.0,136704.0,499921.0,384362.0,362089.0,689797.0,286964.0,634200.0,367221.0,213124.0,545111.0,352984.0,134753.0
Q5SX39,Myh4 Myosin-4,23,,573320.0,1174842.0,730867.0,559943.0,553876.0,2988330.0,5731195.0,1316566.0,4222752.0,22408878.0,6064945.0,1759406.0,710571.0,22964300.0,3631033.0,2050168.0
E9Q4Z2,Acacb Acetyl-CoA carboxylase 2,68,FP,18290759.0,8741675.0,13822729.0,24307846.0,5903207.0,19607816.0,14468285.0,19851676.0,30425267.0,12320880.0,19304628.0,17307849.0,9536662.0,17745262.0,14852861.0,10886178.0
P99024,Tubb5 Tubulin beta-5 chain,3,,2046596.0,1942181.0,2447230.0,1430380.0,1212312.0,2223953.0,1798624.0,2098113.0,2896455.0,2135635.0,2922379.0,2157250.0,1429000.0,3138329.0,1524339.0,881688.0
P08551,Nefl Neurofilament light polypeptide,17,,891902.0,829261.0,965005.0,700936.0,454925.0,853365.0,808817.0,818925.0,1114138.0,1055945.0,1076207.0,1596271.0,1072649.0,2020240.0,1224323.0,585541.0
Q9CQ45,Nenf Neudesin,7,TP,877229.0,1177906.0,1477739.0,77834.0,119927.0,432993.0,351222.0,336607.0,817762.0,70900.0,114628.0,662773.0,544580.0,1268226.0,96610.0,64645.0
Q9CXS4,Cenpv Centromere protein V,7,FP,581102.0,513770.0,768946.0,267300.0,268723.0,179447.0,361302.0,310391.0,553973.0,436570.0,381780.0,565734.0,405296.0,667327.0,391328.0,115024.0
P08003,Pdia4 Protein disulfide-isomerase A4,25,TP,1804957.0,4374803.0,4685359.0,263815.0,441108.0,1227923.0,1015170.0,1322524.0,2469398.0,279352.0,457726.0,2086001.0,1398321.0,4421448.0,277405.0,234793.0
Q5RKN9,"Capza1 Capping protein (Actin filament) muscle Z-line, alpha 1",6,,108841.0,184247.0,172172.0,74447.0,61215.0,311304.0,370526.0,133123.0,407011.0,481072.0,608451.0,165015.0,149282.0,475148.0,194722.0,73650.0
P42932,Cct8 T-complex protein 1 subunit theta,21,,1090325.0,2451136.0,2453852.0,244644.0,297775.0,1058562.0,1403940.0,1296297.0,4928243.0,236683.0,604582.0,1581073.0,941607.0,3092742.0,376439.0,185117.0
Q91V41,Rab14 Ras-related protein Rab-14,6,,222127.0,191804.0,234320.0,186011.0,112083.0,194045.0,140223.0,187733.0,280470.0,115581.0,164333.0,171215.0,118508.0,210416.0,135708.0,94084.0
P52480,Pkm Pyruvate kinase PKM,18,FP,1347995.0,1168639.0,1737341.0,1092546.0,598816.0,1231342.0,1014506.0,1099122.0,1745450.0,883704.0,1426230.0,1218696.0,839711.0,1885304.0,1184032.0,432079.0
P68372,Tubb4b Tubulin beta-4B chain,2,,565247.0,509348.0,642557.0,480329.0,344798.0,590156.0,440559.0,555006.0,668228.0,474431.0,465392.0,542750.0,421379.0,760970.0,393690.0,305313.0
P56480,"Atp5b ATP synthase subunit beta, mitochondrial",15,FP,880696.0,762410.0,910569.0,794038.0,404312.0,851336.0,607276.0,713583.0,1103194.0,610957.0,956522.0,639922.0,432649.0,808341.0,536911.0,403882.0
P17182,Eno1 Alpha-enolase,13,,5192678.0,3973943.0,5673884.0,3571279.0,1830099.0,3422411.0,2647976.0,3422907.0,6906913.0,2815223.0,4867539.0,3806552.0,2961960.0,6912017.0,3553326.0,1633024.0
