uniprot_id,description,pep_num,annotation,ctrl_turbo(-)_1,ctrl_turbo(-)_2,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,LPS_turbo(-)_1,LPS_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4
Q8K0E8,Fgb Fibrinogen beta chain,43,TP,9941739.0,12370953.0,66854756.0,25253523.0,65216360.0,10543284.0,7925807.0,51833051.0,63587432.0,68792768.0,15074668.0,7121511.0,224185400.0,188108112.0,144336363.0,107758133.0
Q8VCM7,Fgg Fibrinogen gamma chain,35,TP,7287381.0,8074488.0,44072900.0,13926279.0,33024114.0,7119630.0,4772958.0,29993245.0,39767769.0,38663102.0,8918337.0,4549291.0,130133299.0,98764296.0,76446149.0,57058357.0
P07724,Alb Serum albumin,56,TP,124553491.0,508883937.0,170194962.0,180615692.0,77614803.0,17378954.0,19483281.0,54604380.0,105604785.0,38710296.0,20967255.0,12101717.0,94064260.0,29363259.0,37279494.0,63383646.0
A8DUK4,Hbbt1 Protein Hbb-bs,9,,246044.0,754887.0,1417205.0,1646471.0,639427.0,335340.0,101670.0,742107.0,739422.0,889963.0,109564.0,107030.0,789591.0,1166112.0,592673.0,540125.0
P20918,Plg Plasminogen,45,TP,625295.0,941659.0,12068177.0,7194566.0,7311068.0,403361.0,624237.0,5787686.0,5427904.0,3904192.0,582374.0,316581.0,7687880.0,7719027.0,8084833.0,7719811.0
Q921I1,Tf Serotransferrin,3,TP,172904.0,449603.0,4333832.0,2582712.0,2994577.0,49654.0,166405.0,1222283.0,874309.0,530460.0,222688.0,55584.0,3546020.0,3087972.0,3103327.0,2542086.0
Q9DBD0,Ica Inhibitor of carbonic anhydrase,35,TP,293997.0,423396.0,8534039.0,6098571.0,6139480.0,224422.0,422923.0,5271332.0,4298078.0,3493466.0,313624.0,232643.0,4213699.0,4757747.0,4743528.0,4556726.0
P21614,Gc Vitamin D-binding protein,29,TP,442104.0,991640.0,8451215.0,5760843.0,5805717.0,245440.0,437924.0,3991539.0,3707736.0,2421280.0,390832.0,220986.0,4188163.0,4662622.0,5029745.0,5301228.0
P28665,Mug1 Murinoglobulin-1,36,TP,1641589.0,2854191.0,49703650.0,48846513.0,47649982.0,2611964.0,2603072.0,72352475.0,42288415.0,61483051.0,1236238.0,2868580.0,25376200.0,41125426.0,28712223.0,29312132.0
P01837,Ig kappa chain C region,5,,1203419.0,2748678.0,3245435.0,920045.0,719121.0,352077.0,464381.0,573721.0,505488.0,397072.0,569688.0,569244.0,1677577.0,773179.0,567561.0,1042601.0
P33622,Apoc3 Apolipoprotein C-III,4,TP,49066.0,110032.0,190864.0,194479.0,181668.0,18793.0,43665.0,119323.0,77370.0,85942.0,31662.0,37715.0,216687.0,200049.0,204863.0,182175.0
Q61838,Pzp Pregnancy zone protein,78,TP,9872507.0,24361743.0,357437893.0,270632689.0,273354650.0,4444223.0,12538159.0,160338989.0,115407220.0,163140130.0,10697920.0,8306289.0,225692383.0,244773216.0,217739113.0,204956654.0
P06909,Cfh Complement factor H,45,TP,697842.0,1154167.0,19224344.0,15834394.0,16680113.0,622075.0,1127156.0,7873230.0,6289226.0,6612176.0,973563.0,504804.0,17395929.0,17769504.0,17162995.0,16393586.0
Q4LDF6,Cfhr2 Putative complement factor H-related protein B,3,,24790.0,37057.0,476455.0,350932.0,345375.0,19279.0,33163.0,290966.0,224299.0,181381.0,28292.0,14818.0,373833.0,334283.0,325983.0,359628.0
