uniprot_id,description,pep_num,annotation,iWAT_HF_cre-_1,iWAT_HF_cre-_2,iWAT_chow_cre-_1,iWAT_chow_cre-_2,iWAT_HF_cre+_1,iWAT_HF_cre+_2,iWAT_HF_cre+_3,iWAT_chow_cre+_1,iWAT_chow_cre+_2,iWAT_chow_cre+_3
Q9Z0F7,Sncg Gamma-synuclein,10,,245159.0,189995.0,122789.0,99731.0,1986824.5653180734,1637797.548589999,2570635.0,630515.0,837623.8358050534,391088.0673914859
P20152,Vim Vimentin,36,FP,5863926.0,6759511.0,4354640.0,3959572.0,9305311.615062863,18038593.502568405,18349566.0,8355509.0,10681154.464347342,12079649.523818804
A8DUK4,Hbbt1 Protein Hbb-bs,8,,416469.0,207751.0,847386.0,686745.0,1216742.4554745941,931618.4749973792,1343054.0,1218638.0,997220.4181486116,1136017.805161901
E9QPD7,Pcx Pyruvate carboxylase,66,,705201213.0,576632897.0,605379745.0,333748587.0,636392520.4355185,865956259.379914,549943500.0,313673473.0,346964633.81123805,591911710.007406
Q3ULD5,"Mccc2 Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",29,FP,6203848.0,7165058.0,10247543.0,5398054.0,2563989.187279495,4323168.649753643,2570059.0,5850009.0,5305153.60686903,6535145.579822925
P27773,Pdia3 Protein disulfide-isomerase A3,30,TP,242789.0,222217.0,471374.0,372210.0,5581470.7568288455,6650084.880805116,6746379.0,7192339.0,8214338.646669553,3507028.4221120914
O88492,Plin4 Perilipin-4,35,,2919718.0,1732381.0,1288765.0,1224379.0,12620546.600526182,7647799.063528672,15305118.0,5110752.0,4290992.786475413,6322162.912826795
Q91V41,Rab14 Ras-related protein Rab-14,10,,376134.0,393353.0,540753.0,295406.0,589169.8564032929,701926.0739071182,487076.0,403685.0,306704.3556015441,405150.0607233343
Q91ZA3,"Pcca Propionyl-CoA carboxylase alpha chain, mitochondrial",40,FP,68133976.0,57021985.0,65868238.0,53369702.0,50358465.23194433,85601725.76685187,53468861.0,54774444.0,44324921.955135465,62102955.5866442
Q99MN9,"Pccb Propionyl-CoA carboxylase beta chain, mitochondrial",23,FP,10670839.0,21190502.0,30525126.0,22069878.0,5527601.188904111,10424817.053884055,5278474.0,23943116.0,19084605.42516351,27677682.39904502
