uniprot_id,description,pep_num,annotation,iWAT_HF_cre-_1,iWAT_HF_cre-_2,iWAT_chow_cre-_1,iWAT_chow_cre-_2,iWAT_HF_cre+_1,iWAT_HF_cre+_2,iWAT_HF_cre+_3,iWAT_chow_cre+_1,iWAT_chow_cre+_2,iWAT_chow_cre+_3
Q9Z0F7,Sncg Gamma-synuclein,10,,245159.0,189995.0,122789.0,99731.0,2070858.0,1184544.0,2570635.0,630515.0,1093978.0,217571.0
P20152,Vim Vimentin,36,FP,5863926.0,6759511.0,4354640.0,3959572.0,9698883.0,13046489.0,18349566.0,8355509.0,13950114.0,6720178.0
A8DUK4,Hbbt1 Protein Hbb-bs,8,,416469.0,207751.0,847386.0,686745.0,1268205.0,673797.0,1343054.0,1218638.0,1302419.0,631992.0
E9QPD7,Pcx Pyruvate carboxylase,66,,705201213.0,576632897.0,605379745.0,333748587.0,663308963.0,626306525.0,549943500.0,313673473.0,453152907.0,329293664.0
Q3ULD5,"Mccc2 Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",29,FP,6203848.0,7165058.0,10247543.0,5398054.0,2672434.0,3126750.0,2570059.0,5850009.0,6928792.0,3635647.0
P27773,Pdia3 Protein disulfide-isomerase A3,30,TP,242789.0,222217.0,471374.0,372210.0,5817541.0,4809702.0,6746379.0,7192339.0,10728331.0,1951038.0
O88492,Plin4 Perilipin-4,35,,2919718.0,1732381.0,1288765.0,1224379.0,13154337.0,5531303.0,15305118.0,5110752.0,5604248.0,3517160.0
Q91V41,Rab14 Ras-related protein Rab-14,10,,376134.0,393353.0,540753.0,295406.0,614089.0,507671.0,487076.0,403685.0,400571.0,225394.0
Q91ZA3,"Pcca Propionyl-CoA carboxylase alpha chain, mitochondrial",40,FP,68133976.0,57021985.0,65868238.0,53369702.0,52488394.0,61911810.0,53468861.0,54774444.0,57890532.0,34549257.0
Q99MN9,"Pccb Propionyl-CoA carboxylase beta chain, mitochondrial",23,FP,10670839.0,21190502.0,30525126.0,22069878.0,5761393.0,7539793.0,5278474.0,23943116.0,24925435.0,15397711.0
Q8BWT1,"Acaa2 3-ketoacyl-CoA thiolase, mitochondrial",17,FP,577368.0,500023.0,445918.0,235074.0,1473157.0,325033.0,566681.0,395901.0,521795.0,511277.0
Q99MR8,"Mccc1 Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",37,FP,27737290.0,22435839.0,32708579.0,22746219.0,27092297.0,25187531.0,23125701.0,24018035.0,24063812.0,14029099.0
Q8CGN5,Plin1 Perilipin-1,25,TP,1123983.0,935407.0,1083691.0,1216969.0,5616513.0,4872471.0,8965229.0,9825621.0,11896490.0,3455696.0
P20029,Hspa5 78 kDa glucose-regulated protein,29,TP,816571.0,451990.0,747238.0,564237.0,10329938.0,8836787.0,14180310.0,17647810.0,24156672.0,4387982.0
Q9WVL0,Gstz1 Maleylacetoacetate isomerase,7,,328465.0,295966.0,371713.0,255275.0,429176.0,397505.0,407401.0,393991.0,533167.0,347515.0
P09103,P4hb Protein disulfide-isomerase,18,TP,126797.0,96646.0,146255.0,135202.0,2535248.0,2038810.0,2971148.0,3185491.0,3203331.0,997429.0
