uniprot_id,description,pep_num,annotation,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4,ctrl_turbo(-)_1,ctrl_turbo(-)_2,fast_turbo(-)_1,fast_turbo(-)_2,LPS_turbo(-)_1,LPS_turbo(-)_2
Q8BWT1,"Acaa2 3-ketoacyl-CoA thiolase, mitochondrial",35,FP,91255424.0,79178660.0,104369540.0,34245241.0,34010248.0,25977412.0,22889084.0,22091876.0,36080863.0,25293902.0,82586096.0,85982245.0,25082393.0,25035577.0,17247901.0,12380580.0
E9QPD7,Pcx Pyruvate carboxylase,97,,2925098841.0,3400314430.0,3241112947.0,2198648317.0,2470741813.0,3515822404.0,3713745979.0,2799597403.0,4404424014.0,4413032322.0,2281074941.0,3932849534.0,4132459938.0,3557135002.0,2687434930.0,2787295482.0
Q91ZA3,"Pcca Propionyl-CoA carboxylase alpha chain, mitochondrial",63,FP,233395779.0,178771853.0,467105427.0,63003481.0,222424436.0,172994268.0,275648025.0,218611729.0,293882655.0,290419854.0,262536296.0,377284840.0,518988789.0,375745157.0,248399457.0,279973599.0
Q8C196,Cps1 Carbamoyl-phosphate synthase,109,FP,334534233.0,309665900.0,390227049.0,238299868.0,227649131.0,334405448.0,275136022.0,213696990.0,355428554.0,336264253.0,277899964.0,310023087.0,422757647.0,302965281.0,142200904.0,194830651.0
P16460,Ass1 Argininosuccinate synthase,31,,99282050.0,73324507.0,72195305.0,49507166.0,39640250.0,58921317.0,41857545.0,33658855.0,59665190.0,61778749.0,67312966.0,80514026.0,58643402.0,49176133.0,27964182.0,32266185.0
A2AFQ2,Hsd17b10 3-hydroxyacyl-CoA dehydrogenase type-2,21,,22400098.0,25727271.0,22631109.0,31862170.0,16352961.0,40302399.0,24144607.0,19062508.0,32553882.0,29884357.0,24857752.0,27443557.0,44345465.0,30113691.0,14309669.0,16712074.0
P67778,Phb Prohibitin,16,FP,10053290.0,9222625.0,15259230.0,7204361.0,7608434.0,11785521.0,10306836.0,8767911.0,12848014.0,10245463.0,8713256.0,11607021.0,16603662.0,11065078.0,5195749.0,9843753.0
P11352,Gpx1 Glutathione peroxidase 1,13,,3753280.0,3974115.0,3916413.0,2357998.0,2822951.0,3954786.0,4035619.0,3043922.0,5119708.0,5329957.0,2413577.0,4699104.0,5123164.0,4542428.0,2861945.0,2826713.0
Q9WVD5,Slc25a15 Mitochondrial ornithine transporter 1,18,FP,7505471.0,5906131.0,7534447.0,3751587.0,4425160.0,5986550.0,5985873.0,4785621.0,6535876.0,7045592.0,4858493.0,6607674.0,7163547.0,4828755.0,3661441.0,5152188.0
P68040,Rack1 Receptor of activated protein C kinase 1,22,FP,3792968.0,5281311.0,6938684.0,2961288.0,3291627.0,5190792.0,6675988.0,4503347.0,8984698.0,7583138.0,3634605.0,5432278.0,6684617.0,5648202.0,3866607.0,4697938.0
Q8VBT2,Sds L-serine dehydratase/L-threonine deaminase,14,,11094130.0,3775125.0,6058609.0,3884074.0,5280324.0,7548700.0,6248580.0,3817339.0,6314005.0,6133591.0,4212672.0,3915985.0,6927097.0,4494684.0,2959219.0,4620832.0
A8DUK4,Hbbt1 Protein Hbb-bs,11,,3721758.0,3190164.0,4325403.0,2341909.0,1629561.0,2380339.0,2660990.0,8260203.0,3422192.0,5114971.0,1951186.0,1566418.0,8602833.0,2202449.0,2022852.0,3605058.0
Q99LX0,Park7 Protein deglycase DJ-1,9,TP,1043125.0,1091653.0,1102524.0,464617.0,531990.0,650761.0,779641.0,668246.0,1115756.0,1056035.0,687775.0,991580.0,831385.0,749238.0,571966.0,634874.0
P13707,Gpd1 Glycerol-3-phosphate dehydrogenase,17,,2420059.0,3606163.0,2881730.0,5125642.0,1476967.0,4468157.0,2205350.0,1841605.0,3887024.0,3225147.0,3807433.0,4025034.0,3541023.0,2596147.0,1663246.0,1486420.0
Q7TMM9,Tubb2a Tubulin beta-2A chain,8,,4913675.0,5127673.0,4565944.0,2184551.0,2008342.0,3108220.0,2903693.0,2629105.0,4778130.0,4505183.0,4971869.0,5232854.0,3347171.0,2315456.0,1954434.0,1756476.0
P68372,Tubb4b Tubulin beta-4B chain,4,,2163638.0,2527326.0,2352986.0,1813970.0,1425067.0,2456097.0,2279885.0,1638605.0,2814643.0,2494292.0,2641179.0,3245801.0,2715319.0,1900314.0,1423892.0,1630127.0
P62908,Rps3 40S ribosomal protein S3,20,FP,6254705.0,7239088.0,12146011.0,4241033.0,5516750.0,7946963.0,10227238.0,7382052.0,13828922.0,11826448.0,5686960.0,8096935.0,11525473.0,8400360.0,5778348.0,7966055.0
P99024,Tubb5 Tubulin beta-5 chain,5,,3260398.0,4645082.0,3667347.0,3336834.0,1698288.0,3438382.0,3394352.0,2795702.0,5539490.0,4609921.0,5688428.0,5636982.0,3745452.0,2366419.0,2153435.0,2154991.0
Q5SWU9,Acaca Acetyl-CoA carboxylase 1,139,,99838089.0,112559535.0,94481253.0,35260393.0,45192492.0,63127497.0,68357557.0,51629290.0,69790897.0,94678481.0,112661615.0,188381202.0,69002468.0,60737156.0,58822203.0,43301648.0
E9Q4Z2,Acacb Acetyl-CoA carboxylase 2,126,FP,93510076.0,86065111.0,146542647.0,18657345.0,46603936.0,57694638.0,76291594.0,44603065.0,71919082.0,79216279.0,82791980.0,140609835.0,83160790.0,62899327.0,44455883.0,46624096.0
P68369,Tuba1a Tubulin alpha-1A chain,5,,1360525.0,1258567.0,964632.0,1523070.0,667424.0,1158325.0,1132961.0,1028360.0,1523181.0,1312240.0,1795016.0,1807037.0,1168025.0,879542.0,788011.0,1000332.0
P17182,Eno1 Alpha-enolase,18,,5336321.0,5649127.0,20647628.0,1493054.0,6754978.0,4058570.0,10016293.0,8366815.0,13233501.0,10256248.0,4262791.0,4645241.0,14160500.0,11447246.0,3087423.0,8443808.0
Q9DBM2,Ehhadh Peroxisomal bifunctional enzyme,44,,21511429.0,15358241.0,16372087.0,17181222.0,6564145.0,23725860.0,7678892.0,7830975.0,12700800.0,11931304.0,13370519.0,17971647.0,45476440.0,34838087.0,5110818.0,5858890.0
P11983,Tcp1 T-complex protein 1 subunit alpha,31,,3532794.0,4893784.0,7935812.0,2324061.0,2418421.0,3088764.0,4253666.0,3569839.0,6842066.0,5729063.0,3560466.0,5158043.0,5254666.0,4377239.0,2147116.0,3497781.0
