uniprot_id,description,pep_num,annotation,alb_turbo(+)_1,alb_turbo(+)_2,alb_turbo(+)_3,alb_turbo(-)_1,alb_turbo(-)_2,adip_turbo(+)_1,adip_turbo(+)_2,adip_turbo(+)_3,adip_turbo(-)_1,adip_turbo(-)_2,CD19_turbo(+)_1,CD19_turbo(+)_2,CD19_turbo(+)_3,CD19_turbo(+)_4,CD19_turbo(-)_1,CD19_turbo(-)_2
Q8BWT1,"Acaa2 3-ketoacyl-CoA thiolase, mitochondrial",33,FP,81165003.0,41766547.0,109229133.0,73031865.0,47736766.0,6017643.0,5510322.0,1444150.0,1877021.0,2180363.0,394866.0,423632.0,1104863.0,422148.0,183957.0,298557.0
E9QPD7,Pcx Pyruvate carboxylase,88,,1074833375.0,828573093.0,1169569631.0,963015281.0,1024967774.0,681312872.0,639002352.0,383924268.0,673570297.0,726069215.0,7858416.0,29100465.0,36562489.0,17259304.0,10571804.0,23781858.0
Q91ZA3,"Pcca Propionyl-CoA carboxylase alpha chain, mitochondrial",58,FP,293574529.0,217696230.0,335669417.0,241946291.0,261233945.0,92493169.0,104082356.0,66140830.0,108912649.0,147227396.0,23901909.0,19856776.0,58557467.0,27637069.0,25964735.0,31950247.0
P20152,Vim Vimentin,31,FP,1451322.0,1241665.0,1693653.0,1443477.0,1168536.0,10998874.0,16762834.0,10795124.0,11198804.0,14372053.0,595553.0,1684288.0,1445132.0,1042291.0,386302.0,909445.0
Q99MR8,"Mccc1 Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",45,FP,121131123.0,76765321.0,146184689.0,100428278.0,123601254.0,62396747.0,71715423.0,43145410.0,82051848.0,96813764.0,9489959.0,10752683.0,24236454.0,11898046.0,11503470.0,12873557.0
P68368,Tuba4a Tubulin alpha-4A chain,6,,3014523.0,3193474.0,3032416.0,4007300.0,1499532.0,260310.0,257360.0,132928.0,180621.0,211762.0,79266.0,120402.0,210062.0,106172.0,60944.0,82800.0
A8DUK4,Hbbt1 Protein Hbb-bs,9,,819711.0,749820.0,974759.0,839043.0,742462.0,1644342.0,2106473.0,3517373.0,1042692.0,9786871.0,221890.0,904384.0,863005.0,1772383.0,226074.0,659848.0
P68369,Tuba1a Tubulin alpha-1A chain,3,,2593668.0,2526388.0,2578141.0,3520572.0,1240570.0,1129363.0,1005752.0,783385.0,1075493.0,1159231.0,184242.0,304480.0,448064.0,217562.0,136375.0,200503.0
Q3ULD5,"Mccc2 Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",32,FP,9285937.0,5779070.0,11327369.0,6546015.0,7404335.0,23529696.0,17430992.0,14769542.0,18483488.0,28129638.0,286110.0,1297248.0,1491241.0,862669.0,469986.0,721330.0
A2AFQ2,Hsd17b10 3-hydroxyacyl-CoA dehydrogenase type-2,16,,6605279.0,5157114.0,6610921.0,5990115.0,4197019.0,851829.0,979819.0,489006.0,786631.0,741246.0,83859.0,122836.0,258064.0,114846.0,54695.0,86499.0
