uniprot_id,description,pep_num,annotation,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,ctrl_turbo(-)_1,ctrl_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4,LPS_turbo(-)_1,LPS_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2
Q8BWT1,"Acaa2 3-ketoacyl-CoA thiolase, mitochondrial",22,FP,1041497.0,6135669.989905108,1899054.004526662,1762190.0,2316512.0,2867229.9571823203,710292.0995658073,1154950.6760902256,1895435.6306145545,991052.0,3770769.0,1273235.8938749752,1068076.0,1208141.600561153,1073368.0,2471158.0
Q91ZA3,"Pcca Propionyl-CoA carboxylase alpha chain, mitochondrial",53,FP,95900645.0,547220536.167979,76167087.73522045,85328595.0,71540984.0,77639674.69060774,121944544.49625508,116553083.67172933,106727918.83952822,93183859.0,142880287.0,116048993.62064041,114369384.0,143900342.81198826,110708201.0,142709610.0
A8DUK4,Hbbt1 Protein Hbb-bs,10,,1032195.0,3423955.408843125,1487220.6071159127,503827.0,530380.0,1092931.6367403315,809801.3266485753,612025.9775939849,744811.0465268106,403141.0,1095218.0,593755.6733873647,1130661.0,625079.9125366663,718915.0,1179549.0
P05064,Aldoa Fructose-bisphosphate aldolase A,3,,549112.0,1217899.8122350092,1031893.6817454809,467578.0,346066.0,1422565.6698895027,289466.92396200815,467716.3693233083,1109968.1093314765,331736.0,561636.0,383055.1226665781,1709867.0,220903.18056370362,606925.0,467485.0
S4R1W1,Gm3839 Glyceraldehyde-3-phosphate dehydrogenase,5,,24883560.0,70492545.0010095,17219540.124271963,15499314.0,17318364.0,36059477.24585635,25932806.25476255,28412998.74556391,86110147.94133009,17526357.0,42318551.0,17334201.81432273,29401678.0,32478493.243999492,22314946.0,39200681.0
E9QPD7,Pcx Pyruvate carboxylase,67,,128207996.0,611891313.5796487,121463869.13293298,77178243.0,99234248.0,77387124.26519337,152486124.99492538,122437125.20977443,98671629.01723538,85941461.0,213178858.0,141859774.10409886,121228446.0,176902515.8054585,121243653.0,223140682.0
Q3ULD5,"Mccc2 Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",35,FP,7665754.0,15065839.277205734,4641245.78181489,4535955.0,4674021.0,4158764.83839779,4954458.125861601,10699143.895338345,5754970.350235028,5571451.0,24756074.0,3241353.582442038,4467795.0,5295979.0296645835,2725104.0,13775155.0
Q99MN9,"Pccb Propionyl-CoA carboxylase beta chain, mitochondrial",28,FP,8782566.0,136388930.7752877,25605976.81129855,12545116.0,9852409.0,14374097.755524863,17713225.257476255,25946222.825714286,27966957.29143454,11233764.0,24620492.0,15969614.098585,20696458.0,26020477.61122306,25662252.0,21575045.0
Q99MR8,"Mccc1 Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",41,FP,20263844.0,30072129.08944074,9188921.568880707,9896522.0,10074168.0,11185937.498618785,10624624.349552238,18992252.503909774,9983333.55762535,15251087.0,34443261.0,11892398.900551386,10375821.0,12581271.256268334,7900056.0,28549767.0
P56480,"Atp5b ATP synthase subunit beta, mitochondrial",20,FP,3181945.0,13794030.759135878,5370815.081811872,2301891.0,1796047.0,3793084.0856353594,2169883.3377476255,1844702.4729323308,2113270.908034471,1365073.0,5457358.0,4252111.869693749,3787007.0,2878834.174212473,2674885.0,6083448.0
Q9R0Y5,Ak1 Adenylate kinase isoenzyme 1,12,,2600622.0,8192588.883504947,2722349.9110963577,1431955.0,1373174.0,2989125.6422651936,1600314.6534871098,1931384.1993984962,2509994.4139972148,1080928.0,2124788.0,1533368.978774995,3829350.0,1426244.8102282872,1633871.0,1880339.0
E9Q4Z2,Acacb Acetyl-CoA carboxylase 2,100,FP,23118931.0,92454519.20250353,12748267.972357184,14589422.0,15316554.0,15579388.015193371,19388039.11009498,25525250.204511277,21696690.730022635,17707341.0,27064265.0,25324234.642994754,20505417.0,27456180.335314374,21107881.0,24652524.0
P68368,Tuba4a Tubulin alpha-4A chain,5,,339789.0,3647992.9174237833,832364.3209101608,374123.0,342659.0,334489.04834254144,373291.510990502,340333.47067669174,429357.5265929666,251062.0,356189.0,868191.5030226533,499590.0,492611.5125621732,576474.0,551302.0
Q60932,Vdac1 Voltage-dependent anion-selective channel protein 1,14,FP,612592.0,2595764.831415304,463361.96378670365,342552.0,322125.0,485235.4143646409,405134.0415468114,382815.9282706767,382046.9195682451,292727.0,1083454.0,418783.985484621,487086.0,353008.9068231093,409615.0,809295.0
P68369,Tuba1a Tubulin alpha-1A chain,2,,41764.0,331350.75913587725,79576.49895886773,40915.0,33448.0,37203.57596685083,39938.11668928087,46133.492932330824,44985.371213440114,31341.0,53314.0,64676.67993091079,50724.0,37334.29753857927,42396.0,66530.0
Q8BFR5,"Tufm Elongation factor Tu, mitochondrial",21,FP,1026844.0,4277982.416717141,1580821.4000060356,959694.0,1552897.0,1339393.8604972376,776578.0087652645,1148432.7908270676,933970.1515059193,770287.0,2578246.0,1298471.9918288714,1202838.0,1068256.6448157122,846158.0,1863529.0
Q03265,"Atp5a1 ATP synthase subunit alpha, mitochondrial",27,FP,7470979.0,19950407.888148595,8532068.645743428,3832067.0,4051240.0,4919947.607734807,4239168.891207598,3506698.7409022558,4090359.2902594013,3819551.0,8848462.0,6171577.826944795,6078292.0,7632424.521081495,5118306.0,10330543.0
Q9WUB3,"Pygm Glycogen phosphorylase, muscle form",37,,8399736.0,22581478.610942863,8338189.760871533,3238041.0,4290307.0,5103151.777624309,3855849.0165264583,3662507.2362406016,5023619.893323468,2873365.0,10285657.0,3315079.756991962,7091654.0,5282077.348603494,3638949.0,4963981.0
Q9JJZ2,Tuba8 Tubulin alpha-8 chain,6,,185504.0,1414661.4738542298,413250.11189908563,166572.0,131217.0,138087.47237569062,110475.97416553595,143159.56962406015,174956.41882834263,103884.0,184786.0,380856.4071613632,222260.0,185159.13018747608,222702.0,263032.0
P48962,Slc25a4 ADP/ATP translocase 1,10,FP,1828625.0,1635849.3761356752,1087955.4723722728,366055.0,844523.0,729412.6367403315,557003.6007598372,486514.3282706767,629334.3159818941,602402.0,1854175.0,719946.728824819,747605.0,1277676.780436169,630197.0,1220553.0
P09411,Pgk1 Phosphoglycerate kinase 1,14,,777326.0,1436457.308701797,1560434.3411896068,537099.0,438594.0,1949852.6726519337,411093.1007869742,547580.3308270677,1612182.5907033428,470017.0,740601.0,360307.2395203614,3102814.0,331721.50131360797,885471.0,576235.0
