uniprot_id,description,pep_num,annotation,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4,ctrl_turbo(-)_1,ctrl_turbo(-)_2,fast_turbo(-)_1,fast_turbo(-)_2,LPS_turbo(-)_1,LPS_turbo(-)_2
Q8BWT1,"Acaa2 3-ketoacyl-CoA thiolase, mitochondrial",35,FP,113463658.7086925,79178660.0,103067989.39634731,34245241.0,38627793.67209364,18070232.76610541,30442310.833501354,37689765.99359591,26906615.68676707,20265664.7110651,82586096.0,85982245.0,25082393.0,25035577.0,17247901.0,12380580.0
E9QPD7,Pcx Pyruvate carboxylase,97,,3636960983.101848,3400314430.0,3200694329.5310106,2198648317.0,2806192562.005974,2445652754.1915374,4939254425.794575,4776243130.974881,3284515236.4084525,3535754720.5150504,2281074941.0,3932849534.0,4132459938.0,3557135002.0,2687434930.0,2787295482.0
Q91ZA3,"Pcca Propionyl-CoA carboxylase alpha chain, mitochondrial",63,FP,290195780.7188033,178771853.0,461280342.8760181,63003481.0,252622833.60708794,120337110.17718087,366609815.30282086,372961757.954164,219157386.9807869,232686573.4911315,262536296.0,377284840.0,518988789.0,375745157.0,248399457.0,279973599.0
Q8C196,Cps1 Carbamoyl-phosphate synthase,109,FP,415947637.6931438,309665900.0,385360684.2427389,238299868.0,258556881.49934733,232616870.51865515,365928855.13535917,364576985.07070225,265054067.76388183,269417451.1158763,277899964.0,310023087.0,422757647.0,302965281.0,142200904.0,194830651.0
P16460,Ass1 Argininosuccinate synthase,31,,123443672.09448662,73324507.0,71294986.35527244,49507166.0,45022176.78948444,40986450.57773591,55670222.34779122,57423569.123888604,44494177.90278292,49497598.80871873,67312966.0,80514026.0,58643402.0,49176133.0,27964182.0,32266185.0
A2AFQ2,Hsd17b10 3-hydroxyacyl-CoA dehydrogenase type-2,21,,27851463.103313897,25727271.0,22348885.53154091,31862170.0,18573190.158325043,28034883.958511874,32112147.04995327,32521523.55784769,24276436.84926173,23943571.8169451,24857752.0,27443557.0,44345465.0,30113691.0,14309669.0,16712074.0
P67778,Phb Prohibitin,16,FP,12499893.326445026,9222625.0,15068938.27295229,7204361.0,8641425.335085532,8198164.918808055,13708014.930694552,14958463.185411485,9581161.488188433,8208742.089995571,8713256.0,11607021.0,16603662.0,11065078.0,5195749.0,9843753.0
P11352,Gpx1 Glutathione peroxidase 1,13,,4666691.165208562,3974115.0,3867572.986866827,2357998.0,3206220.9241882153,2751001.660986666,5367343.140668447,5193072.235366452,3817924.6318045906,4270401.675723833,2413577.0,4699104.0,5123164.0,4542428.0,2861945.0,2826713.0
Q9WVD5,Slc25a15 Mitochondrial ornithine transporter 1,18,FP,9332028.307621352,5906131.0,7440487.938371108,3751587.0,5025960.629455036,4164323.6811245224,7961166.4003619915,8164491.581613008,4874004.918018851,5644981.354120949,4858493.0,6607674.0,7163547.0,4828755.0,3661441.0,5152188.0
P68040,Rack1 Receptor of activated protein C kinase 1,22,FP,4716037.773765557,5281311.0,6852154.459400749,2961288.0,3738528.7105666664,3610783.8486927734,8879014.198065989,7682919.034035958,6700167.236788786,6075667.2563109,3634605.0,5432278.0,6684617.0,5648202.0,3866607.0,4697938.0
Q8VBT2,Sds L-serine dehydratase/L-threonine deaminase,14,,13794035.738520779,3775125.0,5983054.521162155,3884074.0,5997229.599554938,5250975.966408813,8310564.749030582,6512557.540528809,4708548.8498245105,4914279.286794363,4212672.0,3915985.0,6927097.0,4494684.0,2959219.0,4620832.0
A8DUK4,Hbbt1 Protein Hbb-bs,11,,4627497.862574678,3190164.0,4271462.636885521,2341909.0,1850805.2656390679,1655795.419198748,3539096.8334442205,14092289.768854348,2552034.43859779,4098153.27397178,1951186.0,1566418.0,8602833.0,2202449.0,2022852.0,3605058.0
Q99LX0,Park7 Protein deglycase DJ-1,9,TP,1296983.4975563192,1091653.0,1088774.8661268263,464617.0,604217.8803170471,452677.9936778738,1036916.7093161889,1140058.6969688085,832053.7646841896,846103.192506622,687775.0,991580.0,831385.0,749238.0,571966.0,634874.0
P13707,Gpd1 Glycerol-3-phosphate dehydrogenase,17,,3009012.9046016997,3606163.0,2845793.102883619,5125642.0,1677493.693562338,3108109.3461312945,2933099.035184729,3141863.6200310104,2898674.0403975397,2584012.05736851,3807433.0,4025034.0,3541023.0,2596147.0,1663246.0,1486420.0
Q7TMM9,Tubb2a Tubulin beta-2A chain,8,,6109483.894408672,5127673.0,4509003.946710081,2184551.0,2281013.0757940924,2162119.109026879,3861890.0114597008,4485375.176947081,3563199.3506200877,3609586.537497868,4971869.0,5232854.0,3347171.0,2315456.0,1954434.0,1756476.0
P68372,Tubb4b Tubulin beta-4B chain,4,,2690188.405690362,2527326.0,2323642.856888645,1813970.0,1618547.2697790812,1708493.6900617043,3032230.0287174988,2795536.196470423,2098966.3550023492,1998445.5290248215,2641179.0,3245801.0,2715319.0,1900314.0,1423892.0,1630127.0
P62908,Rps3 40S ribosomal protein S3,20,FP,7776871.580187415,7239088.0,11994542.976388685,4241033.0,6265754.978926427,5528012.998124192,13602150.184961388,12594123.397784628,10312654.92780143,9475439.174661404,5686960.0,8096935.0,11525473.0,8400360.0,5778348.0,7966055.0
P99024,Tubb5 Tubulin beta-5 chain,5,,4053859.7018244485,4645082.0,3621612.988892412,3336834.0,1928863.2784974857,2391784.1807639287,4514462.818272544,4769597.392626505,4130969.0549998577,3693503.411632493,5688428.0,5636982.0,3745452.0,2366419.0,2153435.0,2154991.0
Q5SWU9,Acaca Acetyl-CoA carboxylase 1,139,,124135030.66320822,112559535.0,93303015.25097848,35260393.0,51328242.49043236,43912325.243623994,90915040.4626409,88081965.44809058,52045230.84754777,75857111.77733462,112661615.0,188381202.0,69002468.0,60737156.0,58822203.0,43301648.0
E9Q4Z2,Acacb Acetyl-CoA carboxylase 2,126,FP,116267010.5953143,86065111.0,144715172.52168274,18657345.0,52931317.17579527,40133156.375091955,101467250.43830006,76094899.43032217,53632284.23663501,63468679.12559269,82791980.0,140609835.0,83160790.0,62899327.0,44455883.0,46624096.0
P68369,Tuba1a Tubulin alpha-1A chain,5,,1691627.0562135996,1258567.0,952602.4618617396,1523070.0,758039.6521602378,805746.2525057942,1506829.6714815905,1754429.8979939183,1135883.190720398,1051376.5673816586,1795016.0,1807037.0,1168025.0,879542.0,788011.0,1000332.0
P17182,Eno1 Alpha-enolase,18,,6634986.482601063,5649127.0,20390139.726243153,1493054.0,7672096.258855028,2823195.1896336875,13321594.9098454,14274174.789941251,9868631.06898102,8217383.113191946,4262791.0,4645241.0,14160500.0,11447246.0,3087423.0,8443808.0
Q9DBM2,Ehhadh Peroxisomal bifunctional enzyme,44,,26746524.550609402,15358241.0,16167917.280387321,17181222.0,7455354.0066425,16504023.29439244,10212869.030533807,13360006.87545502,9471379.454379769,9559450.591284407,13370519.0,17971647.0,45476440.0,34838087.0,5110818.0,5858890.0
P11983,Tcp1 T-complex protein 1 subunit alpha,31,,4392546.931830777,4893784.0,7836847.676701515,2324061.0,2746768.1917596827,2148585.2570520425,5657344.022761959,6090311.051212329,5102340.272889139,4590168.407648956,3560466.0,5158043.0,5254666.0,4377239.0,2147116.0,3497781.0
Q9D819,Ppa1 Inorganic pyrophosphatase,18,,8268994.833232631,5680648.0,8486066.293406911,2655724.0,5042266.868496581,4487289.9708755985,11189253.78964329,10445431.289925778,7347220.071213264,7553516.175489395,4326606.0,6742286.0,8833132.0,6264085.0,5221583.0,7286117.0
Q91V41,Rab14 Ras-related protein Rab-14,13,,1726793.1046367371,1590700.0,2156099.606118402,710257.0,1217903.5330552356,1069005.2719850705,2460709.6269207424,2343044.9161939337,1752836.087430943,1872696.8086124093,999490.0,1609774.0,2209734.0,1518695.0,1129451.0,1316355.0
P85094,Isoc2a Isochorismatase domain-containing protein 2A,7,FP,1942930.7030364568,1844973.0,1801791.832302399,1166892.0,1302236.6709888459,1114712.6293844627,1984737.2187697596,1985682.7843792092,1266554.6394695437,1596210.5061768529,1319325.0,2021837.0,1987264.0,1590376.0,956431.0,1047150.0
Q91WU0,Ces1f Carboxylesterase 1F,26,TP,43276451.00510903,51925350.0,44265187.7587661,11351426.0,15638462.378543878,15020929.17543509,9315714.58666863,6295429.012466957,11754796.390212083,12271190.35166107,676990.0,1397883.0,1058669.0,779577.0,444759.0,626349.0
P56480,"Atp5b ATP synthase subunit beta, mitochondrial",27,FP,25067880.69552844,20524634.0,20920193.170040276,19723542.0,15591969.664525235,16079263.044092346,26459632.230082806,26341675.778343208,14877802.701822886,16568072.73741396,18749743.0,21533195.0,24171630.0,16906190.0,11926394.0,15994260.0
Q3ULD5,"Mccc2 Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",33,FP,13681628.222566241,7457109.0,14587489.051250136,3392223.0,11320649.32988201,7288542.039593053,19358065.27439924,17723266.661645353,10337516.10569968,12912643.508749936,8311315.0,18838639.0,21857673.0,16312854.0,12018327.0,11696249.0
P68368,Tuba4a Tubulin alpha-4A chain,10,,2848619.0197031833,3513215.0,2566377.583836969,2559126.0,1485855.3489583128,1630463.2703825664,2750745.0888201413,2673535.1108239153,2172306.755229098,2021071.6296335957,3462526.0,3375542.0,2626931.0,1790869.0,1261363.0,1323559.0
Q99MR8,"Mccc1 Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",49,FP,110311752.25973451,79576292.0,107538231.82650961,39102403.0,81365621.63151324,71147642.08239593,149982860.40817574,144704861.39568195,91725719.29603457,108348341.2761349,69587889.0,136882021.0,137666313.0,118785710.0,87485130.0,82139794.0
Q99L04,Dhrs1 Dehydrogenase/reductase SDR family member 1,18,TP,2297417.3523870134,2444313.0,2848590.7736787554,1787145.0,1707661.9962315261,1536680.68797881,2996503.7692651977,2970179.0504981405,2324650.6364000738,2182534.9768426344,2150441.0,2858813.0,2838391.0,2293654.0,1767831.0,1788756.0
Q8K0E8,Fgb Fibrinogen beta chain,29,TP,6762438.6962863915,7148608.0,9132368.73578896,1755331.0,3890177.755845361,3942847.3689191225,12556959.59209026,8793500.660934422,13344786.467719842,15585820.349565659,418382.0,1494018.0,949063.0,682578.0,888694.0,903370.0
O35490,Bhmt Betaine--homocysteine S-methyltransferase 1,24,FP,16535637.222820085,9968462.0,8112524.409433167,6324257.0,6453563.509638407,5931012.3781874,7704088.153458796,9004120.621898325,10809503.383106347,11385489.880674034,1733587.0,2184964.0,6740366.0,2799442.0,1971552.0,3246555.0
O35129,Phb2 Prohibitin-2,17,FP,6773745.843490013,5992759.0,10210553.3366115,3630263.0,5437619.056310866,4707496.788845077,7990323.826688132,8411121.064395105,6291000.33331423,5454044.786763384,4785444.0,6820760.0,10472157.0,7509827.0,3434151.0,5490661.0
Q99MN9,"Pccb Propionyl-CoA carboxylase beta chain, mitochondrial",30,FP,29736526.42807856,15052698.0,40214708.52622612,6647336.0,27699232.329217564,12135143.398484183,40960997.01734477,40537478.20777448,16825544.51778712,21098352.484712183,26987645.0,43048633.0,59242722.0,38534047.0,27149933.0,36180883.0
O70475,Ugdh UDP-glucose 6-dehydrogenase,27,,5932758.43060983,4292209.0,5310848.195042997,2566140.0,2899655.2255147495,3351494.6942022094,7758818.676231547,5572619.794846111,5975150.470342935,5283819.434021146,3481384.0,5125638.0,5757517.0,4577416.0,3848299.0,3993761.0
Q7TNG8,"Ldhd Probable D-lactate dehydrogenase, mitochondrial",24,FP,6641921.963918613,6354918.0,5394130.499609554,5276724.0,3214761.9089059434,4525004.036075008,9248749.462574245,7449613.773805626,5848451.530282492,5339968.858835719,8088081.0,8946682.0,5142085.0,4407285.0,4976177.0,4954085.0
