uniprot_id,description,pep_num,annotation,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,ctrl_turbo(-)_1,ctrl_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4,LPS_turbo(-)_1,LPS_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2
E9QPD7,Pcx Pyruvate carboxylase,79,,1076540628.8903313,594459287.0,659900691.309339,977333272.0,394253271.0,711439446.5674071,651547142.9982493,719675249.4592524,729796295.1985072,509333076.0,918506991.0,543823278.0,613300182.8995552,392953618.0311719,560280542.0,299136854.0
P20152,Vim Vimentin,37,FP,20848440.396371093,13286891.0,15664867.770116542,9230688.0,10056083.0,9983105.912544258,8884883.358469903,7870137.182470328,8448006.312094333,11112658.0,8735893.0,10058289.0,15176372.372044837,10581193.26539077,8176573.0,3242685.0
A8DUK4,Hbbt1 Protein Hbb-bs,8,,2403288.529014544,1913688.0,2195519.0741338474,1478207.0,924490.0,1882491.542834487,1790047.9765051394,1551514.1310551716,2147081.051763306,1305996.0,2203807.0,2475657.0,2562511.4716034574,2278882.6035015774,2002339.0,1118460.0
Q91ZA3,"Pcca Propionyl-CoA carboxylase alpha chain, mitochondrial",41,FP,159506600.39410967,112078827.0,119150304.52818117,137043999.0,67617667.0,119556201.16812716,96445253.38239528,104314665.89544803,85552010.96174096,86338166.0,150488872.0,99314445.0,90074898.16775762,81848547.45563498,86258855.0,48599783.0
Q99MR8,"Mccc1 Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",41,FP,43062439.110022105,29815697.0,32811700.05332723,41357762.0,21076221.0,34627239.667082384,35680731.11275996,34036665.88086442,27718385.232366942,28734721.0,45301996.0,32406997.0,28065136.418587916,24390577.256277464,29791253.0,17932232.0
Q3ULD5,"Mccc2 Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",32,FP,12345447.118094413,17425970.0,12422236.58071882,10035152.0,7083296.0,10019553.52312157,7592730.10435491,9314838.372179471,7218486.842330161,12018182.0,12157915.0,15518088.0,16910075.161081962,13942572.157107519,10833323.0,4907935.0
Q91VB8,Hba-a2 Hemoglobin subunit alpha,5,,1621803.3133260857,1280492.0,1473642.4092694945,979175.0,537249.0,1058408.7451995576,874622.0199256139,794224.4894808922,1055287.0728941297,783059.0,1258253.0,1304500.0,1577747.734952281,1242032.0673145223,1119673.0,552600.0
A2AFQ2,Hsd17b10 3-hydroxyacyl-CoA dehydrogenase type-2,14,,1651213.7092468347,1108558.0,1280815.4629567636,951124.0,506531.0,1005770.9405509605,1072131.5561093425,1124527.4982555108,1130457.6775385835,716505.0,1269484.0,928926.0,684402.5209746998,853526.406931619,728622.0,457628.0
Q8CGN5,Plin1 Perilipin-1,24,TP,5664624.089555635,5622549.0,5993230.015184917,2556962.0,3162917.0,6417738.226771255,6134235.272284567,8330021.132323596,11828808.630318766,2610712.0,2956605.0,9106520.0,8522378.825127,12888837.797330994,2975118.0,1181673.0
Q02819,Nucb1 Nucleobindin-1,27,TP,7508381.226540311,7115479.0,7047736.13912453,244571.0,640898.0,3484321.7047933973,3379610.4149436746,3404835.7810307164,3121629.957125343,421228.0,673650.0,6020375.0,6229986.172761038,5857320.500989919,311423.0,280832.0
O88492,Plin4 Perilipin-4,36,,3010324.3721057484,3227763.0,3957133.558737328,1733132.0,1358467.0,5978350.563284897,5399712.944380133,4583738.42333866,5753361.76882302,1915307.0,2154388.0,5074425.0,4704024.681870118,5101966.807094171,2054547.0,871387.0
