uniprot_id,description,pep_num,annotation,alb_turbo(+)_1,alb_turbo(+)_2,alb_turbo(+)_3,alb_turbo(-)_1,alb_turbo(-)_2,adip_turbo(+)_1,adip_turbo(+)_2,adip_turbo(+)_3,adip_turbo(-)_1,adip_turbo(-)_2,CD19_turbo(+)_1,CD19_turbo(+)_2,CD19_turbo(+)_3,CD19_turbo(+)_4,CD19_turbo(-)_1,CD19_turbo(-)_2
Q8BWT1,"Acaa2 3-ketoacyl-CoA thiolase, mitochondrial",33,FP,81165003.0,47097848.07804614,101377789.56319118,73031865.0,47736766.0,6231108.07524688,3164973.3915293384,1444150.0,1877021.0,2180363.0,665042.4265967588,411641.15906501666,826750.3818938134,434813.84633963526,183957.0,298557.0
E9QPD7,Pcx Pyruvate carboxylase,88,,1074833375.0,934336507.5324708,1085501465.3555582,963015281.0,1024967774.0,705481222.2142197,367024910.92256755,383924268.0,673570297.0,726069215.0,13235325.517635843,28276780.653800823,27359094.968098626,17777140.61747314,10571804.0,23781858.0
Q91ZA3,"Pcca Propionyl-CoA carboxylase alpha chain, mitochondrial",58,FP,293574529.0,245484118.3711785,311541642.64422995,241946291.0,261233945.0,95774198.01425149,59781966.87374785,66140830.0,108912649.0,147227396.0,40256146.545042895,19294732.900098212,43817566.70735139,28466273.139855918,25964735.0,31950247.0
P20152,Vim Vimentin,31,FP,1451322.0,1400157.6317483743,1571913.9455869105,1443477.0,1168536.0,11389039.296618784,9628098.60778069,10795124.0,11198804.0,14372053.0,1003044.1017635843,1636614.4779414653,1081367.9459688398,1073563.202277838,386302.0,909445.0
Q99MR8,"Mccc1 Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",45,FP,121131123.0,86564049.12094948,135676995.97874266,100428278.0,123601254.0,64610159.50943525,41191314.329229966,43145410.0,82051848.0,96813764.0,15983207.87726406,10448329.902317816,18135730.493510816,12255027.017031733,11503470.0,12873557.0
P68368,Tuba4a Tubulin alpha-4A chain,6,,3014523.0,3601105.767570164,2814447.2328280215,4007300.0,1499532.0,269544.02962547215,147820.31831243084,132928.0,180621.0,211762.0,133501.62583412774,116994.03924572775,157185.85808500985,109357.51370034147,60944.0,82800.0
A8DUK4,Hbbt1 Protein Hbb-bs,9,,819711.0,845530.9567697938,904693.7393234336,839043.0,742462.0,1702672.0785310136,1209898.6220723544,3517373.0,1042692.0,9786871.0,373712.2569113441,878785.5450009821,645772.112312812,1825560.3944990423,226074.0,659848.0
P68369,Tuba1a Tubulin alpha-1A chain,3,,2593668.0,2848869.4124079454,2392825.325842651,3520572.0,1240570.0,1169425.123621498,577675.5548001397,783385.0,1075493.0,1159231.0,310304.6267874166,295861.7387546651,335278.7477839964,224089.58478387608,136375.0,200503.0
Q3ULD5,"Mccc2 Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",32,FP,9285937.0,6516740.799578048,10513162.553314555,6546015.0,7404335.0,24364369.696524736,10011869.699803527,14769542.0,18483488.0,28129638.0,481873.06244041945,1260529.587743076,1115870.5343972167,888551.9438868994,469986.0,721330.0
A2AFQ2,Hsd17b10 3-hydroxyacyl-CoA dehydrogenase type-2,16,,6605279.0,5815395.074272356,6135730.821528002,5990115.0,4197019.0,882046.1035374604,562780.3717305241,489006.0,786631.0,741246.0,141237.262392755,119359.1452366922,193104.9465436394,118291.76259681853,54695.0,86499.0
P16460,Ass1 Argininosuccinate synthase,23,,70012050.0,37901357.58915704,75067621.96266209,41415772.0,24511483.0,1124606.736950685,890690.3630469812,409546.0,462410.0,594863.0,133107.51763584366,143170.5348458063,122112.3296021782,168826.8160448072,65830.0,297783.0
Q91V41,Rab14 Ras-related protein Rab-14,10,,1757565.0,1469197.7118052286,1909724.7217713501,1461110.0,1330403.0,1492485.5148279055,940204.655712669,911983.0,1538970.0,1562046.0,168169.67349857005,193475.19267334513,226401.30251096658,159645.36634879655,103870.0,132879.0
Q8C196,Cps1 Carbamoyl-phosphate synthase,78,FP,213985612.0,189339984.40601924,235117212.5667497,162656588.0,90582060.0,9465635.395279342,5028734.53724794,2898263.0,2576152.0,3308451.0,945307.2507149666,698935.4616971125,677527.004961428,927862.0210293996,356761.0,1272560.0
P11352,Gpx1 Glutathione peroxidase 1,11,,1423745.0,1214302.5255869927,1671349.9837767552,970855.0,1071422.0,242583.41382370342,186078.07306124337,185594.0,201053.0,234312.0,46686.66348903718,52355.90628560204,44850.59630918167,69304.80415590906,21852.0,38238.0
Q99MN9,"Pccb Propionyl-CoA carboxylase beta chain, mitochondrial",22,FP,29978162.0,24521584.029120587,33634841.10772153,22064509.0,22978796.0,43694112.320760585,19582274.38656491,30436011.0,32683814.0,64501298.0,2491932.6639656816,5626954.453270477,4569593.92828619,4207675.879091363,2098676.0,2412868.0
P62908,Rps3 40S ribosomal protein S3,14,FP,4501930.0,4630257.965273203,5271450.229958382,3770252.0,3691892.0,1954687.617766182,1716404.3454232595,1269932.0,2821137.0,2372804.0,876097.4721163012,550505.1410135534,1310936.7311148087,705487.3917922878,415082.0,661207.0
Q9WVL0,Gstz1 Maleylacetoacetate isomerase,10,,4409242.0,1884512.838063778,4858657.532595271,1822891.0,2278767.0,1453233.832099571,805034.875598992,904298.0,1587639.0,1457145.0,44697.596043851285,65436.86637202907,28197.554484949327,35950.20627550596,12576.0,31595.0
P20029,Hspa5 78 kDa glucose-regulated protein,31,TP,17313891.0,17002824.431697857,16871751.795538202,3924774.0,4627611.0,11702418.013371661,11895513.873028427,10961059.0,1534136.0,1824883.0,2938970.9406577693,1123178.5351404438,2617963.6826955075,2907611.8542308654,139704.0,266656.0
P68372,Tubb4b Tubulin beta-4B chain,4,,3629768.0,5006679.479424917,3365855.6440872797,5435221.0,2151129.0,1189485.3459945696,644232.0322056789,726966.0,1087466.0,1110677.0,312361.0631553861,260248.13987428797,472908.2253668129,272285.500666278,176251.0,256021.0
Q8VCH0,"Acaa1b 3-ketoacyl-CoA thiolase B, peroxisomal",5,,966165.0,652517.5586002307,1081411.5811101103,699411.0,591461.0,55608.01745217906,47243.80106524858,44447.0,48755.0,64118.0,11328.084366062916,13006.139560007858,9438.843836030857,17307.14597734655,5326.0,77086.0
Q5SWU9,Acaca Acetyl-CoA carboxylase 1,106,,50233915.0,40396147.522630356,53166025.46236656,60201773.0,53835639.0,112345721.6728456,39845649.15477658,41824429.0,118505322.0,99350635.0,8003921.504051478,7366868.870732665,5701705.948767207,7279945.095881569,5344442.0,7548781.0
P51881,Slc25a5 ADP/ATP translocase 2,9,FP,4651771.0,3993180.125352245,4726132.1449412415,3496521.0,2648012.0,552600.9845577417,526851.6945025264,270903.0,1004084.0,697866.0,216181.82054337463,137705.72133176192,278776.63432158524,182991.4218580828,80332.0,117029.0
P99024,Tubb5 Tubulin beta-5 chain,5,,7126234.0,9261545.470654074,6433985.105112768,10879284.0,2347722.0,3737460.796906998,2190235.7819858557,2260653.0,4160730.0,4533534.0,2009840.6525262154,1794859.8913180123,2306423.470019664,1758052.9461564089,938952.0,1224300.0
Q91WU0,Ces1f Carboxylesterase 1F,19,TP,8733459.0,9974828.448511532,8565558.452555161,987961.0,1749922.0,20496687.789534763,25505719.31486678,28508227.0,1751511.0,2103909.0,94865.54861773117,114375.32082105677,78331.77821812131,121020.2414216707,39408.0,67752.0
Q7TMM9,Tubb2a Tubulin beta-2A chain,5,,3864122.0,3802387.060667891,4162599.6965437965,3860053.0,1649439.0,759944.1388438026,424754.8151844201,430745.0,668150.0,722957.0,190598.47211630124,170762.79027695933,231879.48355770687,182500.11026900975,100179.0,131302.0
Q8CGN5,Plin1 Perilipin-1,17,TP,548825.0,455206.70440622227,598572.7069992296,527480.0,640860.0,4336059.572114437,5883214.780900413,5972168.0,2506115.0,5085247.0,60731.3996663489,256339.01029267334,119069.06197247014,117577.97028816525,57019.0,83979.0
S4R1W1,Gm3839 Glyceraldehyde-3-phosphate dehydrogenase,4,,9235698.0,9762358.659303978,10601522.402328322,12049786.0,9937136.0,8552499.20880421,4915474.742611205,5220206.0,9094965.0,10616502.0,2276321.795042898,3447308.141701041,2703645.098154591,1948827.0731864746,1435822.0,2245577.0
Q03265,"Atp5a1 ATP synthase subunit alpha, mitochondrial",25,FP,44749986.0,42127921.94005517,46611997.26122278,35731295.0,27520902.0,15228925.996404897,8342488.022314686,8428404.0,13346425.0,14832777.0,1236029.4158722593,1609122.3071105874,1595322.4960369084,1086087.0127842093,614616.0,866648.0
Q8BFR5,"Tufm Elongation factor Tu, mitochondrial",23,FP,16962931.0,8201678.471798097,18494890.563733302,13201434.0,13012071.0,1191018.8818090805,1216061.6311471616,996976.0,1392689.0,1626799.0,626780.2469018112,258957.72871734432,916967.1416124641,306278.7006121429,216952.0,291118.0
P62264,Rps14 40S ribosomal protein S14,8,,1759503.0,1784418.5356355766,1854404.1037187101,1437555.0,1227151.0,406865.37946543697,346351.3456841025,291452.0,564372.0,496507.0,212776.32149666347,184085.7024553133,243034.14068975952,215906.20831598237,90180.0,171383.0
O35490,Bhmt Betaine--homocysteine S-methyltransferase 1,14,FP,4897269.0,6540825.046696942,3423917.929881342,1155047.0,895056.0,123511.24372373831,90597.38214320273,101527.0,85041.0,130989.0,36170.37464251668,33930.622883519936,20963.152851308427,40403.94068043641,29641.0,36144.0
Q9Z2I8,Suclg2 Succinate--CoA ligase,15,FP,7470018.0,4693002.401933448,9112265.933851553,4836729.0,3628622.0,498432.27485854714,354288.5891514614,347837.0,390170.0,491256.0,141016.62917063868,94068.83561186407,197920.14870670097,120378.54934621471,58937.0,89139.0
P60710,"Actb Actin, cytoplasmic 1",8,FP,2973605.0,2449216.150941714,2898657.455412572,1961102.0,1220373.0,1593928.7536368188,1695355.9175988995,1053482.0,1967397.0,1878735.0,2617021.595567207,1797451.4022785306,1735564.2301467252,2389111.2672191225,1393516.0,1303386.0
P62737,"Acta2 Actin, aortic smooth muscle",2,,649969.0,401803.68094632,198230.74516461702,268476.0,47809.0,249100.6821670737,125443.36858778835,121062.0,215973.0,159461.0,194116.8141086749,121442.45963464938,236343.7409166541,80957.23184392438,43179.0,80996.0
E9Q4Z2,Acacb Acetyl-CoA carboxylase 2,78,FP,29559693.0,25227669.247386325,31711736.601874232,25227975.0,26911864.0,25572865.29506394,11808156.522030704,12021494.0,23564849.0,21504961.0,1836542.5197807434,1297672.6347868787,2936068.5835728333,1182652.9151120181,807134.0,1355399.0
P62281,Rps11 40S ribosomal protein S11,11,,2444579.0,2668960.379617569,2708735.2443106547,2702137.0,2381662.0,601034.2081822733,697201.1710582227,428913.0,1169634.0,776045.0,557742.259056244,315073.12353172264,676991.2342157011,510073.09975431004,169589.0,363045.0
P11983,Tcp1 T-complex protein 1 subunit alpha,22,,2467774.0,3116663.732570981,2614836.3725884226,2801862.0,1660417.0,2194047.603507122,1259075.1841382298,1159133.0,2359923.0,2016428.0,450433.6704003813,423270.4065998821,422189.5924822266,398060.23746564507,195410.0,319902.0
P56480,"Atp5b ATP synthase subunit beta, mitochondrial",18,FP,8148146.0,8515713.012831878,8789744.085461445,7323039.0,4492108.0,2046243.1229540526,1160302.7686155555,1217793.0,1752827.0,1781791.0,287289.718541468,610804.6551365154,320486.68618968385,274395.9774922962,141691.0,230862.0
O88492,Plin4 Perilipin-4,28,,360654.0,293898.17991372774,380963.7354388225,365211.0,460627.0,4256716.43788966,5930023.208165223,6075058.0,1476462.0,2914182.0,43591.061487130595,139905.63914751523,100011.03805778248,95687.30948613309,41847.0,71060.0
Q91VB8,Hba-a2 Hemoglobin subunit alpha,4,,558979.0,612757.9149460922,620972.893505403,605190.0,552428.0,1456709.9156440091,1037461.3041385665,2440442.0,904002.0,5286434.0,292237.96591992374,469498.80328029854,431419.66531538346,1183705.5785166987,125771.0,542456.0
P27773,Pdia3 Protein disulfide-isomerase A3,23,TP,5819402.0,6247332.819071013,5670813.952862914,725571.0,1006450.0,4851152.610818683,5699141.265310844,5997227.0,1418895.0,2776688.0,775150.1939942802,592311.3530740523,863162.5889577976,820065.9923794453,68337.0,127453.0
P08249,"Mdh2 Malate dehydrogenase, mitochondrial",14,FP,3319429.0,3089955.454969567,4041214.5383753115,2301365.0,999852.0,466672.2407581573,255780.959014014,293369.0,413565.0,515184.0,156324.532650143,82356.02229424474,208820.3895628498,237363.2377154993,72869.0,130357.0
Q02819,Nucb1 Nucleobindin-1,22,TP,4221790.0,4941433.925613736,4260353.052399451,523568.0,763292.0,10015650.80324773,6715392.168786366,8961278.0,377204.0,612838.0,1269427.5593422307,600540.6392850127,1072680.3784298897,1217401.1074997918,42517.0,60132.0
P17182,Eno1 Alpha-enolase,14,,2315550.0,2171618.083028343,2593578.7023279136,1861852.0,1729443.0,4532842.970670328,2356051.1678018942,2507659.0,4003478.0,4092895.0,516103.21210676833,714457.3199960715,529476.9360308577,546655.7280752894,275643.0,397592.0
Q3UNZ8,Quinone oxidoreductase-like protein 2,11,,1465507.0,1146240.1139565865,1648420.7686271793,1614080.0,970495.0,544992.3274577917,276404.9261015352,269007.0,412122.0,546099.0,56453.47306959008,49684.7163229228,42178.47712902738,59118.07120846173,26174.0,38877.0
O35129,Phb2 Prohibitin-2,13,FP,3323392.0,3395361.25459714,3486743.329706881,3824583.0,2889191.0,1986710.6620602827,1055053.7370325339,1136358.0,1762975.0,1945200.0,195561.87750238323,225405.09524651346,258020.00762365756,198766.95288165237,120213.0,207173.0
Q8BFZ9,Erlin2 Erlin-2,12,TP,701343.0,595642.5154344068,815430.829134176,283215.0,341783.0,3476967.838554071,2313401.1921402155,2521012.0,419834.0,485571.0,354948.32769304095,167678.6298762522,409020.55707154743,371593.271862247,42983.0,68645.0
P48962,Slc25a4 ADP/ATP translocase 1,3,FP,260700.0,112412.69907240031,132262.72957318192,633709.0,53967.0,151296.0961955615,122466.39971223143,65739.0,399122.0,181545.0,110582.71830314586,64464.19952857985,172091.65872031465,105412.6009411177,40697.0,60134.0
O35295,Purb Transcriptional activator protein Pur-beta,7,FP,96805.0,94236.18538621922,109050.43769336437,89190.0,84595.0,165476.90171867178,113582.59157056852,132258.0,162624.0,194351.0,69901.99428026692,59477.46002749951,85492.84810164878,50651.44382443575,31241.0,49983.0
P10126,Eef1a1 Elongation factor 1-alpha 1,6,FP,3534580.0,3444739.712181617,3883141.7078470774,3346290.0,2511816.0,762873.4925367475,587161.3045550736,641449.0,678085.0,806361.0,295348.7259294566,298564.02296209,450035.4538798972,348807.53816523694,159418.0,251997.0
Q8BMS1,"Hadha Trifunctional enzyme subunit alpha, mitochondrial",33,FP,13521514.0,15217167.741584495,14558197.23536749,16683201.0,6508155.0,2215179.5406459053,1328256.540525304,1135966.0,1894946.0,2144008.0,598018.7695424213,435107.59689648397,961482.5070639843,390521.6430832015,241185.0,347621.0
P31001,Des Desmin,16,FP,992808.0,1113476.38139551,803721.6618268678,889449.0,405909.0,331008.68351713364,501403.57893231127,266273.0,708340.0,560225.0,1025161.3191134413,1003957.3706148104,804803.9849644533,780860.975576747,228467.0,1040570.0
P62962,Pfn1 Profilin-1,5,,534581.0,601960.7117358941,530148.8847578946,426819.0,258444.0,237642.13569619102,249949.93682133526,262281.0,312468.0,573157.0,601793.1134413728,570757.2112944411,679834.7102405083,1150083.1797701342,222272.0,360477.0
Q9Z0F7,Sncg Gamma-synuclein,5,,45882.0,37676.88288868308,47662.696409282304,42443.0,49337.0,412366.8485960894,669412.490531825,890385.0,51663.0,102516.0,8702.380600571973,8968.746218817521,6268.368068370897,7295.51359623553,3986.0,5978.0
Q8QZT1,"Acat1 Acetyl-CoA acetyltransferase, mitochondrial",12,FP,1695732.0,1528343.8324922367,1903883.1318036744,1163931.0,1191029.0,811189.7076892739,490495.1103070794,458314.0,678066.0,718238.0,86570.75,94482.77774504026,131711.30603539557,69266.69403264763,44766.0,58504.0
Q9D819,Ppa1 Inorganic pyrophosphatase,8,,1695444.0,1339782.3777455315,1965723.795856143,1122713.0,1165981.0,1115062.780433233,755421.2166173729,782644.0,1321523.0,1349272.0,64979.0102478551,104881.85922215675,73828.61013462412,67911.20964853835,26267.0,44252.0
P99029,"Prdx5 Peroxiredoxin-5, mitochondrial",8,FP,862656.0,870957.101728911,966816.551985717,631859.0,498100.0,675228.9696388211,438824.05165109324,424668.0,617650.0,698448.0,105642.89204003813,80773.13089766254,152008.48687036757,138312.96735237777,37383.0,96633.0
Q9DB77,"Uqcrc2 Cytochrome b-c1 complex subunit 2, mitochondrial",16,FP,1318600.0,1444007.2447020833,1537429.631120912,1313097.0,1266273.0,543067.3827723253,367425.62023804017,380649.0,513540.0,611058.0,147214.5700667302,253252.9065016696,237767.72377855092,162215.22466061465,96674.0,114437.0
P35700,Prdx1 Peroxiredoxin-1,9,,2242555.0,2057993.1653187661,2738110.2558258977,1188583.0,1548944.0,1274083.5067275458,898402.4527811318,974541.0,1187617.0,1723085.0,190957.21163012393,176502.59351797288,220688.1605505975,248400.75341467478,111886.0,170221.0
Q62159,Rhoc Rho-related GTP-binding protein RhoC,1,,208632.0,167734.9747373947,220688.47513726578,141004.0,121443.0,214707.43970996467,144024.8696669205,121703.0,296908.0,280251.0,35966.58365109628,32496.400844627773,52001.190228407206,40444.110810360624,15707.0,20478.0
Q9QUI0,Rhoa Transforming protein RhoA,1,FP,359119.0,332476.0513522749,416440.2106413073,292679.0,252767.0,299578.96536868776,223840.14497393675,205730.0,370820.0,314767.0,88135.39323164918,85748.21005696326,103477.0856753895,103932.48615391023,47156.0,50577.0
P04117,"Fabp4 Fatty acid-binding protein, adipocyte",6,FP,182038.0,163625.835468678,169194.4976052371,170418.0,146579.0,2134556.5615414954,923357.7573740698,1667767.0,1507435.0,3389378.0,6277.09938036225,132649.01978000393,22468.698578127365,31488.23184392438,9741.0,21748.0
Q921H8,"Acaa1a 3-ketoacyl-CoA thiolase A, peroxisomal",2,,383339.0,279289.5357791986,446497.39067041135,336015.0,224949.0,149389.79002775968,94632.91818789941,153817.0,105137.0,227863.0,15954.645138226882,27860.44329208407,14552.610981697173,24630.46966352961,7696.0,14212.0
P62267,Rps23 40S ribosomal protein S23,6,TP,735287.0,947719.2964158894,970519.7524895344,1036069.0,1100701.0,166498.91377061117,374144.0468128789,251969.0,355649.0,331890.0,302996.7828884652,186221.48839127872,347862.6257600968,274341.3873157325,90534.0,350259.0
P54869,"Hmgcs2 Hydroxymethylglutaryl-CoA synthase, mitochondrial",17,FP,4865999.0,8420809.261461278,5255399.315293466,5380375.0,4115519.0,299173.05987288203,267575.6832778692,219115.0,198169.0,240619.0,82936.19661582459,64397.15256334708,58284.52396006656,75941.11562005497,32228.0,67470.0
P62082,Rps7 40S ribosomal protein S7,9,FP,2446640.0,1862928.5804505765,2440693.136866305,1937083.0,1293918.0,504936.0820502708,372075.159703144,361293.0,670358.0,696672.0,442849.61391801713,413062.74906698096,554346.8752836182,423116.09850503877,167796.0,327232.0
Q99P87,Retn Resistin,2,TP,10894.0,9061.757179859249,9994.000758171745,10566.0,8952.0,74980.68561806958,72384.62773937591,78992.0,7193.0,12608.0,0.0,0.0,533.5258962335502,1451.2746939285419,0.0,0.0
P63017,Hspa8 Heat shock cognate 71 kDa protein,16,FP,3177780.0,3261180.491736785,3792156.2061452675,2681551.0,1974078.0,2475765.6915871548,1464444.6817843334,1495346.0,2335701.0,2047142.0,406140.2878932316,624571.6319976429,503403.7574497051,520230.9926084784,217907.0,304660.0
P35278,Rab5c Ras-related protein Rab-5C,4,,386834.0,324634.4063262991,403273.89426357474,336076.0,294906.0,587215.818280418,415700.9929993143,406632.0,759848.0,735353.0,117378.55838894185,109894.8344922412,125950.27395250341,85242.04570250688,59324.0,75580.0
Q9DBM2,Ehhadh Peroxisomal bifunctional enzyme,29,,14907382.0,8371952.90362472,17292954.192090556,6573315.0,7896000.0,937165.3776375469,821347.0338212217,676482.0,831736.0,974368.0,153075.6663489037,132255.48324494206,116690.26979276963,128626.81602398602,63149.0,117492.0
Q8VC30,Tkfc Triokinase/FMN cyclase,21,,4742314.0,8891540.257940065,4391889.063678274,6640255.0,3943427.0,355653.98123568407,267861.72041852656,208231.0,209214.0,265265.0,90779.62345090562,71442.91408367708,76149.78451066405,91997.83755309404,26923.0,53146.0
Q922B2,"Dars Aspartate--tRNA ligase, cytoplasmic",19,,2372909.0,2606523.7901089047,2899785.1217314033,2239180.0,1868824.0,666820.9272257028,508834.2264999516,496202.0,770118.0,914147.0,239831.6808865586,391122.8443134944,299140.4123581909,303494.6016073957,119034.0,195002.0
Q9DD20,Mettl7b Methyltransferase-like protein 7B,9,TP,1629511.0,1242338.0416404596,1820591.7484418754,1289100.0,958659.0,82450.58930873898,57602.595908132826,43989.0,41733.0,51318.0,11840.088179218303,14039.051502651739,8967.425442444412,13408.583368035313,4751.0,11039.0
