uniprot_id,description,pep_num,annotation,ctrl_turbo(-)_1,ctrl_turbo(-)_2,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,LPS_turbo(-)_1,LPS_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4
P07724,Alb Serum albumin,47,TP,32655030.0,6319356.0,13189214.603793211,15072578.0,20657738.246818256,11887142.0,25394087.0,10689565.181193301,19794434.22815973,13948928.0,18028133.0,44511833.0,17586505.31759562,23863730.83031048,28191375.77259503,35832759.25734233
Q8VCM7,Fgg Fibrinogen gamma chain,26,TP,1836634.0,2141121.0,2238535.302832773,2714843.0,1806646.0905404899,2839811.0,2747769.0,2574966.735800905,1249625.0120291756,1599160.0,4300811.0,3408718.0,3306996.415936552,2505373.480490242,3145439.998413118,2330086.1974459896
P01837,Ig kappa chain C region,5,,496153.0,364030.0,400018.2654901009,455775.0,139039.7289917281,175675.0,600537.0,247408.7985395749,603532.4424954493,242712.0,1486583.0,296681.0,618420.2514870613,540626.3291101437,1237398.8567238103,779208.8669741927
Q921I1,Tf Serotransferrin,2,TP,34997.0,16826.0,89954.52879581152,241362.0,208605.86168016118,16803.0,53123.0,40439.908611664774,35593.54841584033,54347.0,31965.0,106141.0,126336.13733498279,128431.6313993958,77391.33307686758,213020.24378862628
P33622,Apoc3 Apolipoprotein C-III,3,TP,60829.0,20549.0,47937.039110987826,36109.0,67953.82226032112,25363.0,52987.0,33581.29668610174,41444.011660026226,40796.0,134608.0,207395.0,85249.2789913403,128396.57891774543,115155.99999999999,129998.89404598642
Q8K0E8,Fgb Fibrinogen beta chain,28,TP,4451366.0,4916717.0,5130445.586595472,6567433.0,3448666.6859302456,6360392.0,6422797.0,5433032.0976473,2858041.622602121,3138452.0,8086175.0,7862195.0,6285689.240658204,5559432.054032323,7322566.009184679,5253166.214116516
Q8K426,"Retnlg Resistin like gamma, isoform CRA_a",5,TP,64662.0,142010.0,98062.42630283277,79414.0,127851.53569685518,319299.0,372154.0,124224.57489335543,235038.8318333991,235332.0,200020.0,82650.0,192336.80669050483,99088.73605256205,85956.52953764035,64509.26439524818
A8DUK4,Hbbt1 Protein Hbb-bs,7,,134229.0,51779.0,368941.00804410386,379316.0,203698.71160945576,108600.0,193945.0,282787.1628634763,140681.00421339375,290994.0,158630.0,285645.0,180943.9559728177,217421.9458987583,390576.83489216416,227070.43663953547
E9PV24,Fga Fibrinogen alpha chain,32,TP,3332196.0,4203135.0,3663724.5145105924,5473409.0,1937669.4469208724,4170865.0,5494194.0,3485815.6590727046,1879890.8314515206,2316318.0,6378923.0,4631558.0,4339587.187039265,3338412.2411008626,4721150.963670025,3246447.753468573
A0A0G2JE99,Iglc1 Protein Iglc1,3,,44788.0,26954.0,30748.47737595784,31159.0,17685.880526599005,9694.0,46194.0,10344.644859638991,41441.08606270447,20339.0,288741.0,38049.0,37932.26033316951,54082.01098105882,92924.14450241638,84425.24099239496
