"TFs (GSEA, 2022)",placeholder
AATF,x
ABT1,x
ACVR2A,x
ADNP,x
ADNP2,x
ADPGK,x
AFF1,x
AFF4,x
AIRE,x
AKAP17A,x
ALX3,x
ALX4,x
ALYREF,x
ANP32A,x
AR,x
ARFGAP2,x
ARID3A,x
ARID3B,x
ARID5A,x
ARID5B,x
ARIH2,x
ARNT,x
ARNT2,x
ARNTL,x
ARX,x
ASCL2,x
ASCL3,x
ASH1L,x
ASH2L,x
ATF1,x
ATF2,x
ATF5,x
ATF6,x
ATF6B,x
ATF7,x
ATN1,x
ATRX,x
ATXN2,x
BACH1,x
BACH2,x
BANP,x
BARHL1,x
BARHL2,x
BARX1,x
BARX2,x
BATF,x
BATF3,x
BAZ1A,x
BAZ1B,x
BAZ2A,x
BAZ2B,x
BCL11A,x
BCL11B,x
BCL3,x
BCL6,x
BCLAF1,x
BHLHE22,x
BHLHE40,x
BLOC1S1,x
BLZF1,x
BMI1,x
BNC1,x
BPTF,x
BRD2,x
BRD3,x
BRD4,x
BRD7,x
BRDT,x
BRF1,x
BSX,x
BTAF1,x
BTBD3,x
BTF3,x
C22orf31,x
CAND1,x
CASK,x
CASZ1,x
CBFA2T3,x
CBX1,x
CBX2,x
CBX3,x
CBX4,x
CBX5,x
CBX6,x
CBX7,x
CBX8,x
CCT4,x
CDK7,x
CDK8,x
CDR2,x
CDX1,x
CDX2,x
CDX4,x
CEBPD,x
CEBPE,x
CEBPG,x
CEBPZ,x
CELF3,x
CHD1,x
CHD2,x
CHD3,x
CHD4,x
CHD5,x
CHD6,x
CHMP3,x
CIC,x
CIR1,x
CITED1,x
CITED2,x
CLOCK,x
CNOT4,x
CNOT8,x
CNPY3,x
COPS2,x
COPS5,x
CORO1A,x
CREB1,x
CREB3,x
CREB3L1,x
CREB5,x
CREBBP,x
CREBL2,x
CREBZF,x
CREG1,x
CRIP1,x
CRIP2,x
CRX,x
CSRP1,x
CSRP2,x
CSRP3,x
CTCF,x
CTNNB1,x
CUX1,x
CUX2,x
DACH1,x
DBP,x
DBX1,x
DBX2,x
DCP1A,x
DDIT3,x
DEAF1,x
DENND4A,x
DEPDC7,x
DIDO1,x
DLX1,x
DLX2,x
DLX3,x
DLX4,x
DLX5,x
DLX6,x
DMRT1,x
DMRT2,x
DMRTA2,x
DMRTC1,x
DMTF1,x
DPF2,x
DPF3,x
DR1,x
DRAP1,x
DRGX,x
DTX2,x
E2F2,x
E2F3,x
E2F4,x
E2F5,x
E4F1,x
EBF1,x
EBF4,x
ECD,x
EGR1,x
EGR2,x
EGR3,x
EGR4,x
ELF1,x
ELF5,x
ELK1,x
ELK3,x
ELK4,x
EMX2,x
EN1,x
EN2,x
ENO1,x
EOMES,x
EP300,x
EP400,x
EPAS1,x
ERCC2,x
ERCC3,x
ERF,x
ERG,x
ERGIC2,x
ESR1,x
ESR2,x
ESRRA,x
ESRRG,x
ESX1,x
ETS1,x
ETS2,x
ETV2,x
ETV3,x
ETV4,x
ETV5,x
ETV6,x
ETV7,x
EVX1,x
EVX2,x
EYA1,x
EYA2,x
EYA3,x
EYA4,x
EZH1,x
FAM189B,x
FEZF2,x
FHL1,x
FHL2,x
FHL5,x
FLI1,x
FOS,x
FOSB,x
FOSL1,x
FOSL2,x
FOXA1,x
FOXA2,x
FOXA3,x
FOXB1,x
FOXC1,x
FOXC2,x
FOXD1,x
FOXD2,x
FOXD3,x
FOXD4,x
FOXE1,x
FOXE3,x
FOXF1,x
FOXF2,x
FOXG1,x
FOXH1,x
FOXI1,x
FOXJ2,x
FOXJ3,x
FOXK2,x
FOXL1,x
FOXL2,x
FOXM1,x
FOXN1,x
FOXN2,x
FOXN3,x
FOXO4,x
FOXP1,x
FOXP2,x
FOXP3,x
FOXQ1,x
FOXS1,x
FUBP1,x
GABPA,x
GABPB1,x
GATA1,x
GATA2,x
GATA3,x
GATA4,x
GATA6,x
GBX1,x
GBX2,x
GCM1,x
GFI1,x
GFI1B,x
GLI1,x
GLI3,x
GLIS2,x
GSC,x
GSC2,x
GSX1,x
GSX2,x
GTF2A1,x
GTF2A1L,x
GTF2A2,x
GTF2B,x
GTF2E1,x
GTF2E2,x
GTF2F1,x
GTF2F2,x
GTF2H1,x
GTF2H2,x
GTF2H3,x
GTF2H4,x
GTF2I,x
GTF3A,x
GTF3C1,x
GTF3C2,x
GTF3C3,x
GTF3C4,x
GTF3C5,x
GTPBP1,x
HAND1,x
HAND2,x
HCFC2,x
HDAC4,x
HDX,x
HES1,x
HES2,x
HES4,x
HES5,x
HES7,x
HESX1,x
HEXIM1,x
HEY1,x
HEY2,x
HEYL,x
HHEX,x
HIC1,x
HIC2,x
