UniProtKB/Swiss-Prot,ID
Q9Y6X8,ZHX2
Q9Y6X2,PIAS3
Q9Y6X0,SETBP1
Q9Y6Q9,NCOA3
Q9Y6Q3,ZFP37
Q9Y6Q2,STON1
Q9Y6J9,TAF6L
Q9Y6A4,CFAP20
Q9Y651,SOX21
Q9Y618,NCOR2
Q9Y603,ETV7
Q9Y5Z7,HCFC2
Q9Y5X4,NR2E3
Q9Y5W3,KLF2
Q9Y5V0,ZNF706
Q9Y5R6,DMRT1
Q9Y5R5,DMRT2
Q9Y5Q9,GTF3C3
Q9Y5Q8,GTF3C5
Q9Y5Q3,MAFB
Q9Y5J3,HEY1
Q9Y5B9,SUPT16H
Q9Y5A6,ZSCAN21
Q9Y543,HES2
Q9Y508,RNF114
Q9Y4Z2,NEUROG3
Q9Y4X4,KLF12
Q9Y4W2,LAS1L
Q9Y4P1,ATG4B
Q9Y4L5,RNF115
Q9Y4A8,NFE2L3
Q9Y483,MTF2
Q9Y473,ZNF175
Q9Y468,L3MBTL1
Q9Y467,SALL2
Q9Y466,NR2E1
Q9Y462,ZNF711
Q9Y458,TBX22
Q9Y3Q8,TSC22D4
Q9Y3M9,ZNF337
Q9Y3E7,CHMP3
Q9Y3D2,MSRB2
Q9Y2Y9,KLF13
Q9Y2Y4,ZBTB32
Q9Y2X9,ZNF281
Q9Y2X0,MED16
Q9Y2W7,KCNIP3
Q9Y2W1,THRAP3
Q9Y2V3,RAX
Q9Y2T7,YBX2
Q9Y2P7,ZNF256
Q9Y2N7,HIF3A
Q9Y2L8,ZKSCAN5
Q9Y2H8,ZNF510
Q9Y2G7,ZFP30
Q9Y2G1,MYRF
Q9Y2F9,BTBD3
Q9Y2D1,ATF5
Q9Y2A4,ZNF443
Q9Y261,FOXA2
Q9Y250,LZTS1
Q9Y242,TCF19
Q9Y225,RNF24
Q9Y224,RTRAF
Q9Y222,DMTF1
Q9UQR1,ZNF148
Q9UQR0,SCML2
Q9UQF2,MAPK8IP1
Q9UPW6,SATB2
Q9UPW0,FOXJ3
Q9UPN9,TRIM33
Q9UPM6,LHX6
Q9UPG8,PLAGL2
Q9UNY5,ZNF232
Q9UNS1,TIMELESS
Q9UNN4,GTF2A1L
Q9UN79,SOX13
Q9UN30,SCML1
Q9UMS5,PHTF1
Q9UMR3,TBX20
Q9UMQ3,BARX2
Q9UM63,PLAGL1
Q9ULX9,MAFF
Q9ULX5,RNF112
Q9ULW3,ABT1
Q9ULV5,HSF4
Q9ULK4,MED23
Q9ULJ3,ZBTB21
Q9ULD4,BRPF3
Q9UL68,MYT1L
Q9UL59,ZNF214
Q9UL58,ZNF215
Q9UL49,TCFL5
Q9UL36,ZNF236
Q9UL17,TBX21
Q9UKY1,ZHX1
Q9UKW6,ELF5
Q9UKT9,IKZF3
Q9UKS7,IKZF2
Q9UKN8,GTF3C4
Q9UKN5,PRDM4
Q9UKL0,RCOR1
Q9UKI9,POU2F3
Q9UK13,ZNF221
Q9UK12,ZNF222
Q9UK11,ZNF223
Q9UK10,ZNF225
Q9UJW8,ZNF180
Q9UJW7,ZNF229
