gene_name,uniprot_id,note
DUXB,A0A1W2PPF3,
HMX2,A2RU54,
NKX2-6,A6NCS4,
MEIS3P1,A6NDR6,manual check: found
DPRX,A6NFQ7,
HMX3,A6NHT5,
NKX6-3,A6NJ46,
ARGFX,A6NJG6,
UNCX,A6NJT0,
DUXA,A6NLW8,
ZFP92,A6NM28,
DBX1,A6NMT0,
DRGX,A6NNA5,
MEIS3P2,A8K0S8,manual check: found
NOTO,A8MTQ0,
LEUTX,A8MZ59,
BORCS8-MEF2B,H3BNR1,manual check: uncertain
MIEF1,L0R8F8,
OVOL3,O00110,
EYA2,O00167,
GTPBP1,O00178,
NFKBIE,O00221,
RNF103,O00237,
CBX4,O00257,
SUPT5H,O00267,
TAF4,O00268,
TULP1,O00294,
TULP2,O00295,
ETV2,O00321,
ARNTL,O00327,
FOXE1,O00358,
FOXN3,O00409,
SAP18,O00422,
MEIS1,O00470,
NR5A2,O00482,
ZNF593,O00488,
SOX1,O00570,
TRIM38,O00635,
NFIB,O00712,
E2F3,O00716,
BHLHE40,O14503,
CUX2,O14529,
RFXANK,O14593,
CDX4,O14627,
ZNF195,O14628,
CHD1,O14646,
CHD2,O14647,
KMT2D,O14686,
ZNF197,O14709,
OVOL1,O14753,
MEIS2,O14770,
ZNF213,O14771,
TCERG1,O14776,
PHOX2A,O14813,
BACH1,O14867,
IRF6,O14896,
KLF11,O14901,
CASK,O14936,
TFEC,O14948,
ZNF263,O14978,
BTAF1,O14981,
ZNF646,O15015,
PER2,O15055,
ZBTB39,O15060,
SMAD7,O15105,
TBX3,O15119,
ZBTB7B,O15156,
TRIM24,O15164,
TBXT,O15178,
SMAD9,O15198,
ZBTB22,O15209,
NKRF,O15226,
ZNF185,O15231,
SHOX,O15266,
MID1,O15344,
TP73,O15350,
FOXN1,O15353,
SOX12,O15370,
TOX3,O15405,
FOXP2,O15409,
GSC2,O15499,
CLOCK,O15516,
NKX2-8,O15522,
MAFG,O15525,
PER1,O15534,
ZSCAN9,O15535,
RNF113A,O15541,
MEFV,O15553,
ZBTB24,O43167,
CRX,O43186,
HOXC11,O43248,
SIAH2,O43255,
TGFB1I1,O43294,
ZNF264,O43296,
ZBTB43,O43298,
ZSCAN12,O43309,
PAX4,O43316,
ZNF208,O43345,
HOXA2,O43364,
HOXA3,O43365,
TBX1,O43435,
KLF4,O43474,
MED7,O43513,
FOXO3,O43524,
SMAD6,O43541,
RNF13,O43567,
HR,O43593,
SNAI2,O43623,
FOXS1,O43638,
PLRG1,O43660,
ZNF207,O43670,
LDB2,O43679,
TCF21,O43680,
TLX3,O43711,
TLX2,O43763,
ZBTB14,O43829,
CREB3,O43889,
PRICKLE3,O43900,
AIRE,O43918,
SSX4,O60224,
SSX5,O60225,
MED14,O60244,
SOX15,O60248,
SMARCA5,O60264,
ST18,O60284,
ZEB2,O60315,
NOBOX,O60393,
ONECUT3,O60422,
DLX3,O60479,
ZIC3,O60481,
CREBL2,O60519,
FOXD2,O60548,
LMX1B,O60663,
REV3L,O60673,
MAFK,O60675,
MSC,O60682,
ZNF354A,O60765,
TBX19,O60806,
TRIM13,O60858,
BRD4,O60885,
SHOX2,O60902,
MITF,O75030,
HSF2BP,O75031,
CBFA2T3,O75081,
TSC22D2,O75157,
CNOT3,O75175,
SIN3B,O75182,
ZPR1,O75312,
TBX10,O75333,
PROP1,O75360,
ZNF217,O75362,
PITX3,O75364,
NCOR1,O75376,
TRIM3,O75382,
TULP3,O75386,
DEAF1,O75398,
ZNF254,O75437,
MAF,O75444,
SAP30,O75446,
MED24,O75448,
E2F6,O75461,
ZNF324,O75467,
NR1I2,O75469,
PSIP1,O75475,
TADA2A,O75478,
SUPT3H,O75486,
TADA3,O75528,
TAF5L,O75529,
EED,O75530,
MED6,O75586,
FOXH1,O75593,
GCM2,O75603,
PRDM1,O75626,
CREG1,O75629,
ZNF189,O75820,
KLF7,O75840,
RBBP9,O75884,
PIAS2,O75928,
SNAPC5,O75971,
RNF8,O76064,
CIAO1,O76071,
ZFAND5,O76080,
MTA2,O94776,
LTN1,O94822,
ZNF432,O94892,
TOX,O94900,
NFAT5,O94916,
HEXIM1,O94992,
SOX30,O94993,
ALX3,O95076,
NKX2-2,O95096,
ZNF202,O95125,
ZFPL1,O95159,
ZNF205,O95201,
ZRANB2,O95218,
VENTX,O95231,
SPDEF,O95238,
MBD4,O95243,
KAT7,O95251,
SIX3,O95343,
ZBTB7A,O95365,
ARIH2,O95376,
MED26,O95402,
ZIC2,O95409,
SOX14,O95416,
SIX6,O95475,
CBX6,O95503,
C22orf31,O95567,
KLF8,O95600,
YEATS4,O95619,
ZBTB11,O95625,
CNOT4,O95628,
NFATC1,O95644,
EYA4,O95677,
BRD1,O95696,
ESRRB,O95718,
LDOC1,O95751,
ZNF682,O95780,
ZMYM6,O95789,
SNAI1,O95863,
ECD,O95905,
CBX7,O95931,
TBX18,O95935,
EOMES,O95936,
TBX6,O95947,
ONECUT2,O95948,
HAND1,O96004,
NSD2,O96028,
FOS,P01100,
MYC,P01106,
ESR1,P03372,
NR3C1,P04150,
MYCN,P04198,
TP53,P04637,
HMGN2,P05204,
JUN,P05412,
TFAP2A,P05549,
RB1,P06400,
PGR,P06401,
ENO1,P06733,
SP1,P08047,
ZFY,P08048,
GLI1,P08151,
NR3C2,P08235,
NFIC,P08651,
HOXD4,P09016,
HOXC4,P09017,
HOXB5,P09067,
POU2F2,P09086,
HMGB1,P09429,
HOXB7,P09629,
HOXC6,P09630,
VENTXP1,P0C5K6,manual check: found
RHOXF2B,P0C7M4,
ERCC6,P0DP91,
DDIT3,P0DPQ6,
GLI2,P10070,
GLI3,P10071,
ZNF875,P10072,
ZSCAN22,P10073,
ZBTB48,P10074,
MYB,P10242,
MYBL1,P10243,
MYBL2,P10244,
AR,P10275,
RARA,P10276,
NR2F6,P10588,
NR2F1,P10589,
RARB,P10826,
THRA,P10827,
THRB,P10828,
IRF1,P10914,
EGR2,P11161,
ERG,P11308,
VDR,P11473,
ESRRA,P11474,
SRF,P11831,
MYCL,P12524,
MYCLP1,P12525,manual check: found
LYL1,P12980,
NR2C1,P13056,
MYF5,P13349,
HOXD8,P13378,
RARG,P13631,
ZNF35,P13682,
GTF2F2,P13984,
IRF2,P14316,
TRIM27,P14373,
HOXB3,P14651,
HOXB2,P14652,
HOXB1,P14653,
POU2F1,P14859,
ETS1,P14921,
ETS2,P15036,
MYOD1,P15172,
MYOG,P15173,
ATF2,P15336,
FOSL1,P15407,
FOSL2,P15408,
ZNF44,P15621,
ZNF250,P15622,
HIVEP1,P15822,
PAX1,P15863,
TCF4,P15884,
TCF3,P15923,
GATA1,P15976,
