Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (cellular component),Subcellular location [CC],Mass,Function [CC],Tissue specificity,Gene Ontology (biological process),Gene Ontology (molecular function),Signal peptide,Transit peptide,DNA binding,Gene Ontology (GO),Protein families,Zinc finger
A2A5R2,reviewed,BIG2_MOUSE,"Brefeldin A-inhibited guanine nucleotide-exchange protein 2, Brefeldin A-inhibited GEP 2 (ADP-ribosylation factor guanine nucleotide-exchange factor 2)",Arfgef2 Arfgep2 Big2,Mus musculus (Mouse),1792,anchoring junction [GO:0070161]; asymmetric synapse [GO:0032279]; axonemal microtubule [GO:0005879]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; microtubule organizing center [GO:0005815]; perinuclear region of cytoplasm [GO:0048471]; recycling endosome [GO:0055037]; symmetric synapse [GO:0032280]; trans-Golgi network [GO:0005802],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}. Golgi apparatus {ECO:0000250}. Cytoplasm, perinuclear region {ECO:0000250}. Golgi apparatus, trans-Golgi network {ECO:0000250}. Endosome {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Cell projection, dendrite {ECO:0000250}. Cytoplasmic vesicle {ECO:0000250}. Synapse {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Translocates from cytoplasm to membranes upon cAMP treatment. Localized in recycling endosomes (By similarity). {ECO:0000250}.",202240,FUNCTION: Promotes guanine-nucleotide exchange on ARF1 and ARF3 and to a lower extent on ARF5 and ARF6. Promotes the activation of ARF1/ARF5/ARF6 through replacement of GDP with GTP. Involved in the regulation of Golgi vesicular transport. Required for the integrity of the endosomal compartment. Involved in trafficking from the trans-Golgi network (TGN) to endosomes and is required for membrane association of the AP-1 complex and GGA1. Seems to be involved in recycling of the transferrin receptor from recycling endosomes to the plasma membrane. Probably is involved in the exit of GABA(A) receptors from the endoplasmic reticulum. Involved in constitutive release of tumor necrosis factor receptor 1 via exosome-like vesicles; the function seems to involve PKA and specifically PRKAR2B. Proposed to act as A kinase-anchoring protein (AKAP) and may mediate crosstalk between Arf and PKA pathways (By similarity). {ECO:0000250}.,,endomembrane system organization [GO:0010256]; endosome organization [GO:0007032]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; intracellular signal transduction [GO:0035556]; positive regulation of tumor necrosis factor production [GO:0032760]; protein transport [GO:0015031]; receptor recycling [GO:0001881]; regulation of ARF protein signal transduction [GO:0032012],GABA receptor binding [GO:0050811]; guanyl-nucleotide exchange factor activity [GO:0005085]; myosin binding [GO:0017022]; protein kinase A regulatory subunit binding [GO:0034237],,,,anchoring junction [GO:0070161]; asymmetric synapse [GO:0032279]; axonemal microtubule [GO:0005879]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; microtubule organizing center [GO:0005815]; perinuclear region of cytoplasm [GO:0048471]; recycling endosome [GO:0055037]; symmetric synapse [GO:0032280]; trans-Golgi network [GO:0005802]; GABA receptor binding [GO:0050811]; guanyl-nucleotide exchange factor activity [GO:0005085]; myosin binding [GO:0017022]; protein kinase A regulatory subunit binding [GO:0034237]; endomembrane system organization [GO:0010256]; endosome organization [GO:0007032]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; intracellular signal transduction [GO:0035556]; positive regulation of tumor necrosis factor production [GO:0032760]; protein transport [GO:0015031]; receptor recycling [GO:0001881]; regulation of ARF protein signal transduction [GO:0032012],,
A2AFS3,reviewed,ELAP1_MOUSE,Endosome/lysosome-associated apoptosis and autophagy regulator 1,Elapor1 Kiaa1324,Mus musculus (Mouse),1009,endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q6UXG2}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q6UXG2}. Late endosome membrane {ECO:0000250|UniProtKB:Q6UXG2}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q6UXG2}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:Q6UXG2}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q6UXG2}. Lysosome membrane {ECO:0000250|UniProtKB:Q6UXG2}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q6UXG2}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q6UXG2}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q6UXG2}.",110682,FUNCTION: May protect cells from cell death by inducing cytosolic vacuolization and up-regulating the autophagy pathway. May play a role in apoptosis and cell proliferation through its interaction with HSPA5. {ECO:0000250|UniProtKB:Q6UXG2}.,,autophagosome assembly [GO:0000045]; cellular response to starvation [GO:0009267]; positive regulation of autophagosome assembly [GO:2000786]; positive regulation of vacuole organization [GO:0044090],,"SIGNAL 1..35; /evidence=""ECO:0000255""",,,endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]; autophagosome assembly [GO:0000045]; cellular response to starvation [GO:0009267]; positive regulation of autophagosome assembly [GO:2000786]; positive regulation of vacuole organization [GO:0044090],ELAPOR family,
A2ALS5,reviewed,RPGP1_MOUSE,"Rap1 GTPase-activating protein 1, Rap1GAP, Rap1GAP1 (ARPP-90)",Rap1gap Kiaa0474 Rap1ga1,Mus musculus (Mouse),663,axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; early endosome [GO:0005769]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; neuronal cell body [GO:0043025],SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.,73433,"FUNCTION: GTPase activator for the nuclear Ras-related regulatory protein RAP-1A (KREV-1), converting it to the putatively inactive GDP-bound state. {ECO:0000250}.",TISSUE SPECIFICITY: Detected in brain cortex and striatum (at protein level). Detected in brain cortex and striatum. {ECO:0000269|PubMed:19218462}.,activation of GTPase activity [GO:0090630]; cell-cell adhesion [GO:0098609]; cellular response to glial cell derived neurotrophic factor [GO:1990792]; establishment of localization in cell [GO:0051649]; negative regulation of GTP binding [GO:1904425]; negative regulation of microvillus assembly [GO:1903697]; negative regulation of neuron differentiation [GO:0045665]; negative regulation of thyroid gland epithelial cell proliferation [GO:1904442]; phagocytosis [GO:0006909]; positive regulation of cell-cell adhesion [GO:0022409]; positive regulation of GTPase activity [GO:0043547]; positive regulation of phagocytosis [GO:0050766]; regulation of GTPase activity [GO:0043087]; regulation of small GTPase mediated signal transduction [GO:0051056],GTPase activator activity [GO:0005096]; protein homodimerization activity [GO:0042803]; small GTPase binding [GO:0031267],,,,axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; early endosome [GO:0005769]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; GTPase activator activity [GO:0005096]; protein homodimerization activity [GO:0042803]; small GTPase binding [GO:0031267]; activation of GTPase activity [GO:0090630]; cell-cell adhesion [GO:0098609]; cellular response to glial cell derived neurotrophic factor [GO:1990792]; establishment of localization in cell [GO:0051649]; negative regulation of GTP binding [GO:1904425]; negative regulation of microvillus assembly [GO:1903697]; negative regulation of neuron differentiation [GO:0045665]; negative regulation of thyroid gland epithelial cell proliferation [GO:1904442]; phagocytosis [GO:0006909]; positive regulation of cell-cell adhesion [GO:0022409]; positive regulation of GTPase activity [GO:0043547]; positive regulation of phagocytosis [GO:0050766]; regulation of GTPase activity [GO:0043087]; regulation of small GTPase mediated signal transduction [GO:0051056],,
A2AWP0,reviewed,BIRC7_MOUSE,"Baculoviral IAP repeat-containing protein 7, EC 2.3.2.27 (Livin) (RING-type E3 ubiquitin transferase BIRC7) [Cleaved into: Baculoviral IAP repeat-containing protein 7 30 kDa subunit, Truncated livin, p30-Livin, tLivin ]",Birc7 Livin,Mus musculus (Mouse),285,centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q96CA5}. Cytoplasm {ECO:0000250|UniProtKB:Q96CA5}. Golgi apparatus {ECO:0000250|UniProtKB:Q96CA5}. Note=Nuclear, and in a filamentous pattern throughout the cytoplasm. Full-length livin is detected exclusively cytoplasm, whereas the truncated form (tLivin) is found in the peri-nuclear region with marked localization to the Golgi apparatus; the accumulation of tLivin in the nucleus shows positive correlation with the increase in apoptosis. {ECO:0000250|UniProtKB:Q96CA5}.",31992,"FUNCTION: Apoptotic regulator capable of exerting proapoptotic and anti-apoptotic activities and plays crucial roles in apoptosis, cell proliferation, and cell cycle control. Its anti-apoptotic activity is mediated through the inhibition of CASP3, CASP7 and CASP9, as well as by its E3 ubiquitin-protein ligase activity. As it is a weak caspase inhibitor, its anti-apoptotic activity is thought to be due to its ability to ubiquitinate DIABLO/SMAC targeting it for degradation thereby promoting cell survival. May contribute to caspase inhibition, by blocking the ability of DIABLO/SMAC to disrupt XIAP/BIRC4-caspase interactions. Protects against apoptosis induced by TNF or by chemical agents such as adriamycin, etoposide or staurosporine. Suppression of apoptosis is mediated by activation of MAPK8/JNK1, and possibly also of MAPK9/JNK2. This activation depends on TAB1 and MAP3K7/TAK1. In vitro, inhibits CASP3 and proteolytic activation of pro-CASP9. {ECO:0000250|UniProtKB:Q96CA5}.",,lens development in camera-type eye [GO:0002088]; negative regulation of apoptotic process [GO:0043066]; negative regulation of tumor necrosis factor-mediated signaling pathway [GO:0010804]; positive regulation of JNK cascade [GO:0046330]; positive regulation of protein ubiquitination [GO:0031398]; protein ubiquitination [GO:0016567]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of cell population proliferation [GO:0042127]; regulation of natural killer cell apoptotic process [GO:0070247],cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842],,,,centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; lens development in camera-type eye [GO:0002088]; negative regulation of apoptotic process [GO:0043066]; negative regulation of tumor necrosis factor-mediated signaling pathway [GO:0010804]; positive regulation of JNK cascade [GO:0046330]; positive regulation of protein ubiquitination [GO:0031398]; protein ubiquitination [GO:0016567]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of cell population proliferation [GO:0042127]; regulation of natural killer cell apoptotic process [GO:0070247],IAP family,"ZN_FING 239..273; /note=""RING-type""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00175"""
A6H6A9,reviewed,RBG1L_MOUSE,Rab GTPase-activating protein 1-like,Rabgap1l Hhl Kiaa0471,Mus musculus (Mouse),815,early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; nucleus [GO:0005634],"SUBCELLULAR LOCATION: Early endosome {ECO:0000269|PubMed:27718357}. Golgi apparatus {ECO:0000250|UniProtKB:Q5R372}. Note=Colocalizes on endosomes partially with EEA1 (By similarity). Colocalizes and cotransports on motile vesicles with ANK2 (PubMed:27718357). {ECO:0000250|UniProtKB:Q5R372, ECO:0000269|PubMed:27718357}.",92404,"FUNCTION: GTP-hydrolysis activating protein (GAP) for small GTPase RAB22A, converting active RAB22A-GTP to the inactive form RAB22A-GDP (By similarity). Plays a role in endocytosis and intracellular protein transport. Recruited by ANK2 to phosphatidylinositol 3-phosphate (PI3P)-positive early endosomes, where it inactivates RAB22A, and promotes polarized trafficking to the leading edge of the migrating cells. Part of the ANK2/RABGAP1L complex which is required for the polarized recycling of fibronectin receptor ITGA5 ITGB1 to the plasma membrane that enables continuous directional cell migration (PubMed:27718357). {ECO:0000250|UniProtKB:Q5R372, ECO:0000269|PubMed:27718357}.","TISSUE SPECIFICITY: Expressed in embryonic heart and liver, and in hemopoietic cells (PubMed:10585558). Expressed in the corpus callosum in the central nervous system (CNS) and costameres in skeletal muscle at postnatal day (PND) 30 (PubMed:27718357). {ECO:0000269|PubMed:10585558, ECO:0000269|PubMed:27718357}.",activation of GTPase activity [GO:0090630]; endocytosis [GO:0006897]; megakaryocyte development [GO:0035855]; protein transport [GO:0015031]; regulation of protein localization [GO:0032880],GTPase activator activity [GO:0005096]; small GTPase binding [GO:0031267],,,,early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; nucleus [GO:0005634]; GTPase activator activity [GO:0005096]; small GTPase binding [GO:0031267]; activation of GTPase activity [GO:0090630]; endocytosis [GO:0006897]; megakaryocyte development [GO:0035855]; protein transport [GO:0015031]; regulation of protein localization [GO:0032880],,
A7L9Z8,reviewed,AT2C2_MOUSE,"Calcium-transporting ATPase type 2C member 2, ATPase 2C2, EC 7.2.2.10 (Ca(2+)/Mn(2+)-ATPase 2C2) (Secretory pathway Ca(2+)-transporting ATPase type 2, SPCA2)",Atp2c2 Kiaa0703 Spca2,Mus musculus (Mouse),944,basolateral plasma membrane [GO:0016323]; cytoplasmic side of plasma membrane [GO:0009898]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; trans-Golgi network membrane [GO:0032588],"SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:15677451}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000250|UniProtKB:O75185}; Multi-pass membrane protein {ECO:0000255}. Basolateral cell membrane {ECO:0000269|PubMed:23840669}; Multi-pass membrane protein {ECO:0000255}.",102528,"FUNCTION: ATP-driven pump that supplies the Golgi apparatus with Ca(2+) and Mn(2+) ions, both essential cofactors for processing and trafficking of newly synthesized proteins in the secretory pathway. Within a catalytic cycle, acquires Ca(2+) or Mn(2+) ions on the cytoplasmic side of the membrane and delivers them to the lumenal side. The transfer of ions across the membrane is coupled to ATP hydrolysis and is associated with a transient phosphorylation that shifts the pump conformation from inward-facing to outward-facing state (By similarity). Induces Ca(2+) influx independently of its ATP-driven pump function. At the basolateral membrane of mammary epithelial cells, interacts with Ca(2+) channel ORAI1 and mediates Ca(2+) entry independently of the Ca(2+) content of endoplasmic reticulum or Golgi stores. May facilitate transepithelial transport of large quantities of Ca(2+) for milk secretion via activation of Ca(2+) influx channels at the plasma membrane and active Ca(2+) transport at the Golgi apparatus (PubMed:23840669) (By similarity). {ECO:0000250|UniProtKB:O75185, ECO:0000269|PubMed:23840669}.","TISSUE SPECIFICITY: Expressed in hippocampal neurons (at protein level) (PubMed:15677451). Expressed in lactating mammary epithelium (at protein level) (PubMed:23840669). {ECO:0000269|PubMed:15677451, ECO:0000269|PubMed:23840669}.",calcium ion transmembrane transport [GO:0070588]; cellular calcium ion homeostasis [GO:0006874]; ion transmembrane transport [GO:0034220]; mammary gland epithelium development [GO:0061180]; manganese ion transport [GO:0006828]; positive regulation of calcium ion import [GO:0090280]; protein localization to plasma membrane [GO:0072659],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]; P-type calcium transporter activity [GO:0005388]; P-type ion transporter activity [GO:0015662]; P-type manganese transporter activity [GO:0140613],,,,basolateral plasma membrane [GO:0016323]; cytoplasmic side of plasma membrane [GO:0009898]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; trans-Golgi network membrane [GO:0032588]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]; P-type calcium transporter activity [GO:0005388]; P-type ion transporter activity [GO:0015662]; P-type manganese transporter activity [GO:0140613]; calcium ion transmembrane transport [GO:0070588]; cellular calcium ion homeostasis [GO:0006874]; ion transmembrane transport [GO:0034220]; mammary gland epithelium development [GO:0061180]; manganese ion transport [GO:0006828]; positive regulation of calcium ion import [GO:0090280]; protein localization to plasma membrane [GO:0072659],"Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIA subfamily",
B2RQR8,reviewed,ECE2_MOUSE,"Endothelin-converting enzyme 2, ECE-2, EC 3.4.24.71",Ece2,Mus musculus (Mouse),763,cytoplasmic vesicle membrane [GO:0030659]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]; transport vesicle membrane [GO:0030658],"SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:F1N476}; Single-pass type II membrane protein {ECO:0000305}. Cytoplasmic vesicle, secretory vesicle membrane {ECO:0000250|UniProtKB:F1N476}.",86231,"FUNCTION: Converts big endothelin-1 to endothelin-1. Also involved in the processing of various neuroendocrine peptides, including neurotensin, angiotensin I, substance P, proenkephalin-derived peptides, and prodynorphin-derived peptides (By similarity). May play a role in amyloid-beta processing (PubMed:12464614). {ECO:0000250|UniProtKB:P0DPD6, ECO:0000269|PubMed:12464614}.",,peptide hormone processing [GO:0016486]; protein processing [GO:0016485],metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222],,,,cytoplasmic vesicle membrane [GO:0030659]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]; transport vesicle membrane [GO:0030658]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; peptide hormone processing [GO:0016486]; protein processing [GO:0016485],Peptidase M13 family,
B2RUJ5,reviewed,APBA1_MOUSE,"Amyloid-beta A4 precursor protein-binding family A member 1 (Adapter protein X11alpha) (Neuron-specific X11 protein) (Neuronal Munc18-1-interacting protein 1, Mint-1)",Apba1 Mint1 mLin-10 X11,Mus musculus (Mouse),842,cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; presynaptic active zone membrane [GO:0048787]; protein-containing complex [GO:0032991]; Schaffer collateral - CA1 synapse [GO:0098685]; synaptic vesicle [GO:0008021],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, perinuclear region {ECO:0000250}. Nucleus {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 3]: Golgi apparatus.",92909,"FUNCTION: Putative function in synaptic vesicle exocytosis by binding to Munc18-1, an essential component of the synaptic vesicle exocytotic machinery. May modulate processing of the amyloid-beta precursor protein (APP) and hence formation of AAP-beta (By similarity). Component of the LIN-10-LIN-2-LIN-7 complex, which associates with the motor protein KIF17 to transport vesicles containing N-methyl-D-aspartate (NMDA) receptor subunit NR2B along microtubules (PubMed:10846156). {ECO:0000250, ECO:0000269|PubMed:10846156}.",TISSUE SPECIFICITY: Isoform 3 is expressed in brain. {ECO:0000269|PubMed:23737971}.,chemical synaptic transmission [GO:0007268]; establishment of localization in cell [GO:0051649]; gamma-aminobutyric acid secretion [GO:0014051]; glutamate secretion [GO:0014047]; in utero embryonic development [GO:0001701]; intracellular protein transport [GO:0006886]; locomotory behavior [GO:0007626]; multicellular organism growth [GO:0035264]; protein-containing complex assembly [GO:0065003]; regulation of gene expression [GO:0010468]; regulation of synaptic vesicle exocytosis [GO:2000300],"amyloid-beta binding [GO:0001540]; PDZ domain binding [GO:0030165]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; protein-containing complex binding [GO:0044877]",,,,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; presynaptic active zone membrane [GO:0048787]; protein-containing complex [GO:0032991]; Schaffer collateral - CA1 synapse [GO:0098685]; synaptic vesicle [GO:0008021]; amyloid-beta binding [GO:0001540]; PDZ domain binding [GO:0030165]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; protein-containing complex binding [GO:0044877]; chemical synaptic transmission [GO:0007268]; establishment of localization in cell [GO:0051649]; gamma-aminobutyric acid secretion [GO:0014051]; glutamate secretion [GO:0014047]; in utero embryonic development [GO:0001701]; intracellular protein transport [GO:0006886]; locomotory behavior [GO:0007626]; multicellular organism growth [GO:0035264]; protein-containing complex assembly [GO:0065003]; regulation of gene expression [GO:0010468]; regulation of synaptic vesicle exocytosis [GO:2000300]",,
B9EHT4,reviewed,CLIP3_MOUSE,"CAP-Gly domain-containing linker protein 3 (Cytoplasmic linker protein 170-related 59 kDa protein, CLIP-170-related 59 kDa protein, CLIPR-59)",Clip3 Clipr59,Mus musculus (Mouse),547,cytoplasm [GO:0005737]; early endosome membrane [GO:0031901]; Golgi stack [GO:0005795]; membrane raft [GO:0045121]; microtubule plus-end [GO:0035371]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; recycling endosome membrane [GO:0055038]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}. Cytoplasm {ECO:0000250}. Golgi apparatus, Golgi stack {ECO:0000250}. Note=Localized to Golgi stacks as well as on tubulovesicular elements juxtaposed to Golgi cisternae. {ECO:0000250}.",59587,"FUNCTION: Functions as a cytoplasmic linker protein. Involved in TGN-endosome dynamics. May modulate the cellular compartmentalization of AKT kinase family and promote its cell membrane localization, thereby playing a role in glucose transport in adipocytes (By similarity). {ECO:0000250}.",,cytoplasmic microtubule organization [GO:0031122]; fat cell differentiation [GO:0045444]; membrane biogenesis [GO:0044091]; negative regulation of microtubule polymerization [GO:0031115]; peptidyl-L-cysteine S-palmitoylation [GO:0018230]; positive regulation of apoptotic process [GO:0043065]; positive regulation of endocytosis [GO:0045807]; positive regulation of glucose transmembrane transport [GO:0010828]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of protein phosphorylation [GO:0001934]; protein transport along microtubule [GO:0098840],ganglioside binding [GO:0035594]; microtubule binding [GO:0008017]; microtubule plus-end binding [GO:0051010],,,,cytoplasm [GO:0005737]; early endosome membrane [GO:0031901]; Golgi stack [GO:0005795]; membrane raft [GO:0045121]; microtubule plus-end [GO:0035371]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; recycling endosome membrane [GO:0055038]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588]; ganglioside binding [GO:0035594]; microtubule binding [GO:0008017]; microtubule plus-end binding [GO:0051010]; cytoplasmic microtubule organization [GO:0031122]; fat cell differentiation [GO:0045444]; membrane biogenesis [GO:0044091]; negative regulation of microtubule polymerization [GO:0031115]; peptidyl-L-cysteine S-palmitoylation [GO:0018230]; positive regulation of apoptotic process [GO:0043065]; positive regulation of endocytosis [GO:0045807]; positive regulation of glucose transmembrane transport [GO:0010828]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of protein phosphorylation [GO:0001934]; protein transport along microtubule [GO:0098840],,
B9EKI3,reviewed,TMF1_MOUSE,"TATA element modulatory factor, TMF (Androgen receptor coactivator 160 kDa protein) (Androgen receptor-associated protein of 160 kDa)",Tmf1 Ara160 Gm153,Mus musculus (Mouse),1091,endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; nucleus [GO:0005634],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Golgi apparatus membrane {ECO:0000250}. Note=Concentrated at the budding structures localized at the tips of cisternae. {ECO:0000250}.,121803,"FUNCTION: Potential coactivator of the androgen receptor. May play critical roles in two RAB6-dependent retrograde transport processes: one from endosomes to the Golgi and the other from the Golgi to the ER (By similarity). Mediates STAT3 degradation. {ECO:0000250, ECO:0000269|PubMed:15467733}.",,acrosome assembly [GO:0001675]; androgen receptor signaling pathway [GO:0030521]; apoptotic process [GO:0006915]; cellular response to organic cyclic compound [GO:0071407]; defense response to bacterium [GO:0042742]; epithelial cell apoptotic process [GO:1904019]; flagellated sperm motility [GO:0030317]; Leydig cell differentiation [GO:0033327]; luteinizing hormone secretion [GO:0032275]; male gonad development [GO:0008584]; negative regulation of epithelial cell apoptotic process [GO:1904036]; negative regulation of gene expression [GO:0010629]; positive regulation of cytokine production [GO:0001819]; positive regulation of testosterone secretion [GO:2000845]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of proteasomal protein catabolic process [GO:0061136]; spermatid development [GO:0007286]; spermatid nucleus differentiation [GO:0007289],DNA binding [GO:0003677]; nuclear androgen receptor binding [GO:0050681]; nuclear receptor coactivator activity [GO:0030374],,,,endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; nucleus [GO:0005634]; DNA binding [GO:0003677]; nuclear androgen receptor binding [GO:0050681]; nuclear receptor coactivator activity [GO:0030374]; acrosome assembly [GO:0001675]; androgen receptor signaling pathway [GO:0030521]; apoptotic process [GO:0006915]; cellular response to organic cyclic compound [GO:0071407]; defense response to bacterium [GO:0042742]; epithelial cell apoptotic process [GO:1904019]; flagellated sperm motility [GO:0030317]; Leydig cell differentiation [GO:0033327]; luteinizing hormone secretion [GO:0032275]; male gonad development [GO:0008584]; negative regulation of epithelial cell apoptotic process [GO:1904036]; negative regulation of gene expression [GO:0010629]; positive regulation of cytokine production [GO:0001819]; positive regulation of testosterone secretion [GO:2000845]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of proteasomal protein catabolic process [GO:0061136]; spermatid development [GO:0007286]; spermatid nucleus differentiation [GO:0007289],,
