,From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (GO),Gene Ontology IDs,Gene Ontology (cellular component),Gene Ontology (molecular function),"TFs (GSEA, 2022)",NOTE,placeholder
0,A6NDR6,A6NDR6,reviewed,ME3L1_HUMAN,Putative homeobox protein Meis3-like 1,MEIS3P1,Homo sapiens (Human),274.0,animal organ morphogenesis [GO:0009887]; brain development [GO:0007420]; embryonic pattern specification [GO:0009880]; eye development [GO:0001654]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357],"nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; animal organ morphogenesis [GO:0009887]; brain development [GO:0007420]; embryonic pattern specification [GO:0009880]; eye development [GO:0001654]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]",GO:0000978; GO:0000981; GO:0001228; GO:0001654; GO:0005634; GO:0006357; GO:0007420; GO:0008284; GO:0009880; GO:0009887; GO:0045944,nucleus [GO:0005634],"DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]",MEIS3P1,manual check: found,x
1,A8K0S8,A8K0S8,reviewed,ME3L2_HUMAN,Putative homeobox protein Meis3-like 2,MEIS3P2,Homo sapiens (Human),358.0,animal organ morphogenesis [GO:0009887]; brain development [GO:0007420]; embryonic pattern specification [GO:0009880]; eye development [GO:0001654]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357],"nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; animal organ morphogenesis [GO:0009887]; brain development [GO:0007420]; embryonic pattern specification [GO:0009880]; eye development [GO:0001654]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]",GO:0000978; GO:0000981; GO:0001228; GO:0001654; GO:0005634; GO:0006357; GO:0007420; GO:0008284; GO:0009880; GO:0009887; GO:0045944,nucleus [GO:0005634],"DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]",MEIS3P2,manual check: found,x
2,P0C5K6,P0C5K6,reviewed,CT18_HUMAN,"Putative tumor antigen NA88-A (Cancer/testis antigen 18, CT18)",VENTXP1,Homo sapiens (Human),33.0,,,,,,VENTXP1,manual check: found,x
3,P12525,P12525,reviewed,MYCP1_HUMAN,Putative myc-like protein MYCLP1 (Protein L-Myc-2) (V-myc myelocytomatosis viral oncogene homolog pseudogene 1),MYCLP1 MYCL1P1 MYCL2,Homo sapiens (Human),358.0,regulation of transcription by RNA polymerase II [GO:0006357],"nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]; regulation of transcription by RNA polymerase II [GO:0006357]",GO:0000981; GO:0003677; GO:0003700; GO:0005634; GO:0006357; GO:0046983,nucleus [GO:0005634],"DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]",MYCLP1,manual check: found,x
4,P40205,P40205,reviewed,NCYM_HUMAN,N-cym protein (N-myc opposite strand),MYCNOS CYMN NCYM,Homo sapiens (Human),109.0,negative regulation of kinase activity [GO:0033673]; regulation of protein stability [GO:0031647],cytoplasm [GO:0005737]; nucleus [GO:0005634]; negative regulation of kinase activity [GO:0033673]; regulation of protein stability [GO:0031647],GO:0005634; GO:0005737; GO:0031647; GO:0033673,cytoplasm [GO:0005737]; nucleus [GO:0005634],,MYCNOS,manual check: found,x
5,P49335,P49335,reviewed,PO3F4_HUMAN,"POU domain, class 3, transcription factor 4 (Brain-specific homeobox/POU domain protein 4, Brain-4, Brn-4) (Octamer-binding protein 9, Oct-9) (Octamer-binding transcription factor 9, OTF-9)",POU3F4 BRN4 OTF9,Homo sapiens (Human),361.0,brain development [GO:0007420]; cochlea morphogenesis [GO:0090103]; negative regulation of mesenchymal cell apoptotic process [GO:2001054]; regulation of transcription by RNA polymerase II [GO:0006357]; sensory perception of sound [GO:0007605],"chromatin [GO:0000785]; nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; brain development [GO:0007420]; cochlea morphogenesis [GO:0090103]; negative regulation of mesenchymal cell apoptotic process [GO:2001054]; regulation of transcription by RNA polymerase II [GO:0006357]; sensory perception of sound [GO:0007605]",GO:0000785; GO:0000978; GO:0000981; GO:0003700; GO:0005634; GO:0006357; GO:0007420; GO:0007605; GO:0090103; GO:1990837; GO:2001054,chromatin [GO:0000785]; nucleus [GO:0005634],"DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]",POU3F4,manual check: found,x
6,P49639,P49639,reviewed,HXA1_HUMAN,Homeobox protein Hox-A1 (Homeobox protein Hox-1F),HOXA1 HOX1F,Homo sapiens (Human),335.0,abducens nerve formation [GO:0021599]; anatomical structure morphogenesis [GO:0009653]; artery development [GO:0060840]; artery morphogenesis [GO:0048844]; cochlea development [GO:0090102]; cochlea morphogenesis [GO:0090103]; cognition [GO:0050890]; embryonic neurocranium morphogenesis [GO:0048702]; inner ear development [GO:0048839]; neuromuscular process [GO:0050905]; optokinetic behavior [GO:0007634]; outer ear morphogenesis [GO:0042473]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of behavior [GO:0050795]; regulation of transcription by RNA polymerase II [GO:0006357]; semicircular canal formation [GO:0060876]; sensory perception of sound [GO:0007605],"chromatin [GO:0000785]; nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; identical protein binding [GO:0042802]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; abducens nerve formation [GO:0021599]; anatomical structure morphogenesis [GO:0009653]; artery development [GO:0060840]; artery morphogenesis [GO:0048844]; cochlea development [GO:0090102]; cochlea morphogenesis [GO:0090103]; cognition [GO:0050890]; embryonic neurocranium morphogenesis [GO:0048702]; inner ear development [GO:0048839]; neuromuscular process [GO:0050905]; optokinetic behavior [GO:0007634]; outer ear morphogenesis [GO:0042473]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of behavior [GO:0050795]; regulation of transcription by RNA polymerase II [GO:0006357]; semicircular canal formation [GO:0060876]; sensory perception of sound [GO:0007605]",GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0005634; GO:0006357; GO:0007605; GO:0007634; GO:0009653; GO:0021599; GO:0042473; GO:0042802; GO:0043565; GO:0045944; GO:0048702; GO:0048839; GO:0048844; GO:0050795; GO:0050890; GO:0050905; GO:0060840; GO:0060876; GO:0090102; GO:0090103; GO:1990837,chromatin [GO:0000785]; nucleus [GO:0005634],"DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; identical protein binding [GO:0042802]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]",HOXA1,manual check: found,x
7,P52743,P52743,reviewed,ZN137_HUMAN,Putative zinc finger protein 137 (Zinc finger protein 137 pseudogene),ZNF137P ZNF137,Homo sapiens (Human),207.0,,nucleus [GO:0005634]; DNA binding [GO:0003677]; metal ion binding [GO:0046872],GO:0003677; GO:0005634; GO:0046872,nucleus [GO:0005634],DNA binding [GO:0003677]; metal ion binding [GO:0046872],ZNF137P,manual check: found,x
8,Q14863,Q14863,reviewed,PO6F1_HUMAN,"POU domain, class 6, transcription factor 1 (Brain-specific homeobox/POU domain protein 5, Brain-5, Brn-5) (mPOU homeobox protein)",POU6F1 BRN5 MPOU TCFB1,Homo sapiens (Human),301.0,brain development [GO:0007420]; heart development [GO:0007507]; muscle organ development [GO:0007517]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of transcription by RNA polymerase II [GO:0006357],"chromatin [GO:0000785]; nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; brain development [GO:0007420]; heart development [GO:0007507]; muscle organ development [GO:0007517]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of transcription by RNA polymerase II [GO:0006357]",GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0001227; GO:0003700; GO:0005634; GO:0006357; GO:0007420; GO:0007507; GO:0007517; GO:0043565; GO:1990837,chromatin [GO:0000785]; nucleus [GO:0005634],"DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]",POU6F1,manual check: found,x
9,Q17RH7,Q17RH7,reviewed,TPRXL_HUMAN,Putative protein TPRXL,TPRXL,Homo sapiens (Human),258.0,,,,,,TPRXL,manual check: found,x
