,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (cellular component),Subcellular location [CC],Mass,Function [CC],Tissue specificity,Gene Ontology (biological process),Gene Ontology (molecular function),Signal peptide,Transit peptide,DNA binding,Gene Ontology (GO),Protein families,Zinc finger,Gene Ontology IDs,alternative uniprot ID,Gene ontology (GO)
249,Q62005,reviewed,ZP1_MOUSE,"Zona pellucida sperm-binding protein 1 (Zona pellucida glycoprotein 1, Zp-1) [Cleaved into: Processed zona pellucida sperm-binding protein 1 ]",Zp1,Mus musculus (Mouse),623,collagen-containing extracellular matrix [GO:0062023]; egg coat [GO:0035805]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],SUBCELLULAR LOCATION: [Processed zona pellucida sperm-binding protein 1]: Zona pellucida {ECO:0000250|UniProtKB:P60852}.; SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P48829}; Single-pass type I membrane protein {ECO:0000255}.,68723.0,"FUNCTION: Component of the zona pellucida, an extracellular matrix surrounding oocytes which mediates sperm binding, induction of the acrosome reaction and prevents post-fertilization polyspermy. The zona pellucida is composed of 3 to 4 glycoproteins, ZP1, ZP2, ZP3, and ZP4. ZP1 ensures the structural integrity of the zona pellucida.",TISSUE SPECIFICITY: Expressed in oocytes. {ECO:0000269|PubMed:7635043}.,binding of sperm to zona pellucida [GO:0007339]; prevention of polyspermy [GO:0060468],,"SIGNAL 1..20; /evidence=""ECO:0000269|PubMed:12799386, ECO:0000269|PubMed:7635043""",,,,,,,,
630,B2RWD2,unreviewed,B2RWD2_MOUSE,Arylacetamide deacetylase-like 2,Aadacl2,Mus musculus (Mouse),401,integral component of membrane [GO:0016021],,,,,,carboxylic ester hydrolase activity [GO:0052689],,,,integral component of membrane [GO:0016021]; carboxylic ester hydrolase activity [GO:0052689],,,GO:0016021; GO:0052689,,
641,Q59IW6,unreviewed,Q59IW6_MOUSE,ABI family member 3-binding protein (Target of Nesh-SH3 variant 5),Abi3bp TARSH,Mus musculus (Mouse),1179,collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; interstitial matrix [GO:0005614],,,,,extracellular matrix organization [GO:0030198]; positive regulation of cell-substrate adhesion [GO:0010811],collagen binding [GO:0005518]; glycosaminoglycan binding [GO:0005539]; heparin binding [GO:0008201],,,,collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; interstitial matrix [GO:0005614]; collagen binding [GO:0005518]; glycosaminoglycan binding [GO:0005539]; heparin binding [GO:0008201]; extracellular matrix organization [GO:0030198]; positive regulation of cell-substrate adhesion [GO:0010811],,,GO:0005518; GO:0005539; GO:0005614; GO:0008201; GO:0010811; GO:0030198; GO:0031012; GO:0062023,,
682,P50289,reviewed,ASPX_MOUSE,Acrosomal protein SP-10 (Acrosomal vesicle protein 1) (MSA-63),Acrv1,Mus musculus (Mouse),261,acrosomal vesicle [GO:0001669],,,,,,,,,,acrosomal vesicle [GO:0001669],,,GO:0001669,,
683,Q61824,reviewed,ADA12_MOUSE,"Disintegrin and metalloproteinase domain-containing protein 12, ADAM 12, EC 3.4.24.- (Meltrin-alpha)",Adam12 Mltna,Mus musculus (Mouse),903,integral component of membrane [GO:0016021]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886],,,,,cell adhesion [GO:0007155]; positive regulation of angiogenesis [GO:0045766]; proteolysis [GO:0006508],metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; SH3 domain binding [GO:0017124],,,,integral component of membrane [GO:0016021]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; SH3 domain binding [GO:0017124]; cell adhesion [GO:0007155]; positive regulation of angiogenesis [GO:0045766]; proteolysis [GO:0006508],,,GO:0004222; GO:0005654; GO:0005886; GO:0006508; GO:0007155; GO:0016021; GO:0017124; GO:0045766; GO:0046872,,
690,Q9JLN6,reviewed,ADA28_MOUSE,"Disintegrin and metalloproteinase domain-containing protein 28, ADAM 28, EC 3.4.24.- (Thymic epithelial cell-ADAM, TECADAM)",Adam28,Mus musculus (Mouse),793,integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886],,,,,proteolysis [GO:0006508],endopeptidase activity [GO:0004175]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237],,,,integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; endopeptidase activity [GO:0004175]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; proteolysis [GO:0006508],,,GO:0004175; GO:0004222; GO:0005739; GO:0005886; GO:0006508; GO:0008237; GO:0016021; GO:0046872,,
788,G3UXC7,unreviewed,G3UXC7_MOUSE,ADAMTS-like 3,Adamtsl3,Mus musculus (Mouse),1706,extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; intracellular membrane-bounded organelle [GO:0043231],,,,,extracellular matrix organization [GO:0030198],,,,,extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; intracellular membrane-bounded organelle [GO:0043231]; extracellular matrix organization [GO:0030198],,,GO:0005576; GO:0030198; GO:0031012; GO:0043231,,
793,D3Z689,unreviewed,D3Z689_MOUSE,ADAMTS-like 5,Adamtsl5,Mus musculus (Mouse),485,collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; microfibril [GO:0001527],,,,,,heparin binding [GO:0008201]; metalloendopeptidase activity [GO:0004222]; microfibril binding [GO:0050436],,,,collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; microfibril [GO:0001527]; heparin binding [GO:0008201]; metalloendopeptidase activity [GO:0004222]; microfibril binding [GO:0050436],,,GO:0001527; GO:0004222; GO:0005576; GO:0008201; GO:0031012; GO:0050436; GO:0062023,,
819,Q8VEC3,reviewed,AGRF1_MOUSE,Adhesion G-protein coupled receptor F1 (G protein-coupled receptor 110),Adgrf1 Gpr110,Mus musculus (Mouse),908,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],,,,,adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cell surface receptor signaling pathway [GO:0007166]; memory [GO:0007613]; neuron projection development [GO:0031175]; positive regulation of CREB transcription factor activity [GO:0032793]; synapse assembly [GO:0007416],cannabinoid receptor activity [GO:0004949]; G protein-coupled receptor activity [GO:0004930],,,,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cannabinoid receptor activity [GO:0004949]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cell surface receptor signaling pathway [GO:0007166]; memory [GO:0007613]; neuron projection development [GO:0031175]; positive regulation of CREB transcription factor activity [GO:0032793]; synapse assembly [GO:0007416],,,GO:0004930; GO:0004949; GO:0005886; GO:0007166; GO:0007189; GO:0007416; GO:0007613; GO:0016021; GO:0031175; GO:0032793,,
891,G5E895,unreviewed,G5E895_MOUSE,"Aldo-keto reductase family 1, member B10 (aldose reductase)",Akr1b10,Mus musculus (Mouse),316,cytosol [GO:0005829]; extracellular region [GO:0005576]; lysosome [GO:0005764]; mitochondrion [GO:0005739],,,,,polyol metabolic process [GO:0019751]; retinal metabolic process [GO:0042574],alcohol dehydrogenase (NADP+) activity [GO:0008106]; alditol:NADP+ 1-oxidoreductase activity [GO:0004032]; geranylgeranyl reductase activity [GO:0045550]; indanol dehydrogenase activity [GO:0047718]; NADP+ binding [GO:0070401]; NADP-retinol dehydrogenase activity [GO:0052650]; NADPH binding [GO:0070402]; retinal binding [GO:0016918]; retinal dehydrogenase activity [GO:0001758],,,,cytosol [GO:0005829]; extracellular region [GO:0005576]; lysosome [GO:0005764]; mitochondrion [GO:0005739]; alcohol dehydrogenase (NADP+) activity [GO:0008106]; alditol:NADP+ 1-oxidoreductase activity [GO:0004032]; geranylgeranyl reductase activity [GO:0045550]; indanol dehydrogenase activity [GO:0047718]; NADP+ binding [GO:0070401]; NADP-retinol dehydrogenase activity [GO:0052650]; NADPH binding [GO:0070402]; retinal binding [GO:0016918]; retinal dehydrogenase activity [GO:0001758]; polyol metabolic process [GO:0019751]; retinal metabolic process [GO:0042574],,,GO:0001758; GO:0004032; GO:0005576; GO:0005739; GO:0005764; GO:0005829; GO:0008106; GO:0016918; GO:0019751; GO:0042574; GO:0045550; GO:0047718; GO:0052650; GO:0070401; GO:0070402,,
