Gene stable ID,Mouse gene name,Mouse homology type,Gene name,Gene stable ID version
ENSG00000198888,mt-Nd1,ortholog_one2one,MT-ND1,ENSG00000198888.2
ENSG00000198763,mt-Nd2,ortholog_one2one,MT-ND2,ENSG00000198763.3
ENSG00000198804,mt-Co1,ortholog_one2one,MT-CO1,ENSG00000198804.2
ENSG00000198712,mt-Co2,ortholog_one2one,MT-CO2,ENSG00000198712.1
ENSG00000228253,mt-Atp8,ortholog_one2one,MT-ATP8,ENSG00000228253.1
ENSG00000198899,mt-Atp6,ortholog_one2one,MT-ATP6,ENSG00000198899.2
ENSG00000198938,mt-Co3,ortholog_one2one,MT-CO3,ENSG00000198938.2
ENSG00000198840,mt-Nd3,ortholog_one2one,MT-ND3,ENSG00000198840.2
ENSG00000212907,mt-Nd4l,ortholog_one2one,MT-ND4L,ENSG00000212907.2
ENSG00000198886,mt-Nd4,ortholog_one2one,MT-ND4,ENSG00000198886.2
ENSG00000198786,mt-Nd5,ortholog_one2one,MT-ND5,ENSG00000198786.2
ENSG00000198695,mt-Nd6,ortholog_one2one,MT-ND6,ENSG00000198695.2
ENSG00000198727,mt-Cytb,ortholog_one2one,MT-CYB,ENSG00000198727.2
ENSG00000278294,Gm54867,ortholog_one2many,5_8S_rRNA,ENSG00000278294.1
ENSG00000277196,Prodh,ortholog_one2many,PRODH,ENSG00000277196.4
ENSG00000278817,Dgcr6,ortholog_one2many,,ENSG00000278817.1
ENSG00000273748,Frg1,ortholog_one2many,,ENSG00000273748.1
ENSG00000274847,Tekt4,ortholog_one2one,MAFIP,ENSG00000274847.1
ENSG00000276351,Gm56421,ortholog_one2many,,ENSG00000276351.1
ENSG00000276345,Mrpl23,ortholog_one2many,,ENSG00000276345.1
ENSG00000273532,Gm56420,ortholog_one2many,,ENSG00000273532.1
ENSG00000277856,Ighv16-1,ortholog_many2many,,ENSG00000277856.1
ENSG00000277856,Ighv5-9,ortholog_many2many,,ENSG00000277856.1
ENSG00000277856,Ighv5-16,ortholog_many2many,,ENSG00000277856.1
ENSG00000277856,Ighv11-1,ortholog_many2many,,ENSG00000277856.1
ENSG00000277856,Ighv5-2,ortholog_many2many,,ENSG00000277856.1
ENSG00000277856,Ighv5-17,ortholog_many2many,,ENSG00000277856.1
ENSG00000277856,Ighv11-2,ortholog_many2many,,ENSG00000277856.1
ENSG00000277856,Ighv5-12-4,ortholog_many2many,,ENSG00000277856.1
ENSG00000277856,Ighv5-15,ortholog_many2many,,ENSG00000277856.1
ENSG00000277856,Ighv4-1,ortholog_many2many,,ENSG00000277856.1
ENSG00000277856,Ighv5-4,ortholog_many2many,,ENSG00000277856.1
ENSG00000277856,Ighv5-9-1,ortholog_many2many,,ENSG00000277856.1
ENSG00000277856,Ighv5-12,ortholog_many2many,,ENSG00000277856.1
ENSG00000277856,Ighv5-6,ortholog_many2many,,ENSG00000277856.1
ENSG00000114374,Usp9y,ortholog_one2one,USP9Y,ENSG00000114374.13
ENSG00000198692,Eif1a,ortholog_one2many,EIF1AY,ENSG00000198692.10
ENSG00000198692,Eif1ad13,ortholog_one2many,EIF1AY,ENSG00000198692.10
ENSG00000198692,Eif1ad2,ortholog_one2many,EIF1AY,ENSG00000198692.10
ENSG00000198692,Eif1ad7,ortholog_one2many,EIF1AY,ENSG00000198692.10
