,uniprot,annotation,iWAT_HF_cre+_1/iWAT_HF_cre-_1_ratio,FP_iWAT_HF_cre+_1/iWAT_HF_cre-_1_ratio,TP_iWAT_HF_cre+_1/iWAT_HF_cre-_1_ratio,TPR_iWAT_HF_cre+_1/iWAT_HF_cre-_1_ratio,FPR_iWAT_HF_cre+_1/iWAT_HF_cre-_1_ratio,TPR-FPR_iWAT_HF_cre+_1/iWAT_HF_cre-_1_ratio,iWAT_HF_cre+_1/iWAT_HF_cre-_2_ratio,FP_iWAT_HF_cre+_1/iWAT_HF_cre-_2_ratio,TP_iWAT_HF_cre+_1/iWAT_HF_cre-_2_ratio,TPR_iWAT_HF_cre+_1/iWAT_HF_cre-_2_ratio,FPR_iWAT_HF_cre+_1/iWAT_HF_cre-_2_ratio,TPR-FPR_iWAT_HF_cre+_1/iWAT_HF_cre-_2_ratio,iWAT_HF_cre+_2/iWAT_HF_cre-_1_ratio,FP_iWAT_HF_cre+_2/iWAT_HF_cre-_1_ratio,TP_iWAT_HF_cre+_2/iWAT_HF_cre-_1_ratio,TPR_iWAT_HF_cre+_2/iWAT_HF_cre-_1_ratio,FPR_iWAT_HF_cre+_2/iWAT_HF_cre-_1_ratio,TPR-FPR_iWAT_HF_cre+_2/iWAT_HF_cre-_1_ratio,iWAT_HF_cre+_2/iWAT_HF_cre-_2_ratio,FP_iWAT_HF_cre+_2/iWAT_HF_cre-_2_ratio,TP_iWAT_HF_cre+_2/iWAT_HF_cre-_2_ratio,TPR_iWAT_HF_cre+_2/iWAT_HF_cre-_2_ratio,FPR_iWAT_HF_cre+_2/iWAT_HF_cre-_2_ratio,TPR-FPR_iWAT_HF_cre+_2/iWAT_HF_cre-_2_ratio,iWAT_HF_cre+_3/iWAT_HF_cre-_1_ratio,FP_iWAT_HF_cre+_3/iWAT_HF_cre-_1_ratio,TP_iWAT_HF_cre+_3/iWAT_HF_cre-_1_ratio,TPR_iWAT_HF_cre+_3/iWAT_HF_cre-_1_ratio,FPR_iWAT_HF_cre+_3/iWAT_HF_cre-_1_ratio,TPR-FPR_iWAT_HF_cre+_3/iWAT_HF_cre-_1_ratio,iWAT_HF_cre+_3/iWAT_HF_cre-_2_ratio,FP_iWAT_HF_cre+_3/iWAT_HF_cre-_2_ratio,TP_iWAT_HF_cre+_3/iWAT_HF_cre-_2_ratio,TPR_iWAT_HF_cre+_3/iWAT_HF_cre-_2_ratio,FPR_iWAT_HF_cre+_3/iWAT_HF_cre-_2_ratio,TPR-FPR_iWAT_HF_cre+_3/iWAT_HF_cre-_2_ratio,iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,FP_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,TP_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,TPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,TPR-FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,FP_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,TP_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,TPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,TPR-FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,FP_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,TP_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,TPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,TPR-FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,FP_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,TP_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,TPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,TPR-FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,FP_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,TP_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,TPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,TPR-FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,FP_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,TP_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,TPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,TPR-FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio
0,Q9Z2G9,FP,4.652908466541662,1.0,0.0,0.0,0.0011961722488038277,-0.0011961722488038277,4.649413507891497,1.0,0.0,0.0,0.0012106537530266344,-0.0012106537530266344,4.67959952658978,2.0,1.0,0.004424778761061947,0.002398081534772182,0.0020266972262897648,4.683839311713563,1.0,1.0,0.004524886877828055,0.0012106537530266344,0.0033142331248014203,4.475150667643549,2.0,0.0,0.0,0.0023923444976076554,-0.0023923444976076554,4.494427502392409,1.0,0.0,0.0,0.0012062726176115801,-0.0012062726176115801,2.5577103449560266,24.0,36.0,0.1651376146788991,0.02973977695167286,0.13539783772722624,3.100681657995814,9.0,10.0,0.047619047619047616,0.011734028683181226,0.03588501893586639,2.1683273831619325,19.0,34.0,0.1559633027522936,0.023514851485148515,0.13244845126714508,2.709541084106864,7.0,10.0,0.047619047619047616,0.009114583333333334,0.03850446428571428,0.5645619159207685,205.0,82.0,0.3778801843317972,0.25561097256857856,0.12226921176321864,1.0675905118084945,68.0,34.0,0.16346153846153846,0.08900523560209424,0.07445630285944423
1,Q6ZQI3,,4.140222738777401,2.0,0.0,0.0,0.0023923444976076554,-0.0023923444976076554,4.189114296681685,1.0,0.0,0.0,0.0012106537530266344,-0.0012106537530266344,3.972042383532073,2.0,1.0,0.004424778761061947,0.002398081534772182,0.0020266972262897648,4.028668685210304,2.0,1.0,0.004524886877828055,0.002421307506053269,0.002103579371774786,4.108293697298187,2.0,1.0,0.004424778761061947,0.0023923444976076554,0.0020324342634542914,4.179957048601497,1.0,1.0,0.004524886877828055,0.0012062726176115801,0.0033186142602164743,3.443804785074286,4.0,6.0,0.027522935779816515,0.004956629491945477,0.022566306287871037,3.6237183034576246,1.0,2.0,0.009523809523809525,0.001303780964797914,0.00822002855901161,2.905220212069425,5.0,13.0,0.05963302752293578,0.006188118811881188,0.053444908711054596,3.0833761183579074,0.0,7.0,0.03333333333333333,0.0,0.03333333333333333,0.6545105068748934,182.0,76.0,0.35023041474654376,0.22693266832917705,0.12329774641736671,0.7944813081061701,105.0,46.0,0.22115384615384615,0.13743455497382198,0.08371929118002416
2,Q99LJ6,TP,4.111581237281871,2.0,1.0,0.004424778761061947,0.0023923444976076554,0.0020324342634542914,4.111326573314442,1.0,1.0,0.004524886877828055,0.0012106537530266344,0.0033142331248014203,4.768691219369492,1.0,1.0,0.004424778761061947,0.001199040767386091,0.003225737993675856,4.776171299176011,0.0,1.0,0.004524886877828055,0.0,0.004524886877828055,4.169225848323463,2.0,1.0,0.004424778761061947,0.0023923444976076554,0.0020324342634542914,4.19174297775506,1.0,1.0,0.004524886877828055,0.0012062726176115801,0.0033186142602164743,2.8313154909787417,17.0,21.0,0.0963302752293578,0.021065675340768277,0.07526459988858952,2.766997390158773,12.0,15.0,0.07142857142857142,0.01564537157757497,0.05578319985099646,1.8494411504696184,35.0,49.0,0.22477064220183487,0.043316831683168314,0.18145381051866655,1.7833654375547938,30.0,40.0,0.19047619047619047,0.0390625,0.15141369047619047,1.3059083287351334,60.0,37.0,0.17050691244239632,0.07481296758104738,0.09569394486134894,1.201647510763103,55.0,27.0,0.12980769230769232,0.07198952879581152,0.057818163511880794
3,Q8BH01,,4.087741887066443,2.0,1.0,0.004424778761061947,0.0023923444976076554,0.0020324342634542914,4.126707104540036,1.0,0.0,0.0,0.0012106537530266344,-0.0012106537530266344,4.274836847933931,2.0,1.0,0.004424778761061947,0.002398081534772182,0.0020266972262897648,4.321536809181471,1.0,1.0,0.004524886877828055,0.0012106537530266344,0.0033142331248014203,3.6665181913798586,2.0,1.0,0.004424778761061947,0.0023923444976076554,0.0020324342634542914,3.728255202252477,1.0,3.0,0.013574660633484163,0.0012062726176115801,0.012368388015872584,2.901557205163116,15.0,17.0,0.0779816513761468,0.01858736059479554,0.05939429078135125,2.495530693943472,18.0,24.0,0.11428571428571428,0.02346805736636245,0.09081765691935183,2.3290244908744144,14.0,29.0,0.13302752293577982,0.017326732673267328,0.1157007902625125,1.9212403675599135,25.0,32.0,0.1523809523809524,0.032552083333333336,0.11982886904761905,1.2852460224153925,62.0,37.0,0.17050691244239632,0.0773067331670823,0.09320017927531403,0.839276794043686,99.0,44.0,0.21153846153846154,0.12958115183246074,0.08195730970600079
4,Q8CFG0,,3.9473017811578606,2.0,1.0,0.004424778761061947,0.0023923444976076554,0.0020324342634542914,3.7659918740082956,1.0,1.0,0.004524886877828055,0.0012106537530266344,0.0033142331248014203,4.156804314274001,2.0,1.0,0.004424778761061947,0.002398081534772182,0.0020266972262897648,3.983229150898383,2.0,2.0,0.00904977375565611,0.002421307506053269,0.0066284662496028405,3.975312850155314,2.0,1.0,0.004424778761061947,0.0023923444976076554,0.0020324342634542914,3.8167747364047737,1.0,3.0,0.013574660633484163,0.0012062726176115801,0.012368388015872584,3.7150871159525987,2.0,5.0,0.022935779816513763,0.0024783147459727386,0.020457465070541025,3.7249331396566756,1.0,1.0,0.004761904761904762,0.001303780964797914,0.0034581237971068484,3.2559292717984496,1.0,5.0,0.022935779816513763,0.0012376237623762376,0.021698156054137524,3.26401768340767,0.0,4.0,0.01904761904761905,0.0,0.01904761904761905,2.2470114352271624,11.0,5.0,0.02304147465437788,0.01371571072319202,0.009325763931185862,2.2169147417791777,7.0,0.0,0.0,0.009162303664921465,-0.009162303664921465
5,P55302,,3.8783300021599625,2.0,1.0,0.004424778761061947,0.0023923444976076554,0.0020324342634542914,3.7194097163732507,1.0,1.0,0.004524886877828055,0.0012106537530266344,0.0033142331248014203,4.273657082872154,2.0,1.0,0.004424778761061947,0.002398081534772182,0.0020266972262897648,4.122471540859389,1.0,1.0,0.004524886877828055,0.0012106537530266344,0.0033142331248014203,3.409213711798523,3.0,6.0,0.02654867256637168,0.0035885167464114833,0.022960155819960196,3.2730652194108365,3.0,11.0,0.049773755656108594,0.0036188178528347406,0.04615493780327385,3.037444691126732,11.0,16.0,0.07339449541284404,0.013630731102850062,0.05976376430999398,2.9791754690816425,10.0,12.0,0.05714285714285714,0.01303780964797914,0.044105047494878,2.623340229236586,8.0,21.0,0.0963302752293578,0.009900990099009901,0.08642928513034791,2.5633133950966402,8.0,15.0,0.07142857142857142,0.010416666666666666,0.06101190476190476,1.8809886470270796,20.0,10.0,0.04608294930875576,0.02493765586034913,0.021145293448406634,1.7827767078299284,13.0,6.0,0.028846153846153848,0.017015706806282723,0.011830447039871125
6,Q9ERE7,,3.7984493038668004,2.0,1.0,0.004424778761061947,0.0023923444976076554,0.0020324342634542914,3.87284561693687,1.0,1.0,0.004524886877828055,0.0012106537530266344,0.0033142331248014203,3.8377765930124492,3.0,2.0,0.008849557522123894,0.0035971223021582736,0.00525243521996562,3.9199076498564662,2.0,2.0,0.00904977375565611,0.002421307506053269,0.0066284662496028405,2.924339387075899,6.0,15.0,0.06637168141592921,0.007177033492822967,0.05919464792310624,3.021507493544994,5.0,15.0,0.06787330316742081,0.006031363088057901,0.06184194007936291,2.8860803900507856,16.0,17.0,0.0779816513761468,0.01982651796778191,0.05815513340836488,2.504359711641818,18.0,23.0,0.10952380952380952,0.02346805736636245,0.08605575215744707,1.6130663344165606,49.0,67.0,0.3073394495412844,0.06064356435643564,0.24669588518484875,1.229588043912737,64.0,73.0,0.3476190476190476,0.08333333333333333,0.2642857142857143,1.9246992198652482,20.0,9.0,0.041474654377880185,0.02493765586034913,0.016536998517531057,1.503035824304219,28.0,12.0,0.057692307692307696,0.03664921465968586,0.021043093032621835
7,Q9CQE7,,3.7719589377141682,2.0,1.0,0.004424778761061947,0.0023923444976076554,0.0020324342634542914,3.3960879748570143,2.0,8.0,0.03619909502262444,0.002421307506053269,0.03377778751657117,4.0275544972003825,2.0,1.0,0.004424778761061947,0.002398081534772182,0.0020266972262897648,3.6594182781171756,2.0,7.0,0.03167420814479638,0.002421307506053269,0.02925290063874311,3.5591334032743593,2.0,2.0,0.008849557522123894,0.0023923444976076554,0.006457213024516238,3.2060342338162306,3.0,13.0,0.058823529411764705,0.0036188178528347406,0.05520471155892996,2.8848410515567227,16.0,17.0,0.0779816513761468,0.01982651796778191,0.05815513340836488,3.013698702132649,10.0,11.0,0.05238095238095238,0.01303780964797914,0.03934314273297324,2.5826198336112043,9.0,21.0,0.0963302752293578,0.011138613861386138,0.08519166136797167,2.7097198720922746,6.0,10.0,0.047619047619047616,0.0078125,0.039806547619047616,1.8483429804172409,23.0,10.0,0.04608294930875576,0.028678304239401497,0.017404645069354265,1.9372579138411057,9.0,2.0,0.009615384615384616,0.011780104712041885,-0.002164720096657269
8,Q91ZW2,,3.7216001317539145,2.0,1.0,0.004424778761061947,0.0023923444976076554,0.0020324342634542914,3.5274796557864447,2.0,5.0,0.02262443438914027,0.002421307506053269,0.020203126883087,3.945453303766259,2.0,1.0,0.004424778761061947,0.002398081534772182,0.0020266972262897648,3.7590675715727366,2.0,5.0,0.02262443438914027,0.002421307506053269,0.020203126883087,3.527105148107119,2.0,3.0,0.01327433628318584,0.0023923444976076554,0.010881991785578185,3.3557564655386742,3.0,9.0,0.04072398190045249,0.0036188178528347406,0.037105164047617746,2.782729116527204,19.0,23.0,0.10550458715596331,0.023543990086741014,0.08196059706922229,2.7866328433517227,12.0,13.0,0.06190476190476191,0.01564537157757497,0.04625939032718694,1.7930405189751693,39.0,54.0,0.24770642201834864,0.04826732673267327,0.19943909528567538,1.795186633704832,30.0,37.0,0.1761904761904762,0.0390625,0.1371279761904762,1.7316822584444704,28.0,13.0,0.059907834101382486,0.034912718204488775,0.02499511589689371,1.6956432681169273,16.0,7.0,0.03365384615384615,0.020942408376963352,0.0127114377768828
9,Q9WUZ9,TP,3.6418137475633783,2.0,2.0,0.008849557522123894,0.0023923444976076554,0.006457213024516238,3.6647113154447535,1.0,2.0,0.00904977375565611,0.0012106537530266344,0.007839120002629475,3.319182061250028,3.0,16.0,0.07079646017699115,0.0035971223021582736,0.06719933787483287,3.34981437290535,2.0,14.0,0.06334841628959276,0.002421307506053269,0.06092710878353949,3.214433103282471,4.0,13.0,0.05752212389380531,0.004784688995215311,0.05273743489859,3.260102464562871,3.0,12.0,0.05429864253393665,0.0036188178528347406,0.05067982468110191,2.118559659684002,33.0,60.0,0.27522935779816515,0.040892193308550186,0.23433716448961497,2.3320339056417594,22.0,28.0,0.13333333333333333,0.028683181225554105,0.10465015210777923,1.4786592734301525,61.0,78.0,0.3577981651376147,0.07549504950495049,0.2823031156326642,1.6903759072930538,33.0,48.0,0.22857142857142856,0.04296875,0.18560267857142856,1.1291109278102625,80.0,45.0,0.2073732718894009,0.09975062344139651,0.1076226484480044,1.3026424566159582,42.0,25.0,0.1201923076923077,0.0549738219895288,0.0652184857027789
