Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (cellular component),Subcellular location [CC],Mass,Function [CC],Tissue specificity,Gene Ontology (biological process),Gene Ontology (molecular function),Signal peptide,Transit peptide,DNA binding,Gene Ontology (GO),Protein families,Zinc finger,alternative uniprot ID
Q80Y98,reviewed,DDHD2_MOUSE,"Phospholipase DDHD2, EC 3.1.1.- (DDHD domain-containing protein 2) (SAM, WWE and DDHD domain-containing protein 1)",Ddhd2 Kiaa0725 Samwd1,Mus musculus (Mouse),699,centriolar satellite [GO:0034451]; COPII-coated ER to Golgi transport vesicle [GO:0030134]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; Golgi apparatus [GO:0005794]; membrane [GO:0016020],"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250}. Endoplasmic reticulum-Golgi intermediate compartment {ECO:0000250}. Golgi apparatus, cis-Golgi network {ECO:0000250}. Note=Cycles between the Golgi apparatus and the cytosol. DDHD2 recruitment to the Golgi/endoplasmic reticulum-Golgi intermediate compartment (ERGIC) is regulated by the levels of phosphoinositides, including PI(4)P (By similarity). {ECO:0000250}.",79577,"FUNCTION: Phospholipase that hydrolyzes preferentially phosphatidic acid, including 1,2-dioleoyl-sn-phosphatidic acid, and phosphatidylethanolamine. Specifically binds to phosphatidylinositol 3-phosphate (PI(3)P), phosphatidylinositol 4-phosphate (PI(4)P), phosphatidylinositol 5-phosphate (PI(5)P) and possibly phosphatidylinositol 4,5-bisphosphate (PI(4,5)P2). May be involved in the maintenance of the endoplasmic reticulum and/or Golgi structures. May regulate the transport between Golgi apparatus and plasma membrane (By similarity). {ECO:0000250}.",,lipid droplet organization [GO:0034389]; locomotory behavior [GO:0007626]; mitochondrial fission [GO:0000266]; positive regulation of mitochondrial fission [GO:0090141]; triglyceride catabolic process [GO:0019433]; visual learning [GO:0008542],metal ion binding [GO:0046872]; phospholipase activity [GO:0004620]; triglyceride lipase activity [GO:0004806],,,,centriolar satellite [GO:0034451]; COPII-coated ER to Golgi transport vesicle [GO:0030134]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; metal ion binding [GO:0046872]; phospholipase activity [GO:0004620]; triglyceride lipase activity [GO:0004806]; lipid droplet organization [GO:0034389]; locomotory behavior [GO:0007626]; mitochondrial fission [GO:0000266]; positive regulation of mitochondrial fission [GO:0090141]; triglyceride catabolic process [GO:0019433]; visual learning [GO:0008542],PA-PLA1 family,,
E9QAT4,reviewed,SC16A_MOUSE,"Protein transport protein Sec16A (SEC16 homolog A, p250)",Sec16a Kiaa0310 Sec16,Mus musculus (Mouse),2357,cytosol [GO:0005829]; endoplasmic reticulum exit site [GO:0070971]; endoplasmic reticulum membrane [GO:0005789]; ER to Golgi transport vesicle membrane [GO:0012507]; Golgi membrane [GO:0000139]; organelle membrane [GO:0031090]; perinuclear region of cytoplasm [GO:0048471],"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:O15027}; Peripheral membrane protein. Golgi apparatus membrane {ECO:0000250|UniProtKB:O15027}; Peripheral membrane protein {ECO:0000250|UniProtKB:O15027}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:27354378}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:O15027}. Microsome membrane {ECO:0000250|UniProtKB:O15027}. Note=SAR1A activity is required to maintain SEC16A localization at discrete locations on the ER membrane perhaps by preventing its dissociation (By similarity). Localizes to endoplasmic reticulum exit sites (ERES), also known as transitional endoplasmic reticulum (tER). MIA3 and LRRK2 are required for its proper localization to ERES (PubMed:25201882). Recruited to microsomal membrane in SAR1-dependent manner (By similarity). {ECO:0000250|UniProtKB:O15027, ECO:0000269|PubMed:25201882}.",254202,"FUNCTION: Acts as a molecular scaffold that plays a key role in the organization of the endoplasmic reticulum exit sites (ERES), also known as transitional endoplasmic reticulum (tER). SAR1A-GTP-dependent assembly of SEC16A on the ER membrane forms an organized scaffold defining an ERES. Required for secretory cargo traffic from the endoplasmic reticulum to the Golgi apparatus (PubMed:17428803). Mediates the recruitment of MIA3/TANGO to ERES. Regulates both conventional (ER/Golgi-dependent) and GORASP2-mediated unconventional (ER/Golgi-independent) trafficking of CFTR to cell membrane (By similarity). Acts as a RAB10 effector in the regulation of insulin-induced SLC2A4/GLUT4 glucose transporter-enriched vesicles delivery to the plasma membrane in adipocytes (PubMed:27354378). {ECO:0000250|UniProtKB:O15027, ECO:0000269|PubMed:17428803, ECO:0000269|PubMed:27354378}.",,autophagy [GO:0006914]; COPII vesicle coating [GO:0048208]; endoplasmic reticulum organization [GO:0007029]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; Golgi to plasma membrane CFTR protein transport [GO:0043000]; protein exit from endoplasmic reticulum [GO:0032527]; protein localization to endoplasmic reticulum exit site [GO:0070973]; protein localization to plasma membrane [GO:0072659]; protein stabilization [GO:0050821]; response to endoplasmic reticulum stress [GO:0034976],,,,,cytosol [GO:0005829]; endoplasmic reticulum exit site [GO:0070971]; endoplasmic reticulum membrane [GO:0005789]; ER to Golgi transport vesicle membrane [GO:0012507]; Golgi membrane [GO:0000139]; organelle membrane [GO:0031090]; perinuclear region of cytoplasm [GO:0048471]; autophagy [GO:0006914]; COPII vesicle coating [GO:0048208]; endoplasmic reticulum organization [GO:0007029]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; Golgi to plasma membrane CFTR protein transport [GO:0043000]; protein exit from endoplasmic reticulum [GO:0032527]; protein localization to endoplasmic reticulum exit site [GO:0070973]; protein localization to plasma membrane [GO:0072659]; protein stabilization [GO:0050821]; response to endoplasmic reticulum stress [GO:0034976],SEC16 family,,A2AIX1
Q61810,reviewed,LTBP3_MOUSE,"Latent-transforming growth factor beta-binding protein 3, LTBP-3",Ltbp3,Mus musculus (Mouse),1253,collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576],"SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q9NS15}. Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:Q9NS15}. Note=Secretion occurs after coexpression with TGFB1 and requires complexing with 'Cys-33' of the TGFB1 propeptide. {ECO:0000250|UniProtKB:Q9NS15}.",134363,"FUNCTION: Key regulator of transforming growth factor beta (TGFB1, TGFB2 and TGFB3) that controls TGF-beta activation by maintaining it in a latent state during storage in extracellular space. Associates specifically via disulfide bonds with the Latency-associated peptide (LAP), which is the regulatory chain of TGF-beta, and regulates integrin-dependent activation of TGF-beta. {ECO:0000303|PubMed:10743502, ECO:0000303|PubMed:11104663}.",,bone mineralization [GO:0030282]; bone morphogenesis [GO:0060349]; bone remodeling [GO:0046849]; chondrocyte differentiation [GO:0002062]; elastic fiber assembly [GO:0048251]; lung saccule development [GO:0060430]; negative regulation of bone mineralization [GO:0030502]; negative regulation of chondrocyte differentiation [GO:0032331]; positive regulation of bone resorption [GO:0045780]; positive regulation of mesenchymal stem cell differentiation [GO:2000741]; positive regulation of mesenchymal stem cell proliferation [GO:1902462]; skeletal system development [GO:0001501]; transforming growth factor beta activation [GO:0036363]; transforming growth factor beta receptor signaling pathway [GO:0007179],calcium ion binding [GO:0005509]; transforming growth factor beta binding [GO:0050431],"SIGNAL 1..38; /evidence=""ECO:0000255""",,,collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; transforming growth factor beta binding [GO:0050431]; bone mineralization [GO:0030282]; bone morphogenesis [GO:0060349]; bone remodeling [GO:0046849]; chondrocyte differentiation [GO:0002062]; elastic fiber assembly [GO:0048251]; lung saccule development [GO:0060430]; negative regulation of bone mineralization [GO:0030502]; negative regulation of chondrocyte differentiation [GO:0032331]; positive regulation of bone resorption [GO:0045780]; positive regulation of mesenchymal stem cell differentiation [GO:2000741]; positive regulation of mesenchymal stem cell proliferation [GO:1902462]; skeletal system development [GO:0001501]; transforming growth factor beta activation [GO:0036363]; transforming growth factor beta receptor signaling pathway [GO:0007179],LTBP family,,F8VQ06
Q9D8S3,reviewed,ARFG3_MOUSE,"ADP-ribosylation factor GTPase-activating protein 3, ARF GAP 3",Arfgap3,Mus musculus (Mouse),523,cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Golgi apparatus membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Note=Also found on peripheral punctate structures likely to be endoplasmic reticulum-Golgi intermediate compartment. {ECO:0000250}.,57456,FUNCTION: GTPase-activating protein (GAP) for ADP ribosylation factor 1 (ARF1). Hydrolysis of ARF1-bound GTP may lead to dissociation of coatomer from Golgi-derived membranes to allow fusion with target membranes (By similarity). {ECO:0000250}.,,COPI coating of Golgi vesicle [GO:0048205]; protein secretion [GO:0009306],GTPase activator activity [GO:0005096]; metal ion binding [GO:0046872],,,,cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; GTPase activator activity [GO:0005096]; metal ion binding [GO:0046872]; COPI coating of Golgi vesicle [GO:0048205]; protein secretion [GO:0009306],,"ZN_FING 25..48; /note=""C4-type""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00288""",
Q3UDW8,reviewed,HGNAT_MOUSE,"Heparan-alpha-glucosaminide N-acetyltransferase, EC 2.3.1.78 (Transmembrane protein 76)",Hgsnat D8Ertd354e Tmem76,Mus musculus (Mouse),656,integral component of membrane [GO:0016021]; lysosomal membrane [GO:0005765],SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000269|PubMed:16960811}; Multi-pass membrane protein {ECO:0000269|PubMed:16960811}. Note=Colocalizes with the lysosomal marker LAMP2. The signal peptide is not cleaved upon translocation into the endoplasmic reticulum; the precursor is probably targeted to the lysosomes via the adapter protein complex-mediated pathway that involves tyrosine- and/or dileucine-based conserved amino acid motifs in the last C-terminus 16-amino acid domain (By similarity). {ECO:0000250}.,72504,"FUNCTION: Lysosomal acetyltransferase that acetylates the non-reducing terminal alpha-glucosamine residue of intralysosomal heparin or heparan sulfate, converting it into a substrate for luminal alpha-N-acetyl glucosaminidase. {ECO:0000269|PubMed:16960811}.",TISSUE SPECIFICITY: Expressed in the retina. {ECO:0000269|PubMed:25859010}.,lysosomal transport [GO:0007041]; protein complex oligomerization [GO:0051259],acyltransferase activity [GO:0016746]; heparan-alpha-glucosaminide N-acetyltransferase activity [GO:0015019],,,,integral component of membrane [GO:0016021]; lysosomal membrane [GO:0005765]; acyltransferase activity [GO:0016746]; heparan-alpha-glucosaminide N-acetyltransferase activity [GO:0015019]; lysosomal transport [GO:0007041]; protein complex oligomerization [GO:0051259],,,
