Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (cellular component),Subcellular location [CC],Mass,Function [CC],Tissue specificity,Gene Ontology (biological process),Gene Ontology (molecular function),Signal peptide,Transit peptide
A0A087WPF7,reviewed,AUTS2_MOUSE,Autism susceptibility gene 2 protein homolog,Auts2 Kiaa0442,Mus musculus (Mouse),1261,cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; growth cone [GO:0030426]; nucleus [GO:0005634],"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19948250, ECO:0000269|PubMed:25519132, ECO:0000269|PubMed:25533347}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:25533347}. Cell projection, growth cone {ECO:0000269|PubMed:25533347}. Note=Detected both in cytoplasm and nucleus (PubMed:25533347). Colocalizes with RAC1 at actin-rich growth cones (PubMed:25533347). Detected on the promoter region of actively transcribed genes (PubMed:25519132). {ECO:0000269|PubMed:25519132, ECO:0000269|PubMed:25533347}.",138920,"FUNCTION: Component of a Polycomb group (PcG) multiprotein PRC1-like complex, a complex class required to maintain the transcriptionally repressive state of many genes, including Hox genes, throughout development. PcG PRC1 complex acts via chromatin remodeling and modification of histones; it mediates monoubiquitination of histone H2A 'Lys-119', rendering chromatin heritably changed in its expressibility. The PRC1-like complex that contains PCGF5, RNF2, CSNK2B, RYBP and AUTS2 has decreased histone H2A ubiquitination activity, due to the phosphorylation of RNF2 by CSNK2B. As a consequence, the complex mediates transcriptional activation (By similarity). In the cytoplasm, plays a role in axon and dendrite elongation and in neuronal migration during embryonic brain development. Promotes reorganization of the actin cytoskeleton, lamellipodia formation and neurite elongation via its interaction with RAC guanine nucleotide exchange factors, which then leads to the activation of RAC1 (PubMed:25533347). {ECO:0000250|UniProtKB:Q8WXX7, ECO:0000269|PubMed:25533347}.","TISSUE SPECIFICITY: Detected in brain cortex in embryo, neonates and adults (at protein level) (PubMed:19948250, PubMed:25533347, PubMed:25519132). Detected in embryonic and adult Purkinje cells in the cerebellum (PubMed:19948250). Detected in dorsal thalamus and in dopaminergic neurons in substantia nigra (PubMed:19948250). {ECO:0000269|PubMed:19948250, ECO:0000269|PubMed:25519132, ECO:0000269|PubMed:25533347}.",actin cytoskeleton reorganization [GO:0031532]; axon extension [GO:0048675]; dendrite extension [GO:0097484]; innate vocalization behavior [GO:0098582]; neuron migration [GO:0001764]; positive regulation of histone H3-K4 methylation [GO:0051571]; positive regulation of histone H4-K16 acetylation [GO:2000620]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of Rac protein signal transduction [GO:0035022]; positive regulation of transcription by RNA polymerase II [GO:0045944]; righting reflex [GO:0060013],chromatin binding [GO:0003682],,
A0JNT9,reviewed,BICL1_MOUSE,"BICD family-like cargo adapter 1 (Bicaudal D-related protein 1, BICD-related protein 1, BICDR-1) (Coiled-coil domain-containing protein 64A)",Bicdl1 Bicdr1 Ccdc64,Mus musculus (Mouse),577,centrosome [GO:0005813]; cytoplasm [GO:0005737],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:20360680}. Note=Localizes around the centrosome.",65287,"FUNCTION: Component of secretory vesicle machinery in developing neurons that acts as a regulator of neurite outgrowth. Regulates the secretory vesicle transport by controlling the accumulation of Rab6-containing secretory vesicles in the pericentrosomal region restricting anterograde secretory transport during the early phase of neuronal differentiation, thereby inhibiting neuritogenesis. {ECO:0000269|PubMed:20360680}.","TISSUE SPECIFICITY: Highly expressed during early embryonic development. Predominantly expressed in kidney, undifferentiated neural tissue and developing eye. {ECO:0000269|PubMed:20360680}.",Golgi to secretory granule transport [GO:0055107]; neuron projection development [GO:0031175]; vesicle transport along microtubule [GO:0047496],dynactin binding [GO:0034452]; small GTPase binding [GO:0031267],,
A2A5R2,reviewed,BIG2_MOUSE,"Brefeldin A-inhibited guanine nucleotide-exchange protein 2, Brefeldin A-inhibited GEP 2 (ADP-ribosylation factor guanine nucleotide-exchange factor 2)",Arfgef2 Arfgep2 Big2,Mus musculus (Mouse),1792,anchoring junction [GO:0070161]; asymmetric synapse [GO:0032279]; axonemal microtubule [GO:0005879]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; microtubule organizing center [GO:0005815]; perinuclear region of cytoplasm [GO:0048471]; recycling endosome [GO:0055037]; symmetric synapse [GO:0032280]; trans-Golgi network [GO:0005802],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}. Golgi apparatus {ECO:0000250}. Cytoplasm, perinuclear region {ECO:0000250}. Golgi apparatus, trans-Golgi network {ECO:0000250}. Endosome {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Cell projection, dendrite {ECO:0000250}. Cytoplasmic vesicle {ECO:0000250}. Synapse {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Translocates from cytoplasm to membranes upon cAMP treatment. Localized in recycling endosomes (By similarity). {ECO:0000250}.",202240,FUNCTION: Promotes guanine-nucleotide exchange on ARF1 and ARF3 and to a lower extent on ARF5 and ARF6. Promotes the activation of ARF1/ARF5/ARF6 through replacement of GDP with GTP. Involved in the regulation of Golgi vesicular transport. Required for the integrity of the endosomal compartment. Involved in trafficking from the trans-Golgi network (TGN) to endosomes and is required for membrane association of the AP-1 complex and GGA1. Seems to be involved in recycling of the transferrin receptor from recycling endosomes to the plasma membrane. Probably is involved in the exit of GABA(A) receptors from the endoplasmic reticulum. Involved in constitutive release of tumor necrosis factor receptor 1 via exosome-like vesicles; the function seems to involve PKA and specifically PRKAR2B. Proposed to act as A kinase-anchoring protein (AKAP) and may mediate crosstalk between Arf and PKA pathways (By similarity). {ECO:0000250}.,,endomembrane system organization [GO:0010256]; endosome organization [GO:0007032]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; intracellular signal transduction [GO:0035556]; positive regulation of tumor necrosis factor production [GO:0032760]; protein transport [GO:0015031]; receptor recycling [GO:0001881]; regulation of ARF protein signal transduction [GO:0032012],GABA receptor binding [GO:0050811]; guanyl-nucleotide exchange factor activity [GO:0005085]; myosin binding [GO:0017022]; protein kinase A regulatory subunit binding [GO:0034237],,
A2A6M5,reviewed,CACO2_MOUSE,"Calcium-binding and coiled-coil domain-containing protein 2 (Nuclear domain 10 protein NDP52, Nuclear domain 10 protein 52)",Calcoco2 Ndp52 Ndp52l1,Mus musculus (Mouse),331,autophagosome [GO:0005776]; autophagosome membrane [GO:0000421]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; perinuclear region of cytoplasm [GO:0048471]; PML body [GO:0016605],"SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q13137}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q13137}. Cytoplasmic vesicle, autophagosome membrane {ECO:0000250|UniProtKB:Q13137}; Peripheral membrane protein {ECO:0000305}.",40136,"FUNCTION: Xenophagy-specific receptor required for autophagy-mediated intracellular bacteria degradation (By similarity). Acts as an effector protein of galectin-sensed membrane damage that restricts the proliferation of infecting pathogens upon entry into the cytosol by targeting LGALS8-associated bacteria for autophagy (By similarity). Initially orchestrates bacteria targeting to autophagosomes and subsequently ensures pathogen degradation by regulating pathogen-containing autophagosome maturation (By similarity). Bacteria targeting to autophagosomes relies on its interaction with MAP1LC3A, MAP1LC3B and/or GABARAPL2, whereas regulation of pathogen-containing autophagosome maturation requires the interaction with MAP3LC3C (By similarity). May play a role in ruffle formation and actin cytoskeleton organization and seems to negatively regulate constitutive secretion (By similarity). {ECO:0000250|UniProtKB:Q13137}.",,positive regulation of autophagosome maturation [GO:1901098]; response to interferon-gamma [GO:0034341]; xenophagy [GO:0098792],protein homodimerization activity [GO:0042803],,
A2A6Q5,reviewed,CDC27_MOUSE,Cell division cycle protein 27 homolog,Cdc27,Mus musculus (Mouse),825,anaphase-promoting complex [GO:0005680]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819],"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P30260}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:P30260}.",91842,"FUNCTION: Component of the anaphase promoting complex/cyclosome (APC/C), a cell cycle-regulated E3 ubiquitin ligase that controls progression through mitosis and the G1 phase of the cell cycle. The APC/C complex acts by mediating ubiquitination and subsequent degradation of target proteins: it mainly mediates the formation of 'Lys-11'-linked polyubiquitin chains and, to a lower extent, the formation of 'Lys-48'- and 'Lys-63'-linked polyubiquitin chains (By similarity). {ECO:0000250}.",,anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell division [GO:0051301]; metaphase/anaphase transition of mitotic cell cycle [GO:0007091]; positive regulation of mitotic metaphase/anaphase transition [GO:0045842]; protein K11-linked ubiquitination [GO:0070979]; protein ubiquitination [GO:0016567],protein phosphatase binding [GO:0019903],,
A2A825,reviewed,CPLN2_MOUSE,Ciliogenesis and planar polarity effector 2 (REM2- and Rab-like small GTPase 1),Cplane2 Gm723 Rsg1,Mus musculus (Mouse),258,centriole [GO:0005814]; ciliary basal body [GO:0036064]; ciliary base [GO:0097546]; ciliary transition zone [GO:0035869]; cytoplasm [GO:0005737],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:Q6GNL4}.",28422,FUNCTION: Potential effector of the planar cell polarity signaling pathway. Plays a role in targeted membrane trafficking most probably at the level of vesicle fusion with membranes. Involved in cilium biogenesis by regulating the transport of cargo proteins to the basal body and to the apical tips of cilia. More generally involved in exocytosis in secretory cells (By similarity). {ECO:0000250|UniProtKB:Q6GNL4}.,,axoneme assembly [GO:0035082]; cilium assembly [GO:0060271]; cranial skeletal system development [GO:1904888]; endocardial cushion fusion [GO:0003274]; exocytosis [GO:0006887]; limb development [GO:0060173]; protein localization [GO:0008104]; protein processing [GO:0016485]; protein transport [GO:0015031]; regulation of exocytosis [GO:0017157]; regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning [GO:1901620]; regulation of vesicle fusion [GO:0031338]; smoothened signaling pathway [GO:0007224],GTP binding [GO:0005525]; GTPase activity [GO:0003924],,
A2AC93,reviewed,DNAI2_MOUSE,Dynein axonemal intermediate chain 2 (Axonemal dynein intermediate chain 2),Dnai2 Dnaic2,Mus musculus (Mouse),623,9+2 motile cilium [GO:0097729]; axonemal dynein complex [GO:0005858]; axoneme [GO:0005930]; cilium [GO:0005929]; cytoplasm [GO:0005737]; dynein axonemal particle [GO:0120293]; external side of plasma membrane [GO:0009897]; microtubule [GO:0005874]; outer dynein arm [GO:0036157]; sperm flagellum [GO:0036126],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000250|UniProtKB:Q9GZS0}. Dynein axonemal particle {ECO:0000250|UniProtKB:Q4QR00}. Note=Located in the proximal region of respiratory cilia. {ECO:0000250|UniProtKB:Q9GZS0}.",70968,FUNCTION: Part of the dynein complex of respiratory cilia. {ECO:0000250}.,"TISSUE SPECIFICITY: Predominantly expressed in ovary, testis and lung. {ECO:0000269|PubMed:18547164}.",cilium assembly [GO:0060271]; cilium movement [GO:0003341]; determination of left/right symmetry [GO:0007368]; microtubule-based movement [GO:0007018]; outer dynein arm assembly [GO:0036158],dynein heavy chain binding [GO:0045504]; dynein light chain binding [GO:0045503]; microtubule motor activity [GO:0003777],,
A2AGT5,reviewed,CKAP5_MOUSE,Cytoskeleton-associated protein 5,Ckap5,Mus musculus (Mouse),2032,centrosome [GO:0005813]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; kinetochore [GO:0000776]; microtubule plus-end [GO:0035371]; neuronal ribonucleoprotein granule [GO:0071598]; nucleolus [GO:0005730]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; protein-containing complex [GO:0032991]; spindle pole [GO:0000922],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q14008}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250|UniProtKB:Q14008}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q14008}. Chromosome, centromere, kinetochore {ECO:0000250|UniProtKB:Q14008}. Note=Detected on centrosomes and kinetochores during interphase and mitosis independently from TACC3 and clathrin. Located to spindle poles and microtubules during mitosis. In complex with TACC3 localized to microtubule plus-ends in mitosis and interphase. In complex with TACC3 and clathrin localized to inter-microtubule bridges in mitotic spindles. Accumulation sites at microtubule plus ends protruded approximately 100 nm from MAPRE1/EB1 sites in interphase cells. {ECO:0000250|UniProtKB:Q14008}.",225635,FUNCTION: Binds to the plus end of microtubules and regulates microtubule dynamics and microtubule organization. Acts as processive microtubule polymerase. Promotes cytoplasmic microtubule nucleation and elongation. Plays a major role in organizing spindle poles. In spindle formation protects kinetochore microtubules from depolymerization by KIF2C and has an essential role in centrosomal microtubule assembly independently of KIF2C activity. Contributes to centrosome integrity. Acts as component of the TACC3/ch-TOG/clathrin complex proposed to contribute to stabilization of kinetochore fibers of the mitotic spindle by acting as inter-microtubule bridge. The TACC3/ch-TOG/clathrin complex is required for the maintenance of kinetochore fiber tension. Enhances the strength of NDC80 complex-mediated kinetochore-tip microtubule attachments. {ECO:0000250|UniProtKB:Q14008}.,,cell division [GO:0051301]; central nervous system myelin formation [GO:0032289]; centrosome cycle [GO:0007098]; centrosome duplication [GO:0051298]; cytoplasmic translation [GO:0002181]; dendritic spine maintenance [GO:0097062]; establishment or maintenance of microtubule cytoskeleton polarity [GO:0030951]; excitatory postsynaptic potential [GO:0060079]; habituation [GO:0046959]; locomotory behavior [GO:0007626]; long-term synaptic potentiation [GO:0060291]; microtubule polymerization [GO:0046785]; mitotic spindle organization [GO:0007052]; mRNA localization resulting in post-transcriptional regulation of gene expression [GO:0010609]; positive regulation of endocytosis [GO:0045807]; positive regulation of microtubule nucleation [GO:0090063]; ribonucleoprotein complex assembly [GO:0022618]; RNA transport [GO:0050658]; spindle organization [GO:0007051]; visual learning [GO:0008542],microtubule binding [GO:0008017]; microtubule plus end polymerase [GO:0061863]; microtubule plus-end binding [GO:0051010]; ribonucleoprotein complex binding [GO:0043021],,
A2AH22,reviewed,AMRA1_MOUSE,Activating molecule in BECN1-regulated autophagy protein 1,Ambra1 Kiaa1736,Mus musculus (Mouse),1300,autophagosome [GO:0005776]; axoneme [GO:0005930]; Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; focal adhesion [GO:0005925]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; phagocytic vesicle [GO:0045335],"SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000250|UniProtKB:Q9C0C7}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q9C0C7}. Cytoplasmic vesicle, autophagosome {ECO:0000305|PubMed:17589504, ECO:0000305|PubMed:24089209, ECO:0000305|PubMed:28362576, ECO:0000305|PubMed:32616651}. Mitochondrion {ECO:0000250|UniProtKB:Q9C0C7}. Cytoplasm, cytosol {ECO:0000269|PubMed:21753002, ECO:0000269|PubMed:24980959}. Nucleus {ECO:0000269|PubMed:24980959, ECO:0000269|PubMed:28362576, ECO:0000269|PubMed:32616651}. Cell junction, focal adhesion {ECO:0000269|PubMed:28362576}. Note=Localizes to the cytoskeleton in absence of autophagy induction. Upon autophagy induction, AMBRA1 relocalizes to the endoplasmic reticulum to enable autophagosome nucleation (By similarity). Partially localizes at mitochondria in normal conditions (By similarity). Localizes also to discrete punctae along the ciliary axoneme (PubMed:24089209). {ECO:0000250|UniProtKB:Q9C0C7, ECO:0000269|PubMed:24089209}.",142879,"FUNCTION: Substrate-recognition component of a DCX (DDB1-CUL4-X-box) E3 ubiquitin-protein ligase complex involved in cell cycle control and autophagy (PubMed:17589504, PubMed:33854232, PubMed:33854235, PubMed:33854239). The DCX(AMBRA1) complex specifically mediates the polyubiquitination of target proteins such as BECN1, CCND1, CCND2, CCND3, ELOC and ULK1 (PubMed:23974797, PubMed:33854232, PubMed:33854235, PubMed:33854239). Acts as an upstream master regulator of the transition from G1 to S cell phase: AMBRA1 specifically recognizes and binds phosphorylated cyclin-D (CCND1, CCND2 and CCND3), leading to cyclin-D ubiquitination by the DCX(AMBRA1) complex and subsequent degradation (PubMed:33854232, PubMed:33854235, PubMed:33854239). By controlling the transition from G1 to S phase and cyclin-D degradation, AMBRA1 acts as a tumor suppressor that promotes genomic integrity during DNA replication and counteracts developmental abnormalities and tumor growth (PubMed:33854232, PubMed:33854235, PubMed:33854239). AMBRA1 also regulates the cell cycle by promoting MYC dephosphorylation and degradation independently of the DCX(AMBRA1) complex: acts via interaction with the catalytic subunit of protein phosphatase 2A (PPP2CA), which enhances interaction between PPP2CA and MYC, leading to MYC dephosphorylation and degradation (PubMed:25438055). Acts as a regulator of Cul5-RING (CRL5) E3 ubiquitin-protein ligase complexes by mediating ubiquitination and degradation of Elongin-C (ELOC) component of CRL5 complexes (By similarity). Acts as a key regulator of autophagy by modulating the BECN1-PIK3C3 complex: controls protein turnover during neuronal development, and regulates normal cell survival and proliferation (PubMed:17589504). In normal conditions, AMBRA1 is tethered to the cytoskeleton via interaction with dyneins DYNLL1 and DYNLL2 (By similarity). Upon autophagy induction, AMBRA1 is released from the cytoskeletal docking site to induce autophagosome nucleation by mediating ubiquitination of proteins involved in autophagy (By similarity). The DCX(AMBRA1) complex mediates 'Lys-63'-linked ubiquitination of BECN1, increasing the association between BECN1 and PIK3C3 to promote PIK3C3 activity (PubMed:23974797). In collaboration with TRAF6, AMBRA1 mediates 'Lys-63'-linked ubiquitination of ULK1 following autophagy induction, promoting ULK1 stability and kinase activity (By similarity). Also activates ULK1 via interaction with TRIM32: TRIM32 stimulates ULK1 through unanchored 'Lys-63'-linked polyubiquitin chains (By similarity). Also acts as an activator of mitophagy via interaction with PRKN and LC3 proteins (MAP1LC3A, MAP1LC3B or MAP1LC3C); possibly by bringing damaged mitochondria onto autophagosomes (PubMed:21753002, PubMed:25215947). Also activates mitophagy by acting as a cofactor for HUWE1; acts by promoting HUWE1-mediated ubiquitination of MFN2 (By similarity). AMBRA1 is also involved in regulatory T-cells (Treg) differentiation by promoting FOXO3 dephosphorylation independently of the DCX(AMBRA1) complex: acts via interaction with PPP2CA, which enhances interaction between PPP2CA and FOXO3, leading to FOXO3 dephosphorylation and stabilization (PubMed:28789945, PubMed:30513302). May act as a regulator of intracellular trafficking, regulating the localization of active PTK2/FAK and SRC (PubMed:28362576). Also involved in transcription regulation by acting as a scaffold for protein complexes at chromatin (PubMed:32616651). {ECO:0000250|UniProtKB:Q9C0C7, ECO:0000269|PubMed:17589504, ECO:0000269|PubMed:21753002, ECO:0000269|PubMed:23974797, ECO:0000269|PubMed:25215947, ECO:0000269|PubMed:25438055, ECO:0000269|PubMed:28362576, ECO:0000269|PubMed:28789945, ECO:0000269|PubMed:30513302, ECO:0000269|PubMed:32616651, ECO:0000269|PubMed:33854232, ECO:0000269|PubMed:33854235, ECO:0000269|PubMed:33854239}.","TISSUE SPECIFICITY: Expressed throughout the brain, including midbrain and striatum. {ECO:0000269|PubMed:21753002}.",autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; autophagy of mitochondrion [GO:0000422]; cell cycle [GO:0007049]; cell differentiation [GO:0030154]; cellular response to starvation [GO:0009267]; mitophagy [GO:0000423]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of neuron apoptotic process [GO:0043524]; neural tube development [GO:0021915]; positive regulation of autophagy [GO:0010508]; positive regulation of free ubiquitin chain polymerization [GO:1904544]; positive regulation of mitophagy [GO:1901526]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; positive regulation of protein dephosphorylation [GO:0035307]; positive regulation of regulatory T cell differentiation [GO:0045591]; protein polyubiquitination [GO:0000209]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of transcription by RNA polymerase II [GO:0006357]; response to mitochondrial depolarisation [GO:0098780],GTPase binding [GO:0051020]; protein phosphatase binding [GO:0019903]; ubiquitin ligase-substrate adaptor activity [GO:1990756]; ubiquitin protein ligase binding [GO:0031625],,
A2AIW0,reviewed,ENTR1_MOUSE,Endosome-associated-trafficking regulator 1 (Serologically defined colon cancer antigen 3),Entr1 Sdccag3,Mus musculus (Mouse),432,centrosome [GO:0005813]; ciliary basal body [GO:0036064]; early endosome [GO:0005769]; endosome [GO:0005768]; midbody [GO:0030496]; recycling endosome [GO:0055037]; retromer complex [GO:0030904],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16332174}. Early endosome {ECO:0000250|UniProtKB:Q96C92}. Endosome {ECO:0000250|UniProtKB:Q96C92}. Recycling endosome {ECO:0000250|UniProtKB:Q96C92}. Midbody {ECO:0000250|UniProtKB:Q96C92}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q96C92}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:Q96C92}. Note=Colocalizes in a WASHC2-dependent manner with the retromer CSC complex at endosomes. During cytokinesis colocalized with PTPN13 at the midbody. Colocalizes with IFT88 and gamma-tubulin at the basal body of primary cilia. Colocalizes with IFT88 and pericentrin at the centrosome. {ECO:0000250|UniProtKB:Q96C92}.",48025,"FUNCTION: May be involved in modulation of TNF response. May be involved in presentation of TNFRSF1A on the cell surface (PubMed:16332174). Involved in the endosome-to-plasma membrane trafficking and recycling of SNX27-retromer-dependent cargo proteins, such as GLUT1. Involved in the regulation of cytokinesis; the function may involve PTPN13 and GIT1 (By similarity). {ECO:0000250|UniProtKB:Q96C92, ECO:0000269|PubMed:16332174}.; FUNCTION: Endosome-associated protein that plays a role in membrane receptor sorting, cytokinesis and ciliogenesis. Involved in the endosome-to-plasma membrane trafficking and recycling of SNX27-retromer-dependent cargo proteins, such as GLUT1. Involved in the regulation of cytokinesis; the function may involve PTPN13 and GIT1. Plays a role in the formation of cilia. Involved in cargo protein localization, such as PKD2, at primary cilia (By similarity). Involved in the presentation of the tumor necrosis factor (TNF) receptor TNFRSF1A on the cell surface, and hence in the modulation of the TNF-induced apoptosis (PubMed:16332174). {ECO:0000250|UniProtKB:Q96C92, ECO:0000269|PubMed:16332174}.",,cell cycle [GO:0007049]; cell division [GO:0051301]; cell projection organization [GO:0030030]; endocytic recycling [GO:0032456]; positive regulation of cilium assembly [GO:0045724]; positive regulation of protein localization to cilium [GO:1903566]; protein transport [GO:0015031]; regulation of cytokinesis [GO:0032465],,,
