Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (cellular component),Subcellular location [CC],Mass,Function [CC],Tissue specificity,Gene Ontology (biological process),Gene Ontology (molecular function),Signal peptide,Transit peptide
A0MZ66,reviewed,SHOT1_HUMAN,Shootin-1 (Shootin1),SHTN1 KIAA1598,Homo sapiens (Human),631,axon [GO:0030424]; axonal growth cone [GO:0044295]; cell leading edge [GO:0031252]; cytoplasm [GO:0005737]; filopodium [GO:0030175]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; microtubule [GO:0005874]; microtubule associated complex [GO:0005875]; microtubule cytoskeleton [GO:0015630]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471],"SUBCELLULAR LOCATION: Perikaryon {ECO:0000250|UniProtKB:Q8K2Q9}. Cell projection, axon {ECO:0000250|UniProtKB:Q8K2Q9}. Cell projection, growth cone {ECO:0000250|UniProtKB:Q8K2Q9}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q8K2Q9}. Cell projection, filopodium {ECO:0000250|UniProtKB:A0MZ67}. Cell projection, lamellipodium {ECO:0000250|UniProtKB:A0MZ67}. Note=Localizes in multiple growth cones at neurite tips before the neuronal symmetry-breaking step. Accumulates in growth cones of a single nascent axon in a neurite length-dependent manner during the neuronal symmetry-breaking step; when absent from the nascent axon's siblings, probably due to competitive transport, prevents the formation of surplus axons. Transported anterogradely from the soma to the axon growth cone in an actin and myosin-dependent manner and passively diffuses back to the cell bodies. Colocalized with L1CAM in close apposition with actin filaments in filopodia and lamellipodia of axonal growth cones in hippocampal neurons. Exhibits retrograde movements in filopodia and lamellopodia of axonal growth cones. Colocalized with KIF20B along microtubules to the tip of the growing cone in primary hippocampal neurons. Recruited to the growth cone of developing axon in a KIF20B- and microtubule-dependent manner. {ECO:0000250|UniProtKB:A0MZ67, ECO:0000250|UniProtKB:Q8K2Q9}.",71640,"FUNCTION: Involved in the generation of internal asymmetric signals required for neuronal polarization and neurite outgrowth. Mediates netrin-1-induced F-actin-substrate coupling or 'clutch engagement' within the axon growth cone through activation of CDC42, RAC1 and PAK1-dependent signaling pathway, thereby converting the F-actin retrograde flow into traction forces, concomitantly with filopodium extension and axon outgrowth. Plays a role in cytoskeletal organization by regulating the subcellular localization of phosphoinositide 3-kinase (PI3K) activity at the axonal growth cone. Also plays a role in regenerative neurite outgrowth. In the developing cortex, cooperates with KIF20B to promote both the transition from the multipolar to the bipolar stage and the radial migration of cortical neurons from the ventricular zone toward the superficial layer of the neocortex. Involved in the accumulation of phosphatidylinositol 3,4,5-trisphosphate (PIP3) in the growth cone of primary hippocampal neurons. {ECO:0000250|UniProtKB:A0MZ67, ECO:0000250|UniProtKB:Q8K2Q9}.",,"actin filament bundle retrograde transport [GO:0061573]; axonogenesis [GO:0007409]; Cdc42 protein signal transduction [GO:0032488]; cytoplasmic actin-based contraction involved in cell motility [GO:0060327]; endoplasmic reticulum polarization [GO:0061163]; netrin-activated signaling pathway [GO:0038007]; neuron projection morphogenesis [GO:0048812]; positive regulation of axon extension [GO:0045773]; positive regulation of neuron migration [GO:2001224]; Ras protein signal transduction [GO:0007265]; regulation of establishment of cell polarity [GO:2000114]; substrate-dependent cell migration, cell extension [GO:0006930]",actin filament binding [GO:0051015]; cadherin binding [GO:0045296]; identical protein binding [GO:0042802]; kinesin binding [GO:0019894],,
A1L390,reviewed,PKHG3_HUMAN,"Pleckstrin homology domain-containing family G member 3, PH domain-containing family G member 3",PLEKHG3 KIAA0599,Homo sapiens (Human),1219,cytoskeleton [GO:0005856]; cytosol [GO:0005829],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:27555588}. Note=Colocalizes with actin at the leading edge of polarized cells. {ECO:0000269|PubMed:27555588}.",134412,FUNCTION: Plays a role in controlling cell polarity and cell motility by selectively binding newly polymerized actin and activating RAC1 and CDC42 to enhance local actin polymerization. {ECO:0000269|PubMed:27555588}.,,regulation of cell migration [GO:0030334]; regulation of establishment of cell polarity [GO:2000114]; regulation of small GTPase mediated signal transduction [GO:0051056],actin binding [GO:0003779]; guanyl-nucleotide exchange factor activity [GO:0005085],,
A1XBS5,reviewed,CBAR1_HUMAN,CBY1-interacting BAR domain-containing protein 1,CIBAR1 FAM92A FAM92A1,Homo sapiens (Human),289,centriole [GO:0005814]; ciliary basal body [GO:0036064]; ciliary base [GO:0097546]; ciliary transition zone [GO:0035869]; cytoplasm [GO:0005737]; extrinsic component of membrane [GO:0019898]; mitochondrial crista [GO:0030061]; mitochondrial inner membrane [GO:0005743]; nucleus [GO:0005634],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:27528616, ECO:0000269|PubMed:30404948}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:27528616}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:27528616, ECO:0000269|PubMed:30395363}. Cell projection, cilium {ECO:0000250|UniProtKB:Q8BP22}. Nucleus {ECO:0000269|PubMed:30404948}. Mitochondrion inner membrane {ECO:0000269|PubMed:30404948}; Peripheral membrane protein {ECO:0000269|PubMed:30404948}; Matrix side {ECO:0000269|PubMed:30404948}. Note=Weak punctate vesicular distribution throughout the cytoplasm (PubMed:27528616). Localizes at the distal end of mother centrioles (PubMed:27528616). Extensive colocalization with CBY1 at mother centrioles (PubMed:27528616). {ECO:0000269|PubMed:27528616}.; SUBCELLULAR LOCATION: [Isoform 3]: Nucleus {ECO:0000269|PubMed:17646714}.",33431,"FUNCTION: Acts as a positive regulator of ciliary hedgehog signaling (By similarity). Probable regulator of ciliogenesis involved in limb morphogenesis (PubMed:27528616, PubMed:30395363). In cooperation with CBY1 it is involved in the recruitment and fusion of endosomal vesicles at distal appendages during early stages of ciliogenesis (PubMed:27528616, PubMed:30395363). Plays an important role in the mitochondrial function and is essential for maintaining mitochondrial morphology and inner membrane ultrastructure (PubMed:30404948). In vitro, can generate membrane curvature through preferential interaction with negatively charged phospholipids such as phosphatidylinositol 4,5-bisphosphate and cardiolipin and hence orchestrate cristae shape (PubMed:30404948). {ECO:0000250|UniProtKB:Q8BP22, ECO:0000269|PubMed:27528616, ECO:0000269|PubMed:30395363, ECO:0000269|PubMed:30404948}.",,cilium assembly [GO:0060271]; inner mitochondrial membrane organization [GO:0007007]; limb morphogenesis [GO:0035108]; membrane organization [GO:0061024]; membrane tubulation [GO:0097749]; positive regulation of smoothened signaling pathway [GO:0045880],phospholipid binding [GO:0005543],,"TRANSIT 1..47; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:30404948"""
A2IDD5,reviewed,CCD78_HUMAN,Coiled-coil domain-containing protein 78 (hsCCDC78),CCDC78 C16orf25 JFP10,Homo sapiens (Human),438,centriole [GO:0005814]; cytoplasm [GO:0005737]; deuterosome [GO:0098536]; perinuclear region of cytoplasm [GO:0048471]; sarcolemma [GO:0042383]; sarcoplasmic reticulum [GO:0016529],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole. Cytoplasm, perinuclear region. Cell membrane, sarcolemma. Sarcoplasmic reticulum. Note=Localizes to centrioles and deuterosome. Found primarily in the perinuclear region as well as along the sarcolemmal membrane and in reticular pattern within the sarcoplasm.",48521,"FUNCTION: Component of the deuterosome, a structure that promotes de novo centriole amplification in multiciliated cells that can generate more than 100 centrioles. Deuterosome-mediated centriole amplification occurs in terminally differentiated multiciliated cells (G1/0) and not in S phase. Essential for centriole amplification and is required for CEP152 localization to the deuterosome. {ECO:0000269|PubMed:24075808}.",TISSUE SPECIFICITY: Expressed primarily in skeletal muscle. {ECO:0000269|PubMed:22818856}.,cell projection organization [GO:0030030]; de novo centriole assembly involved in multi-ciliated epithelial cell differentiation [GO:0098535]; skeletal muscle contraction [GO:0003009],,,
A2RUB6,reviewed,CCD66_HUMAN,Coiled-coil domain-containing protein 66,CCDC66,Homo sapiens (Human),948,cell junction [GO:0030054]; centriolar satellite [GO:0034451]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytosol [GO:0005829]; Flemming body [GO:0090543]; microtubule [GO:0005874]; photoreceptor inner segment [GO:0001917]; photoreceptor outer segment [GO:0001750],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:28235840}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite {ECO:0000269|PubMed:28235840}. Cell projection, cilium {ECO:0000269|PubMed:28235840}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:28235840}. Photoreceptor inner segment {ECO:0000269|PubMed:19777273}. Cell projection, cilium, photoreceptor outer segment {ECO:0000269|PubMed:19777273}. Note=Restricted to the centrosomes and the spindle microtubules during mitosis (PubMed:28235840). Enriched in the inner segment of the photoreceptor (PubMed:19777273). {ECO:0000269|PubMed:19777273, ECO:0000269|PubMed:28235840}.",109411,"FUNCTION: Microtubule-binding protein required for ciliogenesis (PubMed:28235840). May function in ciliogenesis by mediating the transport of proteins like BBS4 to the cilium, but also through the organization of the centriolar satellites (PubMed:28235840). Plays a role in retina morphogenesis and/or homeostasis (By similarity). {ECO:0000250|UniProtKB:Q6NS45, ECO:0000269|PubMed:28235840}.","TISSUE SPECIFICITY: Widely expressed (at protein level) (PubMed:28235840). Expressed in retina, mainly in photoreceptors but also in outer plexiform and ganglion cell layers (at protein level) (PubMed:19777273). {ECO:0000269|PubMed:19777273, ECO:0000269|PubMed:28235840}.",cilium assembly [GO:0060271]; detection of light stimulus involved in visual perception [GO:0050908]; microtubule bundle formation [GO:0001578]; regulation of protein localization to cilium [GO:1903564]; retina homeostasis [GO:0001895],microtubule binding [GO:0008017]; protein homodimerization activity [GO:0042803],,
A5D8V7,reviewed,ODAD3_HUMAN,Outer dynein arm-docking complex subunit 3 (Coiled-coil domain-containing protein 151),ODAD3 CCDC151,Homo sapiens (Human),595,axoneme [GO:0005930]; centriole [GO:0005814]; ciliary basal body [GO:0036064]; ciliary rootlet [GO:0035253]; ciliary tip [GO:0097542]; cilium [GO:0005929]; extracellular region [GO:0005576]; outer dynein arm docking complex [GO:0120228],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:Q8BSN3}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000250|UniProtKB:Q8BSN3}. Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000269|PubMed:25192045}.",69140,FUNCTION: Component of the outer dynein arm-docking complex (ODA-DC) that mediates outer dynein arms (ODA) binding onto the doublet microtubule (PubMed:25192045). Involved in mediating assembly of both ODAs and their axonemal docking complex onto ciliary microtubules (PubMed:25192045). {ECO:0000269|PubMed:25192045}.,,brain development [GO:0007420]; cerebrospinal fluid circulation [GO:0090660]; cilium movement [GO:0003341]; determination of heart left/right asymmetry [GO:0061371]; determination of left/right symmetry [GO:0007368]; epithelial cilium movement involved in determination of left/right asymmetry [GO:0060287]; flagellated sperm motility [GO:0030317]; multicellular organism growth [GO:0035264]; outer dynein arm assembly [GO:0036158]; regulation of cilium assembly [GO:1902017]; spermatogenesis [GO:0007283],,,
A6NC98,reviewed,CC88B_HUMAN,"Coiled-coil domain-containing protein 88B (Brain leucine zipper domain-containing protein) (Gipie) (Hook-related protein 3, HkRP3)",CCDC88B BRLZ,Homo sapiens (Human),1476,centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleoplasm [GO:0005654],"SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:Q4QRL3}; Peripheral membrane protein {ECO:0000305}. Cytoplasm, cytoskeleton, microtubule organizing center {ECO:0000269|PubMed:25762780}. Endoplasmic reticulum {ECO:0000269|PubMed:21289099}. Golgi apparatus {ECO:0000269|PubMed:21289099}. Cytoplasm {ECO:0000269|PubMed:21289099}.",164809,"FUNCTION: Acts as a positive regulator of T-cell maturation and inflammatory function. Required for several functions of T-cells, in both the CD4(+) and the CD8(+) compartments and this includes expression of cell surface markers of activation, proliferation, and cytokine production in response to specific or non-specific stimulation (By similarity). Enhances NK cell cytotoxicity by positively regulating polarization of microtubule-organizing center (MTOC) to cytotoxic synapse, lytic granule transport along microtubules, and dynein-mediated clustering to MTOC (PubMed:25762780). Interacts with HSPA5 and stabilizes the interaction between HSPA5 and ERN1, leading to suppression of ERN1-induced JNK activation and endoplasmic reticulum stress-induced apoptosis (PubMed:21289099). {ECO:0000250|UniProtKB:Q4QRL3, ECO:0000269|PubMed:21289099, ECO:0000269|PubMed:25762780}.","TISSUE SPECIFICITY: Expressed in endothelium (at protein level) (PubMed:21289099). Expressed in NK cells (at protein level) (PubMed:25762780). {ECO:0000269|PubMed:21289099, ECO:0000269|PubMed:25762780}.",cytoplasmic microtubule organization [GO:0031122]; cytoskeleton-dependent intracellular transport [GO:0030705]; defense response to protozoan [GO:0042832]; positive regulation of cytokine production [GO:0001819]; positive regulation of T cell activation [GO:0050870]; positive regulation of T cell proliferation [GO:0042102],dynein light intermediate chain binding [GO:0051959]; microtubule binding [GO:0008017],,
A6NK89,reviewed,RASFA_HUMAN,Ras association domain-containing protein 10,RASSF10,Homo sapiens (Human),507,cytosol [GO:0005829]; microtubule organizing center [GO:0005815]; spindle pole [GO:0000922],"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:20956940}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:20956940}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:20956940}. Note=During interphase, predominantly cytoplasmic, although some nuclear staining in several tumor cell contexts. During prophase, observed at developing centrosomes. Displays persistent localization with centrosomally radiating microtubule bundles until late telophase. Associates with spindle poles particularly during metaphase and anaphase before relocating back to the cytoplasm.",56900,FUNCTION: Plays an important role in regulating embryonic neurogenesis. {ECO:0000250|UniProtKB:Q8BL43}.,"TISSUE SPECIFICITY: Expressed in brain. Tends to be down-regulated in astrocytic gliomas due to promoter methylation. Methylation occurs early in gliomagenesis and the extent of methylation parallels with higher glioma grades, so that methylation is observed in close to 70% WHO grade IV primary glioblastomas, but not in grade I astrocytomas. {ECO:0000269|PubMed:20956940}.",nervous system development [GO:0007399]; positive regulation of neural precursor cell proliferation [GO:2000179]; positive regulation of neurogenesis [GO:0050769]; signal transduction [GO:0007165],,,
A6NNZ2,reviewed,TBB8B_HUMAN,Tubulin beta 8B,TUBB8B,Homo sapiens (Human),444,cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; intercellular bridge [GO:0045171]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; mitotic spindle [GO:0072686],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}.",49573,"FUNCTION: Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity). {ECO:0000250}.",,microtubule cytoskeleton organization [GO:0000226]; microtubule-based process [GO:0007017]; mitotic cell cycle [GO:0000278],GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200],,
A6PVC2,reviewed,TTLL8_HUMAN,"Protein monoglycylase TTLL8, EC 6.3.2.- (Tubulin--tyrosine ligase-like protein 8)",TTLL8,Homo sapiens (Human),850,axoneme [GO:0005930]; cilium [GO:0005929]; cytosol [GO:0005829]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; sperm flagellum [GO:0036126],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:A4Q9F1}. Cell projection, cilium {ECO:0000250|UniProtKB:A4Q9F1}. Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000250|UniProtKB:A4Q9F1}. Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000250|UniProtKB:A4Q9F1}.",94676,"FUNCTION: Monoglycylase which modifies both tubulin and non-tubulin proteins, adding a single glycine to the gamma-carboxyl groups of specific glutamate residues to generate monoglycine side chains within the C-terminal tail of target proteins. Not involved in elongation step of the polyglycylation reaction. Preferentially monoglycylates alpha-tubulin over beta-tubulin. Together with TTLL3, mediates microtubule glycylation of primary and motile cilia, which is essential for their stability and maintenance. Together with TTLL3, glycylates sperm flagella which regulates axonemal dynein motor activity, thereby controlling flagellar beat, directional sperm swimming and male fertility. Monoglycylates non-tubulin proteins such as ANP32A, ANP32B, SET, NCL and NAP1. {ECO:0000250|UniProtKB:A4Q9F1}.",,cilium assembly [GO:0060271]; cilium movement [GO:0003341]; flagellated sperm motility [GO:0030317]; protein polyglycylation [GO:0018094],"ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein-glycine ligase activity [GO:0070735]; protein-glycine ligase activity, initiating [GO:0070736]",,
