Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (GO),Gene Ontology IDs,Gene Ontology (cellular component),Gene Ontology (molecular function)
Q8K449,reviewed,ABCA9_MOUSE,"ATP-binding cassette sub-family A member 9, EC 7.6.2.-",Abca9,Mus musculus (Mouse),1623,lipid transport [GO:0006869],integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrion [GO:0005739]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]; lipid transporter activity [GO:0005319]; lipid transport [GO:0006869],GO:0005319; GO:0005524; GO:0005739; GO:0006869; GO:0016021; GO:0042626; GO:0043231; GO:0140359,integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrion [GO:0005739],ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]; lipid transporter activity [GO:0005319]
Q8BIS4,unreviewed,Q8BIS4_MOUSE,Uncharacterized protein,Abca9,Mus musculus (Mouse),212,,integral component of membrane [GO:0016021]; ABC-type transporter activity [GO:0140359],GO:0016021; GO:0140359,integral component of membrane [GO:0016021],ABC-type transporter activity [GO:0140359]
Q61072,reviewed,ADAM9_MOUSE,"Disintegrin and metalloproteinase domain-containing protein 9, ADAM 9, EC 3.4.24.- (Meltrin-gamma) (Metalloprotease/disintegrin/cysteine-rich protein 9) (Myeloma cell metalloproteinase)",Adam9 Kiaa0021 Mdc9 Mltng,Mus musculus (Mouse),845,amyloid precursor protein catabolic process [GO:0042987]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell migration [GO:0016477]; cell-cell adhesion mediated by integrin [GO:0033631]; cell-matrix adhesion [GO:0007160]; cellular response to lipopolysaccharide [GO:0071222]; membrane protein ectodomain proteolysis [GO:0006509]; membrane protein intracellular domain proteolysis [GO:0031293]; monocyte activation [GO:0042117]; positive regulation of cell adhesion mediated by integrin [GO:0033630]; positive regulation of cell migration [GO:0030335]; positive regulation of keratinocyte migration [GO:0051549]; positive regulation of macrophage fusion [GO:0034241]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of membrane protein ectodomain proteolysis [GO:0051044]; positive regulation of protein secretion [GO:0050714]; protein processing [GO:0016485]; response to calcium ion [GO:0051592]; response to glucocorticoid [GO:0051384]; response to hydrogen peroxide [GO:0042542]; response to manganese ion [GO:0010042]; response to tumor necrosis factor [GO:0034612]; transforming growth factor beta receptor signaling pathway [GO:0007179],basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; intrinsic component of external side of plasma membrane [GO:0031233]; plasma membrane [GO:0005886]; collagen binding [GO:0005518]; integrin binding [GO:0005178]; laminin binding [GO:0043236]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metalloendopeptidase activity involved in amyloid precursor protein catabolic process [GO:1902945]; metallopeptidase activity [GO:0008237]; protein kinase C binding [GO:0005080]; SH3 domain binding [GO:0017124]; amyloid precursor protein catabolic process [GO:0042987]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell migration [GO:0016477]; cell-cell adhesion mediated by integrin [GO:0033631]; cell-matrix adhesion [GO:0007160]; cellular response to lipopolysaccharide [GO:0071222]; membrane protein ectodomain proteolysis [GO:0006509]; membrane protein intracellular domain proteolysis [GO:0031293]; monocyte activation [GO:0042117]; positive regulation of cell adhesion mediated by integrin [GO:0033630]; positive regulation of cell migration [GO:0030335]; positive regulation of keratinocyte migration [GO:0051549]; positive regulation of macrophage fusion [GO:0034241]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of membrane protein ectodomain proteolysis [GO:0051044]; positive regulation of protein secretion [GO:0050714]; protein processing [GO:0016485]; response to calcium ion [GO:0051592]; response to glucocorticoid [GO:0051384]; response to hydrogen peroxide [GO:0042542]; response to manganese ion [GO:0010042]; response to tumor necrosis factor [GO:0034612]; transforming growth factor beta receptor signaling pathway [GO:0007179],GO:0004222; GO:0005080; GO:0005178; GO:0005518; GO:0005615; GO:0005737; GO:0005886; GO:0006509; GO:0007155; GO:0007160; GO:0007179; GO:0008237; GO:0009986; GO:0010042; GO:0016021; GO:0016323; GO:0016477; GO:0016485; GO:0017124; GO:0030335; GO:0031233; GO:0031293; GO:0033627; GO:0033630; GO:0033631; GO:0034241; GO:0034612; GO:0042117; GO:0042542; GO:0042987; GO:0043236; GO:0043406; GO:0046872; GO:0050714; GO:0051044; GO:0051384; GO:0051549; GO:0051592; GO:0071222; GO:1902945,basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; intrinsic component of external side of plasma membrane [GO:0031233]; plasma membrane [GO:0005886],collagen binding [GO:0005518]; integrin binding [GO:0005178]; laminin binding [GO:0043236]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metalloendopeptidase activity involved in amyloid precursor protein catabolic process [GO:1902945]; metallopeptidase activity [GO:0008237]; protein kinase C binding [GO:0005080]; SH3 domain binding [GO:0017124]
A0A140LHU0,unreviewed,A0A140LHU0_MOUSE,Disintegrin and metalloproteinase domain-containing protein 9,Adam9,Mus musculus (Mouse),863,cell-cell adhesion mediated by integrin [GO:0033631]; cell-matrix adhesion [GO:0007160]; cellular response to lipopolysaccharide [GO:0071222]; keratinocyte differentiation [GO:0030216]; membrane protein ectodomain proteolysis [GO:0006509]; membrane protein intracellular domain proteolysis [GO:0031293]; monocyte activation [GO:0042117]; positive regulation of cell adhesion mediated by integrin [GO:0033630]; positive regulation of keratinocyte migration [GO:0051549]; positive regulation of macrophage fusion [GO:0034241]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of protein secretion [GO:0050714]; response to calcium ion [GO:0051592]; response to hydrogen peroxide [GO:0042542]; response to manganese ion [GO:0010042]; response to tumor necrosis factor [GO:0034612]; transforming growth factor beta receptor signaling pathway [GO:0007179],integral component of membrane [GO:0016021]; collagen binding [GO:0005518]; integrin binding [GO:0005178]; laminin binding [GO:0043236]; metalloendopeptidase activity [GO:0004222]; SH3 domain binding [GO:0017124]; cell-cell adhesion mediated by integrin [GO:0033631]; cell-matrix adhesion [GO:0007160]; cellular response to lipopolysaccharide [GO:0071222]; keratinocyte differentiation [GO:0030216]; membrane protein ectodomain proteolysis [GO:0006509]; membrane protein intracellular domain proteolysis [GO:0031293]; monocyte activation [GO:0042117]; positive regulation of cell adhesion mediated by integrin [GO:0033630]; positive regulation of keratinocyte migration [GO:0051549]; positive regulation of macrophage fusion [GO:0034241]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of protein secretion [GO:0050714]; response to calcium ion [GO:0051592]; response to hydrogen peroxide [GO:0042542]; response to manganese ion [GO:0010042]; response to tumor necrosis factor [GO:0034612]; transforming growth factor beta receptor signaling pathway [GO:0007179],GO:0004222; GO:0005178; GO:0005518; GO:0006509; GO:0007160; GO:0007179; GO:0010042; GO:0016021; GO:0017124; GO:0030216; GO:0031293; GO:0033630; GO:0033631; GO:0034241; GO:0034612; GO:0042117; GO:0042542; GO:0043236; GO:0043406; GO:0050714; GO:0051549; GO:0051592; GO:0071222,integral component of membrane [GO:0016021],collagen binding [GO:0005518]; integrin binding [GO:0005178]; laminin binding [GO:0043236]; metalloendopeptidase activity [GO:0004222]; SH3 domain binding [GO:0017124]
A0A140LJC9,unreviewed,A0A140LJC9_MOUSE,Disintegrin and metalloproteinase domain-containing protein 9,Adam9,Mus musculus (Mouse),159,proteolysis [GO:0006508],metalloendopeptidase activity [GO:0004222]; proteolysis [GO:0006508],GO:0004222; GO:0006508,,metalloendopeptidase activity [GO:0004222]
A0A1B0GSW1,unreviewed,A0A1B0GSW1_MOUSE,Disintegrin and metalloproteinase domain-containing protein 9,Adam9,Mus musculus (Mouse),130,,,,,
E9Q638,unreviewed,E9Q638_MOUSE,Disintegrin and metalloproteinase domain-containing protein 9,Adam9,Mus musculus (Mouse),841,proteolysis [GO:0006508],integral component of membrane [GO:0016021]; metalloendopeptidase activity [GO:0004222]; proteolysis [GO:0006508],GO:0004222; GO:0006508; GO:0016021,integral component of membrane [GO:0016021],metalloendopeptidase activity [GO:0004222]
Q3U1W3,unreviewed,Q3U1W3_MOUSE,Uncharacterized protein,Adam9,Mus musculus (Mouse),841,proteolysis [GO:0006508],integral component of membrane [GO:0016021]; metalloendopeptidase activity [GO:0004222]; proteolysis [GO:0006508],GO:0004222; GO:0006508; GO:0016021,integral component of membrane [GO:0016021],metalloendopeptidase activity [GO:0004222]
Q3UG15,unreviewed,Q3UG15_MOUSE,Uncharacterized protein,Adam9,Mus musculus (Mouse),845,proteolysis [GO:0006508],integral component of membrane [GO:0016021]; metalloendopeptidase activity [GO:0004222]; proteolysis [GO:0006508],GO:0004222; GO:0006508; GO:0016021,integral component of membrane [GO:0016021],metalloendopeptidase activity [GO:0004222]
E9PUN6,unreviewed,E9PUN6_MOUSE,"A disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9",Adamts9,Mus musculus (Mouse),1931,extracellular matrix organization [GO:0030198]; melanocyte differentiation [GO:0030318]; positive regulation of melanocyte differentiation [GO:0045636]; proteolysis [GO:0006508]; regulation of developmental pigmentation [GO:0048070]; response to bacterium [GO:0009617],cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]; endopeptidase activity [GO:0004175]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]; extracellular matrix organization [GO:0030198]; melanocyte differentiation [GO:0030318]; positive regulation of melanocyte differentiation [GO:0045636]; proteolysis [GO:0006508]; regulation of developmental pigmentation [GO:0048070]; response to bacterium [GO:0009617],GO:0004175; GO:0004222; GO:0005615; GO:0005783; GO:0006508; GO:0008237; GO:0008270; GO:0009617; GO:0009986; GO:0030198; GO:0030318; GO:0031012; GO:0043231; GO:0045636; GO:0048070,cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231],endopeptidase activity [GO:0004175]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]
