Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (cellular component),Subcellular location [CC],Mass,Function [CC],Tissue specificity,Gene Ontology (biological process),Signal peptide,Transit peptide
A0A0C5B5G6,reviewed,MOTSC_HUMAN,Mitochondrial-derived peptide MOTS-c (Mitochondrial open reading frame of the 12S rRNA-c),MT-RNR1,Homo sapiens (Human),16,extracellular space [GO:0005615]; mitochondrion [GO:0005739]; nucleus [GO:0005634],"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:25738459}. Mitochondrion {ECO:0000269|PubMed:29983246}. Nucleus {ECO:0000269|PubMed:29983246, ECO:0000269|PubMed:33473109}. Note=Translocates to the nucleus in response to metabolic stress in an AMPK-dependent manner. {ECO:0000269|PubMed:29983246}.",2175,"FUNCTION: Regulates insulin sensitivity and metabolic homeostasis (PubMed:25738459, PubMed:33468709). Inhibits the folate cycle, thereby reducing de novo purine biosynthesis which leads to the accumulation of the de novo purine synthesis intermediate 5-aminoimidazole-4-carboxamide (AICAR) and the activation of the metabolic regulator 5'-AMP-activated protein kinase (AMPK) (PubMed:25738459). Protects against age-dependent and diet-induced insulin resistance as well as diet-induced obesity (PubMed:25738459). In response to metabolic stress, translocates to the nucleus where it binds to antioxidant response elements (ARE) present in the promoter regions of a number of genes and plays a role in regulating nuclear gene expression in an NFE2L2-dependent manner and increasing cellular resistance to metabolic stress (PubMed:29983246). Increases mitochondrial respiration and levels of CPT1A and cytokines IL1B, IL6, IL8, IL10 and TNF in senescent cells (PubMed:29886458). Increases activity of the serine/threonine protein kinase complex mTORC2 and reduces activity of the PTEN phosphatase, thus promoting phosphorylation of AKT (PubMed:33554779). This promotes AKT-mediated phosphorylation of transcription factor FOXO1 which reduces FOXO1 activity, leading to reduced levels of MSTN and promotion of skeletal muscle growth (PubMed:33554779). Promotes osteogenic differentiation of bone marrow mesenchymal stem cells via the TGFB/SMAD pathway (PubMed:30468456). Promotes osteoblast proliferation and osteoblast synthesis of type I collagens COL1A1 and COL1A2 via the TGFB/SMAD pathway (PubMed:31081069). {ECO:0000269|PubMed:25738459, ECO:0000269|PubMed:29886458, ECO:0000269|PubMed:29983246, ECO:0000269|PubMed:30468456, ECO:0000269|PubMed:31081069, ECO:0000269|PubMed:33468709, ECO:0000269|PubMed:33554779}.","TISSUE SPECIFICITY: Detected in plasma (at protein level) (PubMed:25738459, PubMed:32182209). Also expressed in skeletal muscle (at protein level) (PubMed:32182209). {ECO:0000269|PubMed:25738459, ECO:0000269|PubMed:32182209}.","activation of protein kinase activity [GO:0032147]; negative regulation of phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity [GO:2001145]; osteoblast differentiation [GO:0001649]; osteoblast proliferation [GO:0033687]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; purine-containing compound biosynthetic process [GO:0072522]; regulation of carbohydrate utilization [GO:0043610]; regulation of transcription by RNA polymerase II [GO:0006357]; skeletal muscle tissue growth [GO:0048630]",,
A0A0K2S4Q6,reviewed,CD3CH_HUMAN,Protein CD300H (CD300 antigen-like family member H),CD300H,Homo sapiens (Human),201,extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],SUBCELLULAR LOCATION: [Isoform 1]: Membrane {ECO:0000255}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:26221034}.,21806,FUNCTION: May play an important role in innate immunity by mediating a signal for the production of a neutrophil chemoattractant. {ECO:0000269|PubMed:26221034}.,"TISSUE SPECIFICITY: Expressed on CD16+ monocytes and myeloid dendritic cells. By contrast, is not expressed on lymphocytes or granulocytes. {ECO:0000269|PubMed:26221034}.",neutrophil chemotaxis [GO:0030593],"SIGNAL 1..24; /evidence=""ECO:0000255""",
A0M8Q6,reviewed,IGLC7_HUMAN,Immunoglobulin lambda constant 7 (Ig lambda-7 chain C region),IGLC7,Homo sapiens (Human),106,"external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; IgA immunoglobulin complex [GO:0071745]; IgD immunoglobulin complex [GO:0071738]; IgE immunoglobulin complex [GO:0071742]; IgG immunoglobulin complex [GO:0071735]; IgM immunoglobulin complex [GO:0071753]; immunoglobulin complex, circulating [GO:0042571]; plasma membrane [GO:0005886]","SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",11254,"FUNCTION: Constant region of immunoglobulin light chains. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:22158414, PubMed:20176268). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:17576170, PubMed:20176268). {ECO:0000303|PubMed:17576170, ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",,"adaptive immune response [GO:0002250]; B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]",,
A1E959,reviewed,ODAM_HUMAN,Odontogenic ameloblast-associated protein (Apin),ODAM APIN,Homo sapiens (Human),279,cell periphery [GO:0071944]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; supramolecular fiber [GO:0099512],SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q3HS83}. Cytoplasm {ECO:0000269|PubMed:25911094}. Nucleus {ECO:0000269|PubMed:25911094}.,30777,"FUNCTION: Tooth-associated epithelia protein that probably plays a role in odontogenesis, the complex process that results in the initiation and generation of the tooth. May be incorporated in the enamel matrix at the end of mineralization process. Involved in the induction of RHOA activity via interaction with ARHGEF and expression of downstream factors such as ROCK. Plays a role in attachment of the junctional epithelium to the tooth surface. {ECO:0000269|PubMed:25911094}.","TISSUE SPECIFICITY: Expressed in the junctional epithelium of healthy teeth. In periodontitis, absent in the pocket epithelium of the diseased periodontium but is detected in the gingival crevicular fluid. {ECO:0000269|PubMed:25911094}.",biomineral tissue development [GO:0031214]; inflammatory response [GO:0006954]; odontogenesis of dentin-containing tooth [GO:0042475]; positive regulation of epithelial cell proliferation involved in wound healing [GO:0060054]; positive regulation of gene expression [GO:0010628]; positive regulation of GTPase activity [GO:0043547]; positive regulation of protein phosphorylation [GO:0001934]; regulation of actin cytoskeleton organization [GO:0032956],"SIGNAL 1..15; /evidence=""ECO:0000255""",
A1KZ92,reviewed,PXDNL_HUMAN,"Probable oxidoreductase PXDNL, EC 1.-.-.- (Cardiac peroxidase) (Inactive peroxidasin-like protein) (Polysomal ribonuclease 1, PRM1) (Vascular peroxidase 2)",PXDNL VPO2,Homo sapiens (Human),1463,endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; plasma membrane [GO:0005886],SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:24253521}. Endoplasmic reticulum {ECO:0000269|PubMed:24253521}. Cell membrane {ECO:0000269|PubMed:24253521}.; SUBCELLULAR LOCATION: [Isoform PMR1]: Cytoplasm. Note=Associates with polysomes.,163686,"FUNCTION: Probable oxidoreductase (Probable). Lacks peroxidase activity (PubMed:24253521). Inhibits the peroxidase activity of PXDN through its interaction (PubMed:24253521). {ECO:0000269|PubMed:24253521, ECO:0000305|PubMed:24253521}.; FUNCTION: [Isoform PMR1]: Endonuclease selectively degrading some target mRNAs while they are engaged by translating ribosomes, among which albumin and beta-globin mRNAs. {ECO:0000269|PubMed:22543864}.","TISSUE SPECIFICITY: the 57 kDa isoform PMR1 is the only form detected at protein levels in human cell lines (PubMed:22543864). Expressed in heart (PubMed:24253521). {ECO:0000269|PubMed:22543864, ECO:0000269|PubMed:24253521}.",hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979],"SIGNAL 1..23; /evidence=""ECO:0000255""",
A1L4H1,reviewed,SRCRL_HUMAN,"Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D (Soluble scavenger protein with 5 SRCR domains, SSc5D)",SSC5D,Homo sapiens (Human),1573,collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; membrane [GO:0016020],SUBCELLULAR LOCATION: Secreted {ECO:0000250}. Cytoplasm {ECO:0000250}.,165743,"FUNCTION: Binds to extracellular matrix proteins. Binds to pathogen-associated molecular patterns (PAMPs) present on the cell walls of Gram-positive and Gram-negative bacteria and fungi, behaving as a pattern recognition receptor (PRR). Induces bacterial and fungal aggregation and subsequent inhibition of PAMP-induced cytokine release. Does not possess intrinsic bactericidal activity. May play a role in the innate defense and homeostasis of certain epithelial surfaces (By similarity). {ECO:0000250}.","TISSUE SPECIFICITY: Highly expressed in monocytes/macrophages and T-lymphocytes. Highly expressed in placenta and spleen, and also detected at lower levels in colon, and more weakly in lung, heart and kidney. {ECO:0000269|PubMed:19535143}.",defense response [GO:0006952]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; detection of bacterial lipoprotein [GO:0042494]; innate immune response [GO:0045087]; negative regulation of interleukin-8 production [GO:0032717],"SIGNAL 1..16; /evidence=""ECO:0000255""",
A2VEC9,reviewed,SSPO_HUMAN,SCO-spondin (SCO-spondin pseudogene),SSPOP KIAA2036 SSPO,Homo sapiens (Human),5150,extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; integral component of plasma membrane [GO:0005887]; plasma membrane protein complex [GO:0098797],"SUBCELLULAR LOCATION: Secreted, extracellular space {ECO:0000250|UniProtKB:P98167}.",547841,FUNCTION: Involved in the modulation of neuronal aggregation (By similarity). May be involved in developmental events during the formation of the central nervous system (By similarity). {ECO:0000250|UniProtKB:P98167}.,,cell adhesion [GO:0007155]; cell differentiation [GO:0030154]; nervous system development [GO:0007399],"SIGNAL 1..17; /evidence=""ECO:0000255""",
A4D0S4,reviewed,LAMB4_HUMAN,Laminin subunit beta-4 (Laminin beta-1-related protein),LAMB4,Homo sapiens (Human),1761,extracellular region [GO:0005576]; laminin complex [GO:0043256],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane.",193540,"FUNCTION: Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components.",,animal organ morphogenesis [GO:0009887]; basement membrane assembly [GO:0070831]; cell migration [GO:0016477]; substrate adhesion-dependent cell spreading [GO:0034446]; tissue development [GO:0009888],"SIGNAL 1..19; /evidence=""ECO:0000255""",
A4D1T9,reviewed,PRS37_HUMAN,Probable inactive serine protease 37 (Probable inactive trypsin-X2),PRSS37 TRYX2,Homo sapiens (Human),235,acrosomal vesicle [GO:0001669]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634],"SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000269|PubMed:27649891}. Secreted {ECO:0000305}.",26445,"FUNCTION: Plays a role in male fertility (By similarity). May have a role in sperm migration or binding to zona-intact eggs (By similarity). Involved in the activation of the proacrosin/acrosin system (PubMed:27649891). {ECO:0000250|UniProtKB:Q9DAA4, ECO:0000269|PubMed:27649891}.",TISSUE SPECIFICITY: Testis-specific (PubMed:27649891). Expressed in spermatids (at protein level) (PubMed:27649891). {ECO:0000269|PubMed:27649891}.,binding of sperm to zona pellucida [GO:0007339]; cell migration [GO:0016477]; germ cell migration [GO:0008354]; positive regulation of acrosome reaction [GO:2000344]; positive regulation of fertilization [GO:1905516]; protein maturation [GO:0051604]; proteolysis [GO:0006508]; regulation of protein processing [GO:0070613],"SIGNAL 1..19; /evidence=""ECO:0000255""",
A5D8T8,reviewed,CL18A_HUMAN,C-type lectin domain family 18 member A (Mannose receptor-like protein 2),CLEC18A MRLP2,Homo sapiens (Human),446,endoplasmic reticulum [GO:0005783]; endosome [GO:0005768]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794],SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:26170455}. Endoplasmic reticulum {ECO:0000305|PubMed:26170455}. Golgi apparatus {ECO:0000305|PubMed:26170455}. Endosome {ECO:0000305|PubMed:26170455}.,49602,"FUNCTION: Binds polysaccharides in a Ca(2+)-independent manner with a preferentially binding to fucoidan, beta-glucans and galactans (PubMed:26170455). {ECO:0000269|PubMed:26170455}.",TISSUE SPECIFICITY: Dectected in all cell lines tested and in peripheral blood cells. {ECO:0000269|PubMed:26170455}.,,"SIGNAL 1..26; /evidence=""ECO:0000255""",
