Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (cellular component),Subcellular location [CC],Function [CC],Mass,Tissue specificity,Gene Ontology (biological process),Signal peptide,Transit peptide
A1A547,reviewed,PGRP3_MOUSE,"Peptidoglycan recognition protein 3 (Peptidoglycan recognition protein I-alpha, PGLYRPIalpha, PGRP-I-alpha) (Peptidoglycan recognition protein intermediate alpha)",Pglyrp3 Gm420 Pgrpia,Mus musculus (Mouse),347,extracellular region [GO:0005576]; protein-containing complex [GO:0032991],SUBCELLULAR LOCATION: Secreted {ECO:0000250}.,"FUNCTION: Pattern receptor that binds to murein peptidoglycans (PGN) of Gram-positive bacteria. Has bactericidal activity towards Gram-positive bacteria. May kill Gram-positive bacteria by interfering with peptidoglycan biosynthesis. Binds also to Gram-negative bacteria, and has bacteriostatic activity towards Gram-negative bacteria. Plays a role in innate immunity (By similarity). {ECO:0000250}.",38503,"TISSUE SPECIFICITY: Detected in lung, spleen and stomach, and at low levels in eye, heart, thymus and testis. {ECO:0000269|PubMed:15177568}.",antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; biological process involved in interaction with host [GO:0051701]; defense response to Gram-positive bacterium [GO:0050830]; detection of bacterium [GO:0016045]; innate immune response [GO:0045087]; killing of cells of another organism [GO:0031640]; negative regulation of interferon-gamma production [GO:0032689]; negative regulation of natural killer cell differentiation involved in immune response [GO:0032827]; peptidoglycan catabolic process [GO:0009253],"SIGNAL 1..26; /evidence=""ECO:0000255""",
A1E960,reviewed,ODAM_MOUSE,Odontogenic ameloblast-associated protein (Apin),Odam Apin,Mus musculus (Mouse),273,cell periphery [GO:0071944]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; supramolecular fiber [GO:0099512],SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q3HS83}. Cytoplasm {ECO:0000250|UniProtKB:A1E959}. Nucleus {ECO:0000250|UniProtKB:A1E959}.,"FUNCTION: Tooth-associated epithelia protein that probably plays a role in odontogenesis, the complex process that results in the initiation and generation of the tooth. May be incorporated in the enamel matrix at the end of mineralization process. Involved in the induction of RHOA activity via interaction with ARHGEF and expression of downstream factors such as ROCK. Plays a role in attachment of the junctional epithelium to the tooth surface. {ECO:0000250|UniProtKB:A1E959}.",29820,TISSUE SPECIFICITY: Highly expressed in tooth-associated epithelia. Predominantly expressed in mandible. {ECO:0000269|PubMed:17647262}.,biomineral tissue development [GO:0031214]; inflammatory response [GO:0006954]; odontogenesis of dentin-containing tooth [GO:0042475]; positive regulation of epithelial cell proliferation involved in wound healing [GO:0060054]; positive regulation of gene expression [GO:0010628]; positive regulation of GTPase activity [GO:0043547]; positive regulation of protein phosphorylation [GO:0001934]; regulation of actin cytoskeleton organization [GO:0032956]; response to wounding [GO:0009611],"SIGNAL 1..15; /evidence=""ECO:0000255""",
A2AAJ9,reviewed,OBSCN_MOUSE,"Obscurin, EC 2.7.11.1 (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase, Obscurin-MLCK)",Obscn Gm878,Mus musculus (Mouse),8886,cytosol [GO:0005829]; extracellular space [GO:0005615]; intercalated disc [GO:0014704]; M band [GO:0031430]; nuclear body [GO:0016604]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; striated muscle myosin thick filament [GO:0005863]; Z disc [GO:0030018],"SUBCELLULAR LOCATION: Cytoplasm, myofibril, sarcomere, M line {ECO:0000269|PubMed:23392350}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:23392350}. Cell membrane, sarcolemma {ECO:0000269|PubMed:23392350}. Nucleus {ECO:0000269|PubMed:23392350}. Secreted {ECO:0000269|PubMed:23392350}. Note=Colocalizes with CDH2 and ATP1B1 to the sarcolemma and to intercalating disks in cardiac muscles. Colocalizes with ATP1B1 to M line and Z line in cardiac muscles. One or both small isoforms, one probably containing protein kinase domain 2 and partial protein kinase domain 1 and one containing only protein kinase domain 2, localize to the extracellular side of the sarcolemma. {ECO:0000269|PubMed:23392350}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000269|PubMed:28826662}.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane {ECO:0000269|PubMed:28826662}.","FUNCTION: Structural component of striated muscles which plays a role in myofibrillogenesis. Probably involved in the assembly of myosin into sarcomeric A bands in striated muscle (By similarity). Has serine/threonine protein kinase activity and phosphorylates N-cadherin CDH2 and sodium/potassium-transporting ATPase subunit ATP1B1 (PubMed:23392350). Binds (via the PH domain) strongly to phosphatidylinositol 3,4-bisphosphate (PtdIns(3,4)P2) and phosphatidylinositol 4,5-bisphosphate (PtdIns(4,5)P2), and to a lesser extent to phosphatidylinositol 3-phosphate (PtdIns(3)P), phosphatidylinositol 4-phosphate (PtdIns(4)P), phosphatidylinositol 5-phosphate (PtdIns(5)P) and phosphatidylinositol 3,4,5-trisphosphate (PtdIns(3,4,5)P3) (By similarity). {ECO:0000250|UniProtKB:Q5VST9, ECO:0000269|PubMed:23392350}.; FUNCTION: Isoform 2 and isoform 3: bind phosphatidylinositol bisphosphates (PIP2s) via their PH domains and negatively regulate the PI3K/AKT/mTOR signaling pathway, thus contributing to the regulation of cardiomyocyte size and adhesion. {ECO:0000269|PubMed:28826662}.",966591,"TISSUE SPECIFICITY: Expressed in skeletal muscles including flexor digitorum brevis (FDB), soleus and tibialis anterior muscles, and to a lesser extent in heart muscles (at protein level) (PubMed:23392350). Isoform 2 and isoform 3 are expressed in the myocardium (at protein level) (PubMed:28826662). {ECO:0000269|PubMed:23392350, ECO:0000269|PubMed:28826662}.",cell differentiation [GO:0030154]; negative regulation of phosphatidylinositol 3-kinase signaling [GO:0014067]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468],,
A2AJ76,reviewed,HMCN2_MOUSE,Hemicentin-2,Hmcn2,Mus musculus (Mouse),5100,basement membrane [GO:0005604]; cell cortex [GO:0005938]; cell junction [GO:0030054]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:17015624}. Cleavage furrow {ECO:0000269|PubMed:21215633}. Note=The antibody used in PubMed:17015624 and PubMed:21215633 to determine subcellular location does not distinguish between HMCN1 and HMCN2. {ECO:0000269|PubMed:17015624, ECO:0000269|PubMed:21215633}.",,547198,"TISSUE SPECIFICITY: In neonatal skin, localized in the pericellular space of basal epidermal keratinocytes (at protein level) (PubMed:34504132). In adult skin, restricted to basal keratinocytes of hair follicles and the interfollicular epidermis (PubMed:34504132). Absent from the myotendinous junction but present in skeletal muscle (at protein level) (PubMed:34504132). Expressed in the pericellular extracellular matrix of epithelial cells in a number of tissues including embryonic trophectoderm and adult skin and tongue (PubMed:17015624). Also present in the extracellular matrix of some, but not all, blood vessels (PubMed:17015624). Expressed primarily in epithelial cells in the embryonic epidermis, lung, intestine, skeletal hindlimb muscle, tongue and the muscular layers of the esophagus (PubMed:34504132). {ECO:0000269|PubMed:17015624, ECO:0000269|PubMed:34504132}.",response to stimulus [GO:0050896],"SIGNAL 1..19; /evidence=""ECO:0000255""",
A2AJB7,reviewed,LCN5_MOUSE,"Epididymal-specific lipocalin-5 (Epididymal retinoic acid-binding protein, E-RABP, mE-RABP) (Epididymal secretory protein 10, MEP 10) [Cleaved into: Epididymal-specific lipocalin-5, major form; Epididymal-specific lipocalin-5, minor form ]",Lcn5 Mep10,Mus musculus (Mouse),192,extracellular space [GO:0005615],"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:1591332, ECO:0000269|PubMed:2393684}. Note=Synthesized by the mid and distal caput of the epididymis and secreted into the epididymal lumen. {ECO:0000269|PubMed:1591332, ECO:0000269|PubMed:2393684}.","FUNCTION: Associates with spermatozoa in the epididymal fluid but does not bind tightly to them. Binds both all-trans and 13-cis retinoic acid. May act as a retinoid carrier protein which is required for epididymal function and/or sperm maturation. {ECO:0000269|PubMed:1591332, ECO:0000269|PubMed:1591333}.",21013,TISSUE SPECIFICITY: Epididymal fluid of the caudal and corpus regions (at protein level). {ECO:0000269|PubMed:14595821}.,retinoic acid metabolic process [GO:0042573],"SIGNAL 1..26; /evidence=""ECO:0000269|PubMed:1591332""",
A2AVA0,reviewed,SVEP1_MOUSE,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)",Svep1,Mus musculus (Mouse),3567,cytoplasm [GO:0005737]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane [GO:0016020]; nucleus [GO:0005634],SUBCELLULAR LOCATION: Secreted {ECO:0000305}. Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.,FUNCTION: May play a role in the cell attachment process.,387457,"TISSUE SPECIFICITY: Present in stromal osteogenic cells. Expressed at much higher level in stromal osteogenic cells at low density compared to cells grown at higher densities (at protein level). Highly expressed in lung and placenta. Also expressed in bone and periosteum, but not in cartilage and skeletal muscle. Weakly or not expressed in other tissues. {ECO:0000269|PubMed:11062057, ECO:0000269|PubMed:16206243}.",cell migration [GO:0016477]; epidermis development [GO:0008544]; epithelial cell-cell adhesion [GO:0090136]; gene expression [GO:0010467]; lymph circulation [GO:0003017]; lymph vessel development [GO:0001945]; lymph vessel morphogenesis [GO:0036303]; Tie signaling pathway [GO:0048014]; tight junction organization [GO:0120193],"SIGNAL 1..17; /evidence=""ECO:0000255""",
A2AX52,reviewed,CO6A4_MOUSE,Collagen alpha-4(VI) chain,Col6a4 Dvwa,Mus musculus (Mouse),2309,collagen trimer [GO:0005581]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; protein-containing complex [GO:0032991],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.",FUNCTION: Collagen VI acts as a cell-binding protein. {ECO:0000250}.,250798,"TISSUE SPECIFICITY: In newborn, it is expressed in lung, kidney, brain, intestine, skin, sternum and, at weak level, calvaria. In adult, it is almost absent with some weak expression in ovary and very weak expression in spleen, lung, uterus and brain. {ECO:0000269|PubMed:18276594}.",cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198],"SIGNAL 1..22; /evidence=""ECO:0000255""",
A6H6E2,reviewed,MMRN2_MOUSE,Multimerin-2,Mmrn2,Mus musculus (Mouse),943,basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; multimerin complex [GO:1990972],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:Q9H8L6}.",FUNCTION: Inhibits endothelial cells motility and acts as a negative regulator of angiogenesis; it down-regulates KDR activation by binding VEGFA. {ECO:0000250}.,105206,,cell adhesion [GO:0007155]; cell migration involved in sprouting angiogenesis [GO:0002042]; negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis [GO:1903588]; negative regulation of cell migration [GO:0030336]; negative regulation of cell migration involved in sprouting angiogenesis [GO:0090051]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030948]; positive regulation of defense response to bacterium [GO:1900426]; positive regulation of epithelial tube formation [GO:1905278]; positive regulation of morphogenesis of an epithelium [GO:1905332],"SIGNAL 1..22; /evidence=""ECO:0000255""",
A6X935,reviewed,ITIH4_MOUSE,"Inter alpha-trypsin inhibitor, heavy chain 4, ITI heavy chain H4, ITI-HC4, Inter-alpha-inhibitor heavy chain 4",Itih4,Mus musculus (Mouse),942,collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular space [GO:0005615]; plasma membrane [GO:0005886],SUBCELLULAR LOCATION: Secreted {ECO:0000250}.,FUNCTION: Type II acute-phase protein (APP) involved in inflammatory responses to trauma. May also play a role in liver development or regeneration.,104659,TISSUE SPECIFICITY: Highly expressed in liver. Weak expression in lung and heart. {ECO:0000269|PubMed:9602042}.,acute-phase response [GO:0006953]; hyaluronan metabolic process [GO:0030212]; response to cytokine [GO:0034097],"SIGNAL 1..28; /evidence=""ECO:0000250""",
A7RDN6,reviewed,RNLS_MOUSE,"Renalase, EC 1.6.3.5 (Monoamine oxidase-C, MAO-C, mMAO-C)",Rnls,Mus musculus (Mouse),342,extracellular region [GO:0005576],SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:17846919}.,"FUNCTION: Catalyzes the oxidation of the less abundant 1,2-dihydro-beta-NAD(P) and 1,6-dihydro-beta-NAD(P) to form beta-NAD(P)(+). The enzyme hormone is secreted by the kidney, and circulates in blood and modulates cardiac function and systemic blood pressure. Lowers blood pressure in vivo by decreasing cardiac contractility and heart rate and preventing a compensatory increase in peripheral vascular tone, suggesting a causal link to the increased plasma catecholamine and heightened cardiovascular risk. High concentrations of catecholamines activate plasma renalase and promotes its secretion and synthesis. {ECO:0000250|UniProtKB:Q5VYX0}.",37597,"TISSUE SPECIFICITY: Expressed predominantly in kidney and testis with lower levels in liver, heart and embryo and weak expression in brain and skeletal muscle. {ECO:0000269|PubMed:17846919}.",cardiac left ventricle morphogenesis [GO:0003214]; dopamine metabolic process [GO:0042417]; epinephrine metabolic process [GO:0042414]; heart contraction [GO:0060047]; norepinephrine metabolic process [GO:0042415]; phosphate ion homeostasis [GO:0055062]; regulation of systemic arterial blood pressure [GO:0003073]; response to norepinephrine [GO:0071873],"SIGNAL 1..17; /evidence=""ECO:0000255""",
